month,total.total,timeRange.start,timeRange.end
2016-01-01T00:00:00.000Z,4352886,2016-01-01T00:00:00.000Z,2016-01-02T00:00:00.000Z
2016-01-02T00:00:00.000Z,4671030,2016-01-02T00:00:00.000Z,2016-01-03T00:00:00.000Z
2016-01-03T00:00:00.000Z,4761251,2016-01-03T00:00:00.000Z,2016-01-04T00:00:00.000Z
2016-01-04T00:00:00.000Z,4817156,2016-01-04T00:00:00.000Z,2016-01-05T00:00:00.000Z
2016-01-05T00:00:00.000Z,4883844,2016-01-05T00:00:00.000Z,2016-01-06T00:00:00.000Z
2016-01-06T00:00:00.000Z,4805683,2016-01-06T00:00:00.000Z,2016-01-07T00:00:00.000Z
2016-01-07T00:00:00.000Z,4434285,2016-01-07T00:00:00.000Z,2016-01-08T00:00:00.000Z
2016-01-08T00:00:00.000Z,4590204,2016-01-08T00:00:00.000Z,2016-01-09T00:00:00.000Z
2016-01-09T00:00:00.000Z,4599378,2016-01-09T00:00:00.000Z,2016-01-10T00:00:00.000Z
2016-01-10T00:00:00.000Z,4733095,2016-01-10T00:00:00.000Z,2016-01-11T00:00:00.000Z
2016-01-11T00:00:00.000Z,4788779,2016-01-11T00:00:00.000Z,2016-01-12T00:00:00.000Z
2016-01-12T00:00:00.000Z,4856325,2016-01-12T00:00:00.000Z,2016-01-13T00:00:00.000Z
2016-01-13T00:00:00.000Z,4627406,2016-01-13T00:00:00.000Z,2016-01-14T00:00:00.000Z
2016-01-14T00:00:00.000Z,4396830,2016-01-14T00:00:00.000Z,2016-01-15T00:00:00.000Z
2016-01-15T00:00:00.000Z,4697796,2016-01-15T00:00:00.000Z,2016-01-16T00:00:00.000Z
2016-01-16T00:00:00.000Z,4666782,2016-01-16T00:00:00.000Z,2016-01-17T00:00:00.000Z
2016-01-17T00:00:00.000Z,4811492,2016-01-17T00:00:00.000Z,2016-01-18T00:00:00.000Z
2016-01-18T00:00:00.000Z,4972243,2016-01-18T00:00:00.000Z,2016-01-19T00:00:00.000Z
2016-01-19T00:00:00.000Z,5404230,2016-01-19T00:00:00.000Z,2016-01-20T00:00:00.000Z
2016-01-20T00:00:00.000Z,5104777,2016-01-20T00:00:00.000Z,2016-01-21T00:00:00.000Z
2016-01-21T00:00:00.000Z,4613958,2016-01-21T00:00:00.000Z,2016-01-22T00:00:00.000Z
2016-01-22T00:00:00.000Z,4562804,2016-01-22T00:00:00.000Z,2016-01-23T00:00:00.000Z
2016-01-23T00:00:00.000Z,4907607,2016-01-23T00:00:00.000Z,2016-01-24T00:00:00.000Z
2016-01-24T00:00:00.000Z,4805744,2016-01-24T00:00:00.000Z,2016-01-25T00:00:00.000Z
2016-01-25T00:00:00.000Z,4965735,2016-01-25T00:00:00.000Z,2016-01-26T00:00:00.000Z
2016-01-26T00:00:00.000Z,4981730,2016-01-26T00:00:00.000Z,2016-01-27T00:00:00.000Z
2016-01-27T00:00:00.000Z,4828804,2016-01-27T00:00:00.000Z,2016-01-28T00:00:00.000Z
2016-01-28T00:00:00.000Z,4425008,2016-01-28T00:00:00.000Z,2016-01-29T00:00:00.000Z
2016-01-29T00:00:00.000Z,4425691,2016-01-29T00:00:00.000Z,2016-01-30T00:00:00.000Z
2016-01-30T00:00:00.000Z,4774860,2016-01-30T00:00:00.000Z,2016-01-31T00:00:00.000Z
2016-01-31T00:00:00.000Z,4929739,2016-01-31T00:00:00.000Z,2016-02-01T00:00:00.000Z
2016-02-01T00:00:00.000Z,5036021,2016-02-01T00:00:00.000Z,2016-02-02T00:00:00.000Z
2016-02-02T00:00:00.000Z,4854977,2016-02-02T00:00:00.000Z,2016-02-03T00:00:00.000Z
2016-02-03T00:00:00.000Z,4899174,2016-02-03T00:00:00.000Z,2016-02-04T00:00:00.000Z
2016-02-04T00:00:00.000Z,4405374,2016-02-04T00:00:00.000Z,2016-02-05T00:00:00.000Z
2016-02-05T00:00:00.000Z,4614284,2016-02-05T00:00:00.000Z,2016-02-06T00:00:00.000Z
2016-02-06T00:00:00.000Z,5163308,2016-02-06T00:00:00.000Z,2016-02-07T00:00:00.000Z
