month,total.total,timeRange.start,timeRange.end
2016-01-01T00:00:00.000Z,22034210,2016-01-01T00:00:00.000Z,2016-01-02T00:00:00.000Z
2016-01-02T00:00:00.000Z,26670370,2016-01-02T00:00:00.000Z,2016-01-03T00:00:00.000Z
2016-01-03T00:00:00.000Z,28357085,2016-01-03T00:00:00.000Z,2016-01-04T00:00:00.000Z
2016-01-04T00:00:00.000Z,30896356,2016-01-04T00:00:00.000Z,2016-01-05T00:00:00.000Z
2016-01-05T00:00:00.000Z,30777346,2016-01-05T00:00:00.000Z,2016-01-06T00:00:00.000Z
2016-01-06T00:00:00.000Z,29899329,2016-01-06T00:00:00.000Z,2016-01-07T00:00:00.000Z
2016-01-07T00:00:00.000Z,31156400,2016-01-07T00:00:00.000Z,2016-01-08T00:00:00.000Z
2016-01-08T00:00:00.000Z,32903291,2016-01-08T00:00:00.000Z,2016-01-09T00:00:00.000Z
2016-01-09T00:00:00.000Z,30656792,2016-01-09T00:00:00.000Z,2016-01-10T00:00:00.000Z
2016-01-10T00:00:00.000Z,34107959,2016-01-10T00:00:00.000Z,2016-01-11T00:00:00.000Z
2016-01-11T00:00:00.000Z,39520706,2016-01-11T00:00:00.000Z,2016-01-12T00:00:00.000Z
2016-01-12T00:00:00.000Z,39663886,2016-01-12T00:00:00.000Z,2016-01-13T00:00:00.000Z
2016-01-13T00:00:00.000Z,38365476,2016-01-13T00:00:00.000Z,2016-01-14T00:00:00.000Z
2016-01-14T00:00:00.000Z,37641688,2016-01-14T00:00:00.000Z,2016-01-15T00:00:00.000Z
2016-01-15T00:00:00.000Z,35578171,2016-01-15T00:00:00.000Z,2016-01-16T00:00:00.000Z
2016-01-16T00:00:00.000Z,30701008,2016-01-16T00:00:00.000Z,2016-01-17T00:00:00.000Z
2016-01-17T00:00:00.000Z,33007665,2016-01-17T00:00:00.000Z,2016-01-18T00:00:00.000Z
2016-01-18T00:00:00.000Z,37648621,2016-01-18T00:00:00.000Z,2016-01-19T00:00:00.000Z
2016-01-19T00:00:00.000Z,39613074,2016-01-19T00:00:00.000Z,2016-01-20T00:00:00.000Z
2016-01-20T00:00:00.000Z,39232854,2016-01-20T00:00:00.000Z,2016-01-21T00:00:00.000Z
2016-01-21T00:00:00.000Z,38737835,2016-01-21T00:00:00.000Z,2016-01-22T00:00:00.000Z
2016-01-22T00:00:00.000Z,35327531,2016-01-22T00:00:00.000Z,2016-01-23T00:00:00.000Z
2016-01-23T00:00:00.000Z,30703818,2016-01-23T00:00:00.000Z,2016-01-24T00:00:00.000Z
2016-01-24T00:00:00.000Z,34708734,2016-01-24T00:00:00.000Z,2016-01-25T00:00:00.000Z
2016-01-25T00:00:00.000Z,40284915,2016-01-25T00:00:00.000Z,2016-01-26T00:00:00.000Z
2016-01-26T00:00:00.000Z,42117044,2016-01-26T00:00:00.000Z,2016-01-27T00:00:00.000Z
2016-01-27T00:00:00.000Z,43420712,2016-01-27T00:00:00.000Z,2016-01-28T00:00:00.000Z
2016-01-28T00:00:00.000Z,40783744,2016-01-28T00:00:00.000Z,2016-01-29T00:00:00.000Z
2016-01-29T00:00:00.000Z,34461222,2016-01-29T00:00:00.000Z,2016-01-30T00:00:00.000Z
2016-01-30T00:00:00.000Z,31181884,2016-01-30T00:00:00.000Z,2016-01-31T00:00:00.000Z
2016-01-31T00:00:00.000Z,36458035,2016-01-31T00:00:00.000Z,2016-02-01T00:00:00.000Z
2016-02-01T00:00:00.000Z,38371253,2016-02-01T00:00:00.000Z,2016-02-02T00:00:00.000Z
2016-02-02T00:00:00.000Z,40982731,2016-02-02T00:00:00.000Z,2016-02-03T00:00:00.000Z
2016-02-03T00:00:00.000Z,42529437,2016-02-03T00:00:00.000Z,2016-02-04T00:00:00.000Z
2016-02-04T00:00:00.000Z,41859950,2016-02-04T00:00:00.000Z,2016-02-05T00:00:00.000Z
2016-02-05T00:00:00.000Z,35717772,2016-02-05T00:00:00.000Z,2016-02-06T00:00:00.000Z
2016-02-06T00:00:00.000Z,31145442,2016-02-06T00:00:00.000Z,2016-02-07T00:00:00.000Z
2016-02-07T00:00:00.000Z,34876024,2016-02-07T00:00:00.000Z,2016-02-08T00:00:00.000Z
2016-02-08T00:00:00.000Z,41393553,2016-02-08T00:00:00.000Z,2016-02-09T00:00:00.000Z
2016-02-09T00:00:00.000Z,43013320,2016-02-09T00:00:00.000Z,2016-02-10T00:00:00.000Z
2016-02-10T00:00:00.000Z,45209611,2016-02-10T00:00:00.000Z,2016-02-11T00:00:00.000Z
2016-02-11T00:00:00.000Z,42650705,2016-02-11T00:00:00.000Z,2016-02-12T00:00:00.000Z
2016-02-12T00:00:00.000Z,36672997,2016-02-12T00:00:00.000Z,2016-02-13T00:00:00.000Z
2016-02-13T00:00:00.000Z,32873567,2016-02-13T00:00:00.000Z,2016-02-14T00:00:00.000Z
2016-02-14T00:00:00.000Z,36928067,2016-02-14T00:00:00.000Z,2016-02-15T00:00:00.000Z
2016-02-15T00:00:00.000Z,43160230,2016-02-15T00:00:00.000Z,2016-02-16T00:00:00.000Z
2016-02-16T00:00:00.000Z,45074817,2016-02-16T00:00:00.000Z,2016-02-17T00:00:00.000Z
2016-02-17T00:00:00.000Z,45907290,2016-02-17T00:00:00.000Z,2016-02-18T00:00:00.000Z
2016-02-18T00:00:00.000Z,44775259,2016-02-18T00:00:00.000Z,2016-02-19T00:00:00.000Z
2016-02-19T00:00:00.000Z,38048511,2016-02-19T00:00:00.000Z,2016-02-20T00:00:00.000Z
2016-02-20T00:00:00.000Z,33106128,2016-02-20T00:00:00.000Z,2016-02-21T00:00:00.000Z
2016-02-21T00:00:00.000Z,38493014,2016-02-21T00:00:00.000Z,2016-02-22T00:00:00.000Z
2016-02-22T00:00:00.000Z,43909352,2016-02-22T00:00:00.000Z,2016-02-23T00:00:00.000Z
2016-02-23T00:00:00.000Z,45205020,2016-02-23T00:00:00.000Z,2016-02-24T00:00:00.000Z
2016-02-24T00:00:00.000Z,45086935,2016-02-24T00:00:00.000Z,2016-02-25T00:00:00.000Z
2016-02-25T00:00:00.000Z,42928704,2016-02-25T00:00:00.000Z,2016-02-26T00:00:00.000Z
2016-02-26T00:00:00.000Z,37098949,2016-02-26T00:00:00.000Z,2016-02-27T00:00:00.000Z
2016-02-27T00:00:00.000Z,32972862,2016-02-27T00:00:00.000Z,2016-02-28T00:00:00.000Z
2016-02-28T00:00:00.000Z,38545198,2016-02-28T00:00:00.000Z,2016-02-29T00:00:00.000Z
2016-02-29T00:00:00.000Z,46668124,2016-02-29T00:00:00.000Z,2016-03-01T00:00:00.000Z
2016-03-01T00:00:00.000Z,45992803,2016-03-01T00:00:00.000Z,2016-03-02T00:00:00.000Z
2016-03-02T00:00:00.000Z,46172060,2016-03-02T00:00:00.000Z,2016-03-03T00:00:00.000Z
2016-03-03T00:00:00.000Z,44889481,2016-03-03T00:00:00.000Z,2016-03-04T00:00:00.000Z
2016-03-04T00:00:00.000Z,39820196,2016-03-04T00:00:00.000Z,2016-03-05T00:00:00.000Z
2016-03-05T00:00:00.000Z,34933994,2016-03-05T00:00:00.000Z,2016-03-06T00:00:00.000Z
2016-03-06T00:00:00.000Z,40083250,2016-03-06T00:00:00.000Z,2016-03-07T00:00:00.000Z
2016-03-07T00:00:00.000Z,45346979,2016-03-07T00:00:00.000Z,2016-03-08T00:00:00.000Z
2016-03-08T00:00:00.000Z,45403439,2016-03-08T00:00:00.000Z,2016-03-09T00:00:00.000Z
2016-03-09T00:00:00.000Z,45580123,2016-03-09T00:00:00.000Z,2016-03-10T00:00:00.000Z
