month,total.total,timeRange.start,timeRange.end
2016-01-01T00:00:00.000Z,2691412,2016-01-01T00:00:00.000Z,2016-01-02T00:00:00.000Z
2016-01-02T00:00:00.000Z,2736920,2016-01-02T00:00:00.000Z,2016-01-03T00:00:00.000Z
2016-01-03T00:00:00.000Z,2616543,2016-01-03T00:00:00.000Z,2016-01-04T00:00:00.000Z
2016-01-04T00:00:00.000Z,2662823,2016-01-04T00:00:00.000Z,2016-01-05T00:00:00.000Z
2016-01-05T00:00:00.000Z,2632543,2016-01-05T00:00:00.000Z,2016-01-06T00:00:00.000Z
2016-01-06T00:00:00.000Z,2671422,2016-01-06T00:00:00.000Z,2016-01-07T00:00:00.000Z
2016-01-07T00:00:00.000Z,2594301,2016-01-07T00:00:00.000Z,2016-01-08T00:00:00.000Z
2016-01-08T00:00:00.000Z,2937189,2016-01-08T00:00:00.000Z,2016-01-09T00:00:00.000Z
2016-01-09T00:00:00.000Z,2825519,2016-01-09T00:00:00.000Z,2016-01-10T00:00:00.000Z
2016-01-10T00:00:00.000Z,2765430,2016-01-10T00:00:00.000Z,2016-01-11T00:00:00.000Z
2016-01-11T00:00:00.000Z,2807133,2016-01-11T00:00:00.000Z,2016-01-12T00:00:00.000Z
2016-01-12T00:00:00.000Z,2672967,2016-01-12T00:00:00.000Z,2016-01-13T00:00:00.000Z
2016-01-13T00:00:00.000Z,2565310,2016-01-13T00:00:00.000Z,2016-01-14T00:00:00.000Z
2016-01-14T00:00:00.000Z,2515179,2016-01-14T00:00:00.000Z,2016-01-15T00:00:00.000Z
2016-01-15T00:00:00.000Z,2705004,2016-01-15T00:00:00.000Z,2016-01-16T00:00:00.000Z
2016-01-16T00:00:00.000Z,2698928,2016-01-16T00:00:00.000Z,2016-01-17T00:00:00.000Z
2016-01-17T00:00:00.000Z,2657215,2016-01-17T00:00:00.000Z,2016-01-18T00:00:00.000Z
2016-01-18T00:00:00.000Z,2739938,2016-01-18T00:00:00.000Z,2016-01-19T00:00:00.000Z
2016-01-19T00:00:00.000Z,3228158,2016-01-19T00:00:00.000Z,2016-01-20T00:00:00.000Z
2016-01-20T00:00:00.000Z,2989762,2016-01-20T00:00:00.000Z,2016-01-21T00:00:00.000Z
2016-01-21T00:00:00.000Z,3580442,2016-01-21T00:00:00.000Z,2016-01-22T00:00:00.000Z
2016-01-22T00:00:00.000Z,2725944,2016-01-22T00:00:00.000Z,2016-01-23T00:00:00.000Z
2016-01-23T00:00:00.000Z,2691280,2016-01-23T00:00:00.000Z,2016-01-24T00:00:00.000Z
2016-01-24T00:00:00.000Z,2655183,2016-01-24T00:00:00.000Z,2016-01-25T00:00:00.000Z
2016-01-25T00:00:00.000Z,2992253,2016-01-25T00:00:00.000Z,2016-01-26T00:00:00.000Z
2016-01-26T00:00:00.000Z,2689931,2016-01-26T00:00:00.000Z,2016-01-27T00:00:00.000Z
2016-01-27T00:00:00.000Z,2603509,2016-01-27T00:00:00.000Z,2016-01-28T00:00:00.000Z
2016-01-28T00:00:00.000Z,2642668,2016-01-28T00:00:00.000Z,2016-01-29T00:00:00.000Z
2016-01-29T00:00:00.000Z,2943048,2016-01-29T00:00:00.000Z,2016-01-30T00:00:00.000Z
2016-01-30T00:00:00.000Z,2675555,2016-01-30T00:00:00.000Z,2016-01-31T00:00:00.000Z
2016-01-31T00:00:00.000Z,2713519,2016-01-31T00:00:00.000Z,2016-02-01T00:00:00.000Z
2016-02-01T00:00:00.000Z,2668585,2016-02-01T00:00:00.000Z,2016-02-02T00:00:00.000Z
2016-02-02T00:00:00.000Z,2670566,2016-02-02T00:00:00.000Z,2016-02-03T00:00:00.000Z
2016-02-03T00:00:00.000Z,2642474,2016-02-03T00:00:00.000Z,2016-02-04T00:00:00.000Z
2016-02-04T00:00:00.000Z,2615000,2016-02-04T00:00:00.000Z,2016-02-05T00:00:00.000Z
2016-02-05T00:00:00.000Z,2714312,2016-02-05T00:00:00.000Z,2016-02-06T00:00:00.000Z
2016-02-06T00:00:00.000Z,2639702,2016-02-06T00:00:00.000Z,2016-02-07T00:00:00.000Z
2016-02-07T00:00:00.000Z,2673712,2016-02-07T00:00:00.000Z,2016-02-08T00:00:00.000Z
2016-02-08T00:00:00.000Z,2729489,2016-02-08T00:00:00.000Z,2016-02-09T00:00:00.000Z
2016-02-09T00:00:00.000Z,2675495,2016-02-09T00:00:00.000Z,2016-02-10T00:00:00.000Z
2016-02-10T00:00:00.000Z,2545481,2016-02-10T00:00:00.000Z,2016-02-11T00:00:00.000Z
2016-02-11T00:00:00.000Z,2811665,2016-02-11T00:00:00.000Z,2016-02-12T00:00:00.000Z
2016-02-12T00:00:00.000Z,2863753,2016-02-12T00:00:00.000Z,2016-02-13T00:00:00.000Z
2016-02-13T00:00:00.000Z,2722970,2016-02-13T00:00:00.000Z,2016-02-14T00:00:00.000Z
2016-02-14T00:00:00.000Z,2646955,2016-02-14T00:00:00.000Z,2016-02-15T00:00:00.000Z
2016-02-15T00:00:00.000Z,2783036,2016-02-15T00:00:00.000Z,2016-02-16T00:00:00.000Z
2016-02-16T00:00:00.000Z,2738244,2016-02-16T00:00:00.000Z,2016-02-17T00:00:00.000Z
2016-02-17T00:00:00.000Z,2628998,2016-02-17T00:00:00.000Z,2016-02-18T00:00:00.000Z
2016-02-18T00:00:00.000Z,2580746,2016-02-18T00:00:00.000Z,2016-02-19T00:00:00.000Z
2016-02-19T00:00:00.000Z,2780281,2016-02-19T00:00:00.000Z,2016-02-20T00:00:00.000Z
2016-02-20T00:00:00.000Z,2723338,2016-02-20T00:00:00.000Z,2016-02-21T00:00:00.000Z
2016-02-21T00:00:00.000Z,2712599,2016-02-21T00:00:00.000Z,2016-02-22T00:00:00.000Z
2016-02-22T00:00:00.000Z,2693133,2016-02-22T00:00:00.000Z,2016-02-23T00:00:00.000Z
2016-02-23T00:00:00.000Z,2654699,2016-02-23T00:00:00.000Z,2016-02-24T00:00:00.000Z
2016-02-24T00:00:00.000Z,2560820,2016-02-24T00:00:00.000Z,2016-02-25T00:00:00.000Z
2016-02-25T00:00:00.000Z,2620384,2016-02-25T00:00:00.000Z,2016-02-26T00:00:00.000Z
2016-02-26T00:00:00.000Z,2685272,2016-02-26T00:00:00.000Z,2016-02-27T00:00:00.000Z
2016-02-27T00:00:00.000Z,2930175,2016-02-27T00:00:00.000Z,2016-02-28T00:00:00.000Z
2016-02-28T00:00:00.000Z,2793624,2016-02-28T00:00:00.000Z,2016-02-29T00:00:00.000Z
2016-02-29T00:00:00.000Z,2808562,2016-02-29T00:00:00.000Z,2016-03-01T00:00:00.000Z
2016-03-01T00:00:00.000Z,2614935,2016-03-01T00:00:00.000Z,2016-03-02T00:00:00.000Z
2016-03-02T00:00:00.000Z,2443728,2016-03-02T00:00:00.000Z,2016-03-03T00:00:00.000Z
2016-03-03T00:00:00.000Z,2436050,2016-03-03T00:00:00.000Z,2016-03-04T00:00:00.000Z
2016-03-04T00:00:00.000Z,2651041,2016-03-04T00:00:00.000Z,2016-03-05T00:00:00.000Z
2016-03-05T00:00:00.000Z,2602202,2016-03-05T00:00:00.000Z,2016-03-06T00:00:00.000Z
2016-03-06T00:00:00.000Z,2608646,2016-03-06T00:00:00.000Z,2016-03-07T00:00:00.000Z
2016-03-07T00:00:00.000Z,2583337,2016-03-07T00:00:00.000Z,2016-03-08T00:00:00.000Z
2016-03-08T00:00:00.000Z,2477267,2016-03-08T00:00:00.000Z,2016-03-09T00:00:00.000Z
2016-03-09T00:00:00.000Z,2332950,2016-03-09T00:00:00.000Z,2016-03-10T00:00:00.000Z
2016-03-10T00:00:00.000Z,2275820,2016-03-10T00:00:00.000Z,2016-03-11T00:00:00.000Z
2016-03-11T00:00:00.000Z,2342110,2016-03-11T00:00:00.000Z,2016-03-12T00:00:00.000Z
2016-03-12T00:00:00.000Z,2071519,2016-03-12T00:00:00.000Z,2016-03-13T00:00:00.000Z
2016-03-13T00:00:00.000Z,2430507,2016-03-13T00:00:00.000Z,2016-03-14T00:00:00.000Z
2016-03-14T00:00:00.000Z,2221459,2016-03-14T00:00:00.000Z,2016-03-15T00:00:00.000Z
2016-03-15T00:00:00.000Z,2204495,2016-03-15T00:00:00.000Z,2016-03-16T00:00:00.000Z
2016-03-16T00:00:00.000Z,2272059,2016-03-16T00:00:00.000Z,2016-03-17T00:00:00.000Z
2016-03-17T00:00:00.000Z,2109348,2016-03-17T00:00:00.000Z,2016-03-18T00:00:00.000Z
2016-03-18T00:00:00.000Z,2097183,2016-03-18T00:00:00.000Z,2016-03-19T00:00:00.000Z
2016-03-19T00:00:00.000Z,1930096,2016-03-19T00:00:00.000Z,2016-03-20T00:00:00.000Z
2016-03-20T00:00:00.000Z,1961356,2016-03-20T00:00:00.000Z,2016-03-21T00:00:00.000Z
2016-03-21T00:00:00.000Z,2169538,2016-03-21T00:00:00.000Z,2016-03-22T00:00:00.000Z
2016-03-22T00:00:00.000Z,2232746,2016-03-22T00:00:00.000Z,2016-03-23T00:00:00.000Z
2016-03-23T00:00:00.000Z,2279842,2016-03-23T00:00:00.000Z,2016-03-24T00:00:00.000Z
2016-03-24T00:00:00.000Z,2295975,2016-03-24T00:00:00.000Z,2016-03-25T00:00:00.000Z
2016-03-25T00:00:00.000Z,2304358,2016-03-25T00:00:00.000Z,2016-03-26T00:00:00.000Z
2016-03-26T00:00:00.000Z,2470368,2016-03-26T00:00:00.000Z,2016-03-27T00:00:00.000Z
2016-03-27T00:00:00.000Z,2748111,2016-03-27T00:00:00.000Z,2016-03-28T00:00:00.000Z
2016-03-28T00:00:00.000Z,2769955,2016-03-28T00:00:00.000Z,2016-03-29T00:00:00.000Z
2016-03-29T00:00:00.000Z,2731068,2016-03-29T00:00:00.000Z,2016-03-30T00:00:00.000Z
2016-03-30T00:00:00.000Z,2659706,2016-03-30T00:00:00.000Z,2016-03-31T00:00:00.000Z
2016-03-31T00:00:00.000Z,2897857,2016-03-31T00:00:00.000Z,2016-04-01T00:00:00.000Z
2016-04-01T00:00:00.000Z,2660254,2016-04-01T00:00:00.000Z,2016-04-02T00:00:00.000Z
2016-04-02T00:00:00.000Z,2866543,2016-04-02T00:00:00.000Z,2016-04-03T00:00:00.000Z
2016-04-03T00:00:00.000Z,2848249,2016-04-03T00:00:00.000Z,2016-04-04T00:00:00.000Z
2016-04-04T00:00:00.000Z,2886928,2016-04-04T00:00:00.000Z,2016-04-05T00:00:00.000Z
2016-04-05T00:00:00.000Z,2905293,2016-04-05T00:00:00.000Z,2016-04-06T00:00:00.000Z
2016-04-06T00:00:00.000Z,2747669,2016-04-06T00:00:00.000Z,2016-04-07T00:00:00.000Z
2016-04-07T00:00:00.000Z,2749728,2016-04-07T00:00:00.000Z,2016-04-08T00:00:00.000Z
2016-04-08T00:00:00.000Z,2978696,2016-04-08T00:00:00.000Z,2016-04-09T00:00:00.000Z
2016-04-09T00:00:00.000Z,2876305,2016-04-09T00:00:00.000Z,2016-04-10T00:00:00.000Z
2016-04-10T00:00:00.000Z,2902942,2016-04-10T00:00:00.000Z,2016-04-11T00:00:00.000Z
2016-04-11T00:00:00.000Z,2881961,2016-04-11T00:00:00.000Z,2016-04-12T00:00:00.000Z
2016-04-12T00:00:00.000Z,2781407,2016-04-12T00:00:00.000Z,2016-04-13T00:00:00.000Z
2016-04-13T00:00:00.000Z,2776213,2016-04-13T00:00:00.000Z,2016-04-14T00:00:00.000Z
2016-04-14T00:00:00.000Z,2881382,2016-04-14T00:00:00.000Z,2016-04-15T00:00:00.000Z
2016-04-15T00:00:00.000Z,2568276,2016-04-15T00:00:00.000Z,2016-04-16T00:00:00.000Z
2016-04-16T00:00:00.000Z,2660605,2016-04-16T00:00:00.000Z,2016-04-17T00:00:00.000Z
2016-04-17T00:00:00.000Z,2627588,2016-04-17T00:00:00.000Z,2016-04-18T00:00:00.000Z
2016-04-18T00:00:00.000Z,2584738,2016-04-18T00:00:00.000Z,2016-04-19T00:00:00.000Z
2016-04-19T00:00:00.000Z,2676300,2016-04-19T00:00:00.000Z,2016-04-20T00:00:00.000Z
2016-04-20T00:00:00.000Z,2411517,2016-04-20T00:00:00.000Z,2016-04-21T00:00:00.000Z
2016-04-21T00:00:00.000Z,2546412,2016-04-21T00:00:00.000Z,2016-04-22T00:00:00.000Z
