month,total.total,timeRange.start,timeRange.end
2016-01-01T00:00:00.000Z,3018916,2016-01-01T00:00:00.000Z,2016-01-02T00:00:00.000Z
2016-01-02T00:00:00.000Z,3327747,2016-01-02T00:00:00.000Z,2016-01-03T00:00:00.000Z
2016-01-03T00:00:00.000Z,3337192,2016-01-03T00:00:00.000Z,2016-01-04T00:00:00.000Z
2016-01-04T00:00:00.000Z,3780222,2016-01-04T00:00:00.000Z,2016-01-05T00:00:00.000Z
2016-01-05T00:00:00.000Z,4178718,2016-01-05T00:00:00.000Z,2016-01-06T00:00:00.000Z
2016-01-06T00:00:00.000Z,4358920,2016-01-06T00:00:00.000Z,2016-01-07T00:00:00.000Z
2016-01-07T00:00:00.000Z,4458565,2016-01-07T00:00:00.000Z,2016-01-08T00:00:00.000Z
2016-01-08T00:00:00.000Z,4066746,2016-01-08T00:00:00.000Z,2016-01-09T00:00:00.000Z
2016-01-09T00:00:00.000Z,3710843,2016-01-09T00:00:00.000Z,2016-01-10T00:00:00.000Z
2016-01-10T00:00:00.000Z,4180035,2016-01-10T00:00:00.000Z,2016-01-11T00:00:00.000Z
2016-01-11T00:00:00.000Z,5020023,2016-01-11T00:00:00.000Z,2016-01-12T00:00:00.000Z
2016-01-12T00:00:00.000Z,5223280,2016-01-12T00:00:00.000Z,2016-01-13T00:00:00.000Z
2016-01-13T00:00:00.000Z,5037248,2016-01-13T00:00:00.000Z,2016-01-14T00:00:00.000Z
2016-01-14T00:00:00.000Z,4739794,2016-01-14T00:00:00.000Z,2016-01-15T00:00:00.000Z
2016-01-15T00:00:00.000Z,4327593,2016-01-15T00:00:00.000Z,2016-01-16T00:00:00.000Z
2016-01-16T00:00:00.000Z,3929252,2016-01-16T00:00:00.000Z,2016-01-17T00:00:00.000Z
2016-01-17T00:00:00.000Z,4413945,2016-01-17T00:00:00.000Z,2016-01-18T00:00:00.000Z
2016-01-18T00:00:00.000Z,4976033,2016-01-18T00:00:00.000Z,2016-01-19T00:00:00.000Z
2016-01-19T00:00:00.000Z,5152797,2016-01-19T00:00:00.000Z,2016-01-20T00:00:00.000Z
2016-01-20T00:00:00.000Z,5390229,2016-01-20T00:00:00.000Z,2016-01-21T00:00:00.000Z
2016-01-21T00:00:00.000Z,4869474,2016-01-21T00:00:00.000Z,2016-01-22T00:00:00.000Z
2016-01-22T00:00:00.000Z,4468480,2016-01-22T00:00:00.000Z,2016-01-23T00:00:00.000Z
2016-01-23T00:00:00.000Z,3927846,2016-01-23T00:00:00.000Z,2016-01-24T00:00:00.000Z
2016-01-24T00:00:00.000Z,4256098,2016-01-24T00:00:00.000Z,2016-01-25T00:00:00.000Z
2016-01-25T00:00:00.000Z,4810709,2016-01-25T00:00:00.000Z,2016-01-26T00:00:00.000Z
2016-01-26T00:00:00.000Z,4911129,2016-01-26T00:00:00.000Z,2016-01-27T00:00:00.000Z
2016-01-27T00:00:00.000Z,4913115,2016-01-27T00:00:00.000Z,2016-01-28T00:00:00.000Z
2016-01-28T00:00:00.000Z,4673906,2016-01-28T00:00:00.000Z,2016-01-29T00:00:00.000Z
2016-01-29T00:00:00.000Z,4178837,2016-01-29T00:00:00.000Z,2016-01-30T00:00:00.000Z
2016-01-30T00:00:00.000Z,3560154,2016-01-30T00:00:00.000Z,2016-01-31T00:00:00.000Z
2016-01-31T00:00:00.000Z,4000459,2016-01-31T00:00:00.000Z,2016-02-01T00:00:00.000Z
2016-02-01T00:00:00.000Z,4545960,2016-02-01T00:00:00.000Z,2016-02-02T00:00:00.000Z
2016-02-02T00:00:00.000Z,4773643,2016-02-02T00:00:00.000Z,2016-02-03T00:00:00.000Z
2016-02-03T00:00:00.000Z,4820358,2016-02-03T00:00:00.000Z,2016-02-04T00:00:00.000Z
2016-02-04T00:00:00.000Z,4540531,2016-02-04T00:00:00.000Z,2016-02-05T00:00:00.000Z
2016-02-05T00:00:00.000Z,4089965,2016-02-05T00:00:00.000Z,2016-02-06T00:00:00.000Z
2016-02-06T00:00:00.000Z,3493013,2016-02-06T00:00:00.000Z,2016-02-07T00:00:00.000Z
2016-02-07T00:00:00.000Z,3296080,2016-02-07T00:00:00.000Z,2016-02-08T00:00:00.000Z
2016-02-08T00:00:00.000Z,4048462,2016-02-08T00:00:00.000Z,2016-02-09T00:00:00.000Z
2016-02-09T00:00:00.000Z,4549538,2016-02-09T00:00:00.000Z,2016-02-10T00:00:00.000Z
2016-02-10T00:00:00.000Z,4667868,2016-02-10T00:00:00.000Z,2016-02-11T00:00:00.000Z
2016-02-11T00:00:00.000Z,4569156,2016-02-11T00:00:00.000Z,2016-02-12T00:00:00.000Z
2016-02-12T00:00:00.000Z,4263015,2016-02-12T00:00:00.000Z,2016-02-13T00:00:00.000Z
2016-02-13T00:00:00.000Z,3712091,2016-02-13T00:00:00.000Z,2016-02-14T00:00:00.000Z
2016-02-14T00:00:00.000Z,4126687,2016-02-14T00:00:00.000Z,2016-02-15T00:00:00.000Z
2016-02-15T00:00:00.000Z,4689491,2016-02-15T00:00:00.000Z,2016-02-16T00:00:00.000Z
2016-02-16T00:00:00.000Z,4943162,2016-02-16T00:00:00.000Z,2016-02-17T00:00:00.000Z
2016-02-17T00:00:00.000Z,4975895,2016-02-17T00:00:00.000Z,2016-02-18T00:00:00.000Z
2016-02-18T00:00:00.000Z,4716541,2016-02-18T00:00:00.000Z,2016-02-19T00:00:00.000Z
2016-02-19T00:00:00.000Z,4380470,2016-02-19T00:00:00.000Z,2016-02-20T00:00:00.000Z
2016-02-20T00:00:00.000Z,3783939,2016-02-20T00:00:00.000Z,2016-02-21T00:00:00.000Z
2016-02-21T00:00:00.000Z,4231409,2016-02-21T00:00:00.000Z,2016-02-22T00:00:00.000Z
2016-02-22T00:00:00.000Z,4714487,2016-02-22T00:00:00.000Z,2016-02-23T00:00:00.000Z
2016-02-23T00:00:00.000Z,4897047,2016-02-23T00:00:00.000Z,2016-02-24T00:00:00.000Z
2016-02-24T00:00:00.000Z,4913833,2016-02-24T00:00:00.000Z,2016-02-25T00:00:00.000Z
2016-02-25T00:00:00.000Z,4680960,2016-02-25T00:00:00.000Z,2016-02-26T00:00:00.000Z
2016-02-26T00:00:00.000Z,4218422,2016-02-26T00:00:00.000Z,2016-02-27T00:00:00.000Z
2016-02-27T00:00:00.000Z,3741532,2016-02-27T00:00:00.000Z,2016-02-28T00:00:00.000Z
2016-02-28T00:00:00.000Z,4186768,2016-02-28T00:00:00.000Z,2016-02-29T00:00:00.000Z
2016-02-29T00:00:00.000Z,4912726,2016-02-29T00:00:00.000Z,2016-03-01T00:00:00.000Z
2016-03-01T00:00:00.000Z,5023567,2016-03-01T00:00:00.000Z,2016-03-02T00:00:00.000Z
2016-03-02T00:00:00.000Z,5183605,2016-03-02T00:00:00.000Z,2016-03-03T00:00:00.000Z
2016-03-03T00:00:00.000Z,4944582,2016-03-03T00:00:00.000Z,2016-03-04T00:00:00.000Z
2016-03-04T00:00:00.000Z,4532029,2016-03-04T00:00:00.000Z,2016-03-05T00:00:00.000Z
2016-03-05T00:00:00.000Z,3907728,2016-03-05T00:00:00.000Z,2016-03-06T00:00:00.000Z
2016-03-06T00:00:00.000Z,4281405,2016-03-06T00:00:00.000Z,2016-03-07T00:00:00.000Z
2016-03-07T00:00:00.000Z,4914874,2016-03-07T00:00:00.000Z,2016-03-08T00:00:00.000Z
2016-03-08T00:00:00.000Z,4693611,2016-03-08T00:00:00.000Z,2016-03-09T00:00:00.000Z
2016-03-09T00:00:00.000Z,4688871,2016-03-09T00:00:00.000Z,2016-03-10T00:00:00.000Z
2016-03-10T00:00:00.000Z,4834611,2016-03-10T00:00:00.000Z,2016-03-11T00:00:00.000Z
2016-03-11T00:00:00.000Z,4436320,2016-03-11T00:00:00.000Z,2016-03-12T00:00:00.000Z
