City,Relationship,Cause,Effect,Lag,F-statistic,p-value,Chi-squared test (p-value)
Toruń,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in English,Ukrainian refugees in Poland (UNHCR),Wikipedia views in English,8,0.2770,0.9732,2.3229 (p = 0.9695)
Kielce,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in English,Ukrainian refugees in Poland (UNHCR),Wikipedia views in English,8,0.4695,0.8774,3.9376 (p = 0.8627)
Sosnowiec,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in English,Ukrainian refugees in Poland (UNHCR),Wikipedia views in English,8,1.3295,0.2275,11.1494 (p = 0.1934)
Katowice,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in English,Ukrainian refugees in Poland (UNHCR),Wikipedia views in English,8,0.2359,0.9840,1.9780 (p = 0.9817)
Bydgoszcz,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in English,Ukrainian refugees in Poland (UNHCR),Wikipedia views in English,8,1.9953,0.0462,16.7332 (p = 0.0330)
Łódź,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in English,Ukrainian refugees in Poland (UNHCR),Wikipedia views in English,8,1.2138,0.2897,10.1792 (p = 0.2527)
Gdańsk,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in English,Ukrainian refugees in Poland (UNHCR),Wikipedia views in English,8,2.0272,0.0425,17.0007 (p = 0.0301)
Szczecin,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in English,Ukrainian refugees in Poland (UNHCR),Wikipedia views in English,8,1.4034,0.1936,11.7692 (p = 0.1618)
Kraków,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in English,Ukrainian refugees in Poland (UNHCR),Wikipedia views in English,9,4.4329,0.0000,42.0685 (p = 0.0000)
Lublin,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in English,Ukrainian refugees in Poland (UNHCR),Wikipedia views in English,13,0.4530,0.9486,6.3608 (p = 0.9320)
Warsaw,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in English,Ukrainian refugees in Poland (UNHCR),Wikipedia views in English,17,2.9418,0.0001,55.3956 (p = 0.0000)
Białystok,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in English,Ukrainian refugees in Poland (UNHCR),Wikipedia views in English,8,1.9771,0.0484,16.5809 (p = 0.0348)
Gliwice,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in English,Ukrainian refugees in Poland (UNHCR),Wikipedia views in English,8,0.2192,0.9874,1.8379 (p = 0.9856)
