,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,5.2784634971688e-06,2.4759048477226558e-05,7.878852246623203e-06,6.725889368087747e-06,4.921162969232889e-06,4.3456421300268366e-05,1.4974755144680405e-06,7.1635374272531625e-06,2.138240261302137e-05,2.105130445796072e-05,3.230742390755523e-06,4.678470107728893e-06,4.356138401179335e-06,4.247490912729164e-06,4.7966745024649374e-06,1.4206473732230068e-06,3.882595692518171e-05
2020-08-25,4.914992730771414e-06,2.3053016864224255e-05,7.449030816316616e-06,4.300461797922734e-06,9.67768471070981e-06,4.060755984008545e-05,1.3849101010047523e-06,6.067294143847693e-06,1.9526466867570244e-05,1.729023153728593e-05,3.159075316541321e-06,3.65997230620955e-06,4.8909825726568335e-06,4.213918479093814e-06,7.281671813595027e-06,2.656572939647976e-06,4.551497523962125e-05
2020-08-26,4.755875454656827e-06,1.990486334523711e-05,7.909362100059928e-06,3.0390910686431903e-06,0.0,3.902765171044257e-05,1.1926018929242268e-06,6.219950036146329e-06,1.5685822043156988e-05,1.593919760117528e-05,2.2116512314474055e-06,6.165099668402674e-06,3.672978622127545e-06,3.0799062217185583e-06,7.249675939485505e-06,2.2181060511359e-06,3.872257579888255e-05
2020-08-27,4.802841768296151e-06,2.1962868970815654e-05,7.399011253418761e-06,2.2775428956224867e-06,1.4729999116200052e-05,4.5793810944434603e-05,1.5667626853971587e-06,6.168408973812292e-06,1.5576935059180815e-05,1.3653178437919091e-05,3.606567119664564e-06,3.5652336035430872e-06,4.569168690720528e-06,4.298803196656193e-06,4.314696719967554e-06,9.455470486088403e-07,4.282579423904545e-05
2020-08-28,4.400003653952938e-06,2.511134106731827e-05,7.832211917551314e-06,8.416155959020972e-06,5.499309836615505e-06,3.995978798612037e-05,1.3097213965884063e-06,5.391253970855106e-06,1.5527379938537777e-05,1.8682686235701868e-05,4.599644558501531e-06,2.508220693322364e-06,5.256175575838956e-06,4.367270613400315e-06,6.513295445252495e-06,1.5445568614879163e-06,4.354535132528424e-05
2020-08-29,4.3287643232478124e-06,2.184035181515762e-05,8.413836397086873e-06,9.510387937369772e-06,1.4751873487932968e-05,3.867500738200082e-05,1.2590138914408608e-06,7.202784621371811e-06,1.7827561113895576e-05,1.4878678061947862e-05,4.078202353499207e-06,3.993450047409197e-06,6.841860096504437e-06,3.7023216179022058e-06,6.156053914720185e-06,1.7814741386739553e-06,4.047563766920818e-05
2020-08-30,4.432200307635283e-06,2.1166233153288885e-05,8.324730332520597e-06,7.155788675248843e-06,4.869758313894881e-06,0.00027233304664259206,1.0758811825512154e-06,7.629419076728148e-06,1.706254841498113e-05,1.6792191959997266e-05,2.9187472982385206e-06,4.498954742848078e-06,5.572047394921691e-06,3.6538083568382317e-06,5.288819311532613e-06,1.966627801184746e-06,3.508268156605846e-05
2020-08-31,5.0977919004104505e-06,1.9164288915593067e-05,7.862789344543228e-06,4.851942960558556e-06,2.185338563576962e-05,9.933435746873953e-05,1.5784374446910428e-06,6.2481897719928675e-06,1.5613925396469283e-05,1.5341238956168364e-05,3.3859231695336567e-06,6.181500045298805e-06,7.454878065186654e-06,4.824730760569001e-06,6.542744659575543e-06,6.449262043190708e-07,4.022010333254313e-05
2020-09-01,5.27587986797442e-06,2.1446443464792087e-05,6.738610640959316e-06,2.1126105951646568e-06,2.3971473946004256e-05,4.0002779596934596e-05,1.4337837154578847e-06,5.483904028210098e-06,1.776966492698876e-05,1.1768691362187207e-05,4.738713568957136e-06,5.954655299891327e-06,3.2842839923825353e-06,5.789757157777739e-06,6.772375125422605e-06,9.663818309907701e-07,4.017990798801071e-05
2020-09-02,4.787528045468103e-06,2.356522337431597e-05,7.158273921097192e-06,2.196699020382072e-06,9.31133375544713e-06,4.14556161612822e-05,1.5952314242107889e-06,6.5637362522612005e-06,1.8468759711362287e-05,1.3853133278896316e-05,2.39243291618103e-06,2.410514664968593e-06,4.711515254419602e-06,3.3502464943858244e-06,9.060318162132582e-06,1.2720572743787788e-06,3.488807645769102e-05
