,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,2.3635516273804996e-06,9.196218005827007e-06,4.637267322298228e-06,5.978568327189109e-06,4.921162969232889e-06,3.799468528985212e-05,1.4974755144680405e-06,2.843116021711372e-06,4.634383398959567e-06,8.617154846802602e-06,2.461518012004208e-06,2.2375291819572968e-06,1.8791185259989287e-06,9.438868694953697e-07,7.379499234561442e-06,6.313988325435586e-07,1.256793981393165e-05
2020-08-25,2.374472839528082e-06,9.279201756668882e-06,3.7013817720827905e-06,5.017205430909856e-06,1.935536942141962e-05,3.583228059059805e-05,1.4935305010835564e-06,2.8826510638190393e-06,3.4951909667488505e-06,7.34985452107625e-06,1.6585145411841937e-06,1.016658973947097e-06,2.0593610832239298e-06,1.248568438250019e-06,5.825337450876022e-06,3.125379928997619e-07,1.3468717162745063e-05
2020-08-26,2.136758989859162e-06,7.160022786056514e-06,3.6251242958608e-06,5.3184093701255825e-06,9.972525691719314e-06,3.771847391054558e-05,1.1130951000626116e-06,2.3630377866582125e-06,4.004890734423061e-06,9.502213954546803e-06,1.4217757916447609e-06,8.503585749520929e-07,2.4486524147516968e-06,2.593605239341944e-06,7.974643533434056e-06,3.1687229301941427e-07,1.0296176223980332e-05
2020-08-27,2.5948803599288313e-06,6.60321550756549e-06,4.248464526156579e-06,5.314266756452469e-06,9.819999410800036e-06,3.7647796497588066e-05,1.1544567155558011e-06,3.411730627108569e-06,3.173079363907203e-06,1.4659864405691929e-05,1.803283559832282e-06,1.258317742426972e-06,1.8452412020217517e-06,1.4880472603809896e-06,1.0067625679924292e-05,0.0,1.1962512357275265e-05
2020-08-28,2.539115788745482e-06,1.0321839579817939e-05,4.276483807742742e-06,2.295315261551174e-06,0.0,3.9167078035088224e-05,8.3822169381658e-07,2.47099140330859e-06,4.1729833584820275e-06,1.0806651842219708e-05,2.0619096296731e-06,9.647002666624477e-07,1.9030980533210012e-06,2.1836353067001575e-06,6.151445698294023e-06,1.0297045743252775e-06,1.273933150473741e-05
2020-08-29,2.0834891182086096e-06,1.436077927572008e-05,4.89618728192061e-06,5.1874843294744216e-06,9.834582325288644e-06,3.8529063957917795e-05,8.146560474029099e-07,2.6699977475774815e-06,4.0643144508362975e-06,1.0375170142814217e-05,1.4901123983939413e-06,1.3890261034466772e-06,2.375645866841818e-06,1.5426340074592524e-06,5.130044928933487e-06,4.4536853466848883e-07,1.3121223200457598e-05
2020-08-30,2.299651506115973e-06,1.0911784793310419e-05,3.881756278647245e-06,5.565613414082433e-06,1.4609274941684644e-05,3.8115258267347934e-05,9.085218874876931e-07,2.8801823020580158e-06,3.2812593105732937e-06,7.298567093724303e-06,1.228946230837272e-06,1.166395674071724e-06,1.735555745959215e-06,1.8269041784191159e-06,3.7332842199053735e-06,4.916569502961865e-07,1.1559033810782267e-05
2020-08-31,2.2674978373025686e-06,6.678464319070312e-06,3.174418058355962e-06,2.425971480279278e-06,0.0,3.2713478301003164e-05,1.0947227438986265e-06,2.63081674610226e-06,2.9276110118379904e-06,7.098185188674914e-06,1.934813239733518e-06,7.726875056623507e-07,2.7420241159307233e-06,2.6458200945055812e-06,5.815773030733816e-06,0.0,1.9873462823138956e-05
2020-09-01,2.371133611136954e-06,9.680686286190873e-06,3.995033451425881e-06,4.929424722050866e-06,0.0,4.195413469922409e-05,1.5149412842573876e-06,2.3502445835186133e-06,3.792940174474209e-06,6.531315625088188e-06,1.6627065154235567e-06,7.939540399855103e-07,1.6421419961912677e-06,3.3519646702923752e-06,5.346611941123109e-06,1.6106363849846169e-07,1.175997306966167e-05
2020-09-02,2.4989608273205702e-06,5.716748633398875e-05,3.837869752877411e-06,4.942572795859662e-06,4.655666877723565e-06,3.755090583623185e-05,1.870271324936787e-06,2.847902092923248e-06,2.9509313037438365e-06,8.695689720519332e-06,1.8974467955918516e-06,6.026286662421483e-07,1.0667581708119852e-06,3.3502464943858244e-06,7.248254529706065e-06,4.770214778920421e-07,2.0272801184874512e-05
2020-09-03,2.300421415623404e-06,4.199236353506055e-05,3.1255680931196277e-06,3.60691992740816e-06,4.209764126915969e-06,3.847419799457441e-05,8.406993071348637e-07,2.30332705996616e-06,3.2091409169879484e-06,6.111330666323938e-06,1.6390689793165067e-06,1.4369618193086201e-06,1.3703130269995517e-06,2.8336541134739937e-06,4.652735898183822e-06,0.0,1.5010765809537222e-05
2020-09-04,2.157295292488864e-06,1.7243431727279093e-05,3.113455257143654e-06,7.648968440993626e-06,9.116061132305952e-06,3.8438402156982513e-05,1.327759793224295e-06,2.0508973210168187e-06,2.512065733685453e-06,7.1921098991342875e-06,2.1106484663479476e-06,1.4095851792186871e-06,2.726412491019879e-06,2.229570248742005e-06,2.469378820702284e-06,3.4615137649691e-07,1.1610517672004697e-05
2020-09-05,2.2776058187817938e-06,1.0289080637719962e-05,4.220919396024469e-06,1.4586360003033962e-06,3.09520861706079e-05,3.9085532714327046e-05,9.077263488268908e-07,3.0851585363450584e-06,3.3491976853407724e-06,8.461232505755899e-06,1.5497949947494577e-06,4.1035952623992696e-07,1.818723350353731e-06,1.1302200829129452e-06,5.429072363147457e-06,2.26341896224504e-07,2.2815876778000616e-05
2020-09-06,2.3750360136883623e-06,1.2423350882992622e-05,3.5357920685198556e-06,2.7318926060233863e-06,0.0,3.654097870802645e-05,1.0352970317745178e-06,2.4326967163553286e-06,2.3510848950632443e-06,6.523127977134337e-06,2.05744529707967e-06,1.778755258692283e-06,1.6990495516807898e-06,1.8580991367116568e-06,3.8903891825633955e-06,2.43015905147976e-07,1.2892402091563504e-05
2020-09-07,2.3237792512005976e-06,8.256215398800505e-06,4.5081053856456666e-06,4.643165747552007e-07,3.4457331486420364e-06,3.765687586742527e-05,1.3654128325699274e-06,2.3082965800467963e-06,2.8593198304450574e-06,7.0964117294785304e-06,1.7708057399541185e-06,1.8008636942277517e-06,1.4086544383135695e-06,1.232705146790529e-06,5.410364296735488e-06,1.5306123229904246e-07,1.1137849374843653e-05
2020-09-08,2.112230133901615e-06,1.1189740613913929e-05,4.032009879576208e-06,3.1122840964061122e-06,3.119171049101991e-06,3.458724762781329e-05,8.927484798003184e-07,2.021570368630165e-06,2.633925409435324e-06,6.528967457963151e-06,1.8602183411058109e-06,2.726738534405305e-06,2.7033392660366307e-06,2.0085002821942898e-06,4.0151451274206304e-06,1.532617784741993e-07,8.951435406332944e-06
2020-09-09,2.119638220829477e-06,1.0426172546570695e-05,3.877749731929924e-06,1.3193528837975549e-06,1.610985633230123e-05,3.583264260801808e-05,1.80672193476862e-06,1.9495442150041667e-06,2.9027857519851426e-06,9.688538037986744e-06,2.6195572047851124e-06,1.997497136088481e-06,1.5598829983759018e-06,7.70044647188644e-07,3.808178253207676e-06,0.0,1.0210756532331491e-05
2020-09-10,2.2394964197629583e-06,9.33922253719208e-06,3.7786519432473347e-06,3.1684215195568554e-06,3.2148035272824303e-06,3.882912696475563e-05,1.1189534766687872e-06,1.4454736424974818e-06,2.32483727088017e-06,5.995156565142817e-06,2.2754160313786374e-06,1.2134285281496206e-06,1.5301995686277405e-06,2.8997367683400294e-06,2.4398481577926484e-06,9.111932804962723e-07,6.274812119799609e-06
2020-09-11,2.0957452036341667e-06,1.0099637378460889e-05,3.638617427083641e-06,3.985227331599949e-06,4.020148986721448e-06,4.6595913050133645e-05,1.1723247618715327e-06,2.06612103853574e-06,3.3697894253794834e-06,8.88496307552024e-06,1.7991062367326136e-06,1.104224228188673e-06,1.8640366104246433e-06,2.0715368604488477e-06,4.603304889630454e-06,1.674717311904544e-07,1.1585028898854589e-05
2020-09-12,2.098769053332108e-06,9.35969856422224e-06,4.2314774548491e-06,1.4459496780593042e-06,1.3901181137023942e-05,4.2366154414002215e-05,8.431750126096823e-07,2.557267692448539e-06,3.699180139997419e-06,6.925922725473576e-06,1.6934019897634656e-06,3.544687072366736e-07,1.5936818483123655e-06,1.2676494435890452e-06,6.014796399141889e-06,2.1999746122929742e-07,1.0594322667283177e-05
2020-09-13,2.253371225788639e-06,1.1270261357360877e-05,3.1944563068991515e-06,1.6036657661192465e-06,3.3828011623304794e-06,4.360057593131133e-05,1.3721995123202933e-06,2.6640943559752466e-06,4.486521464031429e-06,7.031801584177726e-06,1.5653753989359204e-06,1.2811113311368985e-06,3.5534379558979073e-06,1.5398677931107547e-06,3.897632577972139e-06,4.82292277319024e-07,1.0779387084050402e-05
2020-09-14,2.217202787253382e-06,9.469512570844625e-06,4.0117813455976595e-06,5.5440622879662716e-06,2.7051519619114605e-06,3.8464278582450954e-05,7.857983625178846e-07,2.2199281181926105e-06,3.7858910551675426e-06,6.500171103462276e-06,1.4177707162294105e-06,7.516183282129335e-07,2.384730434755947e-06,9.185829327291099e-07,6.568430601419334e-06,0.0,9.215481559484249e-06
2020-09-15,2.0977524033348125e-06,8.09946247917257e-06,4.056019305029484e-06,2.4939117379696817e-06,5.705938741041676e-06,3.8728655266819963e-05,9.747849222692014e-07,2.379030589971831e-06,3.97305436689757e-06,6.8495818397439595e-06,1.3726169855215553e-06,1.9499468152006154e-07,1.1869623378545858e-06,1.998885851778309e-06,7.598075614667049e-06,1.0866231106728744e-06,6.815119661006861e-06
2020-09-16,2.442740334503976e-06,1.0408560324433473e-05,3.21056391107043e-06,3.66498755940334e-06,2.9058617042297725e-06,3.829541313787973e-05,8.803389877323112e-07,1.8759765577969338e-06,3.632622289435049e-06,6.531287804363784e-06,2.4322875111249514e-06,2.3478279754268497e-06,1.048261249066174e-06,9.227692859934234e-07,7.667987303207205e-06,5.850946266225954e-07,1.0780649273586376e-05
2020-09-17,2.3944089715453634e-06,1.4503368407312598e-05,4.703614609214291e-06,2.7506104062926633e-06,0.0,3.669685154646096e-05,1.20352853935822e-06,1.5207087761414426e-06,2.9969009190305873e-06,7.709047264766896e-06,2.2496058168378976e-06,2.0056145172796726e-07,1.154566733291088e-06,2.1003227226645017e-06,4.560309034603625e-06,3.1423526605828626e-07,1.0996362448185252e-05
2020-09-18,2.2048234650048276e-06,1.4732787416592333e-05,5.25186170901917e-06,2.112368498459819e-06,3.7371581901690315e-06,3.824805839468768e-05,9.941983554965002e-07,2.239639455192954e-06,3.3973383795132732e-06,7.789405365599805e-06,1.1504688324845065e-06,4.081922235493869e-06,2.4976642214225584e-06,2.126446351557851e-06,5.798506956939925e-06,8.162740225363463e-07,6.569142833325669e-06
2020-09-19,2.411768840343222e-06,1.4736662538912604e-05,3.44975216442827e-06,2.0286019348805254e-06,4.4669379586986914e-06,4.313027287190528e-05,1.0576326873962303e-06,2.974448412274245e-06,2.7123812942416972e-06,8.152790660794202e-06,1.4036071547966498e-06,2.1780077841998206e-06,1.665018298551101e-06,2.7169322574494685e-06,3.4414890084003306e-06,4.284547970548874e-07,7.922986649047224e-06
2020-09-20,2.1411233725346495e-06,1.3698193985678352e-05,4.705630872473884e-06,4.154169539967265e-06,3.385160135000186e-06,3.963593474988858e-05,1.2129566340052604e-06,2.541091983151764e-06,3.025487310198575e-06,9.067927847505665e-06,1.4883882995132344e-06,2.38302476141454e-06,2.1090000937129606e-06,1.0519170662574007e-06,3.506378421109673e-06,4.6410571585638066e-07,8.473173281607869e-06
2020-09-21,2.0320916670928635e-06,9.930005537990927e-06,3.880519357735633e-06,2.432453798580663e-06,1.1720684370760408e-05,3.980872275056294e-05,1.603881517443686e-06,2.4185271800393694e-06,2.885316092406942e-06,4.49005872934456e-06,1.4308322570957555e-06,3.838801802470998e-07,1.567003071985812e-06,1.059669056270849e-06,5.028396070954978e-06,2.573823698224319e-07,8.831147775218757e-06
2020-09-22,2.2870616279277373e-06,7.626409438771168e-06,3.612417888947446e-06,2.007850696222229e-06,0.0,3.9758271145458016e-05,9.127974118907302e-07,1.8277074045554692e-06,2.8003781594532613e-06,8.007907166471736e-06,1.2070045855713545e-06,3.8290974262147283e-07,1.828622497010618e-06,9.196140808855761e-07,5.995480818164473e-06,1.2879665159617047e-07,8.73549763716283e-06
2020-09-23,2.173543001674544e-06,1.0272412040417422e-05,3.783749212125769e-06,3.5243657022827315e-06,5.720185677227083e-06,3.838332735857011e-05,1.2572014068083742e-06,1.8121870941220026e-06,4.480319928556197e-06,5.937013376939283e-06,1.4888592385328682e-06,1.9369034337424074e-07,1.534829502185725e-06,1.5923944692318337e-06,7.327622905172185e-06,2.6143746422391703e-07,6.947934997725637e-06
2020-09-24,2.1545116740703123e-06,9.039713928665153e-06,4.327137471198001e-06,1.6169540869929384e-06,1.1853116184244839e-05,4.014578429906248e-05,1.4753781090339137e-06,2.5938504992364102e-06,2.5073924768560836e-06,6.08030617249551e-06,1.3214970149447271e-06,5.883969302155357e-07,1.943180861647024e-06,1.9786399224900786e-06,6.5684896414918355e-06,3.9868095078496293e-07,7.59196197771911e-06
2020-09-25,2.141091972772373e-06,1.0913748500087164e-05,5.819024179174529e-06,5.219108618000914e-06,7.345730477803039e-06,4.1918833336619675e-05,1.7222603552071492e-06,2.421274942849358e-06,3.2072244577494586e-06,8.126290006908013e-06,1.5449564296537564e-06,1.8232331685495196e-06,1.875310422478371e-06,1.4592795342368868e-06,7.580346504529946e-06,2.948043243667124e-07,7.238035836963036e-06
2020-09-26,5.396976335303346e-06,4.560205184583549e-05,5.8212717122462235e-06,6.624025605833382e-06,0.0,5.283765659539014e-05,1.5758872028267425e-06,6.6130346452227996e-06,3.7008931551674655e-05,2.2312208787643146e-05,2.420460732358023e-06,3.6414895992349037e-06,4.371614921318048e-06,1.87759078190547e-06,3.1455475629015485e-05,4.052847510396567e-07,1.5023474178403756e-05
2020-09-27,2.747917089845565e-06,1.3771043526014116e-05,5.687263089946909e-06,3.312213555631442e-06,1.1856348481794577e-05,3.822937406901877e-05,9.34552051511975e-07,3.36818811896977e-06,1.171674766599937e-05,9.188518123841526e-06,1.9400024774550156e-06,2.2211375667104784e-06,3.587078888738064e-06,2.7332989321288787e-06,5.355877212349225e-06,1.0747721106955086e-06,9.153623431323212e-06
2020-09-28,2.447748434319132e-06,1.2972609187437693e-05,4.235524669000365e-06,2.001240197139313e-06,7.768217116489595e-06,3.950420254001823e-05,1.1728294324120568e-06,2.285228163273763e-06,7.598699933127023e-06,8.82882670778938e-06,1.6520130487004007e-06,1.8121158427670574e-06,1.969089405733954e-06,1.0122244905691044e-06,4.514381989421615e-06,5.559827356240935e-07,7.564827418969141e-06
2020-09-29,2.474828158006129e-06,8.502643291440208e-06,3.0656399889437693e-06,3.2856008542562222e-06,2.6662756129101067e-06,3.6318256459045305e-05,1.7527546470278925e-06,1.9789275775631895e-06,5.433349565271664e-06,8.741660791822324e-06,1.9760076445149075e-06,1.0941759022711262e-06,1.6202463251960582e-06,1.4298702535731908e-06,2.81976645002401e-06,1.3731917810626965e-07,5.570509654368444e-06
2020-09-30,2.4736668284198256e-06,1.0116436187184419e-05,3.7403482942200046e-06,1.4570706905130855e-06,4.9625328767803085e-06,3.363479725097934e-05,1.258441558558297e-06,2.1793273268233235e-06,4.220550751595219e-06,8.635053052121181e-06,1.45583007277352e-06,1.3171501987767813e-06,1.9265968357048135e-06,1.0043064661267515e-06,3.2511399986941254e-06,2.540585536370324e-07,5.3468531799142925e-06
2020-10-01,2.232753385194178e-06,7.838653481510913e-06,3.079168248503822e-06,3.2208479043150504e-06,0.0,3.467142101299542e-05,1.5535149605432595e-06,1.8988977565703402e-06,3.137489139285784e-06,6.567894380828011e-06,2.338006766997793e-06,1.3223625101916367e-06,2.4446434008073716e-06,2.014871903847089e-06,5.031725026290763e-06,1.3622046246574567e-07,6.180468442425125e-06
2020-10-02,2.246717809409945e-06,7.625469182169869e-06,4.126167898929518e-06,5.505131608428797e-07,6.843385696639556e-06,3.709249683087728e-05,1.2696503642598039e-06,2.210973460337401e-06,3.7682847775708677e-06,7.048884820047226e-06,1.926386732522291e-06,2.136469100247403e-06,2.0798963458895353e-06,1.4246219694372999e-06,5.153689461864631e-06,2.820245981854537e-07,3.348837795692528e-06
2020-10-03,2.5377016253033747e-06,9.622288719688879e-06,4.8816567716081055e-06,6.140779415015707e-06,0.0,3.8823412248149846e-05,1.5894452780349074e-06,3.442647375430833e-06,2.7645717003419913e-06,6.822247489333225e-06,1.1396882397066386e-06,1.2722872926489786e-06,1.610865124176055e-06,1.867429458929552e-06,5.019373212044362e-06,1.9849319843206254e-07,4.322053938821532e-06
2020-10-04,2.7367409455674775e-06,1.4027794974385942e-05,6.027326922863899e-06,4.614310309292093e-06,1.276173521313693e-05,4.145714391091196e-05,1.5086369465188202e-06,3.742525901930486e-06,5.703425565757726e-06,7.903684520775424e-06,1.4813694603705973e-06,1.8534335629016739e-06,2.6097183591946757e-06,2.6027992695175355e-06,6.888787121202818e-06,4.4031361777739815e-07,7.5745863693181865e-06
2020-10-05,2.46270386884378e-06,1.2197586968795087e-05,3.869789939904532e-06,3.7687779360664512e-06,5.409513711764881e-06,3.519102537479754e-05,1.1048559267871469e-06,2.2501762351263684e-06,4.368995041190628e-06,6.7202178003747365e-06,1.958784509963436e-06,1.2183051391417598e-06,2.393382563144302e-06,1.5418739152768749e-06,4.700301436206481e-06,2.718962096037004e-07,3.737938140861707e-06
2020-10-06,2.483479181244358e-06,2.4074716770460375e-05,4.017904562907961e-06,4.6518951105004005e-06,2.4779585586210658e-06,3.6111637879785166e-05,1.2105145292006367e-06,2.4844460232202473e-06,2.9339730387145625e-06,5.855771333657013e-06,1.7612083298109167e-06,1.0466935213334457e-06,2.1635741379328997e-06,1.8431861948513754e-06,5.497976133896489e-06,1.3502240966933282e-07,4.7937679349448175e-06
2020-10-07,2.199995351279948e-06,1.5709796666605574e-05,4.433328561869542e-06,3.0821886141897797e-06,0.0,3.4311536494847914e-05,1.111662124971055e-06,2.187220896652603e-06,3.8036898750213163e-06,6.4869660634370395e-06,1.0359844001469027e-06,2.1305486588906377e-06,1.5126988547693126e-06,9.758238423283353e-07,5.598259471665736e-06,0.0,5.9428628573735455e-06
2020-10-08,2.2136257455439755e-06,7.5783870464145896e-06,3.6982639489830837e-06,2.4310206570771007e-06,2.4490775549389323e-06,3.5660848825233545e-05,9.337914660742987e-07,2.2051331671438355e-06,3.816376782169385e-06,9.140724307185466e-06,1.9503756911175017e-06,1.8567335137149941e-06,2.4847455898978814e-06,3.189604441205224e-06,4.710473679345103e-06,2.792902508571069e-07,5.729240200441561e-06
2020-10-09,2.137755815745281e-06,7.620866949824212e-06,3.0524158067410104e-06,1.3176382125622749e-06,0.0,3.561199804852113e-05,9.842624034568645e-07,1.8159635524349628e-06,1.6987420457521302e-06,6.493498748808807e-06,1.2793344276854792e-06,1.0561900659288928e-06,1.5225638757616725e-06,1.4630984621372064e-06,3.7494491193986116e-06,1.526330964416799e-07,6.3925275889118105e-06
2020-10-10,1.914930606092718e-06,7.3189804761148226e-06,4.160056963461902e-06,1.86956657214969e-06,3.845858010922237e-06,3.919103719133321e-05,1.4220224427201603e-06,2.347052190092332e-06,2.5721731696295154e-06,5.50054080022903e-06,9.246499660499354e-07,9.681712101059002e-07,1.373489186421529e-06,2.7785654442099888e-06,3.6573089337999653e-06,6.06117911754081e-07,7.159869353442739e-06
