,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,3.068968408108127e-06,7.922895512712499e-06,2.2961226547301904e-06,2.2419631226959156e-06,9.842325938465779e-06,3.151523449488627e-05,6.19645040469534e-07,1.5330527568051515e-06,1.6977444134802375e-06,1.6193311121508245e-06,7.692243787513149e-07,8.136469752571989e-07,2.5624343536349027e-06,1.4158303042430547e-06,2.9517996938245767e-06,1.5784970813588965e-07,1.5485497270737213e-05
2020-08-25,2.7356251770087514e-06,9.859151866460688e-06,2.4058981518538137e-06,3.5837181649356113e-06,4.838842355354905e-06,3.105700134111065e-05,6.788775004925256e-07,1.4550524417372293e-06,1.6310891178161302e-06,1.9880754032419366e-06,1.5005607753571275e-06,1.016658973947097e-06,1.287100677014956e-06,1.5607105478125237e-06,5.097170269516519e-06,1.5626899644988095e-07,4.830160637674092e-05
2020-08-26,1.8194185458206724e-06,9.59443053331573e-06,1.6948633071556987e-06,1.5195455343215951e-06,0.0,4.787344765569246e-05,7.685656643289461e-07,1.5753585244388085e-06,1.9070908259157434e-06,2.1456612155428266e-06,5.529128078618514e-07,1.913306793642209e-06,1.4866818232421014e-06,1.296802619670972e-06,5.4372569546141285e-06,0.0,1.96970327763102e-05
2020-08-27,1.4930024761340925e-06,6.459667344357545e-06,2.1003644848414546e-06,8.350990617282451e-06,4.909999705400018e-06,3.537278345387416e-05,6.596895517461721e-07,1.0644599556578736e-06,1.8269244822496017e-06,2.390879173460486e-06,8.62439963398048e-07,1.258317742426972e-06,1.3180294300155369e-06,2.4800787673016495e-06,5.033812839962146e-06,1.5759117476814005e-07,1.3398013840148297e-05
2020-08-28,1.5132960543942185e-06,8.010979972396011e-06,3.2674258306349043e-06,3.825525435918623e-06,1.6497929509846515e-05,3.134807533627116e-05,7.596384100212757e-07,1.2635751494191653e-06,2.1350147415489446e-06,2.44218120728129e-06,1.348171680940104e-06,1.1576403199949372e-06,1.7218506196713821e-06,1.871687405742992e-06,4.3421969635016635e-06,3.432348581084258e-07,1.5982070433216023e-05
2020-08-29,1.2666666798200071e-06,5.5348836791837815e-06,2.376789942679908e-06,1.7291614431581405e-06,0.0,3.163323716999501e-05,6.912233129479235e-07,1.4281383300995832e-06,1.4779325275768354e-06,1.3681543045469297e-06,4.705618100191393e-07,1.7362826293083467e-06,7.602066773893818e-07,9.255804044755514e-07,4.1040359431467904e-06,0.0,1.3566010427591753e-05
2020-08-30,1.4243516248953603e-06,7.625102626650654e-06,2.1045666570979037e-06,0.0,0.0,2.962063981339881e-05,6.694371802540896e-07,1.2868899647493261e-06,1.3125037242293175e-06,2.249934216862379e-06,7.680913942732949e-07,1.4996515809493595e-06,1.4615206281761811e-06,1.0656941040778176e-06,6.222140366508956e-06,2.4582847514809323e-07,1.4600884813619706e-05
2020-08-31,1.5782763723670755e-06,7.259200346815556e-06,1.7581392323202252e-06,2.425971480279278e-06,1.092669281788481e-05,4.547139371766133e-05,5.346320377179338e-07,1.1509823264197388e-06,1.6101860565108946e-06,2.575954302341703e-06,8.061721832222992e-07,1.159031258493526e-06,1.6280768188338668e-06,1.08945533303171e-06,5.452287216312953e-06,1.612315510797677e-07,1.4431919431089004e-05
2020-09-01,2.2420337774997332e-06,1.146788990825688e-05,2.839843055832855e-06,3.5210176586077615e-06,2.9964342432505318e-05,3.823210552263487e-05,4.3284036693068217e-07,8.673521677271072e-07,1.3509101991278004e-06,2.772728331405363e-06,1.0807592350253118e-06,1.389419569974643e-06,1.0371423133839586e-06,1.5236203046783523e-06,4.633730348973362e-06,1.6106363849846169e-07,1.6659961848687365e-05
2020-09-02,2.01806114921077e-06,8.727860509005915e-06,2.4148393950689324e-06,1.647524265286554e-06,4.655666877723565e-06,5.999386705030628e-05,4.4006384116159694e-07,6.780719268864877e-07,1.170196896312211e-06,2.1589298616461794e-06,7.42479180883768e-07,1.2052573324842965e-06,1.6890337704523098e-06,2.1319750418818884e-06,5.436190897279549e-06,1.5900715929734735e-07,1.2257972809459006e-05
2020-09-03,1.5364916021799846e-06,8.047317053757249e-06,2.4497695864991678e-06,3.091645652064137e-06,2.9468348888411782e-05,4.102941038510591e-05,1.2918746019639072e-05,9.048784878438486e-07,9.025708829028606e-07,3.3334530907221483e-06,1.22930173448738e-06,1.0264012995061572e-06,6.394794125997907e-07,1.101976599684331e-06,4.652735898183822e-06,1.597099156859413e-07,1.3024046805333766e-05
2020-09-04,1.7630462554631787e-06,6.957875960130161e-06,2.1658819180129767e-06,2.5496561469978754e-06,4.558030566152976e-06,3.7565664496952306e-05,2.7176700448548334e-05,8.088045773024074e-07,1.948132609796882e-06,2.3093930868779822e-06,1.4352409571166043e-06,4.027386226339106e-07,1.1684624961513767e-06,2.3888252665092907e-06,8.113673268021792e-06,0.0,4.8035671152803746e-05
2020-09-05,1.6337441738569404e-06,7.81970128466717e-06,1.994500373945628e-06,2.1879540004550943e-06,0.0,3.901015078045178e-05,2.2485678412368982e-05,1.3269499081054015e-06,1.72244452388954e-06,3.423246738969944e-06,9.7881789142071e-07,1.2310785787197808e-06,9.628535384225635e-07,2.74482020136001e-06,6.0677867588118635e-06,0.0,0.00010075129745532945
2020-09-06,1.8745966463826968e-06,1.0175315961308242e-05,2.6302843436550145e-06,2.7318926060233863e-06,8.406504953533043e-06,3.283205324339888e-05,1.2255027655191387e-05,2.682204071878952e-06,2.4817007225667575e-06,3.5735396744301156e-06,1.028722648539835e-06,1.38347631231622e-06,1.5991054604054492e-06,1.8580991367116568e-06,4.488910595265456e-06,0.0,0.00016510592355970034
2020-09-07,1.570665351764702e-06,1.0653181159742587e-05,1.8366355274852715e-06,2.3215828737760033e-06,6.891466297284073e-06,3.4098473835916275e-05,4.280044071324965e-06,1.276352226614111e-06,2.0423713074607553e-06,2.646119627941147e-06,1.4488410599624604e-06,1.0004798301265286e-06,6.162863167621867e-07,3.0817628669763224e-07,4.395920991097583e-06,1.5306123229904246e-07,3.72004169119778e-05
2020-09-08,1.6864446128384437e-06,8.425216462241076e-06,1.9748619818332445e-06,1.778448055089207e-06,6.238342098203982e-06,3.257175765158275e-05,2.415672357106744e-06,1.0373847944286371e-06,1.9155821159529633e-06,3.0797016311146938e-06,3.235162332357932e-07,5.843011145154225e-07,1.182710928891026e-06,1.3905001953652775e-06,3.3459542728505256e-06,0.0,1.986782004820239e-05
2020-09-09,1.553550101611966e-06,7.13369700554837e-06,2.1451381495782556e-06,4.837627240591035e-06,0.0,5.3041024164452295e-05,4.359075144203655e-06,1.3962951810164975e-06,2.3409562516009215e-06,3.6489299104105922e-06,4.911669758972085e-07,5.992491408265444e-07,1.9931838312580966e-06,1.0780625060641016e-06,3.808178253207676e-06,1.5522608990446765e-07,2.0421513064662983e-05
2020-09-10,1.3175984574921163e-06,8.103148966093128e-06,2.0572660579902156e-06,6.336843039113711e-06,3.2148035272824303e-06,3.3024587093515466e-05,1.4919379688917162e-06,1.0171851558315613e-06,2.32483727088017e-06,1.6942833771055788e-06,6.501188661081821e-07,4.0447617604987354e-07,1.5301995686277405e-06,1.288771897040013e-06,5.228246052412818e-06,1.5186554674937872e-07,1.3446025970999163e-05
2020-09-11,1.5516166314938558e-06,7.426203954750654e-06,2.411132029995184e-06,2.2772727609142565e-06,0.0,3.857127164751111e-05,1.5910121768256515e-06,7.068308816043321e-07,1.357974843063374e-06,3.1129797636859235e-06,1.4719960118721385e-06,1.2882615995534517e-06,8.388164746910895e-07,7.9674494632648e-07,6.373806770257551e-06,0.0,1.3902034678625506e-05
2020-09-12,1.5571512331173705e-06,8.171165413209892e-06,2.25372168790876e-06,4.3378490341779125e-06,0.0,3.802792273507764e-05,1.3731707348214826e-06,7.671803077345617e-07,2.092957184472224e-06,2.7833147401435867e-06,8.870200898761011e-07,3.544687072366736e-07,1.6932869638318884e-06,2.218386526280829e-06,2.6732428440630617e-06,0.0,1.7657204445471963e-05
2020-09-13,1.6038229365043693e-06,6.982661927930109e-06,1.9755190318981595e-06,1.0691105107461643e-06,0.0,5.0800053747129714e-05,1.0926773894402335e-06,1.3473580650909294e-06,1.4527783788292247e-06,2.2664484444870355e-06,3.1307507978718407e-07,5.490477133443851e-07,2.057253553414578e-06,1.2318942344886038e-06,6.171251581789221e-06,2.41146138659512e-07,1.2979261999162727e-05
2020-09-14,1.4658854523461586e-06,6.26855057506616e-06,2.309813502010774e-06,4.264663298435594e-06,2.7051519619114605e-06,4.786977735991159e-05,3.1431934500715383e-06,9.896065105195975e-07,2.262300752478166e-06,3.3177956673922032e-06,1.8903609549725473e-06,1.1274274923194002e-06,1.3627031055748269e-06,1.0716800881839616e-06,4.494189358865861e-06,4.2960696547549544e-07,1.3036534889026497e-05
2020-09-15,1.6269141885582615e-06,7.5594983138943985e-06,2.8797737065709337e-06,4.156519563282802e-06,1.1411877482083352e-05,3.5721659581931233e-05,2.239370767375192e-06,1.1102142753201878e-06,1.513544520722884e-06,2.350346709716065e-06,1.1303904586648102e-06,3.899893630401231e-07,1.2717453619870563e-06,1.2300836010943438e-06,4.835139027515395e-06,0.0,1.181287407907856e-05
2020-09-16,1.7442023090230145e-06,7.029157621695333e-06,2.1269985910841597e-06,2.0361041996685224e-06,8.717585112689317e-06,2.951938096044896e-05,2.3384004361639515e-06,7.559905531420479e-07,1.9560273866188724e-06,2.9027945797172373e-06,5.159397750871109e-07,3.9130466257114165e-07,6.114857286219348e-07,3.229692500976982e-06,4.87962828385913e-06,0.0,1.3700408451849353e-05
