,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,2.4243634188225364e-06,6.5080927425852664e-06,3.061496872973587e-06,1.4946420817972773e-06,1.4763488907698667e-05,2.5476793439891915e-05,9.036490173514037e-07,1.8675369946535482e-06,3.3496038428123603e-06,2.8916627002693294e-06,2.3845955741290766e-06,1.0170587190714985e-06,1.9645330044534255e-06,2.5170316519876526e-06,4.7966745024649374e-06,9.470982488153379e-07,9.65038235712609e-06
2020-08-25,2.046529912390462e-06,9.569176811564785e-06,3.4237781391765815e-06,2.866974531948489e-06,1.4516527066064715e-05,2.64939567249338e-05,1.086204000788041e-06,1.5923215400143265e-06,6.0583310090313405e-06,2.7110119135117314e-06,2.448283370319524e-06,0.0,1.6303275242189444e-06,2.184994766937533e-06,1.4563343627190055e-06,7.813449822494047e-07,6.734358581372532e-06
2020-08-26,1.7178696037283559e-06,1.0596833723363642e-05,2.448135888113787e-06,4.558636602964785e-06,9.972525691719314e-06,2.7351201062712696e-05,1.431122271509072e-06,1.2222609241335583e-06,3.432763486648338e-06,2.08435660938446e-06,1.7377259675658188e-06,1.062948218690116e-06,9.619705915095951e-07,1.621003274588715e-06,3.262354172768477e-06,3.1687229301941427e-07,1.1862985649368643e-05
2020-08-27,1.8378650199171788e-06,1.1483853056635637e-05,2.768662275472827e-06,4.555085791244973e-06,9.819999410800036e-06,2.7336850283336362e-05,8.795860689948962e-07,1.3101045608096904e-06,2.5000019230784023e-06,2.139207681517277e-06,1.332861761615165e-06,1.258317742426972e-06,1.4937666873509418e-06,1.818724429354543e-06,1.7977902999864806e-06,3.151823495362801e-07,1.1962512357275265e-05
2020-08-28,1.606552393880697e-06,1.2016469958594018e-05,2.979123551461236e-06,6.120840697469797e-06,1.6497929509846515e-05,2.3817330801465792e-05,6.548606982942031e-07,1.2916545971840357e-06,1.7468302430855e-06,2.0758540261890965e-06,1.4274758974659924e-06,1.5435204266599163e-06,9.968608850729054e-07,1.403765554307244e-06,1.8092487347923597e-06,1.716174290542129e-07,1.0191465203789928e-05
2020-08-29,2.028245088559139e-06,8.67630414574755e-06,2.9472195289230855e-06,2.5937421647372108e-06,0.0,2.5211726510342042e-05,8.146560474029099e-07,1.5212777864104256e-06,2.4940111402859095e-06,1.9382185981081503e-06,2.2743820817591735e-06,1.041769577585008e-06,2.0905683628208e-06,2.1596876104429533e-06,3.420029952622325e-06,4.4536853466848883e-07,1.0897287064786819e-05
2020-08-30,2.247929240407482e-06,8.282439059982607e-06,4.255901462131316e-06,7.950876305832047e-06,0.0,2.681015266692494e-05,7.650710631475311e-07,1.532011862796817e-06,3.7187605519830665e-06,2.3048106611760956e-06,2.1506559039652256e-06,1.832907487826995e-06,1.735555745959215e-06,1.9791461932873754e-06,4.355498256556269e-06,0.0,7.90881260737734e-06
2020-08-31,1.6435281086923295e-06,9.001408430051289e-06,2.832557652071474e-06,4.043285800465463e-06,0.0,2.5004149733717744e-05,1.0692640754358676e-06,1.6442604663139126e-06,2.2932952926064256e-06,2.2324937286961424e-06,2.0154304580557483e-06,1.9317187641558767e-07,5.998177753598457e-07,1.7120012376212582e-06,3.634858144208635e-07,6.449262043190708e-07,8.990376039039051e-06
2020-09-01,2.422773544591842e-06,7.446681758608364e-06,2.791710122683145e-06,2.1126105951646568e-06,0.0,2.7318971432052893e-05,1.2444160549257112e-06,1.7347043354542145e-06,2.286155721600893e-06,3.51212255311346e-06,3.1591423793047574e-06,2.778839139949286e-06,5.531425671381112e-06,1.6759823351461876e-06,2.8515263685989917e-06,9.663818309907701e-07,1.224997194756424e-05
2020-09-02,1.7604363216519482e-06,8.146003141738854e-06,2.0267402065757113e-06,7.139271816241734e-06,4.655666877723565e-06,2.638416415898506e-05,7.426077319601948e-07,1.4103896079238944e-06,2.1368812889179505e-06,2.098959587711563e-06,1.7324514220621253e-06,1.2052573324842965e-06,1.3334477135149814e-06,1.370555384066928e-06,2.1744763589118196e-06,7.950357964867368e-07,8.957749360758505e-06
