,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,3.068968408108127e-06,1.6270231856463165e-05,6.258059784460716e-06,5.23124728629047e-06,1.4763488907698667e-05,4.152276320962411e-05,3.227317919112156e-06,3.818695048769196e-06,4.909693303848254e-06,6.361657940592525e-06,4.61534627250789e-06,5.695528826800392e-06,3.1603357028163803e-06,4.7194343474768485e-06,9.224374043201802e-06,6.313988325435586e-07,2.3340459654444495e-05
2020-08-25,3.046963398974846e-06,1.6093615546722592e-05,4.672994487254523e-06,1.0034410861819712e-05,3.871073884283924e-05,3.940489691799233e-05,2.7426651019898037e-06,4.25534204659001e-06,5.499100454351524e-06,4.940066153510266e-06,5.449404921033779e-06,7.11661281762968e-06,3.947108742845865e-06,5.774629026906338e-06,9.102089766993784e-06,3.125379928997619e-07,2.7866311371196683e-05
2020-08-26,2.9279944969951287e-06,1.6468052407929984e-05,6.2615783292141096e-06,9.11727320592957e-06,1.4958788537578969e-05,4.309671784525752e-05,1.8551585001043526e-06,3.666782772400675e-06,4.004890734423061e-06,7.233943526687244e-06,4.660265094835605e-06,7.865816818306859e-06,4.197689853860051e-06,3.4041068766363014e-06,4.349805563691303e-06,2.534978344155314e-06,1.7682563515096657e-05
2020-08-27,3.158436224159728e-06,2.2824157950063328e-05,5.728266776840331e-06,3.7959048260374777e-06,2.454999852700009e-05,4.403251052349481e-05,3.1610124354504083e-06,3.3571429370748318e-06,4.4711572855056046e-06,6.6063766635092385e-06,5.645061578605405e-06,9.437383068202289e-06,3.1632706320372886e-06,4.464141781142969e-06,8.26983537993781e-06,1.1031382233769804e-06,1.674751730018537e-05
2020-08-28,3.1071316747085776e-06,1.4481386873177405e-05,5.04528988553919e-06,1.0711471220572146e-05,3.849516885630853e-05,4.4247628175794244e-05,2.2789152300638268e-06,3.7626460004926257e-06,4.9978754177168475e-06,6.838107380387612e-06,7.375292136907627e-06,8.29642229329705e-06,3.5343249561675737e-06,5.615062217228976e-06,5.789595951335551e-06,5.148522871626388e-07,1.6213694642393067e-05
2020-08-29,3.3501557980286167e-06,1.8848522799382605e-05,5.4190810693101896e-06,8.645807215790702e-06,2.9503746975865936e-05,4.2542508120200904e-05,2.5180277828817215e-06,4.377554446609592e-06,3.6024605359685363e-06,7.69586796307648e-06,4.86247203686444e-06,1.0244067512919245e-05,3.515955882925891e-06,4.319375220885907e-06,6.4980569099824176e-06,4.4536853466848883e-07,1.823627631250039e-05
2020-08-30,3.2505454679874565e-06,1.6959279979964385e-05,5.2380325687770046e-06,7.155788675248843e-06,1.4609274941684644e-05,4.3515183009449425e-05,1.8409522456987466e-06,4.136432029551406e-06,4.287512165815771e-06,6.146161763136255e-06,4.378120947357781e-06,1.016430515976788e-05,2.6490061385693285e-06,5.023986490652569e-06,5.288819311532613e-06,1.4749708508885594e-06,2.2712487487852876e-05
2020-08-31,3.299290917945644e-06,1.7276896825421023e-05,6.153487313120788e-06,8.086571600930927e-06,1.092669281788481e-05,4.124149662764632e-05,1.858482797781389e-06,3.94622511915339e-06,4.147448933437153e-06,6.182290325620086e-06,4.917650317656026e-06,4.0566094047273405e-06,2.2278945941937126e-06,2.6458200945055812e-06,7.996687917258997e-06,3.224631021595354e-07,2.1292995881934595e-05
2020-09-01,3.2834391021733135e-06,1.3404027165495055e-05,6.353547175761641e-06,9.858849444101733e-06,1.1985736973002128e-05,4.206254331601795e-05,3.111040137314278e-06,2.6300356053660674e-06,4.41643718945627e-06,5.6070728479530674e-06,4.406172265872425e-06,5.557678279898572e-06,2.938569887921216e-06,4.418498883567222e-06,6.415934329347731e-06,1.6106363849846169e-07,1.7639959604492505e-05
2020-09-02,3.422116459406348e-06,1.4110041156226231e-05,6.037098487672331e-06,4.942572795859662e-06,9.31133375544713e-06,4.2112483318767305e-05,2.0903032455175853e-06,3.200499494904222e-06,5.291325096368259e-06,5.877086845592376e-06,4.949861205891786e-06,5.423657996179335e-06,3.555860569373284e-06,2.5888268365708642e-06,1.0872381794559098e-05,1.749078752270821e-06,1.909414995319576e-05
2020-09-03,3.241306722576316e-06,1.3168336997057316e-05,6.842459879532159e-06,3.091645652064137e-06,1.2629292380747907e-05,4.4570204697699575e-05,2.802331023782879e-06,3.784037312801549e-06,3.2592837438158853e-06,5.617485763994731e-06,4.671346591052044e-06,6.363688056938175e-06,3.0146886593990137e-06,4.722756855789989e-06,7.873860750772623e-06,1.4373892411734717e-06,2.097092282214759e-05
2020-09-04,3.1982899408151132e-06,1.6335882689001246e-05,5.685440034784064e-06,5.099312293995751e-06,1.367409169845893e-05,4.299181603540097e-05,2.542518752982692e-06,3.6973923533824337e-06,4.2551317529774e-06,6.532283302883436e-06,4.3057228713498125e-06,4.228755537656061e-06,3.7001312378126926e-06,4.618395515251296e-06,1.6227346536043583e-05,3.4615137649691e-07,1.684663348486956e-05
2020-09-05,3.863169869549119e-06,1.2072521281591422e-05,6.6792570662365226e-06,3.6465900007584906e-06,1.547604308530395e-05,5.3785009820004525e-05,2.204478275722449e-06,3.914502228910934e-06,4.784568121915389e-06,7.2340308446157305e-06,4.89408945710355e-06,4.103595262399269e-06,4.279349059655837e-06,4.843800355341194e-06,1.0858144726294913e-05,1.584393273571528e-06,1.9427380226812406e-05
2020-09-06,3.5810128496544736e-06,1.2778303765363839e-05,6.7697482287514315e-06,7.64929929686548e-06,4.203252476766522e-06,3.9637125182845996e-05,2.2632074648094113e-06,3.212407202366652e-06,4.832785617630002e-06,6.976910792934987e-06,3.481830502750211e-06,4.15042893694866e-06,3.3980991033615797e-06,5.264614220683028e-06,4.788171301616487e-06,2.43015905147976e-07,2.82801078137522e-05
2020-09-07,3.3990809151010473e-06,1.2117993569207193e-05,5.426423149388302e-06,7.893381770838411e-06,1.3782932594568146e-05,4.031704049292229e-05,1.969345431591242e-06,4.046308122670267e-06,5.083235254124546e-06,6.013908245320789e-06,3.7830849899019803e-06,6.403070912809784e-06,2.3771043646541485e-06,6.163525733952644e-06,9.468137519287104e-06,7.653061614952123e-07,2.0716399837209192e-05
