,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,1.504078308333045e-06,1.202582354608147e-05,4.45717927094684e-06,8.967852490783663e-06,1.4763488907698667e-05,3.3143578150165645e-05,3.09822520234767e-07,1.1985685189567548e-06,2.43190415985007e-06,2.19766365220469e-06,9.999916923767095e-07,1.0170587190714985e-06,1.1958026983629546e-06,9.438868694953697e-07,2.9517996938245767e-06,4.7354912440766896e-07,1.1445802330544896e-05
2020-08-25,1.457062878801323e-06,1.3918802635003325e-05,3.5625799556296862e-06,2.150230898961367e-06,0.0,3.2188919385433586e-05,3.258612002364123e-07,6.314378520746467e-07,3.2155756894089424e-06,2.4097883675659836e-06,6.318150633082642e-07,1.4233225635259359e-06,1.0296805416119649e-06,1.716781602593776e-06,1.8204179533987568e-06,4.688069893496428e-07,6.269920058519254e-06
2020-08-26,1.6374766912386052e-06,1.4033644660670768e-05,4.707953630988052e-06,5.3184093701255825e-06,9.972525691719314e-06,3.4463221002693615e-05,1.8551585001043528e-07,1.1136155086550196e-06,2.6699271562820407e-06,2.8200118832848577e-06,1.1848131597039672e-06,8.503585749520929e-07,9.619705915095951e-07,1.4589029471298435e-06,3.262354172768477e-06,3.1687229301941427e-07,9.624686470242483e-06
2020-08-27,1.4551517091335099e-06,1.0622564077387963e-05,4.200728969682909e-06,1.518361930414991e-06,9.819999410800036e-06,3.640020869942238e-05,3.5733184052917657e-07,8.734030405397937e-07,2.4519249630192025e-06,2.4537970464462883e-06,5.488254312533033e-07,1.4680373661648006e-06,4.393431433385123e-07,1.6533858448677664e-06,2.516906419981073e-06,1.5759117476814005e-07,8.613008897238192e-06
2020-08-28,1.3649336961202756e-06,1.1862412651432556e-05,3.7959800091199623e-06,4.590630523102348e-06,1.099861967323101e-05,3.0159010409722946e-05,3.6672199104475374e-07,7.862245374163696e-07,1.4556918692379167e-06,2.5642902676453545e-06,1.1102590313624385e-06,7.717602133299581e-07,1.1781083187225245e-06,1.5597395047858268e-06,2.1710984817508318e-06,1.716174290542129e-07,4.632484183540876e-06
2020-08-29,1.4087227560615032e-06,1.077058445679006e-05,4.468365092238227e-06,4.322903607895351e-06,4.917291162644322e-06,3.174269473805727e-05,4.1967129714695354e-07,1.2108129320409509e-06,2.263084182852029e-06,2.7363086090938595e-06,1.1764045250478483e-06,1.562654366377512e-06,4.751291733683637e-07,7.713170037296262e-07,2.0520179715733952e-06,0.0,7.338989247713571e-06
2020-08-30,1.4919884338987713e-06,1.143765393997598e-05,4.1623651662602985e-06,7.155788675248843e-06,9.739516627789762e-06,3.558897768624782e-05,1.673592950635224e-07,1.2256094902374535e-06,2.100005958766908e-06,2.634069327058395e-06,4.6085483656397695e-07,1.166395674071724e-06,6.394152748270793e-07,1.2179361189460773e-06,3.7332842199053735e-06,4.916569502961865e-07,8.517182807944828e-06
2020-08-31,1.3988340974726278e-06,9.001408430051289e-06,4.248836478107211e-06,5.660600120651648e-06,0.0,3.1348995368740256e-05,4.837147007924164e-07,1.1783866675249707e-06,1.7565666071027942e-06,2.4614674444598492e-06,4.837033099333795e-07,7.726875056623507e-07,5.998177753598457e-07,1.245091809179097e-06,1.0904574432625905e-06,1.612315510797677e-07,7.807431823376019e-06
2020-09-01,1.4502214645247793e-06,8.489217204813535e-06,3.4174382536293678e-06,2.816814126886209e-06,0.0,3.234190401016844e-05,3.5168279813117927e-07,1.203101393944052e-06,1.8704910449461852e-06,2.2797988502666316e-06,1.995247818508268e-06,5.954655299891327e-07,9.507137872686287e-07,1.371258274210517e-06,1.0693223882246219e-06,0.0,1.224997194756424e-05
2020-09-02,1.4899302527151852e-06,1.134621866170769e-05,5.174655846576284e-06,3.844223285668626e-06,0.0,3.193104237774817e-05,1.6502394043559885e-07,8.679320664147042e-07,1.6789781555783897e-06,2.038989313776947e-06,9.899722411783574e-07,6.026286662421483e-07,5.333790854059926e-07,1.0659875209409442e-06,7.248254529706065e-07,3.180143185946947e-07,1.0607861085108755e-05
