,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,8.728519131647024e-06,2.5466449862290174e-05,1.467717618513808e-05,2.092498914516188e-05,4.4290466723096e-05,6.516767003732672e-05,5.189527213932347e-06,9.477053405704573e-06,1.3949035181026816e-05,1.7349976201615975e-05,6.5384072193861775e-06,1.2408116372672284e-05,1.1103882199084579e-05,7.708409434212186e-06,2.103157281850011e-05,2.0520462057665655e-06,5.520916418262832e-05
2020-08-25,8.42273669825608e-06,2.595276741318328e-05,1.5221932537690477e-05,2.150230898961367e-05,4.838842355354905e-05,6.398874194313116e-05,5.675415904117514e-06,9.224483404220926e-06,1.6497301363054572e-05,1.8254146884312325e-05,3.6329366140225192e-06,1.3216566661312263e-05,8.838091315502698e-06,1.1081044889468918e-05,2.3665433394183837e-05,2.344034946748214e-06,4.806938711531428e-05
2020-08-26,8.390481340377659e-06,2.4200877016871017e-05,1.534792883702105e-05,1.823454641185914e-05,4.487636561273691e-05,6.510505815703928e-05,3.6043079430598853e-06,8.664471884413447e-06,1.2396090368452331e-05,1.8452686453668308e-05,8.135717029967242e-06,1.3605737199233486e-05,1.1543647098115141e-05,8.429217027861318e-06,1.9936608833585137e-05,5.228392834820336e-06,4.051321514218348e-05
2020-08-27,8.293523613905439e-06,2.7561247335925527e-05,1.3938782490311473e-05,1.6701981234564902e-05,4.418999734860016e-05,8.065288177553467e-05,4.507878603598843e-06,8.133565815026829e-06,1.2644240495569612e-05,1.3401506945975882e-05,7.918766936654805e-06,9.856822315677946e-06,9.138337381441055e-06,9.589637900233045e-06,2.1213925539840473e-05,2.0486852719858206e-06,5.40705558548842e-05
2020-08-28,8.545671836579117e-06,2.634379952460996e-05,1.4222912439234288e-05,1.9892732266776843e-05,7.149102787600157e-05,6.554270004215775e-05,3.35288677526632e-06,8.1430398518124e-06,1.3683503570836417e-05,1.5019414424779934e-05,8.009725869114734e-06,9.068182506627009e-06,1.1146717169451578e-05,9.514410979193544e-06,2.750058076884387e-05,1.5445568614879163e-06,5.0030829182241464e-05
2020-08-29,7.8564902165783e-06,2.4233815027777635e-05,1.2929737288178698e-05,2.4208260204213966e-05,2.9503746975865936e-05,6.136920982691073e-05,2.9623856269196723e-06,9.686503456327607e-06,1.1684904046154354e-05,1.402358162160603e-05,6.82314624527752e-06,1.2327606668089262e-05,1.0737919318125019e-05,7.096116434312562e-06,2.1204185706258414e-05,3.5629482773479106e-06,4.3589148259147274e-05
2020-08-30,8.188032525236456e-06,2.865986849327315e-05,1.2954776978135985e-05,1.6696840242247298e-05,3.408830819726417e-05,6.265175841128277e-05,4.040531552247898e-06,8.517985957150303e-06,1.2381285131896562e-05,1.2950840858037107e-05,6.682395130177666e-06,8.664653578818521e-06,9.59122912240619e-06,8.83003686235906e-06,2.7377417612639408e-05,2.7041132266290253e-06,5.27254173825156e-05
2020-08-31,7.773113089745855e-06,4.268409803927547e-05,1.3283718644197256e-05,2.830300060325824e-05,2.7316732044712026e-05,6.037836975263357e-05,5.72820040412072e-06,7.316959075096911e-06,1.312545603640699e-05,1.2479067509122026e-05,6.288143029133934e-06,8.306390685870269e-06,7.71194282605516e-06,9.338188568843228e-06,1.8901262349884903e-05,1.4510839597179092e-06,4.6134824410858294e-05
2020-09-01,8.167716141448163e-06,2.3233647086858095e-05,1.1600036889079965e-05,1.0563052975823285e-05,4.794294789200851e-05,6.28769977404392e-05,3.4086178895791218e-06,7.41446207895753e-06,1.2573856468804911e-05,1.719091565471325e-05,5.985743455524804e-06,1.2504776129771787e-05,8.902138189878977e-06,9.29408385853795e-06,2.0317125376267814e-05,2.2548909389784634e-06,4.336490069437741e-05
2020-09-02,8.256875723260235e-06,2.8365546654269225e-05,1.1642975654796638e-05,1.592606789777002e-05,1.862266751089426e-05,6.55407452690694e-05,4.428142401688569e-06,7.811388597732338e-06,1.312655648906741e-05,1.2833638622007843e-05,8.084773302956586e-06,8.838553771551507e-06,9.600823537307867e-06,8.071048372838578e-06,1.9570287230206376e-05,1.4310644336761263e-06,4.502447705012827e-05
