Weeks,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,-14.392357223962303,-1.7578120707099187,-16.715125121771777,-36.3347729790656,-28.667249023946418,-4.967788990558897,-28.20658119594288,-17.567189558240848,-15.60268283404903,-17.903777097125793,-44.779957368100874,-37.547705367097095,-12.538839439778105,-27.210806011352673,-25.209485219370762,-4.90985676575022,12.266948921462761
2020-08-31,-11.908510473890821,-8.42007269478815,-24.186659857521796,-22.035661400719487,-23.49110546912926,-5.5642962117331995,-27.1315310697413,-21.563260453742583,-19.63477555285885,-23.01322542502431,-32.82043091548719,-26.171560985805787,-21.22617651387937,17.34909626592436,-15.261231740848247,-20.770265762643582,16.390998312916416
2020-09-07,-18.890747705147724,-21.553720494886253,-21.71804272402972,-41.6716100548728,-31.07063512186916,2.1281962081072914,-19.853243278153187,-28.92222313682088,-29.616752453616424,-26.20702238018382,-49.902309928938436,-26.02528838729439,-26.82718357618541,-11.626738966730654,-46.734565226501935,-56.456719308082434,4.290296180754827
2020-09-14,-18.668031357032213,-17.281666873878475,-26.485073434923567,-49.56009046240221,-30.13830934315056,7.174789305090501,-33.889737251007425,-23.630443015233528,-14.725502697127446,-29.186914895989524,-45.10732700023814,-37.984346478564966,-32.75045921084092,-17.232439778459263,-27.922712550620354,-33.820719652936305,7.529973297885517
2020-09-21,-17.55856285274423,-8.68214833629013,-33.94098971893648,-39.04745109655179,-50.72848292439212,-7.723144080006872,-22.096710899387762,-30.649867421344034,-16.323368969258322,-36.72554777865755,-42.84341375173375,-31.86125262116757,-31.767441476245352,-20.283902675431865,-33.384435910850115,-55.72721017375108,-21.91237305897973
2020-09-28,-23.215844743916314,-15.637947491820714,-33.33438974202062,-58.43403319547104,-48.996105401896315,-0.19473442817096176,-25.78832492122419,-30.832671323320216,-24.263358881647214,-54.533050784451184,-48.165455002937854,-33.05072323445843,-38.22897968364084,-35.94976543457151,-57.69885663969351,-38.184340661562786,-37.75477194243789
2020-10-05,-13.470962256589726,-19.318932869328552,-27.02001993038924,-46.62613682437298,-48.731568364956814,2.84454942550183,-15.466218690042577,-27.50488635346158,-20.463839714403075,-26.07074907287631,-36.50462627677628,-25.990658387852516,-28.17825014166192,-29.63142438197577,-36.397317573987465,-42.79534231333489,-34.85846736179945
2020-10-12,-15.781378078848562,-2.319000360038892,-33.5870871797837,-32.434222135424726,-50.51439171840215,4.6454026433564,-20.521232167886836,-17.900819296443903,-9.912751309573597,-28.238839428955977,-49.16587723285998,-24.55115869166794,-34.08937894042137,-19.56674130214059,-42.89462557853238,-33.92426417862953,-36.36032685175292
2020-10-19,-12.697713763572093,-16.2408772883881,-24.769531257175046,-38.78620934906325,-64.34094441139644,-12.840792459031213,7.025833593775221,-3.250022288391763,-7.828739204347579,-11.847779243406931,-47.58257317216032,-12.608094855276086,-19.912082650836815,-22.273385220584217,-26.26178521264726,30.830038867768273,-41.98194303834887
2020-10-26,-18.511332475316866,-28.93144442318044,-19.3001737290157,-32.19215788562345,-64.80475109585024,-23.36665523851612,-4.95357417947444,-18.44143294501819,-22.076628967559998,-34.66595697791098,-42.92158235899907,-20.59505458523946,-17.97141637330536,-17.514835175590193,-63.98645617396874,8.142126144524454,-45.58334862781488
2020-11-02,-29.609009060478297,-36.25751287415486,-33.78766578904964,-28.635153053475072,-59.44121455588287,-31.167407304233663,-23.01805483825913,-33.30171550080758,-35.57845960606283,-54.248096982458016,-61.30073168608481,-32.28945404953253,-31.635698735650674,-27.932046624003924,-56.603596934137634,-35.72524730441581,-53.88405748399515
2020-11-09,-23.35167625397794,-21.919778645357646,-41.31933144983321,-2.8215189308030353,-48.176003451309114,-27.767802304087642,-12.996678962693453,-18.06161594661958,-31.894885122606365,-38.31326459732711,-44.54664368437248,-28.17579194587857,-7.219578529992898,-11.548855927144874,-62.49692412144431,-17.722569646533525,-53.15293712877205
2020-11-16,-19.579226727458053,-29.61068136948899,-29.63003961344156,-1.0437003757855168,-31.14928096223769,-18.813038574581242,-22.79761663446729,-32.23308128455844,-27.780688324020918,-35.316073123042656,-37.48692165761434,-54.590009433137354,-15.96204120885698,-7.57903201964819,-55.0900655760458,-39.176363311300136,-47.461859337551005
2020-11-23,-21.064908773948197,-26.616813337151022,-31.28133732617776,-19.99728737433546,-54.81182129723214,-17.860090099783786,-24.456868269923724,-37.7996458083557,-23.68465296826917,-38.635433394048476,-32.47171954565984,-45.08339351267582,-6.979659676469008,-9.085597993171557,-57.77738379675933,-25.631885988761827,-49.99832822984879
2020-11-30,-20.73220384696587,-19.11529199324632,-31.455102890341855,-35.31535247066532,-75.01131094976816,-15.326480806969355,-22.376434991331152,-42.22200956559446,-47.28573401211315,-34.72740755702023,-43.57934983297997,-20.223640609245297,-23.45130013555653,7.1996132680388625,-63.21818652337503,-11.652724831192174,-62.227496767348036
