,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,3.4743803510550395e-06,1.8109475457628566e-05,7.698764195271816e-06,5.23124728629047e-06,2.4605814846164446e-05,3.029397675342674e-05,2.091302011584677e-06,5.351747805574347e-06,9.131111845474791e-06,8.385821830781056e-06,2.3845955741290766e-06,4.068234876285994e-06,6.747743797905244e-06,7.39378047771373e-06,6.641549311105298e-06,1.5784970813588967e-06,2.0198474700961582e-05
2020-08-25,2.9058234050168834e-06,1.3918802635003325e-05,5.690874474577291e-06,2.866974531948489e-06,7.258263533032358e-05,3.0384925002293904e-05,2.6068896018912983e-06,3.6788118338262026e-06,5.825318277914751e-06,7.108875684319652e-06,2.843167784887189e-06,5.896622048893163e-06,4.290335590049854e-06,7.1792685199376094e-06,5.46125386019627e-06,4.688069893496428e-07,1.5790909777011454e-05
2020-08-26,2.6825845536053636e-06,1.3317642382065116e-05,5.979101111354826e-06,6.837954904447178e-06,9.972525691719314e-06,3.1101818543498654e-05,1.5106290643706872e-06,3.3951692337043284e-06,4.910758876733039e-06,6.4369836466284795e-06,2.0536761434868765e-06,6.165099668402674e-06,6.55889039665633e-06,6.159812443437117e-06,7.61215973645978e-06,1.9012337581164858e-06,1.5444264335970498e-05
2020-08-27,2.519178825927666e-06,1.636449060570578e-05,6.348829010998034e-06,9.869352547697443e-06,9.819999410800036e-06,3.056590105505932e-05,1.4293273621167063e-06,3.1387921769398833e-06,4.326926405328004e-06,6.480540917537633e-06,2.9793380553750747e-06,6.081869088397031e-06,4.217694176049718e-06,6.778881963957842e-06,5.033812839962146e-06,4.7277352430442014e-07,1.3637264087293802e-05
2020-08-28,2.69595599606365e-06,1.5867902637630563e-05,6.294599761958418e-06,8.416155959020972e-06,3.299585901969303e-05,3.116791398376386e-05,1.2835269686566382e-06,3.0887392541357375e-06,5.9198136015675275e-06,6.0443984880211925e-06,1.9826054131472117e-06,3.858801066649791e-06,4.440562124415669e-06,5.927010118186141e-06,7.236994939169439e-06,6.864697162168516e-07,1.829831252498646e-05
2020-08-29,2.4188992982232534e-06,1.585669378360759e-05,5.704295862431779e-06,6.052065051053491e-06,3.4421038138510255e-05,2.8021137423940217e-05,1.2096407976588662e-06,2.8252301747622187e-06,5.449876195439581e-06,4.67452720720201e-06,2.901797828451359e-06,3.993450047409197e-06,5.036369237704655e-06,3.856585018648131e-06,5.47204792419572e-06,1.113421336671222e-06,1.3788404041158831e-05
2020-08-30,3.143122300746745e-06,1.4198466959970183e-05,4.957423681163951e-06,6.360701044665638e-06,1.9479033255579525e-05,2.621016102891366e-05,1.4345082434016208e-06,2.5431396922427163e-06,4.025011420969907e-06,5.4327679870579395e-06,1.228946230837272e-06,4.832210649725713e-06,5.206667237877646e-06,5.937438579862127e-06,7.777675458136196e-06,4.916569502961865e-07,1.074787354335895e-05
2020-08-31,2.589678285408509e-06,1.5970240762994222e-05,5.9093013086318675e-06,5.660600120651648e-06,2.185338563576962e-05,2.7767227671550128e-05,1.1965574177496615e-06,2.3293689939447096e-06,4.440210034620952e-06,4.8656914599787714e-06,2.902219859600277e-06,4.4429531575585165e-06,3.9416596666504145e-06,5.7585496174533235e-06,7.633202102838133e-06,9.673893064786062e-07,1.0409909097834692e-05
2020-09-01,2.6078166394718585e-06,1.265935898963422e-05,5.487154379066872e-06,2.1126105951646568e-06,5.992868486501064e-06,3.0390548907878947e-05,6.763130733291909e-07,2.546098298811831e-06,3.948814428219724e-06,5.175759551956677e-06,1.995247818508268e-06,6.3516323198840825e-06,3.543569570728525e-06,5.637395127309903e-06,3.920848756823613e-06,6.442545539938467e-07,1.1514973630710385e-05
2020-09-02,2.4946670801945898e-06,1.352818378895917e-05,5.002167318357075e-06,7.688446571337252e-06,4.655666877723565e-06,3.444903314810774e-05,1.1826715731217917e-06,2.2240759201876795e-06,4.273762577835901e-06,5.2174138323116e-06,2.39243291618103e-06,4.4192768857757535e-06,2.8446884554986273e-06,5.634505467830705e-06,5.798603623764852e-06,0.0,1.2257972809459006e-05
2020-09-03,2.5939085755903673e-06,1.3022022141534457e-05,4.561639919688105e-06,3.60691992740816e-06,4.209764126915969e-06,3.2743221632953745e-05,1.0088391685618365e-06,2.056542017826929e-06,4.211997453546682e-06,5.123640861665524e-06,1.8849293262139826e-06,6.568968316839406e-06,4.293647484598595e-06,5.824733455474321e-06,8.589666273570135e-06,1.1179694098015892e-06,1.1037327801130311e-05
2020-09-04,2.604701503046103e-06,1.5579591823769707e-05,4.422008915943161e-06,8.286382477743096e-06,2.734818339691786e-05,3.103910460455251e-05,1.2430091681248717e-06,2.6863866317544244e-06,3.7937319243412966e-06,5.872456706632583e-06,2.448352220963619e-06,4.832863471606927e-06,5.258081232681195e-06,5.414670604087726e-06,9.877515282809137e-06,6.9230275299382e-07,1.1382860462749703e-05
2020-09-05,2.3126459083015134e-06,1.358158644179035e-05,6.81840825511645e-06,6.5638620013652835e-06,0.0,2.6949041360408715e-05,1.1152066571301801e-06,2.4548573299949928e-06,3.6841174538748496e-06,4.3920901556595505e-06,1.95763578284142e-06,2.2569773943195983e-06,4.7072839656214215e-06,4.682340343496488e-06,5.109715165315253e-06,2.26341896224504e-07,1.4457585285069697e-05
2020-09-06,2.256079114902589e-06,1.4789703432134073e-05,5.778001672947082e-06,4.371028169637418e-06,1.6813009907066087e-05,2.84780972631839e-05,1.1797570827197994e-06,2.5886388135575935e-06,4.440938135119461e-06,4.764719565906821e-06,1.8991802742273877e-06,3.755149990572597e-06,3.7978754684629417e-06,7.5872381415725995e-06,7.48151765877576e-06,1.4580954308878561e-06,1.0397098460938308e-05
2020-09-07,2.460709051098033e-06,1.3316476449678234e-05,4.883780834449472e-06,5.571798897062408e-06,1.033719944592611e-05,3.161104717311388e-05,1.417928710745694e-06,2.091045137218863e-06,3.8124264405934096e-06,4.750987513803423e-06,1.6098233999582896e-06,4.802303184607337e-06,3.873799705362316e-06,6.3176138773014604e-06,7.4392509080112955e-06,7.653061614952123e-07,1.8043315987246717e-05
