Weeks,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,-9.850215833402842,13.416212536116978,-33.391086541562174,-43.036920392422275,-45.651237351578224,-11.687314659189807,-16.535121264991425,-5.406539857624793,-30.69011399928169,-18.08889194825838,-34.11118660014486,-29.07605024621346,2.8027083961952526,-17.842024253435305,-32.05613242931402,-44.44118903905504,-8.517590780732398
2020-08-31,-6.269238376001773,4.53217595780202,-31.3881001164375,-48.855473403889036,-57.197821241470905,1.7551694722970357,-32.240646936781914,-5.690132537932335,-11.160707553862215,-15.376403316006005,-28.31315010751887,-35.888629511717475,-28.366683642283206,-10.682705956665073,-34.92594589964244,-20.82901973686483,-8.215949015810608
2020-09-07,-5.839792991952186,3.915574484689155,-39.25180073971497,-52.80278411468578,-6.368324998818409,10.175085469624445,-22.952838811104957,5.471196989948868,-24.65322972715741,-3.261742638075471,-38.46628837009736,-23.243374772035676,-24.434270817221392,-6.572150301248902,-45.1052695746067,-65.71455042229124,0.09869858665880749
2020-09-14,-5.4697474567254485,10.056090868642142,-38.349397497831305,-56.921087112901404,127.77320177948673,13.103828575344023,-22.775680256850418,-6.39777642275019,-36.447787163226494,-0.16849922719447408,-35.16603049434849,-13.741473039359754,-32.751194906154744,-11.036888958159263,-34.1370078303325,-5.516998121759875,-2.199561584118137
2020-09-21,-20.02496986519415,10.403651070575126,-40.57283359980887,-56.285608487617765,-16.819771650713488,5.332275820366172,-25.479101127486647,-28.949815086065843,-43.984124020453876,15.502700711731631,-44.67064265949878,-40.10257102520459,-25.03733842691105,-4.46093314123972,-24.02508011745973,-44.79736518539589,-30.329932797655257
2020-09-28,-7.681231007526246,7.594021074103852,-34.20910678778238,-59.12313387970838,-24.6711710551084,9.535789246429793,-12.57502667549094,-19.19064570447311,-23.280883092742467,-11.500404379615981,-42.659613578954506,-0.24475117781638245,-30.62173426711494,-10.881274799055562,-53.180623060961075,-55.07582896915901,-32.445408284808586
2020-10-05,-8.157080858428623,1.3499335562554782,-37.99176705411976,-52.443978076321706,-50.45298212828748,22.250708974509802,-6.848908549462918,-25.120163454540577,-20.96267682373414,-25.58931005649866,-37.182186952981354,-21.22023064359958,-48.901533690543786,-6.8056167594600865,-13.652243520618923,-53.53843211965884,-38.12950930620402
2020-10-12,-6.6008128127551196,-14.27078286597978,-37.081312396647725,-58.67531871701793,-45.14246733270812,16.277138817717862,-9.125439579867878,-19.59809546822191,-28.395523404673227,-10.040899575667982,-41.158861052051,-24.001031068264457,-45.548906750924125,-34.8227051901016,-48.54123909408794,-0.4098885576940159,-50.93133893915772
2020-10-19,-25.41601869658271,-12.577678446865148,-39.26910329443501,-47.94683833403616,-37.76762079468365,6.976107915172225,-12.254779674207427,-11.038726146698497,-13.656225739971607,-25.52841296943692,-42.154477585330106,20.8518865563591,-26.959071620311125,-4.85226844911264,-41.55563716854264,-6.642268561024622,-39.91233552892102
2020-10-26,-57.114328057963725,-42.19745548119739,-52.40528751707514,-59.98232933867611,-50.40582669339286,-31.37508797135018,-73.28672807799428,-62.8543256321655,-29.781789114266864,-78.97380039223282,-50.18352590537232,-57.92216567764825,-57.38341292937663,-13.259436516258427,-51.919580450441394,-4.538571124069324,-69.39726260407731
2020-11-02,-50.46013481485539,-49.09390841374557,-55.27526954377022,-55.34965024239945,-29.868097778398408,-45.887399477511615,-70.24499608341736,-56.61118224548625,-24.118587519544697,-56.37991805610272,-67.44447977180393,-42.54846502799682,-63.956740770511566,-32.7385110399822,-64.24690512158791,-27.461730112052575,-85.40338521743885
2020-11-09,-50.43717171852986,-45.76145517420764,-51.07321500576853,-46.96423042402912,10.265216424079359,-17.62897390691839,-44.794436869702146,-53.11690680372576,-30.864091117558356,-32.64754442153689,-48.11281039258005,-15.156775759943153,-59.44808880167588,-8.460262307728195,-67.21621429174351,-20.74601738843802,-71.75173258017757
2020-11-16,-39.29357174637411,-32.60813384009409,-37.76251485091747,-53.67180900281434,-40.38873090207533,-9.979791765221757,-24.8511480438535,-43.79970427123443,-15.616168559895327,-27.720593902144586,-46.55929031653528,-40.55587608773349,-53.766711995851544,-35.847984767786336,-52.441606890631334,-40.56845358762602,-59.87330859509121
2020-11-23,-69.46124421852579,-71.57496866012913,-62.89835297958004,-54.5517318146607,-47.160912733800565,-36.25782429068457,-47.79948477217659,-47.672239761034206,-54.28180429400322,-70.66648568162519,-71.79427221153408,-60.0157571728485,-72.5784072195196,-36.319371181980806,-60.36539234201004,-62.754935517751505,-75.2710774279931
2020-11-30,-38.18364670626917,-52.94562654756378,-47.98401375423587,-52.628161107168566,-54.50335234992273,-22.73403595576269,-19.91575161768936,-45.64825191532339,-34.01975926291685,-21.569997655432125,-49.78795097557248,-13.128727704178067,-69.0428198600239,-15.327239339611564,-67.4729238959041,-33.924004967153174,-53.172681036584365
2020-12-07,-32.226534625437075,-54.09254298795809,-37.345991587020364,-52.83228075114542,-29.10231505256773,-18.35512980078041,-15.967523020983442,-34.69718278761301,-17.11783348957978,-13.070447752796932,-48.58777019919876,-25.65217467662454,-58.477944132910274,-19.014847549812853,-54.92853222074743,-30.772260681221397,-4.857612803224464
2020-12-14,-18.342232447181605,-42.869800330192774,-24.5685157321871,-49.95721571471986,-55.468876457970815,-12.234866002819345,-24.45525140716217,-24.51926219141759,-7.234404630582847,11.261285495646,-36.421716850770835,-30.32486633146715,-29.24182820881335,-27.561780080730593,-52.391651036559104,-9.225345088416804,-45.228507519697644
2020-12-21,-21.591450355309906,-39.65829924210447,-40.962532744040026,-59.23786381615586,-60.939415421675136,-16.79733256169802,-3.8949455891600038,-28.729493029741306,-29.697024454539555,-3.8124390164149813,-50.855532763020484,-59.94823690437923,-38.13962255562453,-27.852016127924617,-54.578514474188175,-26.526119715352227,-53.370433707570555
2020-12-28,-26.870646390447494,-43.24377197321685,-51.00430248024869,-71.99054979196914,-63.85290899807241,-11.391355429877182,-6.5875513268107255,-34.249539763060774,-26.10345555349052,-11.752938367582766,-49.13377601764862,3.618684313846199,-46.738100864750095,-19.927772773770336,-60.51861219107997,-20.20652365523514,-51.955589521267065
2021-01-04,-16.972327681718447,-45.92414004082198,-42.94640144892317,-64.55496654821809,-34.714617468652165,-4.376140368055481,-15.457103223213032,-27.80470355879493,-22.256337949926362,32.217654413025954,-22.333065261188377,-31.503184126398033,-46.39720650559248,-23.924480107631418,-44.7877809486055,-2.04661668720737,-42.169267973489575
2021-01-11,-20.97972127785094,-40.03262708012792,-45.08546514772209,-59.97400516598428,-37.25747319930276,4.41785514872941,-12.250347023374342,-28.65690982298418,-27.112615888903914,-13.596763815214407,-30.195374669604856,-8.662043259558395,-45.96514643785444,-13.207241708129324,-49.41100001471146,-8.260181802298804,-38.51994246259159
2021-01-18,-18.31536015957497,-22.233973886499136,7.044797122232671,-45.14604025144996,15.141691564519633,-4.558113837948596,43.80233505884843,-52.07078844227504,-17.157342566286793,-1.6307337050972315,-20.40525695114004,-50.65231037550111,-40.311052031992936,-21.75775922585268,-45.136189179122965,-24.009572832370385,-41.25203540973001
2021-01-25,-12.731313054310222,-38.13754202000167,-12.342678325501922,-42.96964070482924,-24.169478656893407,-3.4423784987780426,-4.70682491788581,-27.56058551011976,-14.806009464581049,-23.86588781620469,-27.210126333775776,-8.31786295559338,-41.98427386371453,-21.473377746467094,-48.481434465250736,-37.94642707213802,-53.09826540458013
2021-02-01,-16.70121943082602,-40.17594469774094,-28.89984274653551,-49.03336922904607,6.709990273005029,-14.715063326743827,-27.384182124141574,-36.361694729049034,-20.743434020633288,-12.947788348197186,-33.382535299340155,-37.55671900857679,-41.307125500523824,-19.36795286424854,-34.41051302459428,-39.18372444756019,-53.13029918033039
2021-02-08,-62.50587508488712,-44.84536900391104,-56.467592171370626,-55.224383037261425,-68.36577571629323,-46.641013623694064,-20.61208952556335,-70.06992550216238,-49.86030028421451,-53.42737178113948,-52.70223676464201,-70.84584346948945,-57.451582115850954,-4.588025433397391,-62.29508519174398,55.37380961616134,-73.56548107348547
2021-02-15,-24.281745196873228,-44.90754339311177,-37.958995887100144,-47.62954433681681,-9.03239459541847,-21.156321895723263,-27.781743773190904,-40.41290061118366,-26.128571299179228,-26.826083009566048,-47.997093284912154,-19.719563335860755,-28.07691984169355,-8.458007857571836,-22.863178787226058,31.398199500284463,-62.209500103784876
2021-02-22,-17.554626536046147,-24.95731598258396,-33.71811308995374,-46.5819791406337,17.88207397877375,-23.746801946586494,-10.344826054689815,-32.35373995228179,-19.13570454843888,-47.298299029803346,-32.46089707535494,11.810387514673915,-42.83555182594,-18.703600544785214,-23.422453250747242,-16.585547324559425,-50.21070067378957
2021-03-01,-12.819136783516605,-24.043518946321473,-33.06562875749165,-47.92598616261687,-45.59177715287841,-18.8423680107903,-19.20092829323109,-31.828332767614143,-9.350778405385896,-21.264065631468686,-27.21638644306391,-31.89350194824472,-30.883436988297852,-27.868101330056007,-34.77052623671861,-16.10435880740293,-44.972063766075756
2021-03-08,-5.983498924536468,-8.043039905001981,-14.137585793975383,-32.18570764751533,-26.32748139423495,-6.687970319174797,-34.76027051286681,-20.65292665232159,-20.767899779661636,-10.156009535175281,-18.64542401343816,9.67929327614363,-16.7380594950858,-27.65213729976993,-23.839372493838663,-4.167016098549093,-32.855972783969065
2021-03-15,8.994752243276372,5.9273481525449645,-3.698831491497978,6.094221217375773,9.832401711041294,-3.293808782712293,94.90645485558167,-11.668835419386047,2.9359085187645517,-3.9282924169374733,-20.267070550408295,5.624494299472604,5.2417512492858975,-8.714523234078609,1.2986873041974656,-27.550318117835836,-13.340325578828239
2021-03-22,4.147108048819903,0.043522420452046795,2.3613594607607924,-0.391317319774398,-15.564519452920155,2.513908556961364,2.3625187609683573,6.062539559047142,0.03927503265186427,10.183842716083769,-2.9025876724603883,19.451403221402884,-20.086845323823145,-9.592431354800146,-18.276291664263333,20.846486036915522,-4.140045215173349
2021-03-29,9.582016006535321,11.761133209409147,7.015669240851863,-8.764034131430243,54.13716696640425,-6.149882801375384,-5.392068380505899,-6.4926563239913415,1.3515764693315946,14.54246216146593,3.307097969877404,22.86300665138512,6.367483105378979,-30.14558545144307,-23.407950398632295,-2.2769351509403624,-24.326221845679676
2021-04-05,1.088180705859676,38.09657855982016,-3.988678802953627,14.872412463024155,171.30210306302578,2.3269764597079634,-11.570821745266958,3.3656819796269666,24.864530380059513,22.800708097468146,-26.925789801385292,8.397711519445128,15.876758506667343,13.361895441377047,-10.41379413263609,34.15765416512686,22.587745979490627
2021-04-12,3.2244023038011216,38.712947270003696,0.9411148718895035,-2.8768093335610256,40.05879721970733,-1.6472859429956799,30.008063697609444,-56.50306449711806,8.319591994179444,6.2635134220417665,-10.548546765018596,-7.933642265302677,-3.0242525942887455,6.551698999083877,-3.431056363935281,-13.04987032678433,12.72516036170086
2021-04-19,6.932790213414863,34.529858550765645,7.050323573214401,-11.730838871436589,45.54462199940976,-14.09878805168151,21.238820793050017,-23.771265081605396,6.6203620204726255,11.798852728562714,-9.885218629431868,22.669833993469002,3.715843059128998,-24.37557222401403,15.722752674428575,1.1820300449559618,1.0099719591841305
2021-04-26,9.906193157765951,33.30790929454932,-13.46298422418788,-25.681171288844418,47.58935009119845,7.550693387658791,-9.05002044936828,-13.714992919098613,1.164988402243372,-0.9857448075979769,-24.251058672526792,28.611965483100143,10.201562960685706,18.358624759251697,29.299822082103443,63.25003447033064,-19.30432883241968
2021-05-03,-15.39716542650924,41.91642488238658,-20.224758105955367,-5.889689414125032,59.19745542676329,-2.623736328241144,-4.19467636249069,-9.408260892718257,-42.55939765774666,-7.662203462286499,-12.264497185787182,-20.897973307764506,-5.406689947112875,-5.432586492211666,7.036322170351683,17.845618998348712,-22.37333881455954
2021-05-10,-17.14519152161279,22.75856552300224,-10.214910593046977,3.6078470010950436,-47.104516070105284,-3.695991031578172,0.446381245274452,-21.29140215990394,-7.33732659084999,-16.788950062461396,-12.86743552078853,7.878170133750673,-27.748145372776676,4.455991641112389,-30.189353874034165,17.302710818339296,-17.095602171648284
2021-05-17,-16.76826873513647,1.3169018716130854,-9.654367262207675,2.0263592110804085,-19.104923367766535,-26.89663541102104,-5.499148389096032,-23.632322388983773,-4.138595392954436,-6.588371322323361,-2.2362777856811067,-1.7025482458871144,-22.15250389348158,-3.7651380442273563,-34.43061534858008,23.982604654021355,-22.544604019766012
2021-05-24,-4.382831957109012,15.995592096494061,-17.254476944278142,7.342193433319144,21.445181526343582,-1.7156423046238323,4.217290551460584,-16.501804209282533,12.576812891558253,4.151094242420972,-15.259132457669333,-23.62573363351512,-4.882306096969991,-6.300789807313412,-23.5688185285014,4.773909165722245,-6.180816188215299
2021-05-31,5.710820306241349,18.76149157204592,-10.117499316708233,-14.149045426126595,-20.59813564423969,4.173463433597968,15.692222391504295,3.3077774050745967,1.2573100208809196,-57.37122064611423,-26.826384533942992,-13.363567727970182,-16.166128774067936,27.86266179114549,-15.605394435752263,8.754701630709128,-43.40088621069496
2021-06-07,2.1841886827109303,6.218520282130924,-5.513332618008315,-4.566309617455988,-17.412910298012218,-11.519686771887583,29.025300584422563,-13.827524781490041,-3.100558584304214,-2.538082324330704,-5.138813528255826,-19.179073652543956,-15.410774671765715,-3.0792589029774553,-21.997713150538168,85.44944737598983,-31.550402805204357
2021-06-14,-7.819285589741487,1.8744492458463657,-19.497328549952144,-4.013050380225858,-30.67792124137625,-6.83774802475452,9.903473714894107,-16.837056483234882,2.4230326531399227,-11.627644769988787,-6.21011207865071,-3.298987226497485,-3.299097486082303,-1.2835271059539743,-48.66127762570319,89.97142005227829,-39.65170624899215
2021-06-21,6.9027307825520134,-2.798868639699481,-36.65225817903527,-12.359676158778099,81.6663523163917,-13.029831445709805,5.966680219847276,-12.950796097970974,30.453822422007782,-5.953910656609107,-9.300935659924791,16.599128323149024,-1.0548537083938547,3.9190422460912533,-17.27482793260432,-38.51159171137216,-28.977413696833977
2021-06-28,3.5673712579330052,-6.315996130277812,-12.252800569592637,-23.3420826446087,8.186905410723021,-18.121505032401053,0.30402857389921767,0.022294148213819476,12.140263828844411,-10.79253912715843,-14.870399752722596,41.30212117441929,-15.640649623117097,-17.008660184831413,-16.40924793522297,24.87601310221288,-21.37457867316863
2021-07-05,2.00157018109286,-7.7027335481914765,-7.456517420632469,23.757180598181616,0.6349446075283316,-5.748178166781381,-24.614005844414244,6.659359922857733,-6.63185718101148,-7.7274235896746095,-8.724575704857196,11.754558635002388,-20.930450448997895,-4.457441275025609,3.1454274324621334,-35.02670021934472,-28.944208714623297
2021-07-12,16.285138748990068,0.24860145398148958,1.3908919359229,-7.57769605249603,-10.3731829156824,7.254098357608885,17.120802809927117,11.681495129853525,15.026337691881198,4.322919263620073,6.83750168288304,44.8962891709364,12.916286113715202,62.93076864939835,-15.073664602441529,67.81599553340025,-13.167029980202106
2021-07-19,11.465618576507408,-12.60239632415483,-6.454281310946952,13.969876118436275,28.063005428571053,-5.957141854685643,-23.438930187510053,-7.8801231328498815,0.49515546168319435,46.872802524529874,-8.949560532067292,-14.54836227334988,-13.338490681873594,33.247690125023176,0.688143055726731,75.63773092887492,-15.540094487414535
2021-07-26,-3.0994932699492383,-1.9584498891631608,2.9565508146522923,15.963002750109933,7.806443198803814,-4.243578169297757,-4.088516371046835,2.9264190105742216,-10.924048799313324,-12.397928397153791,-12.108773415013818,-6.399250633808451,-15.53121820194734,10.863138054350596,-13.028562033050484,29.14152552026934,-30.62658862833205
2021-08-02,-0.38596151608135676,-14.902447806268915,-5.318708002449968,4.0092447827758,30.840359927238016,-4.258623662454464,6.7986622409133,3.990614544074278,-2.4199591395118403,-9.27419086472334,-2.153251224104924,-31.0241880584716,7.564500126094997,11.122999832719604,3.4143626631249147,56.38637748980058,3.361449929083804
2021-08-09,4.997642555685955,-3.3556304201584397,-8.60327524215797,-14.8162692591298,124.88344923555141,2.0482488605854776,7.2032172868448985,-20.158533930049906,-23.04789728664982,-31.629112783632774,0.06288241775309622,7.132541056975716,-24.625662802914473,1.682250742553082,11.015289576178855,-45.31723406968463,16.966168143959372
2021-08-16,3.8536187211207995,-9.003881675593128,-11.498655863399987,6.345036975470353,67.21499311375982,-1.4810457575895386,1.3392365946907514,-0.7037419546399803,-29.023399283119367,-20.635602337390214,-15.481921874231663,-3.4057096553962274,-26.693008840073873,-4.3540970911073344,-10.01068554847343,37.65010403065085,1.9875477573309652
2021-08-23,9.104913310935746,-10.69669553907836,-8.487471236765066,-0.3803246971462726,105.38213483160148,-12.715990300282431,19.197566858515657,-1.905532387852804,-4.66468618173691,5.528109549756066,-12.112750677920392,-12.07350019760316,-7.657378474848365,26.78755857771464,-9.129414280234782,36.94895376365312,-5.978111013318255
2021-08-30,3.450784606763513,-12.712954438319834,3.0071477641977484,57.422818779083414,50.91811821404344,-14.105801053803225,23.97602366730476,-15.877477990107058,-15.477372507646159,49.69729577397845,-12.005009572976032,16.823269153584896,20.319399656993255,28.67559724920914,2.3480424635385466,-49.35437493808021,-7.12139616847729
2021-09-06,-1.1155570592183195,-17.186032424974783,3.7280795528592536,63.20398597209535,43.88213961789616,-16.340880224546737,57.96668487991645,18.563317707468396,-0.6539970892159297,50.75553953788443,-11.400016707070193,1.4423521827172214,15.061825406187568,-3.0879098753275436,29.055995956109438,111.1522357929736,4.426491283872114
2021-09-13,2.7386936359973912,-20.85779690409928,4.694322850362664,26.919315855704884,-67.78216411741774,-18.657080369284095,9.803540444657566,26.308935268903856,11.472723663213547,68.73520939847542,1.613934614086765,17.140393994355296,35.198692001262266,16.786621151577187,28.305158877955062,-14.642714812242097,3.4230468692669325
2021-09-20,21.834896072208988,0.7684525745050408,14.61432423490876,64.34086782063231,7.763956575683206,-12.310756126575095,15.059162484528388,40.63775477738167,33.87666649537526,49.399444042632325,-7.678339331143114,68.35462872185123,18.051336879370062,20.096551829794485,-6.379920581975462,24.717479733568947,26.59976342887933
2021-09-27,30.608952140898204,-11.217988226823405,14.178211495442872,9.455784733712358,27.98419265058638,-15.09169527111034,10.515840467194447,30.717050182437646,21.55451147915306,31.76792366441543,10.340233593957105,-7.754207876916075,47.20445920853227,1.829078136011919,87.53447983134579,27.380404771802436,126.40890747929068
2021-10-04,9.300141951800622,2.552856592067987,5.274219545507619,24.417147912773963,42.27910014312115,-19.529942050136906,-4.503159811144675,47.521272375195366,6.680093550272881,14.368516445338674,-8.19680239671915,-29.886739407371365,76.0502966612974,-0.7051786199573362,14.422653695865861,53.34189255257602,67.72766315278184
2021-10-11,20.179675058165138,17.977215564677085,2.393391154577462,74.48119137904897,47.21925909971962,-12.23788466210901,-6.811038021051507,43.24544284072525,31.903178295698133,21.57719476739761,11.78911178258173,4.794748955700467,58.46054739690476,27.340033032847266,2.701140654750378,21.71282854173795,86.2095916061167
2021-10-18,20.09087586429601,2.5530357229231804,17.56096104473921,81.16894079463745,111.89302168777738,-14.379282367272827,7.443216154298926,28.587680152194196,24.248822005447114,34.67855690754635,16.96972862157926,-1.6373680051976036,56.3680233651193,9.650955435636766,29.17493205821131,-36.68536144029614,68.29337832216669
2021-10-25,24.753457609895268,25.154873835561254,20.794376352794796,41.75247885320945,70.16004648208332,2.2634655825592764,13.041869097289617,56.1603629806315,15.33304085014635,9.847397740315355,6.859968698839225,39.5598615122696,45.89304892505333,9.22304848583364,10.58007535551544,-2.7142022124311715,39.25159286529725
2021-11-01,33.648258916189235,52.95832296750875,22.25060562348855,42.49995879500141,9.565499398228571,32.503477835258465,29.740085963390996,44.91456389445039,11.445353091245792,19.359654789840675,37.42823083634295,52.27663677281529,44.752993845499866,30.04852793541093,13.797413977588624,23.380679008211146,109.6320499849452
2021-11-08,21.230540206693462,74.45434074335051,19.324240106544632,24.559808861284125,-2.1313047562940723,2.6930033131051356,32.58877765719064,49.690080879274355,27.373918234885085,6.2871341619229915,13.456033587064752,20.384768831447243,42.536660868287,13.906990941683883,36.893498758556944,46.7768755847606,78.95262363645487
2021-11-15,10.275108480480387,19.2955786359424,-0.5273094336308959,28.449287657382925,636.9489196218871,-0.6543921976109868,17.356845932060196,12.41943863595738,62.10685294533811,20.618857730619155,-6.245187556050458,54.71076592877368,9.175662117635408,11.692036796087034,2.8272384808972095,54.65767905682595,43.42553146299408
