,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,1.208127589981799e-06,9.33769828283973e-06,1.8459025263517218e-06,2.9892841635945546e-06,1.9684651876931558e-05,2.652843205059318e-05,3.09822520234767e-07,1.0870737730072893e-06,3.1660639062199022e-06,2.949495954274716e-06,1.6153711953777615e-06,1.0170587190714985e-06,1.8791185259989287e-06,2.9889750867353374e-06,9.224374043201802e-06,1.5784970813588965e-07,1.9974047204284232e-05
2020-08-25,1.3076205322575975e-06,2.4502892138703766e-05,1.8506908860413952e-06,5.017205430909856e-06,0.0,2.483145209733448e-05,9.504285006895358e-07,1.0981527862167769e-06,2.3301273111659003e-06,3.554437842159826e-06,1.0266994778759294e-06,1.829986153104775e-06,6.864536944079766e-07,2.6532079312812903e-06,5.097170269516519e-06,1.5626899644988095e-07,1.880976017555776e-05
2020-08-26,1.1381943926180485e-06,1.0740034179084771e-05,1.9302609887051015e-06,3.7988638358039875e-06,4.986262845859657e-06,2.512206048450972e-05,3.7103170002087055e-07,7.876792622194042e-07,2.5745726149862533e-06,1.961747397067727e-06,1.5007633356250254e-06,1.2755378624281394e-06,1.2243262073758484e-06,2.7557055668008157e-06,7.974643533434056e-06,4.7530843952912146e-07,1.589192417179573e-05
2020-08-27,1.2574865925749119e-06,1.1340304893427691e-05,2.243571154262463e-06,3.036723860829982e-06,4.909999705400018e-06,2.6125956243940254e-05,4.6728009915353857e-07,1.2555168707759534e-06,2.4519249630192025e-06,1.6987825706166612e-06,1.4112653946513512e-06,8.388784949513146e-07,9.665549153447272e-07,2.976094520761979e-06,5.393370899959442e-06,0.0,1.0527010874402234e-05
2020-08-28,1.2335270359347833e-06,9.089381122526244e-06,1.777864054904286e-06,0.0,5.499309836615505e-06,2.763675147462067e-05,4.7149970277182625e-07,8.143039851812399e-07,3.2025221123234167e-06,2.44218120728129e-06,1.7446927635695461e-06,1.736460479992406e-06,1.087484601897715e-06,3.4314269105288186e-06,6.151445698294023e-06,5.148522871626388e-07,1.829831252498646e-05
2020-08-29,1.124610603578511e-06,8.227529793381296e-06,1.568681362168739e-06,3.458322886316281e-06,0.0,2.5357669934425065e-05,4.1967129714695354e-07,1.0555805048562136e-06,5.8655447188205655e-06,1.9952250274642725e-06,9.411236200382786e-07,8.681413146541733e-07,9.502583467367274e-07,1.0798438052214767e-06,7.524065895769115e-06,4.4536853466848883e-07,1.8681063539634545e-05
2020-08-30,1.177676203824097e-06,7.3621680533178725e-06,2.993161467872574e-06,7.155788675248843e-06,0.0,2.3841772984132307e-05,5.259863559139276e-07,1.2868899647493261e-06,1.5312543449342037e-06,2.1950577725486623e-06,1.0753279519826128e-06,1.9995354412658127e-06,7.307603140880906e-07,2.283630223023895e-06,1.1199852659716122e-05,0.0,1.5209255014187192e-05
2020-08-31,1.211235355537523e-06,8.420672402306044e-06,4.151162076311642e-06,6.469257280744741e-06,5.463346408942405e-06,2.428779619427972e-05,5.091733692551751e-07,1.2605996908406662e-06,2.6348499106541912e-06,2.289737157637069e-06,1.2898754931556788e-06,7.726875056623507e-07,1.4567003115881965e-06,2.957093046800355e-06,3.634858144208635e-06,0.0,1.6561219019282463e-05
2020-09-01,1.1231685526438202e-06,6.55307994757536e-06,6.2091483763125125e-06,5.633628253772418e-06,1.797860545950319e-05,2.5981931824928614e-05,5.139979357301851e-07,1.342996904867779e-06,2.6498623136737624e-06,2.772728331405363e-06,1.0807592350253118e-06,1.5879080799710206e-06,1.0371423133839586e-06,3.5043267007602103e-06,9.623901494021596e-06,3.2212727699692337e-07,1.4699966337077089e-05
2020-09-02,1.129255494132835e-06,8.727860509005915e-06,4.053480413151423e-06,2.74587377547759e-06,9.31133375544713e-06,2.2734902172956698e-05,7.426077319601948e-07,1.0577922059429207e-06,2.5439062963308933e-06,2.4587812313192597e-06,1.1549676147080835e-06,1.2052573324842965e-06,1.1556546850463173e-06,2.4365429050078723e-06,7.973079982676672e-06,4.770214778920421e-07,1.579392650449526e-05
