,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,1.3743464865900332e-06,6.7910532966107125e-06,3.3316289500006685e-06,2.2419631226959156e-06,9.842325938465779e-06,3.215978719176769e-05,3.3564106358766426e-07,1.0592000865199229e-06,1.560089461035894e-06,2.081997144193917e-06,7.692243787513149e-07,1.6272939505143978e-06,1.4520461337264449e-06,1.2585158259938263e-06,2.5828247320965046e-06,1.5784970813588965e-07,1.1221374833867546e-05
2020-08-25,1.3242252374291225e-06,9.279201756668882e-06,2.914838145515198e-06,3.5837181649356113e-06,4.838842355354905e-06,3.4063658646343455e-05,2.172408001576082e-07,1.1256066058721964e-06,2.7029476809524442e-06,2.650767204322582e-06,1.2636301266165285e-06,1.016658973947097e-06,4.290335590049854e-07,1.8728526573750285e-06,2.912668725438011e-06,1.5626899644988095e-07,8.359893411359005e-06
2020-08-26,1.2524369524719048e-06,1.3890444204949637e-05,3.3897266143113974e-06,7.597727671607976e-07,4.986262845859657e-06,3.350787504060663e-05,3.445294357336655e-07,1.2494222780031929e-06,1.477995390084701e-06,2.5134888524930252e-06,2.1326636874671412e-06,2.9762550123323254e-06,9.619705915095951e-07,1.621003274588715e-06,2.537386578819927e-06,6.337445860388285e-07,9.400856552329868e-06
2020-08-27,1.2154301847964865e-06,7.751600813229054e-06,3.5324311790515373e-06,4.555085791244973e-06,4.909999705400018e-06,3.2767526581234055e-05,3.2984477587308604e-07,1.3101045608096904e-06,2.7403867233744024e-06,3.33464726824752e-06,7.840363303618618e-07,1.6777569899026292e-06,4.393431433385123e-07,9.920315069206597e-07,3.5955805999729613e-06,1.5759117476814005e-07,1.0048510380111223e-05
2020-08-28,1.186898866191544e-06,9.089381122526244e-06,2.8349724118744022e-06,6.885945784653522e-06,0.0,3.466304422240559e-05,3.405275631129856e-07,1.235495701654295e-06,2.5231992400123887e-06,2.3200721469172253e-06,1.6653885470436578e-06,1.1576403199949372e-06,1.5406031860217629e-06,2.0276613562215746e-06,2.5329482287093037e-06,0.0,8.801719948727665e-06
2020-08-29,1.1759086311101623e-06,6.7316152854937875e-06,3.755328109434254e-06,6.052065051053491e-06,0.0,3.239944014643088e-05,6.171636722749317e-07,1.0555805048562136e-06,2.4940111402859095e-06,3.078347185230592e-06,9.411236200382786e-07,2.2571674181008506e-06,9.502583467367274e-07,1.5426340074592524e-06,3.0780269573600926e-06,0.0,9.340531769817273e-06
2020-08-30,1.2214411978851275e-06,8.150971773316216e-06,2.5722481364529935e-06,4.770525783499228e-06,1.4609274941684644e-05,3.3094275612411466e-05,1.9126776578688277e-07,1.5932923373086896e-06,2.100005958766908e-06,2.1950577725486623e-06,6.14473115418636e-07,9.997677206329064e-07,1.644210706698204e-06,1.6746621635508561e-06,3.111070183254478e-06,2.4582847514809323e-07,5.678121871963219e-06
2020-08-31,1.24386122370015e-06,9.727328464732845e-06,3.320929661049314e-06,3.2346286403723706e-06,0.0,3.0223296949623357e-05,2.800453530903463e-07,1.3702170552615938e-06,2.342088809470392e-06,3.3201188785737503e-06,1.1286410565112188e-06,1.9317187641558765e-06,6.855060289826808e-07,1.5563647614738711e-06,2.180914886525181e-06,0.0,8.753787195906446e-06
2020-09-01,1.299604991948022e-06,7.446681758608364e-06,3.22490652103053e-06,4.2252211903293135e-06,0.0,3.216122298217867e-05,4.598928898638498e-07,1.1471431895745612e-06,1.8185329603643467e-06,3.573738738255801e-06,7.482179319406005e-07,1.389419569974643e-06,1.2099993656146183e-06,1.980706396081858e-06,1.7822039803743698e-06,3.2212727699692337e-07,1.175997306966167e-05
2020-09-02,1.1678992182666582e-06,7.4186814326550286e-06,2.199228734794921e-06,4.393398040764144e-06,9.31133375544713e-06,3.193104237774817e-05,3.850558610163973e-07,1.0849150830183801e-06,3.561468814863251e-06,3.358335340338501e-06,1.1549676147080835e-06,6.026286662421483e-07,6.222755996403247e-07,2.1319750418818884e-06,2.536889085397123e-06,3.180143185946947e-07,8.722019114422754e-06
2020-09-03,1.3034282692650432e-06,8.339946764802967e-06,3.4212299397660793e-06,2.5763713767201143e-06,4.209764126915969e-06,2.9567457661864582e-05,1.4011655118914396e-07,1.2339252106961572e-06,1.8051417658057211e-06,2.9630694139752428e-06,1.4751620813848558e-06,6.158407797036943e-07,7.308336143997608e-07,1.4168270567369968e-06,2.1474165683925336e-06,4.791297470578239e-07,9.492101908972067e-06
2020-09-04,1.2447638135305357e-06,8.016683171454316e-06,3.203700337060861e-06,1.9122421102484066e-06,4.558030566152976e-06,3.399882362552451e-05,2.825020836647436e-07,1.09766335491041e-06,2.2557324955542845e-06,2.6393063850034085e-06,1.1819631411548506e-06,6.041079339508659e-07,1.5579499948685023e-06,8.91828099496802e-06,1.7638420147873458e-06,6.9230275299382e-07,8.42331674243478e-06
2020-09-05,1.2614432227099165e-06,6.996574833649574e-06,2.968558696105121e-06,5.834544001213585e-06,5.1586810284346495e-06,3.640947406175499e-05,2.852854239170228e-07,1.2937761604027664e-06,2.200901336081079e-06,2.712761566730899e-06,1.3050905218942803e-06,1.4362583418397443e-06,1.4977721708795433e-06,1.2432420912042398e-05,2.5548575826576266e-06,0.0,6.77699310237642e-06
2020-09-06,1.210078797993207e-06,7.3356929023385e-06,2.6302843436550145e-06,5.4637852120467726e-06,0.0,3.357383833632439e-05,2.407667515754693e-07,1.5594209720226466e-06,1.9592374125527034e-06,2.4390826349284917e-06,5.539275799829881e-07,2.371673678256377e-06,1.1993290953040868e-06,5.883980599586914e-06,2.3940856508082434e-06,0.0,5.198549230469154e-06
2020-09-07,1.2605596284675685e-06,8.256215398800505e-06,2.4627612754916143e-06,2.785899448531204e-06,6.891466297284073e-06,3.513490161208395e-05,4.72642903581898e-07,1.7108551122699786e-06,2.1785293946248055e-06,6.976133564572115e-06,1.690314569956204e-06,2.201055626278363e-06,1.056490828735177e-06,1.386793290139345e-06,1.6907388427298398e-06,0.0,9.578550462365541e-06
2020-09-08,1.1771717347040621e-06,7.108776390015908e-06,2.550863393201274e-06,6.6691802065845264e-06,3.119171049101991e-06,3.012437696615996e-05,3.9385962344131694e-07,8.245879135201988e-07,2.633925409435324e-06,4.065206153071396e-06,1.5367021078700176e-06,1.7529033435462676e-06,1.3516696330183154e-06,7.725001085362652e-07,2.6767634182804204e-06,1.532617784741993e-07,6.7681584779590555e-06
2020-09-09,1.3577602257923758e-06,5.8990186776649984e-06,2.4751594033595255e-06,4.39784294599185e-06,3.221971266460246e-06,3.441676311286843e-05,2.2942500758966604e-07,1.528021141489752e-06,2.8559666269531244e-06,4.5297060956821146e-06,1.4735009276916257e-06,2.197246849697329e-06,9.532618323408289e-07,1.6940982238150168e-06,4.125526440974982e-06,0.0,7.169254586530622e-06
