Weeks,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,-14.197593813670872,16.245860619597874,-5.604956720299281,-25.606554356680366,-51.68998875695843,-2.049915880034525,-44.039889490451856,-19.53981088496497,-42.38292861749527,-21.20856798999379,-17.809356269981002,14.874837235192206,-37.77763148715643,17.970426713015964,-59.08954216235834,-66.57437389341523,-5.024373439508878
2020-08-31,-16.83876269282437,9.876711269428618,-5.355749326724924,29.10223811063655,-49.06952287146179,2.063007595646549,-50.46537267348879,-15.377666194250105,-19.331313964718767,-22.91801948433617,-21.072033074149143,-44.459668347049366,-33.9534059059846,201.25639573759878,-46.75759209970744,-60.645329052873045,18.090581478920285
2020-09-07,-7.137904928516137,-0.9159613316425563,-18.09940263689639,44.883554310128474,-53.78436554428857,6.573027735184711,-7.40996949981273,-26.65096582506161,-4.991617217841371,39.97488604395214,-20.99120174688037,-24.45532148616143,-12.792215448764821,3.595416294581688,-62.39141067091173,-72.07122154715242,-0.8702048970582688
2020-09-14,-11.273247391131136,-13.225656653338635,-19.276846850062455,-15.546971387240482,-18.785784611412538,-2.4072857511530987,-39.88725879579121,-13.40986348592107,-18.651481009751336,-15.506492607382928,-10.403636979931907,-29.509596623800107,-26.173306320472634,0.5323048544567888,-62.7290932331543,-57.29581836011746,-4.374337972728892
2020-09-21,-13.970639006634666,0.9373564442831217,-12.771325163355819,-8.762635198889734,-38.059719538385,1.1374040127727136,-23.84617306454313,-28.720173920002413,-7.1704812632496395,-10.334317282328131,-43.973473014151246,-54.926218608902346,-34.584863176764976,18.928620270187714,-65.22813962379539,-59.518067802623655,-39.21621150231049
2020-09-28,-36.79371132345472,3.8503461138468476,-27.12438518381254,16.886463579265264,-66.5939403801894,-7.01333502129401,-30.348818920478582,-16.26305663532779,18.418173405871553,-9.667925329086113,-41.40165680609606,-32.081532716811154,-27.004783216119343,-33.89017908758536,-71.28534918956177,-20.13480705628268,-8.519465148991912
2020-10-05,-0.617887411538498,23.52725435492131,-19.722643402183827,-31.71413896611961,-35.441842828300054,6.5124797843924,-13.7303980468112,-5.125628602500843,-0.8367473817437188,-7.605315986089001,23.27145808132507,-52.90086243080548,-13.568396869540189,-13.006593079226004,-59.90565713125242,-57.00767962679206,-51.84775573305478
2020-10-12,0.8945879378100763,32.97844978345732,-20.96427028939415,-45.120854559812194,-64.4764026264244,10.003685555186227,-6.810041535846024,-19.058184497184282,-1.1880727079359499,-20.372496769071603,-29.417369107496217,-64.35393528211692,-3.1352306779448447,-15.400710979841193,-70.91812570466509,-9.108490091870468,-31.449580582599733
2020-10-19,-42.04098669898498,-15.234775303034798,-31.59981068296389,-47.08407874841244,-40.731067423508236,-40.99230409379402,-44.28385731280968,-50.155477596532904,-39.06827779511529,-63.27641563447796,-16.844799581998004,-6.076152567011706,32.874638109046494,4.420603693558589,-64.93903273904033,-56.066949911070395,-62.53056775962118
2020-10-26,-42.49717641882782,-48.99188618200216,-41.86960935992481,-56.33473024283005,-46.791937682111154,-50.27247436358331,-46.09225427039192,-39.25955405225825,-51.358974495117124,-51.972769575014574,-37.3341640137796,-0.15429143848739724,53.77474667148683,14.51931431398017,-67.19306469956967,92.71977876599652,-56.01246013329568
