,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,2.5257164045592645e-06,1.0752501052966961e-05,3.7818490783791373e-06,5.978568327189109e-06,9.842325938465779e-06,3.497546476235495e-05,9.552861040571982e-07,2.425010724400876e-06,3.303718858664246e-06,5.494159130511726e-06,1.9230609468782875e-06,4.271646620100294e-06,3.0749212243618833e-06,3.303604043233794e-06,9.593349004929875e-06,1.5784970813588965e-07,1.3690077297318405e-05
2020-08-25,2.312205195134863e-06,1.2758902415419714e-05,4.1177872214421045e-06,6.4506926968841005e-06,9.67768471070981e-06,3.179982255769758e-05,9.504285006895358e-07,2.059036474156457e-06,4.287434252545256e-06,5.060555571888566e-06,1.2636301266165285e-06,3.0499769218412914e-06,2.316781218626921e-06,4.369989533875066e-06,4.004919497477264e-06,1.5626899644988095e-07,1.1378743809905312e-05
2020-08-26,2.2129206964283993e-06,1.0883234634805902e-05,3.860521977410203e-06,2.2793183014823926e-06,4.986262845859657e-06,3.382632369463562e-05,1.0070860429137915e-06,1.7111652937869815e-06,3.051345321465189e-06,1.0667001471555767e-05,2.2116512314474055e-06,3.826613587284418e-06,2.71100803061795e-06,2.917805894259687e-06,4.349805563691303e-06,3.1687229301941427e-07,1.678724384344619e-05
2020-08-27,1.8504819422507063e-06,1.0335467750972072e-05,4.916762316787951e-06,5.314266756452469e-06,4.909999705400018e-06,3.19969576470729e-05,6.596895517461721e-07,1.6922183910458503e-06,3.6538489644992033e-06,5.662608568722204e-06,1.1760544955427927e-06,5.242990593445717e-06,1.8452412020217517e-06,5.786850457037182e-06,6.112487019954034e-06,0.0,1.4355014828730318e-05
2020-08-28,1.9075160349506957e-06,8.473151893880396e-06,4.660886846640966e-06,4.590630523102348e-06,1.099861967323101e-05,3.69691095344991e-05,8.120272658848119e-07,1.6286079703624798e-06,3.736275797710653e-06,4.762253354198516e-06,9.516505983106616e-07,2.3152806399898743e-06,2.356216637445049e-06,3.275452960050236e-06,6.875145192210967e-06,8.580871452710646e-07,1.1812834668029235e-05
2020-08-29,1.8782970080820043e-06,9.723444301268806e-06,4.991258879627806e-06,2.5937421647372108e-06,0.0,3.239944014643088e-05,6.912233129479235e-07,2.359532893208007e-06,3.371533578534656e-06,4.67452720720201e-06,1.4116854300574179e-06,5.382476150855874e-06,1.425387520105091e-06,3.548058217156281e-06,6.156053914720185e-06,4.4536853466848883e-07,1.1564467905488052e-05
2020-08-30,1.961467461098918e-06,1.0648850219977637e-05,4.3962059059378434e-06,3.180350522332819e-06,0.0,2.9431168769816302e-05,6.9334565097745e-07,2.635060404010525e-06,3.543760055419157e-06,4.774250655293341e-06,1.6898010674012489e-06,3.66581497565399e-06,1.2788305496541586e-06,6.089680594730386e-06,8.39988949478709e-06,2.4582847514809323e-07,9.328343075368146e-06
2020-08-31,2.1125249635300907e-06,9.001408430051289e-06,4.297673679004994e-06,4.851942960558556e-06,0.0,3.14172195153534e-05,5.346320377179338e-07,2.3567733350499415e-06,3.1227850792938562e-06,4.407744028451358e-06,5.643205282556094e-07,2.318062516987052e-06,1.5423885652110317e-06,3.5796389513899036e-06,5.452287216312953e-06,4.836946532393031e-07,1.324897521542597e-05
2020-09-01,2.229123794136011e-06,8.936018110330037e-06,4.620761582372103e-06,2.816814126886209e-06,0.0,3.29923557109316e-05,8.927332567945319e-07,2.2383281747796317e-06,3.1174850749103085e-06,4.929294811387312e-06,1.2470298865676674e-06,5.954655299891327e-06,2.4199987312292366e-06,4.418498883567222e-06,7.841697513647227e-06,1.6106363849846169e-07,1.2494971386515525e-05
2020-09-02,2.331504689407336e-06,9.309717876272977e-06,4.225968941370632e-06,2.196699020382072e-06,9.31133375544713e-06,3.645612724042334e-05,1.1001596029039924e-06,2.142707288961301e-06,3.6123469407898685e-06,1.1694203417250138e-05,1.484958361767536e-06,4.218400663695038e-06,1.4223442277493137e-06,3.1979625628228324e-06,6.161016350250155e-06,1.4310644336761263e-06,1.2257972809459006e-05
