,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,9.125822835734998e-06,3.593599036123169e-05,1.4632154172300233e-05,2.2419631226959157e-05,1.9684651876931558e-05,6.499805090656846e-05,6.144813317989545e-06,1.4243453795044226e-05,1.794102880191278e-05,2.238146930008461e-05,9.384537420766043e-06,1.4035410323186682e-05,1.5972507470990894e-05,1.746190708566434e-05,2.1400547780228182e-05,3.1569941627177933e-06,4.0172521905245815e-05
2020-08-25,8.468399637477774e-06,3.5666931752196015e-05,1.762783068954429e-05,2.2935796255587913e-05,2.903305413212943e-05,6.60403433984665e-05,6.191362804491834e-06,1.1310973698032801e-05,1.822159557331734e-05,1.6326316190259538e-05,1.1056763607894624e-05,1.1793244097786326e-05,1.2270359787542582e-05,1.451460809465647e-05,2.0024597487386325e-05,6.094490861545357e-06,3.854839739682208e-05
2020-08-26,8.043522454895577e-06,3.537051256311918e-05,2.4151802126968708e-05,2.5072501316306318e-05,4.487636561273691e-05,6.609578730290726e-05,5.724489086036288e-06,1.0783057486244948e-05,1.5113694795382265e-05,1.9249646333727073e-05,1.1058256157237028e-05,1.658199221156581e-05,8.570283451630939e-06,1.9938340277441195e-05,2.1024060224507965e-05,2.534978344155314e-06,3.917023563470778e-05
2020-08-27,8.217822079904273e-06,3.416446284349102e-05,2.148100041315124e-05,2.201624799101737e-05,3.927999764320014e-05,7.063548563143959e-05,7.009201487303079e-06,1.0972125696781157e-05,1.4326934097641614e-05,1.9252869133655492e-05,1.003566502863183e-05,1.593869140407498e-05,7.380964808087007e-06,1.421911826586279e-05,2.0854367479843176e-05,3.939779369203501e-06,3.61267873189713e-05
2020-08-28,7.837771441386303e-06,3.296826373255282e-05,1.9268202324773477e-05,1.9127627179593116e-05,3.849516885630853e-05,7.094754061737693e-05,6.496218127078495e-06,1.1091381867123784e-05,1.5527379938537777e-05,2.1674358214621448e-05,1.0150939715313723e-05,1.5821084373264143e-05,1.060297486850272e-05,1.5285447146901103e-05,2.424393304621762e-05,1.3729394324337032e-06,3.567012821326475e-05
2020-08-29,7.272481903141037e-06,3.4555625132201447e-05,1.7350566581563325e-05,1.4697872266844193e-05,4.42556204637989e-05,6.217189865936735e-05,4.665757362398484e-06,1.123882772817498e-05,1.4086544403466713e-05,1.6645877371987644e-05,9.25438226370974e-06,1.2327606668089262e-05,9.4075576326936e-06,1.5734866876084376e-05,1.7100149763111626e-05,2.894895475345177e-06,4.2477180191311884e-05
2020-08-30,7.841891208571942e-06,3.48388309665935e-05,1.8660491026268078e-05,1.9877190764580117e-05,3.408830819726417e-05,5.9936006786600155e-05,4.709968732501988e-06,1.12143268356727e-05,1.5837544939033765e-05,1.739583284744815e-05,1.06764703803988e-05,1.532977171637123e-05,8.677778729796076e-06,1.3092813278670331e-05,3.204402288752112e-05,3.687427127221398e-06,3.244641069693268e-05
2020-08-31,8.066745903209497e-06,2.8020513338708045e-05,1.6995345912428844e-05,2.0216429002327316e-05,4.370677127153924e-05,6.273210281078709e-05,5.626365730269684e-06,1.2249740474038648e-05,1.5613925396469283e-05,1.677232467969153e-05,9.75468341698982e-06,1.2942515719844373e-05,7.197813304318148e-06,1.4318555805559614e-05,2.0355205607568356e-05,4.19202032807396e-06,2.9810194234708433e-05
2020-09-01,7.702956740354169e-06,3.946741332062433e-05,1.5450671541056717e-05,1.7605088293038806e-05,6.59215533515117e-05,6.602084762746116e-05,4.057878439975145e-06,1.032428870617105e-05,1.776966492698876e-05,1.8731320283271785e-05,9.061750509058384e-06,1.3894195699746431e-05,8.988566715994307e-06,1.4626754924912183e-05,1.710915821159395e-05,2.577018215975387e-06,3.111492874681317e-05
2020-09-02,8.368513148535723e-06,3.069297612333747e-05,1.5696456067948062e-05,1.2081844612101395e-05,6.983500316585348e-05,6.9992844892024e-05,4.675678312341968e-06,1.0198201780372773e-05,1.4347631511306239e-05,1.8350903823992522e-05,7.5897871823674065e-06,1.4463087989811558e-05,9.689720051542198e-06,1.736036819818109e-05,2.5006478127485924e-05,3.339150345244295e-06,3.0173471530976016e-05
2020-09-03,8.502495663748792e-06,3.862712185803479e-05,1.562784046559814e-05,1.3912405434288618e-05,2.5258584761495815e-05,6.771312834908493e-05,4.904079291620038e-06,1.1790840902207725e-05,1.4190419992306085e-05,1.9136489965256777e-05,9.424646631069912e-06,1.5190739232691128e-05,8.03916975839737e-06,1.3066293967685638e-05,2.3979485013716623e-05,3.992747892148533e-06,3.244974373532311e-05
2020-09-04,8.398833417985394e-06,3.751202691548434e-05,1.534166358592525e-05,1.9759835139233534e-05,3.646424452922381e-05,7.441037179648836e-05,6.441047507556154e-06,9.93674194971529e-06,1.6200260649889863e-05,1.834317937577369e-05,9.033575435969216e-06,1.0471204188481675e-05,1.119776558811736e-05,1.6084756794495893e-05,2.151887258040562e-05,4.15381651796292e-06,3.0278408830914208e-05
2020-09-05,7.51609920197992e-06,3.361099674988521e-05,1.530663077679203e-05,2.698476600561283e-05,4.1269448227477196e-05,6.8484486925682e-05,5.4722931314992555e-06,1.2473329136190774e-05,1.3970938915992936e-05,1.8343435355989886e-05,8.40152023469443e-06,1.5593661997117224e-05,9.52155165773424e-06,1.6146001184470647e-05,2.9061505002730505e-05,2.489760858469544e-06,2.3945375628396685e-05
2020-09-06,7.162025699308947e-06,3.620519400186421e-05,1.5436750738172054e-05,1.6391355636140318e-05,3.362601981413217e-05,6.456755461029917e-05,4.5986449550914635e-06,1.0760004706956262e-05,1.2452042222001627e-05,1.7470638408325008e-05,8.22978118831868e-06,1.2648926284034011e-05,8.295359575853267e-06,1.84261497723906e-05,2.0948249444572128e-05,3.4022226720716644e-06,3.139923735203369e-05
2020-09-07,8.485620246585198e-06,3.369068541768593e-05,1.2272064660924314e-05,2.0894245863984032e-05,2.067439889185222e-05,6.602044934188046e-05,5.566683086631243e-06,1.118844930563859e-05,1.4160441065061236e-05,1.7139638499164246e-05,7.968625829793533e-06,1.4206813587796708e-05,8.363885727486819e-06,1.664151948167214e-05,2.53610826409476e-05,2.4489797167846793e-06,3.630938896199031e-05
2020-09-08,8.127494210882301e-06,3.514894992841199e-05,1.4317749368291024e-05,1.0670688330535241e-05,2.8072539441917915e-05,6.579135136695389e-05,4.936373947131173e-06,1.0107851843150824e-05,1.455842408124252e-05,1.4905755894595117e-05,9.220212647220106e-06,1.4997061939229178e-05,1.03909603038283e-05,1.4986502105603546e-05,1.7733557646107786e-05,3.5250209049065837e-06,3.515075854681961e-05
