Weeks,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,-27.239203962571946,-7.59907495480191,-11.349518177684148,-45.92666528612702,-27.946716185804465,-15.502821710890258,-24.891046886698998,-24.017671926408145,-35.58926672620686,-20.373950612380465,-34.023844791720826,-28.530558253460004,-29.832134712205406,-20.1096872471041,-21.292653141986705,-43.646051853361215,14.847852015264396
2020-08-31,-26.789411252576556,-6.380625798653227,-23.818136517651933,-34.52780731297154,7.2763467618830235,-8.619057193316282,-37.526470145871194,-21.22909839755436,-20.04539630124833,-28.59594018373135,-47.94458547595516,-31.14746834042198,-37.996931192514225,-16.071432616298864,-36.70692001186274,-29.979351691475408,-7.21728379194313
2020-09-07,-26.882339165947155,-18.75494055908019,-30.32622290279976,-47.97550468123163,-5.680350325870654,-15.937732327681653,-33.96532515934817,-27.670551122226282,-25.84188089611914,-35.29055306685998,-50.23792726238572,-35.97908600522154,-36.477672461268554,-6.244291704724459,-37.96326889714322,-34.82108087995369,1.7520053973673289
2020-09-14,-33.035021015945574,-19.012807069620063,-31.34547827348645,-62.797961172290016,-47.19957346637288,-7.056614034701503,-32.3217345666437,-24.2858889714464,-28.767487171810235,-30.071783636712514,-47.61278878765881,-39.172286942391686,-35.44784380798107,-13.019844084256738,-19.29026344084018,-30.642518784880412,12.333702626526266
2020-09-21,-21.02017640350281,-11.429278791488917,-31.902718817538698,-48.63674277863422,-1.8817203063325794,-12.337595144488356,-26.92921064314061,-20.116557603424233,-18.536933351697936,-24.45651237510903,-41.61601523392876,8.55829166517954,-36.50620940859497,-0.5895107515462961,-11.206054949177414,-29.750341574190166,0.022663083707996634
2020-09-28,-31.54030148648691,-7.218402158965875,-30.408389064769782,-47.40109138933063,-41.80879937194282,-10.425424837714214,-21.921896649619978,-20.528792726660505,-1.7768763409290789,-31.246371438741306,-43.111514105273706,-32.853333481392866,-40.726482618588555,-29.523655624482338,-25.86931984652171,-41.9441482062978,-14.02079722910441
2020-10-05,-22.533270249700855,-0.9995003731384955,-30.7647612908601,-16.880464133025907,-49.38053585400799,-3.0327388246172204,-33.45301483225571,-18.040573226505018,-20.367157741030795,-35.98541027851433,-56.051118270067505,-27.73968451081903,-25.416885033167436,-16.210344274667975,-20.524032188277562,-41.813424047395465,-19.656205080969215
2020-10-12,-24.255929582526782,-19.281787897456994,-33.892735509273244,-35.99217371470876,-58.751378425077384,-12.972297063593796,-23.164753733918708,-22.856091874279592,-13.377027582747258,-29.218475178880187,-53.84855850129401,-25.660581335033605,-23.196867600905247,-5.86783494220896,-30.221453465452587,-22.456781417664118,-29.83157935357631
2020-10-19,-21.95603385732541,-11.825557467449965,-28.392246432706216,-38.320225962510115,-44.435375709538974,-15.730354600934248,-18.049472601312054,-23.1318190169992,-23.870956141170296,-32.02938538292764,-34.796419877421094,-27.299897056377276,-18.526693525046433,-18.634880065883674,-23.3595403851959,-27.599121490216916,-38.08859883853955
2020-10-26,-23.320844032497124,-35.76743402256568,-34.92825799292187,-43.91677618968139,-43.88967973749903,-29.227360889068642,-25.978140226773018,-24.85926323026192,-26.308427132306388,-41.26268651447474,-43.12543182262476,-22.04237569083114,-20.07564844778672,-20.024115708743373,-24.083815647356765,-13.747791321512038,-32.17464888519196
