,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,1.337859411724811e-06,4.951809695445311e-06,3.196562911487128e-06,2.9892841635945546e-06,0.0,3.8469618855975275e-05,4.13096693646356e-07,8.919579675957245e-07,1.8812843500726956e-06,3.1808289702962624e-06,8.461468166264464e-07,1.423882206700098e-06,1.366631655271948e-06,2.5170316519876526e-06,1.1069248851842162e-06,3.156994162717793e-07,9.65038235712609e-06
2020-08-25,1.5317840520731856e-06,7.249376372397565e-06,3.4237781391765815e-06,0.0,4.838842355354905e-06,3.77777647292781e-05,3.8017140027581435e-07,1.0157913272505185e-06,1.724294210262766e-06,1.5422645552422295e-05,8.687457120488633e-07,6.099953843682582e-07,1.115487253412962e-06,3.433563205187552e-06,7.281671813595027e-07,0.0,8.127674149932366e-06
2020-08-26,1.4047603656103798e-06,5.871218684566342e-06,3.436806150621278e-06,5.3184093701255825e-06,4.986262845859657e-06,3.863843668885157e-05,2.915249071592554e-07,5.975497851319618e-07,2.0024453672115304e-06,6.4369836466284795e-06,1.0268380717434383e-06,4.2517928747604645e-07,9.619705915095951e-07,1.7831036020475866e-06,2.537386578819927e-06,0.0,8.057877044854172e-06
2020-08-27,1.4593573499113525e-06,6.029022854733709e-06,3.4369600661041987e-06,3.036723860829982e-06,2.454999852700009e-05,4.124378485700681e-05,3.0235771121699557e-07,7.91521505489188e-07,1.8750014423088017e-06,3.7121545061623336e-06,3.920181651809309e-07,1.258317742426972e-06,8.786862866770246e-07,2.4800787673016495e-06,2.157348359983777e-06,3.151823495362801e-07,8.613008897238192e-06
2020-08-28,1.5090571298721059e-06,6.932578822265779e-06,3.219375450772626e-06,3.825525435918623e-06,1.6497929509846515e-05,3.902294895308238e-05,3.143331351812175e-07,6.739067463568883e-07,1.4556918692379167e-06,4.09065352219616e-06,8.723463817847731e-07,1.1576403199949372e-06,9.968608850729054e-07,2.1836353067001575e-06,0.0,3.432348581084258e-07,6.485477856957227e-06
2020-08-29,1.1403946120497882e-06,6.432432383916286e-06,3.0422911266302817e-06,4.322903607895351e-06,0.0,3.72155731411706e-05,5.184174847109426e-07,9.624410485453712e-07,1.3855617446032832e-06,3.4773921907234464e-06,7.058427150287089e-07,1.7362826293083465e-07,8.552325120630546e-07,1.234107205967402e-06,1.0260089857866976e-06,2.2268426733424442e-07,6.004627566311104e-06
2020-08-30,1.177676203824097e-06,6.047495186653967e-06,2.6190162843885023e-06,1.5901752611664096e-06,1.9479033255579525e-05,3.558897768624782e-05,3.347185901270448e-07,7.660059313984085e-07,1.1375032276654084e-06,3.6767217690190095e-06,6.14473115418636e-07,9.997677206329064e-07,6.394152748270793e-07,3.044840297365193e-06,1.8666421099526868e-06,2.4582847514809323e-07,7.300442406809853e-06
2020-08-31,1.3539735287490158e-06,7.259200346815556e-06,2.5395344466847696e-06,3.2346286403723706e-06,0.0,3.8069073810135064e-05,4.073386954041401e-07,7.673215509464925e-07,1.171044404735196e-06,3.3201188785737503e-06,2.418516549666898e-07,2.124890640571464e-06,1.4567003115881965e-06,1.7120012376212582e-06,1.453943257683454e-06,1.612315510797677e-07,7.334254137110806e-06
2020-09-01,1.566411314798278e-06,5.957345406886691e-06,3.609969986228205e-06,5.633628253772418e-06,1.1985736973002128e-05,3.458234875724156e-05,4.0578784399751454e-07,8.113939633576165e-07,1.5067844528733158e-06,1.059798384448272e-05,9.97623909254134e-07,1.5879080799710206e-06,1.555713470075938e-06,2.742516548421034e-06,2.1386447764492438e-06,3.2212727699692337e-07,8.329980924343682e-06
2020-09-02,1.54574896535293e-06,5.964038014487376e-06,3.2341599041101775e-06,1.647524265286554e-06,4.655666877723565e-06,3.919307372994462e-05,3.850558610163973e-07,8.950549434901637e-07,2.1368812889179505e-06,4.3778299972269745e-06,6.599814941189049e-07,2.008762220807161e-06,3.555860569373284e-07,1.5228393156299202e-06,1.8120636324265162e-06,0.0,4.950335173050753e-06
2020-09-03,1.350904133377346e-06,5.998909076437221e-06,3.4634673464298577e-06,1.5458228260320686e-06,8.419528253831938e-06,3.566346436498975e-05,4.2034965356743186e-07,4.93570084278463e-07,1.3538563243542908e-06,2.222302060481432e-06,1.6390689793165067e-06,1.2316815594073887e-06,1.5530214305994918e-06,1.259401828210664e-06,2.1474165683925336e-06,1.1179694098015892e-06,6.180903568632974e-06
2020-09-04,1.3244995738278655e-06,5.5965524027133905e-06,3.248822877019465e-06,4.461898257246282e-06,9.116061132305952e-06,3.726210357172441e-05,5.367539589630128e-07,8.66576332824008e-07,2.153199200301817e-06,2.3093930868779822e-06,9.286853251930969e-07,1.6109544905356425e-06,1.0710906214720953e-06,1.4332951599055746e-06,1.4110736118298767e-06,3.4615137649691e-07,7.28503069615981e-06
2020-09-05,1.3665634912690763e-06,6.4478238663045095e-06,3.2004773442383336e-06,1.4586360003033962e-06,0.0,4.439995905253352e-05,4.408956551444898e-07,7.961699448632409e-07,2.3444383797385407e-06,2.325224200055056e-06,8.156815761839251e-07,4.1035952623992696e-07,1.1768209914053554e-06,1.6146001184470646e-06,2.87421478048983e-06,2.26341896224504e-07,5.195694711821923e-06
2020-09-06,1.2346905701557807e-06,5.91588137285363e-06,3.4926726530501014e-06,1.6391355636140316e-06,4.203252476766522e-06,4.134645604915262e-05,4.574568279933916e-07,9.35652583213588e-07,1.1755424475316222e-06,2.1554683750530854e-06,8.704576256875527e-07,7.905578927521257e-07,1.2992731865794274e-06,2.0129407314376283e-06,2.094824944457213e-06,9.72063620591904e-07,6.862084984219284e-06
2020-09-07,1.3813800401417764e-06,5.7260848733616405e-06,2.3375361258903457e-06,2.3215828737760033e-06,0.0,4.100799234370073e-05,4.72642903581898e-07,9.776314927257021e-07,1.7700551331326544e-06,2.2852851332218995e-06,1.207367549968717e-06,1.2005757961518343e-06,1.4086544383135695e-06,2.927674723627506e-06,6.76295537091936e-07,3.061224645980849e-07,6.4599526374093185e-06
2020-09-08,1.4318081737712528e-06,6.055624332235773e-06,2.79772114093043e-06,4.446120137723017e-06,1.2476684196407963e-05,3.987790881541844e-05,3.1508769875305354e-07,7.979883034066439e-07,1.3409074811670742e-06,1.7862269460465223e-06,1.1323068163252762e-06,1.3633692672026526e-06,7.603141685728024e-07,2.4720003473160486e-06,1.0037862818551576e-06,0.0,5.676520013772111e-06
2020-09-09,1.4045795439231474e-06,6.722137562920579e-06,2.268896119746232e-06,1.3193528837975549e-06,0.0,3.659503925925251e-05,4.875281411280404e-07,6.586298023662724e-07,2.3409562516009215e-06,2.39067821716556e-06,5.730281385467433e-07,5.992491408265444e-07,1.4732228317994628e-06,2.464142871003661e-06,1.5867409388365317e-06,3.104521798089353e-07,5.648503613630187e-06
2020-09-10,1.3175984574921163e-06,3.845562221196739e-06,3.022921554597868e-06,9.052632913019587e-07,3.2148035272824303e-06,3.962229390368285e-05,3.1560226265017073e-07,7.227368212487409e-07,1.233587123324172e-06,1.8246128676521618e-06,1.3815025904798868e-06,1.2134285281496206e-06,6.300821753173048e-07,2.0942543326900214e-06,6.970994736550424e-07,0.0,5.826611254099637e-06
2020-09-11,1.3178113856523158e-06,6.386535401085563e-06,3.200229785266335e-06,2.2772727609142565e-06,0.0,4.2697148595085904e-05,2.791249433027459e-07,1.9301920228425994e-06,1.760337759526596e-06,2.9832722735323437e-06,1.1448857870116633e-06,1.4722989709182305e-06,1.3048256272972504e-06,1.434140903387664e-06,7.08200752250839e-07,0.0,6.719316761335661e-06
2020-09-12,1.375201496638982e-06,4.754132604049392e-06,3.587556972589455e-06,0.0,4.633727045674647e-06,4.084191085113682e-05,4.5772357827382755e-07,1.0229070769794155e-06,1.703569801314601e-06,2.265488741977338e-06,5.644673299211552e-07,7.089374144733472e-07,9.960511551952284e-07,1.5845618044863064e-06,1.0024660665236481e-06,6.599923836878922e-07,8.004599348613957e-06
2020-09-13,1.307115693251061e-06,6.737656246248351e-06,3.1944563068991515e-06,2.1382210214923286e-06,0.0,3.956348556730102e-05,5.336331436801141e-07,7.961661293719128e-07,1.5809647063729798e-06,1.5109656296580236e-06,1.0174940093083483e-06,1.8301590444812834e-06,1.1221383018624972e-06,2.4637884689772076e-06,3.2480271483101163e-07,0.0,6.59962474533698e-06
2020-09-14,1.4903849306583508e-06,4.801442993667697e-06,2.877136116539736e-06,1.279398989530678e-06,2.7051519619114605e-06,3.909599118690727e-05,2.7883167702247513e-07,6.953991695543117e-07,1.523590302689377e-06,1.828173122848765e-06,1.181475596857842e-06,1.8790458205323336e-06,1.1923652173779736e-06,2.2964573318227746e-06,6.914137475178247e-07,1.4320232182516514e-07,5.394428229941998e-06
2020-09-15,1.4503498580170547e-06,5.1296595701426275e-06,2.8797737065709337e-06,2.909563694297962e-06,5.705938741041676e-06,3.7207042992538916e-05,3.68837538155914e-07,1.4274183539830985e-06,1.2770531893599335e-06,1.4773607889643835e-06,8.881639318080651e-07,1.9499468152006154e-07,6.782641930597634e-07,2.3064067520518947e-06,1.0361012201818704e-06,1.5523187295326775e-07,6.815119661006861e-06
2020-09-16,1.4313601258321542e-06,8.516094810900114e-06,2.3677908844144418e-06,4.0722083993370447e-07,5.811723408459545e-06,3.6228331178732813e-05,2.751059336663472e-07,1.4839814561677237e-06,1.8163111447175244e-06,1.7152877061965493e-06,6.63351139397714e-07,1.1739139877134248e-06,6.988408327107826e-07,1.0765641669923273e-06,3.4854487741850934e-06,1.4627365665564884e-07,4.267340337461274e-06
2020-09-17,1.6317769325656126e-06,6.328742577736407e-06,2.9039707587323016e-06,2.2921753385772194e-06,0.0,3.971807828020574e-05,3.725207383727824e-07,1.0487646732009949e-06,1.5222353874441078e-06,2.4589202482446134e-06,8.837737137577456e-07,1.0028072586398364e-06,1.154566733291088e-06,3.0697024408173487e-06,1.7539650133090864e-06,0.0,7.181297925345471e-06
2020-09-18,1.5074235084905304e-06,5.506193276908246e-06,2.8646518412831834e-06,1.5842763738448645e-06,7.474316380338063e-06,3.931900402973894e-05,4.0937579343973537e-07,8.19380288485227e-07,1.2618685409620729e-06,2.2352206701286398e-06,5.752344162422533e-07,1.9437724930923185e-07,1.2950851518487341e-06,1.7993007590104892e-06,1.8120334240437265e-06,0.0,3.1713103333296336e-06
2020-09-19,1.214287795921936e-06,7.145048503715202e-06,3.4945541405896764e-06,3.3810032248008757e-06,4.4669379586986914e-06,3.866040822881692e-05,3.339892697040727e-07,8.860059100391368e-07,1.0113964148019889e-06,2.103945976979149e-06,1.6513025350548822e-06,1.5840056612362334e-06,1.3711915399832598e-06,1.598195445558511e-06,3.4414890084003306e-06,8.569095941097748e-07,3.6013575677487384e-06
2020-09-20,1.3291124331394333e-06,7.1576148753994994e-06,3.273482346068789e-06,3.115627154975449e-06,6.770320270000372e-06,4.594716845459525e-05,1.3184311239187612e-07,1.5613938691655419e-06,1.2908745856847254e-06,2.548502597664991e-06,1.018370941772213e-06,1.9858539678454498e-07,1.5588261562226232e-06,1.9535602659066014e-06,2.2313317225243373e-06,4.6410571585638066e-07,7.169608161360505e-06
2020-09-21,1.429692951551501e-06,6.843652465372125e-06,2.547815739927436e-06,1.6216358657204422e-06,1.1720684370760408e-05,4.744948548708641e-05,3.362977375285148e-07,1.0515335565388563e-06,1.2919325786896755e-06,2.5568389986545414e-06,1.1128695332966988e-06,5.758202703706498e-07,9.896861507278812e-07,2.119338112541698e-06,7.183422958507113e-07,2.573823698224319e-07,3.6230349847051314e-06
2020-09-22,1.385471329757309e-06,6.809294141759971e-06,2.7787829914980357e-06,1.606280556977783e-06,1.4171210901629123e-05,4.033188010697951e-05,2.868791865942295e-07,8.376992270879234e-07,1.8970303660812415e-06,2.6896787429370717e-06,9.656036684570836e-07,7.658194852429457e-07,1.3299072705531765e-06,1.6859591482902228e-06,1.410701368979876e-06,1.2879665159617047e-07,5.976919435953515e-06
2020-09-23,1.4698480451937052e-06,6.4373782119949175e-06,3.13278160573854e-06,0.0,0.0,3.721079085345656e-05,3.1430035170209354e-07,5.033853039227785e-07,9.315516683136648e-07,2.2834666834381856e-06,1.571573640673583e-06,9.684517168712038e-07,6.821464454158778e-07,2.707070597694117e-06,1.3957376962232734e-06,0.0,5.210951248294228e-06
2020-09-24,1.402742493449287e-06,6.437372040110033e-06,2.53096720013468e-06,1.2127155652447037e-06,2.9632790460612096e-06,3.8750342598827685e-05,4.050057554210744e-07,8.978713266587574e-07,1.7779692108615865e-06,2.3792502414112866e-06,1.7344648321149544e-06,5.883969302155357e-07,1.0599168336256496e-06,3.792393184772651e-06,5.185649716967238e-06,1.328936502616543e-07,3.6875243891778533e-06
2020-09-25,1.3861651218147834e-06,7.421348980059272e-06,2.6923843217076177e-06,2.087643447200366e-06,3.6728652389015195e-06,3.936412332211324e-05,5.546262160836581e-07,5.2636411801073e-07,2.7212813580904496e-06,4.3295807413854164e-06,8.583091275854202e-07,9.116165842747598e-07,1.218951774610941e-06,2.9185590684737735e-06,1.722806023756806e-06,5.896086487334248e-07,3.929219454351362e-06
2020-09-26,1.3375669123686499e-06,6.710211833170987e-06,2.8644352869783e-06,1.9872076817500147e-06,4.319971660985904e-06,4.199916293479729e-05,3.939718007066856e-07,8.072248862713277e-07,1.6029346149769912e-06,2.8397356638818553e-06,5.465556492421343e-07,7.666293893126114e-07,1.5249819492969935e-06,2.816386172858205e-06,2.05144406276188e-06,2.0264237551982836e-07,2.575452716297787e-06
2020-09-27,1.2879611396364948e-06,5.374065766249412e-06,2.3229666142036672e-06,1.987328133378865e-06,0.0,3.822937406901877e-05,3.3376858982570537e-07,1.0134371331413465e-06,1.428871666585289e-06,2.041892916409228e-06,2.1555583082833509e-07,5.552843916776196e-07,1.227158567199864e-06,1.7262940623971866e-06,5.950974680388027e-07,4.299088442782035e-07,4.2716909346174985e-06
2020-09-28,1.4400919955244225e-06,5.765604083305641e-06,2.7606544717591666e-06,5.717829134683752e-07,2.5894057054965315e-06,3.940221234413179e-05,4.5768953459982704e-07,1.1172226576005063e-06,2.076388935214942e-06,2.288955072389839e-06,1.0226747444335814e-06,7.248463371068229e-07,9.417384114379781e-07,2.169052479790938e-06,9.503962082992874e-07,2.7799136781204673e-07,3.3621455195418406e-06
2020-09-29,1.5711220634578274e-06,5.024289217669214e-06,3.832049986179711e-06,4.380801139008296e-06,7.99882683873032e-06,4.198418600352815e-05,6.832772352820598e-07,8.015909174939503e-07,1.532483210717649e-06,1.613845069259506e-06,8.233365185478781e-07,1.4589012030281682e-06,8.527612237873991e-07,1.7598403120900809e-06,1.127906580009604e-06,1.3731917810626965e-07,3.038459811473697e-06
2020-09-30,1.3643420136129965e-06,4.5257740837403975e-06,1.558478455925002e-06,1.2142255754275713e-06,3.7218996575852314e-06,3.897830149324592e-05,3.2959183676526824e-07,1.1272382724948226e-06,1.4221421010809978e-06,2.5356901819720927e-06,9.420076941475717e-07,7.526572564438751e-07,1.0508710012935347e-06,1.5622545028638357e-06,2.980211665469615e-06,1.270292768185162e-07,2.532719927327823e-06
2020-10-01,1.4885022567961186e-06,4.7302219284979656e-06,3.366557285030845e-06,2.415635928236288e-06,0.0,3.744365616861873e-05,6.273810417578547e-07,8.981273172967826e-07,1.0458297130952612e-06,1.7912439220440031e-06,1.2093138449988584e-06,9.445446501368834e-07,1.2223217004036858e-06,1.8805471102572831e-06,6.289656282863454e-07,1.3622046246574567e-07,4.738359139192596e-06
2020-10-02,1.388566477216895e-06,4.747933641728409e-06,1.6332747933262672e-06,1.1010263216857594e-06,0.0,4.456302975974134e-05,5.194024217426471e-07,8.897820023309053e-07,1.5544174707479828e-06,2.906119180194909e-06,4.187797244613676e-07,7.121563667491344e-07,9.904268313759692e-07,1.99447075721222e-06,9.663167740996183e-07,7.050614954636343e-07,2.757866419982082e-06
2020-10-03,1.816959837164491e-06,5.831690133144775e-06,2.955865568129678e-06,2.7292352955625365e-06,3.953272321163843e-06,5.704331471616298e-05,2.9139830097306637e-07,9.562909376196759e-07,1.1979810701481962e-06,2.6778915378691163e-06,1.4246102996332982e-06,1.2722872926489786e-06,1.812223264698062e-06,2.4420231386001834e-06,1.5685541287638634e-06,0.0,6.791799046719551e-06
