,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,4.070335907187001e-06,1.598727130243772e-05,8.959380554731528e-06,5.978568327189109e-06,1.9684651876931558e-05,4.152276320962411e-05,1.9105722081143964e-06,3.9580634812060275e-06,5.87327797095866e-06,6.8821572266410045e-06,3.7691994558814433e-06,9.763763703086386e-06,5.210283185724302e-06,5.663321216972219e-06,1.3652073583938668e-05,2.0520462057665655e-06,1.8178627230865423e-05
2020-08-25,3.8107798368649986e-06,1.464374027224308e-05,7.402763544165581e-06,1.0751154494806834e-05,2.4194211776774525e-05,4.38618242175139e-05,2.253873301635185e-06,4.365157325211688e-06,7.130189572167655e-06,7.771567485400298e-06,5.449404921033779e-06,1.1386580508207487e-05,6.2638899614727864e-06,7.023197465156357e-06,8.738006176314033e-06,2.0314969538484524e-06,2.4847460972650376e-05
2020-08-26,4.1592754198644674e-06,1.575205012932433e-05,8.568475608398254e-06,9.11727320592957e-06,1.9945051383438628e-05,4.769653173678747e-05,2.2261902001252232e-06,4.155687142054098e-06,5.7689497483951235e-06,7.663075769795809e-06,4.028364742993489e-06,8.928765036996975e-06,4.7224010855925575e-06,5.835611788519374e-06,1.1599481503176808e-05,7.921807325485357e-07,1.6115754089708345e-05
2020-08-27,3.986947457394703e-06,1.8661261217032908e-05,7.780895705208115e-06,1.0628533512904938e-05,3.436999793780013e-05,4.564703590935629e-05,2.1439910431750596e-06,3.520906007176043e-06,6.298081767755206e-06,6.6063766635092385e-06,3.3713562205560056e-06,9.856822315677946e-06,4.305562804717421e-06,7.770913470878501e-06,1.4022764339894549e-05,2.521458796290241e-06,2.1532522243095475e-05
2020-08-28,4.03545614505125e-06,1.7870647630729565e-05,7.159506599479422e-06,9.946366133388421e-06,2.7496549183077522e-05,4.5040338126826386e-05,1.9645820948826094e-06,3.7345665527277555e-06,6.647659536186486e-06,6.471780199295418e-06,4.599644558501531e-06,8.29642229329705e-06,4.25931469076605e-06,5.459088266750394e-06,9.769943167878742e-06,1.5445568614879163e-06,1.806668831580942e-05
2020-08-29,3.7723780246352857e-06,1.76517911930726e-05,9.221944977598042e-06,9.510387937369772e-06,4.917291162644322e-06,4.2761423256325434e-05,1.752744829260806e-06,4.160229048550959e-06,5.680803152873461e-06,6.669752234666282e-06,3.8429214484896375e-06,1.0764952301711748e-05,3.991085056294255e-06,5.707745827599234e-06,1.094409584839144e-05,2.226842673342444e-06,2.023781883460409e-05
2020-08-30,3.994550367024977e-06,1.7353681839963557e-05,7.857048853165507e-06,1.2721402089331276e-05,2.4348791569474408e-05,3.805210125282043e-05,1.6975014213585844e-06,4.167072266807342e-06,4.943764027930429e-06,6.420543984704837e-06,2.6115107405292028e-06,6.6651181375527085e-06,4.293216845267533e-06,1.0200214996173397e-05,7.1554614214853e-06,1.966627801184746e-06,1.0342293409647292e-05
2020-08-31,4.021138251043764e-06,1.82931848739752e-05,8.00930094723658e-06,1.2938514561489482e-05,1.092669281788481e-05,4.0320470648368856e-05,2.367656167036564e-06,4.8779727167312735e-06,4.684177618940784e-06,5.838829751974527e-06,4.353329789400416e-06,1.0044937573610558e-05,4.54147744201026e-06,3.890911903684678e-06,1.3085489319151086e-05,8.061577553988385e-07,1.3722152901691185e-05
2020-09-01,4.165621298694322e-06,1.6531633504110567e-05,6.112882510013094e-06,1.0563052975823285e-05,2.3971473946004256e-05,4.4302988063091066e-05,1.8666240823885668e-06,4.19686532771181e-06,4.884059950692817e-06,5.9767699588071154e-06,4.489307591643603e-06,8.733494439840613e-06,4.062140727420504e-06,4.875584974970727e-06,1.0693223882246218e-05,2.2548909389784634e-06,2.0334953432956638e-05
2020-09-02,4.615778160428889e-06,1.6146541941660945e-05,7.546373109590414e-06,4.942572795859662e-06,1.3967000633170696e-05,4.335323239401695e-05,2.0627992554449857e-06,4.068431561318926e-06,5.189568844515023e-06,6.296878763134689e-06,3.629898217653977e-06,1.0445563548197236e-05,4.267032683247941e-06,6.091357262519681e-06,1.1234794521044401e-05,1.749078752270821e-06,1.4615275272816507e-05
2020-09-03,3.8067011042773776e-06,1.097361416421443e-05,6.673510252877043e-06,8.75966268084839e-06,1.6839056507663877e-05,4.719842315653198e-05,1.2890722709401243e-06,3.921140113990011e-06,8.624566214405112e-06,5.740946989577033e-06,5.4908810807102975e-06,9.237611695555416e-06,4.019584879198685e-06,5.509882998421655e-06,1.1810791126158935e-05,2.7150685666610022e-06,1.2582553693288555e-05
2020-09-04,4.137400006539218e-06,1.6033366342908632e-05,7.3098514732937965e-06,8.286382477743096e-06,0.0,5.278165587400066e-05,1.9210141689202565e-06,3.841821742186435e-06,7.382397258177658e-06,6.532283302883436e-06,2.786055975579291e-06,9.262988320579944e-06,4.089618736529818e-06,7.484985835062445e-06,1.8343956953788398e-05,1.73075688248455e-06,1.2748803718279667e-05
2020-09-05,3.67920939957059e-06,1.563940256933434e-05,7.37501301063616e-06,7.293180001516981e-06,3.09520861706079e-05,5.046820472949268e-05,1.919192851805426e-06,4.312587201342555e-06,5.406561977764389e-06,6.717314355714607e-06,4.24154419615641e-06,1.477294294463737e-05,4.9212514186042135e-06,7.1042405211670845e-06,1.5009788298113558e-05,1.810735169796032e-06,1.4231685514990482e-05
2020-09-06,3.7943148750634454e-06,1.7156055981275527e-05,8.192688939253325e-06,6.0101637332514495e-06,3.78292722908987e-05,4.8345037143275955e-05,1.974287362918848e-06,4.4287555605443165e-06,4.963401445133515e-06,6.523127977134337e-06,4.510553151290046e-06,9.289055239837476e-06,5.19709274631771e-06,5.1097726259570565e-06,8.379299777828851e-06,1.21507952573988e-06,1.7259183445157592e-05
2020-09-07,4.180386243927591e-06,1.531394791712997e-05,6.219515763529669e-06,1.0679281219369617e-05,3.4457331486420363e-05,4.3495419006503135e-05,1.7592819188881758e-06,4.399341717265659e-06,4.22090070208556e-06,6.675438152306075e-06,3.05866445992075e-06,9.004318471138759e-06,5.370495046070484e-06,5.238996873859748e-06,1.2511467436200816e-05,1.2244898583923397e-06,1.024682142485616e-05
