,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,2.4567963742582893e-06,8.91325745180156e-06,3.6918050527034436e-06,3.736605204493193e-06,9.842325938465779e-06,3.148131066873462e-05,1.1101973641745817e-06,2.0626528000651127e-06,5.460313113625628e-06,9.83165318091572e-06,2.307673136253945e-06,2.6443526695858963e-06,4.783210793451818e-06,2.8316606084861094e-06,2.9517996938245767e-06,6.313988325435586e-07,2.2218322171057742e-05
2020-08-25,2.374472839528082e-06,9.859151866460688e-06,4.0715199492910695e-06,2.150230898961367e-06,0.0,3.2118174507663406e-05,1.2762897009259481e-06,2.086490293811876e-06,6.0117284628080225e-06,9.096951087561588e-06,2.843167784887189e-06,2.439981537473033e-06,3.432268472039883e-06,1.5607105478125237e-06,2.912668725438011e-06,1.0938829751491665e-06,1.416537494702498e-05
2020-08-26,2.208689490507886e-06,9.021628710431209e-06,4.566715022058411e-06,3.7988638358039875e-06,4.986262845859657e-06,3.4498604186474615e-05,1.1926018929242268e-06,1.955617478613693e-06,5.1491452299725065e-06,6.1304606158366474e-06,3.396464391151373e-06,2.763665368594302e-06,3.323171134305874e-06,1.7831036020475866e-06,7.61215973645978e-06,1.4259253185873643e-06,1.2534475403106491e-05
2020-08-27,2.216372689923005e-06,1.0191919587764126e-05,4.200728969682909e-06,6.073447721659964e-06,1.4729999116200052e-05,3.493245834863922e-05,1.3468661681484348e-06,2.238095291383221e-06,5.865389127222405e-06,7.550144758296272e-06,3.449759853592192e-06,3.984672851018745e-06,4.041956918714313e-06,2.1494015983280963e-06,6.112487019954034e-06,1.5759117476814005e-07,1.531201581731234e-05
2020-08-28,2.2084796760206944e-06,6.932578822265779e-06,4.32453418760502e-06,2.295315261551174e-06,1.099861967323101e-05,3.4590979681402665e-05,1.1787492569295657e-06,2.218276373424757e-06,4.755260106177194e-06,8.66974328584858e-06,2.6170391453543195e-06,4.8235013333122385e-06,3.6249486729923836e-06,1.2477916038286613e-06,9.0462436739618e-06,1.716174290542129e-07,1.273933150473741e-05
2020-08-29,1.9611630525562103e-06,8.97548704732505e-06,4.278221896823834e-06,3.458322886316281e-06,4.917291162644322e-06,3.232646843438936e-05,8.640291411849044e-07,2.142207495149375e-06,5.2189492380057e-06,5.643636506256085e-06,2.3528090500956967e-06,2.7780522068933544e-06,3.515955882925891e-06,2.3139510111888787e-06,5.47204792419572e-06,1.7814741386739553e-06,1.3566010427591753e-05
2020-08-30,2.001253819336219e-06,1.0648850219977637e-05,4.676814793550897e-06,3.975438152916023e-06,9.739516627789762e-06,3.195744935091641e-05,1.0997896532745758e-06,2.51249945498678e-06,5.293765021058247e-06,6.8046790949008534e-06,2.6115107405292028e-06,3.3325590687763542e-06,2.283625981525283e-06,9.134520892095579e-07,2.7999631649290305e-06,1.4749708508885594e-06,1.1761823877638095e-05
2020-08-31,2.1940896339366582e-06,1.1179168534095956e-05,4.4441852816983465e-06,7.277914440837833e-06,5.463346408942405e-06,3.114432292890082e-05,7.383013854200039e-07,2.384177676155173e-06,4.537797068348885e-06,7.2699154754976945e-06,2.902219859600277e-06,2.8975781462338147e-06,2.7420241159307233e-06,2.490183618358194e-06,5.452287216312953e-06,1.4510839597179092e-06,1.0646497940967297e-05
2020-09-01,2.0914173049229755e-06,7.893482664124867e-06,4.139432250875008e-06,2.1126105951646568e-06,1.1985736973002128e-05,3.24503126269623e-05,1.1362059631930407e-06,1.622787926715233e-06,4.78014378152914e-06,1.4664652063877252e-05,3.82422498547418e-06,3.9697701999275516e-06,2.3335702051139067e-06,1.980706396081858e-06,3.5644079607487396e-06,3.2212727699692337e-07,1.175997306966167e-05
2020-09-02,2.129698574486259e-06,1.1491683003524456e-05,4.053480413151423e-06,2.196699020382072e-06,0.0,3.426657004880632e-05,9.90143642613593e-07,1.7358641328294084e-06,7.580840763066063e-06,7.616224789696243e-06,2.39243291618103e-06,3.013143331210741e-06,2.9335849697329594e-06,1.979691110318896e-06,3.6241272648530324e-06,4.770214778920421e-07,1.3908084533809257e-05
