,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,5.919014367024921e-06,3.1691582050849994e-05,1.0535151004056168e-05,1.4946420817972773e-05,2.4605814846164446e-05,5.4854826887224e-05,7.125917965399641e-06,8.808084930007779e-06,1.592208949939574e-05,1.6771643661562112e-05,4.692268710383022e-06,5.695528826800392e-06,1.554543507871841e-05,6.921837042966045e-06,1.0700273890114091e-05,1.4206473732230068e-06,2.962442956141032e-05
2020-08-25,5.462948001431741e-06,2.783760527000665e-05,1.1798154398513895e-05,1.2901385393768201e-05,2.4194211776774525e-05,5.68788817272277e-05,4.046109902935453e-06,7.796884782139117e-06,1.2070059471839362e-05,1.2832123057288863e-05,5.528381803947312e-06,8.336603586366197e-06,9.696158433512669e-06,7.335339574718861e-06,7.645755404274778e-06,1.4064209680489285e-06,2.7866311371196683e-05
2020-08-26,5.060522280933777e-06,2.8783291599947187e-05,1.3323508775696187e-05,9.877045973090368e-06,2.4931314229298285e-05,5.7709972746810354e-05,3.2597785073262197e-06,7.224920129322811e-06,1.0441322271888694e-05,1.0850915290030865e-05,5.924065798519836e-06,5.952510024664651e-06,1.005696527487304e-05,5.997712115978245e-06,1.0874513909228257e-05,1.10905302556795e-06,2.126384220169851e-05
2020-08-27,4.929010991631427e-06,3.00015661104606e-05,1.2649922465522397e-05,2.2775428956224868e-05,3.927999764320014e-05,6.131527090396653e-05,3.958137310477033e-06,6.7142858741496636e-06,1.1201931693793611e-05,1.1010627772515396e-05,4.547410716098798e-06,5.8721494646592025e-06,8.347519723431734e-06,5.456173288063629e-06,5.752928959956738e-06,2.206276446753961e-06,1.770451828876739e-05
2020-08-28,5.095187275579414e-06,3.111957604661528e-05,1.1051587368323941e-05,1.6832311918041943e-05,1.6497929509846515e-05,5.938118178640791e-05,3.0647480680168707e-06,7.160259180041937e-06,8.831197340043362e-06,1.1722469794950193e-05,6.502945755122854e-06,7.331722026634603e-06,7.249897345984767e-06,8.266619375364882e-06,7.598844686127911e-06,1.7161742905421291e-06,2.547866300947482e-05
2020-08-29,4.5300104312565985e-06,3.1414204665637676e-05,1.0505411546645192e-05,2.4208260204213966e-05,1.4751873487932968e-05,5.691793539237856e-05,3.0117587207016667e-06,6.892319767002336e-06,8.54429742505358e-06,1.0375170142814217e-05,5.019325973537486e-06,4.514334836201701e-06,7.221963435199127e-06,6.3247994305829355e-06,1.1628101838915906e-05,1.113421336671222e-06,2.1794574129573637e-05
2020-08-30,4.818127982537099e-06,2.6161990046611726e-05,8.418266628391615e-06,1.1131226828164865e-05,9.739516627789762e-06,5.3430834290267366e-05,2.988558840420043e-06,7.660059313984084e-06,9.887528055860859e-06,1.2347199970586226e-05,4.224502668503122e-06,6.165234277236256e-06,7.033568023097872e-06,7.459858728544723e-06,5.911033348183508e-06,7.374854254442797e-07,2.4943178223266997e-05
2020-08-31,4.934662559597316e-06,3.063382546356164e-05,9.425579773272318e-06,1.7790457522048036e-05,2.7316732044712026e-05,4.843914409533315e-05,3.411461574009673e-06,7.508789462833534e-06,9.07559413669777e-06,1.0361060638307738e-05,5.159501972622715e-06,3.863437528311753e-06,9.511396152134696e-06,4.980367236716388e-06,1.0904574432625906e-05,1.4510839597179092e-06,2.0819818195669384e-05
2020-09-01,4.996163561760442e-06,2.531871797926844e-05,8.615795033797983e-06,1.1267256507544837e-05,2.3971473946004256e-05,6.190132018929446e-05,3.2463027519801163e-06,5.931569663166024e-06,8.780916294330703e-06,1.010505436334399e-05,5.736337478211271e-06,7.344074869865971e-06,7.432853245918369e-06,7.618101523391762e-06,7.4852567175723534e-06,6.442545539938467e-07,1.5189965214979658e-05
2020-09-02,5.161084045428395e-06,2.4292545083399797e-05,7.417006713426007e-06,6.590097061146216e-06,2.3278334388617825e-05,6.174551280359989e-05,2.722895017187381e-06,7.1061937937703905e-06,8.394890777891947e-06,9.05551136412703e-06,5.4448473264809655e-06,6.227162884502199e-06,8.000686281089889e-06,4.568517946889761e-06,8.335492709161975e-06,1.2720572743787788e-06,2.074426167754601e-05
2020-09-03,4.99359770708495e-06,2.5312470005454618e-05,8.616430959410866e-06,6.698565579472297e-06,1.2629292380747907e-05,6.179963681671203e-05,2.914424264734194e-06,6.279308294431556e-06,7.872423811986062e-06,9.074400080299182e-06,5.736741427607773e-06,6.363688056938175e-06,7.67375295119749e-06,6.611859598105985e-06,6.4422497051776e-06,1.7568090725453545e-06,1.6555991701695467e-05
2020-09-04,5.355585233303977e-06,2.51088567256871e-05,8.70865021201051e-06,1.5935350918736722e-05,1.367409169845893e-05,6.811148259800949e-05,3.0227722952127565e-06,5.112800363661646e-06,5.9981977722693476e-06,1.240474000951602e-05,6.669649153659514e-06,7.047925896093435e-06,1.1392509337475922e-05,5.414670604087726e-06,9.524746879851669e-06,1.38460550598764e-06,2.1627434879224436e-05
2020-09-05,4.747932129922047e-06,2.8123487076434563e-05,1.011165305860807e-05,1.4586360003033962e-05,1.0317362056869299e-05,0.00010402706874787141,2.775049123556495e-06,6.866965774445452e-06,8.516531257009392e-06,9.171717677994943e-06,5.057225772340336e-06,5.950213130478941e-06,7.060925948432132e-06,4.682340343496488e-06,1.4371073902449151e-05,1.358051377347024e-06,1.4457585285069697e-05
2020-09-06,5.0618211414359915e-06,2.472838413852817e-05,1.073673445196883e-05,1.365946303011693e-05,3.362601981413217e-05,0.00010833287509290456,3.635577948789586e-06,6.892640696340098e-06,9.709109844427841e-06,9.98322194761429e-06,5.776673334108304e-06,9.289055239837476e-06,8.994968214780652e-06,5.419455815408999e-06,1.0474124722286064e-05,3.1592067669236885e-06,4.741076898187869e-05
2020-09-07,5.308043419553531e-06,5.2999576269719374e-05,8.39008502328499e-06,9.286331495104013e-06,2.4120132040494257e-05,7.921762969174876e-05,3.4135320814248186e-06,1.3035086569676027e-05,8.668731549444539e-06,1.1306147501203082e-05,6.519784769831072e-06,7.003358810885701e-06,1.4878912504687077e-05,6.6257901639990925e-06,1.0820728593470976e-05,1.0714286260932972e-06,1.759780201225297e-05
2020-09-08,4.917405331494274e-06,3.488566191396696e-05,9.010307792114179e-06,9.336852289218337e-06,1.5595855245509953e-05,7.266561182159731e-05,2.599473514712692e-06,1.196982455109966e-05,8.859567286282454e-06,1.1333302002502074e-05,5.742413139935329e-06,5.648244106982418e-06,9.123770022873629e-06,6.6435009334118815e-06,9.368671963981471e-06,1.6858795632161924e-06,2.0741130819551945e-05
2020-09-09,4.852183879007237e-06,2.77116691369379e-05,8.786815881926317e-06,8.7956858919837e-06,3.221971266460246e-06,6.037455385727869e-05,2.724421965127284e-06,1.1934372018876857e-05,8.895633756083501e-06,9.56271286866224e-06,6.057726036065573e-06,5.592991981047747e-06,7.886075158455948e-06,4.158241094818677e-06,5.712267379811514e-06,9.313565394268059e-07,1.5207509729004348e-05
2020-09-10,4.714729304764122e-06,2.6232228008877755e-05,8.816854534243781e-06,8.600001267368608e-06,1.607401763641215e-05,6.074937691328991e-05,2.4674358716286074e-06,1.2018845657062396e-05,8.49277288750103e-06,9.318558574080684e-06,5.363480645392502e-06,7.2805711688977235e-06,4.860633923876352e-06,7.410438407980076e-06,5.228246052412818e-06,4.5559664024813615e-07,2.039313938934873e-05
2020-09-11,4.3742835994717195e-06,2.5694665683437262e-05,9.118462949799969e-06,5.693181902285642e-06,4.020148986721448e-06,6.783093110141307e-05,3.1541118593210284e-06,5.437160627725632e-06,7.091646402664286e-06,9.922622996748881e-06,5.397318710197841e-06,5.153046398213807e-06,6.617329967007484e-06,4.78046967795888e-06,1.2393513164389682e-05,1.339773849523635e-06,1.9926249706029893e-05
2020-09-12,5.06920428607231e-06,2.5404896102888937e-05,9.382841312926266e-06,7.229748390296521e-06,2.7802362274047884e-05,7.062328507942989e-05,2.144073603493192e-06,6.648896000366201e-06,7.59305397157365e-06,9.644509215846382e-06,5.967226059166498e-06,5.139796254931767e-06,9.163670627796102e-06,5.229053954804811e-06,1.7710233841917785e-05,2.4199720735222716e-06,2.071778654935377e-05
2020-09-13,4.6911820892752804e-06,2.217301419219912e-05,8.574593244834563e-06,8.018328830596233e-06,3.7210812785635275e-05,6.543450631666708e-05,3.1509766579206735e-06,6.675546777041423e-06,9.143958031454532e-06,8.658995339194058e-06,3.835169727393005e-06,4.392381706755081e-06,6.6393182860197746e-06,7.083391848309472e-06,1.4291319452564512e-05,1.6880229706165842e-06,1.6939036846364916e-05
2020-09-14,4.977477343760355e-06,3.0809259209367725e-05,9.76605357867713e-06,1.0235191916245424e-05,3.2461823542937526e-05,5.931079452950923e-05,2.6615750988508994e-06,5.536447234528559e-06,9.649405250366054e-06,8.734604920277433e-06,8.112799098423848e-06,6.764564953916401e-06,5.280474534102454e-06,5.664594751829511e-06,1.175403370780302e-05,5.728092873006606e-07,1.5508981161083245e-05
2020-09-15,5.048899070952124e-06,2.9158064925021252e-05,9.004362857165454e-06,7.897387170237325e-06,3.9941571187291735e-05,6.097317756226193e-05,2.8189726130487714e-06,4.9166632192751175e-06,7.000143408343339e-06,9.065623023190535e-06,6.620858400751031e-06,5.849840445601846e-06,7.036991002995045e-06,5.381615754787755e-06,1.3123948788970358e-05,7.761593647663388e-07,1.9991017672286793e-05
2020-09-16,5.408312810778978e-06,2.4872403892152716e-05,7.665221337680652e-06,9.366079318475202e-06,1.162344681691909e-05,6.295533826454471e-05,3.658908917762418e-06,5.207934921645219e-06,1.0012997336263277e-05,1.0951452278024123e-05,5.306809115181712e-06,6.260874601138266e-06,4.367755204442391e-06,7.8435389309441e-06,1.6381609238669938e-05,8.776419399338931e-07,1.819234564917701e-05
2020-09-17,5.28303758846308e-06,2.5314970310945628e-05,8.589209286391315e-06,8.710266286593434e-06,2.5802604342865005e-05,5.574531766043718e-05,3.152098555462005e-06,4.955413080874701e-06,7.040338666928998e-06,1.2826259673275957e-05,4.8205838932240664e-06,6.016843551839018e-06,6.6609619228332e-06,5.97784159527589e-06,1.9995201151723585e-05,1.256941064233145e-06,1.772882925319663e-05
2020-09-18,5.042071735295912e-06,3.18466313853612e-05,1.0199896707599214e-05,9.505658243069187e-06,3.363442371152128e-05,6.27268157672878e-05,3.15804183510653e-06,5.653723990548066e-06,7.280010813242728e-06,9.821424156625841e-06,6.57410761419718e-06,6.608826476513883e-06,6.105401430144032e-06,7.687921424862999e-06,1.4858674077158558e-05,1.6325480450726925e-06,1.9254384166644204e-05
2020-09-19,4.529419529425076e-06,2.7091642243253475e-05,9.677226850863719e-06,1.1495410964322978e-05,2.233468979349346e-05,6.536196807042374e-05,4.035703675590878e-06,5.790681483470072e-06,8.78075978305363e-06,9.993743390650958e-06,4.871342478411902e-06,6.138021937290404e-06,6.562130941348457e-06,3.6758495247845754e-06,1.238936043024119e-05,1.7138191882195496e-06,1.848696884777686e-05
2020-09-20,5.869909925080841e-06,3.035815964393581e-05,1.239831438573554e-05,1.4539593389885428e-05,2.708128108000149e-05,7.018646713366097e-05,3.770713014407657e-06,7.623275949455292e-06,8.995782268990429e-06,1.34537230155803e-05,1.0810399228043492e-05,4.9646349196136246e-06,1.58633485309714e-05,7.363419463801805e-06,1.7531892105548364e-05,6.961585737845709e-07,1.6729085709841177e-05
2020-09-21,4.421606572073603e-06,2.6301095749273264e-05,9.72089697695391e-06,9.324406227892542e-06,2.6371539834210918e-05,5.993986475501063e-05,3.440584545484036e-06,5.546839510742467e-06,6.502727312738033e-06,1.0539165628600426e-05,6.756707880729957e-06,4.798502253088748e-06,5.525747674897337e-06,4.390057518836375e-06,1.0415963289835313e-05,9.008382943785116e-07,1.607721774462902e-05
2020-09-22,4.933932228061104e-06,2.996089422374387e-05,9.249377671700604e-06,9.236113202622253e-06,2.550817962293242e-05,5.897417135642781e-05,3.051351348320441e-06,5.127734662780622e-06,6.36860194327274e-06,8.802584976884962e-06,5.632688065999654e-06,5.552191268011356e-06,6.483297943946736e-06,6.2840295527181035e-06,4.4437093122866096e-05,1.8031531223463864e-06,1.7700876791093102e-05
2020-09-23,5.1423862204369e-06,2.8077926243807618e-05,9.723828620409235e-06,9.789904728563143e-06,2.5740835547521872e-05,5.790261153193101e-05,3.657313183442543e-06,4.7569911220702564e-06,8.783201444100269e-06,1.1221607701467656e-05,6.534437769116477e-06,4.454877897607537e-06,6.054049703065916e-06,4.6179439607723175e-06,2.512327853201892e-05,9.150311247837096e-07,1.7804083431671945e-05
