,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,2.412201060534129e-06,1.740207407256495e-05,5.672773617568706e-06,8.220531449885024e-06,2.4605814846164446e-05,5.2717625839669825e-05,1.8331165780557046e-06,2.8988633946861046e-06,3.487258795256704e-06,4.39532730440938e-06,2.6922853256296026e-06,8.136469752571989e-07,1.4520461337264449e-06,1.573144782492283e-06,2.9517996938245767e-06,3.156994162717793e-07,2.266717716441244e-05
2020-08-25,2.1710652011769e-06,1.6238603074170544e-05,5.181934480915907e-06,5.733949063896978e-06,1.935536942141962e-05,5.001662858351988e-05,1.194824400866845e-06,2.415936129676909e-06,3.5883960591954863e-06,5.000310862699416e-06,2.922144667800722e-06,6.099953843682582e-07,2.145167795024927e-06,2.0289237121562808e-06,7.645755404274778e-06,4.688069893496428e-07,2.2525268358383985e-05
2020-08-26,5.026672633569672e-06,1.632485195220885e-05,6.402816938143751e-06,3.7988638358039875e-06,4.986262845859657e-06,4.8616494515093456e-05,1.1130951000626116e-06,2.17290830957077e-06,2.6699271562820407e-06,5.8239375850448145e-06,2.448613863388199e-06,1.2755378624281394e-06,2.623556158662532e-06,6.48401309835486e-07,2.1749027818456514e-06,0.0,2.2830651627086823e-05
2020-08-27,2.6369367677072566e-06,1.26322383622992e-05,6.253357898050695e-06,7.591809652074955e-06,1.963999882160007e-05,4.7188173777678604e-05,1.5117885560849778e-06,1.937862996197667e-06,3.7500028846176035e-06,4.71884047393517e-06,2.195301725013213e-06,4.194392474756573e-07,1.5816353160186443e-06,1.6533858448677664e-06,3.236022539975665e-06,4.7277352430442014e-07,2.0575521254513455e-05
2020-08-28,2.284780317418722e-06,1.925716339518272e-05,6.102398242509306e-06,5.355735610286073e-06,5.499309836615505e-06,4.7994984307946194e-05,1.3883046803837107e-06,2.3305941644842383e-06,2.7658145515520417e-06,4.212762582560226e-06,2.4584307123025424e-06,1.1576403199949372e-06,2.356216637445049e-06,1.403765554307244e-06,1.8092487347923597e-06,1.716174290542129e-07,1.7371815688278285e-05
2020-08-29,2.087435120326429e-06,1.9895662954903863e-05,5.038794678481404e-06,1.1239549380527914e-05,3.4421038138510255e-05,4.2980338392449965e-05,9.627753287488934e-07,2.5147653203927442e-06,3.186792012587551e-06,5.1875850714071084e-06,2.3528090500956967e-06,6.945130517233386e-07,1.2353358507577456e-06,2.3139510111888787e-06,3.7620329478845577e-06,0.0,1.934824438033578e-05
2020-08-30,2.228036061288832e-06,1.7616616413296337e-05,5.144496272905987e-06,1.5901752611664096e-06,4.869758313894881e-06,4.174678660267935e-05,1.0997896532745758e-06,2.9414627765698886e-06,2.4062568277537487e-06,5.158385765489357e-06,2.073846764537896e-06,9.997677206329064e-07,2.3749710207862944e-06,1.6746621635508561e-06,3.422177201579926e-06,4.916569502961865e-07,1.8048315950168803e-05
2020-08-31,2.23895020266027e-06,1.655097679073947e-05,5.030231692471755e-06,4.043285800465463e-06,1.092669281788481e-05,4.584662652403363e-05,1.349309428526214e-06,2.4937950405761005e-06,3.3179591467497225e-06,5.7815863230335996e-06,2.7409854229558173e-06,5.79515629246763e-07,9.425707898511861e-07,2.17891066606342e-06,3.2713723297877716e-06,4.836946532393031e-07,1.892710745060853e-05
2020-09-01,2.3539202999853243e-06,1.63826998689384e-05,5.053957980719487e-06,2.1126105951646568e-06,5.992868486501064e-06,4.878387755723731e-05,1.109153440259873e-06,1.8186416420084508e-06,3.3253174132376627e-06,4.806062441102629e-06,2.327789121592979e-06,9.924425499818879e-07,1.469284943960608e-06,1.6759823351461876e-06,5.346611941123109e-06,1.6106363849846169e-07,1.9109956238200215e-05
2020-09-02,2.1125235859823376e-06,1.6292006283477708e-05,4.959045186302272e-06,7.139271816241734e-06,1.862266751089426e-05,4.8644662273758075e-05,1.4027034937025901e-06,2.251198797263139e-06,3.10356568152369e-06,5.5772354759192965e-06,2.144939855886441e-06,1.0043811104035804e-06,1.8668267989209741e-06,6.091357262519681e-07,3.986539991338336e-06,1.5900715929734735e-07,1.6501117243502508e-05
