,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,1.5729983386340202e-06,1.0611020775954239e-05,5.087487450676696e-06,7.473210408986386e-06,4.921162969232889e-06,3.368635936859211e-05,6.971006705282257e-07,1.5888001297798843e-06,2.844869017183101e-06,3.4699952403231955e-06,1.6922936332528929e-06,2.847764413400196e-06,2.2207764398169156e-06,2.3597171737384242e-06,4.058724579008793e-06,0.0,1.3465649800641055e-05
2020-08-25,1.6770752223240298e-06,1.2178952305627909e-05,5.505805385973151e-06,9.31766722883259e-06,1.935536942141962e-05,3.34269547464118e-05,1.3034448009456492e-06,1.1805142451830352e-06,3.5883960591954863e-06,4.277374352429621e-06,1.1056763607894623e-06,1.829986153104775e-06,1.8877476596219356e-06,1.716781602593776e-06,4.369003088157016e-06,3.125379928997619e-07,1.184318233275859e-05
2020-08-26,1.654401514920658e-06,1.2315239192017204e-05,5.1316694577769765e-06,5.3184093701255825e-06,2.9917577075157938e-05,3.350787504060663e-05,7.15561135754536e-07,1.3852290473513661e-06,2.6699271562820407e-06,4.720454674194218e-06,8.688629837829094e-07,2.5510757248562788e-06,1.661585567152937e-06,1.4589029471298435e-06,4.712289360665578e-06,4.7530843952912146e-07,1.0072346306067716e-05
2020-08-27,1.446740427577825e-06,8.612889792476727e-06,5.01223342973529e-06,3.036723860829982e-06,4.909999705400018e-06,4.1720803721011335e-05,8.520990043388057e-07,1.3101045608096904e-06,2.3557710429008023e-06,3.837990252133938e-06,1.2544581285789787e-06,1.887476613640458e-06,1.3180294300155369e-06,1.9840630138413195e-06,5.393370899959442e-06,0.0,1.0766261121547738e-05
2020-08-28,1.6319859410133729e-06,1.3711100337370097e-05,6.00629748278475e-06,5.355735610286073e-06,2.199723934646202e-05,3.660878682948449e-05,7.072495541577394e-07,1.1793368061245543e-06,2.377630053088597e-06,3.8464354014680316e-06,1.8239969800954347e-06,1.9294005333248954e-06,1.6312269028465725e-06,3.4314269105288186e-06,2.5329482287093037e-06,0.0,1.0423089412966971e-05
2020-08-29,1.4205607624149612e-06,1.1668133161522566e-05,5.7518316612853765e-06,1.0374968658948843e-05,9.834582325288644e-06,3.520885106002905e-05,7.899695005119126e-07,1.0555805048562136e-06,2.6787527062330144e-06,4.104462913640789e-06,1.1764045250478483e-06,2.4307956810316854e-06,1.1403100160840727e-06,2.3139510111888787e-06,4.1040359431467904e-06,2.2268426733424442e-07,8.450957315548962e-06
2020-08-30,1.5118816130174215e-06,1.367259781330462e-05,6.266931823358202e-06,7.155788675248843e-06,3.408830819726417e-05,3.176797830733391e-05,6.694371802540896e-07,1.4707313882849443e-06,2.23125633118984e-06,3.0182044372544106e-06,1.4593736491192603e-06,2.1661633947046303e-06,1.5528656674371925e-06,1.9791461932873754e-06,5.599926329858061e-06,2.4582847514809323e-07,9.733923209079803e-06
2020-08-31,1.5619634382857622e-06,1.2485824596522756e-05,5.274417696960676e-06,9.703885921117111e-06,2.7316732044712026e-05,3.472609062609095e-05,6.364667115689689e-07,1.2605996908406662e-06,2.976404528701957e-06,3.3201188785737503e-06,1.048023838188989e-06,1.9317187641558767e-07,1.4567003115881965e-06,2.490183618358194e-06,2.5444007009460445e-06,6.449262043190708e-07,1.253920868602815e-05
2020-09-01,1.592231281525722e-06,1.2361491719289885e-05,5.58342024536629e-06,8.450442380658627e-06,1.797860545950319e-05,3.273940227174593e-05,7.033655962623585e-07,8.393730655423618e-07,2.493988059928247e-06,5.422224292526043e-06,1.0807592350253118e-06,1.5879080799710206e-06,1.2964278917299483e-06,3.5043267007602103e-06,3.5644079607487396e-06,1.6106363849846169e-07,1.12699741917591e-05
2020-09-02,1.4469927814553817e-06,9.018789192639447e-06,5.605877167124308e-06,5.49174755095518e-06,9.31133375544713e-06,3.0215889244314842e-05,4.950718213067965e-07,1.3561438537729753e-06,2.238637540771186e-06,4.857592188703903e-06,1.402460675002673e-06,1.4061335545650126e-06,1.1556546850463173e-06,2.2842589734448804e-06,5.798603623764852e-06,1.5900715929734735e-07,9.193479607094255e-06
2020-09-03,1.7134470956894772e-06,1.3899911274671611e-05,4.73058954634322e-06,5.668017028784252e-06,4.209764126915969e-06,3.2487700393900594e-05,9.247692378483501e-07,1.3436074516469269e-06,3.409712224299695e-06,3.45691431630445e-06,9.834413875899039e-07,1.2316815594073887e-06,1.2789588251995815e-06,9.445513711579979e-07,3.9369303753863115e-06,6.388396627437652e-07,9.050608796926855e-06
2020-09-04,1.6877402596268118e-06,1.2100653843704627e-05,5.64031749482546e-06,2.5496561469978754e-06,4.558030566152976e-06,3.623758544908025e-05,3.95502917130641e-07,1.213206865953611e-06,2.2557324955542845e-06,4.0249422371301974e-06,1.772944711732276e-06,1.0068465565847765e-06,8.763468721135324e-07,1.7518051954401467e-06,1.4110736118298767e-06,1.73075688248455e-07,8.42331674243478e-06
2020-09-05,1.5811840395773605e-06,1.2209709023427689e-05,5.334128907063889e-06,4.375908000910189e-06,5.1586810284346495e-06,3.821864047476145e-05,5.705708478340456e-07,1.725034880537022e-06,2.727203829491772e-06,3.4878363000825843e-06,1.141954206657495e-06,0.0,1.818723350353731e-06,2.74482020136001e-06,3.1935719783220335e-06,9.05367584898016e-07,5.873394022059564e-06
2020-09-06,1.5956632285401949e-06,1.2068398000621404e-05,5.001852194491503e-06,3.278271127228063e-06,1.2609757430299566e-05,3.321907155275132e-05,5.537635286235793e-07,1.7777399081058171e-06,3.004164032580812e-06,3.2332025625796285e-06,2.532240365636517e-06,7.905578927521257e-07,1.0993850040287462e-06,3.871039868149285e-06,2.3940856508082434e-06,2.43015905147976e-07,1.0605040430157075e-05
2020-09-07,1.6592669869924543e-06,1.1052675453232934e-05,6.010807180860889e-06,2.785899448531204e-06,6.891466297284073e-06,3.299295087467077e-05,7.877381726364966e-07,1.466447239088553e-06,2.9047058594997406e-06,2.585980545487939e-06,2.0927704199457763e-06,8.00383864101223e-07,1.1445317311297752e-06,1.540881433488161e-06,2.367034379821776e-06,4.591836968971274e-07,9.133036487371794e-06
