,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,2.2054409696312034e-06,1.0752501052966961e-05,4.142025181081912e-06,5.23124728629047e-06,1.4763488907698667e-05,3.521293154541652e-05,8.520119306456092e-07,1.5888001297798843e-06,4.8179233355520255e-06,4.800160082447087e-06,1.5384487575026299e-06,4.068234876285994e-06,1.5374606121809416e-06,2.8316606084861094e-06,5.534624425921082e-06,1.5784970813588965e-07,1.0772519840512844e-05
2020-08-25,2.07143697014775e-06,1.2903889942867665e-05,4.395390854348314e-06,5.733949063896978e-06,1.4516527066064715e-05,3.5443183762862036e-05,4.887918003546185e-07,1.235421884493874e-06,4.660254622331801e-06,5.3617791178343135e-06,1.1056763607894623e-06,2.2366497426836137e-06,1.8019409478209385e-06,2.8092789860625425e-06,9.830256948353286e-06,0.0,1.1378743809905312e-05
2020-08-26,2.2383079319514784e-06,8.305626431825557e-06,4.331317340509008e-06,3.0390910686431903e-06,4.986262845859657e-06,3.7010810234925586e-05,3.975339643080756e-07,1.5481971705691737e-06,4.100245275718848e-06,4.413931643402386e-06,2.0536761434868765e-06,2.763665368594302e-06,9.619705915095951e-07,2.7557055668008157e-06,6.524708345536954e-06,1.5843614650970714e-07,1.4996604500145265e-05
2020-08-27,1.9514173209189268e-06,8.325793466060836e-06,4.248464526156579e-06,6.073447721659964e-06,1.4729999116200052e-05,3.827159039667091e-05,1.0719955215875298e-06,1.2555168707759534e-06,4.182695525150404e-06,4.71884047393517e-06,1.5680726607237236e-06,3.14579435606743e-06,1.2301608013478344e-06,3.141433105248756e-06,4.67425477996485e-06,3.151823495362801e-07,9.330759638674707e-06
2020-08-28,2.0474005441804133e-06,9.70561035117209e-06,4.5647860869164105e-06,6.120840697469797e-06,1.6497929509846515e-05,3.6176399583466955e-05,5.762774144988987e-07,2.2463558211896273e-06,3.736275797710653e-06,4.945416944744612e-06,2.696343361880208e-06,1.736460479992406e-06,2.446840354269859e-06,2.0276613562215746e-06,5.42774620437708e-06,6.864697162168516e-07,1.389745255062263e-05
2020-08-29,1.945379044084933e-06,9.573852850480053e-06,3.8979355059950485e-06,4.322903607895351e-06,9.834582325288644e-06,4.046281432701784e-05,3.7029820336495904e-07,1.6144172427212679e-06,4.0181290593495216e-06,3.4773921907234464e-06,1.5685393667304645e-06,2.60442394396252e-06,1.425387520105091e-06,1.8511608089511029e-06,9.918086862604743e-06,1.7814741386739553e-06,1.2231648746189285e-05
2020-08-30,2.013189726807409e-06,9.728579213312903e-06,4.302669610066825e-06,3.180350522332819e-06,2.4348791569474408e-05,4.114679496466807e-05,5.498948266372879e-07,2.1141763706596075e-06,3.2375091864323163e-06,4.390115545097325e-06,9.217096731279539e-07,2.6660472550210835e-06,2.1922809422642716e-06,3.044840297365193e-06,1.0577638623065226e-05,4.916569502961865e-07,9.531133142223974e-06
2020-08-31,2.0554296942454936e-06,9.1465924369876e-06,4.590696884391699e-06,2.425971480279278e-06,0.0,3.6329358071499864e-05,4.837147007924164e-07,1.918303877366231e-06,4.245035967165086e-06,3.778066310101164e-06,1.5317271481223686e-06,1.9317187641558765e-06,1.9708298333252072e-06,1.5563647614738711e-06,3.2713723297877716e-06,1.612315510797677e-07,1.0883086784099905e-05
2020-09-01,2.0871139771350684e-06,6.702013582747528e-06,3.706235852527624e-06,1.4084070634431046e-06,1.797860545950319e-05,3.9027102045789845e-05,5.681029815965203e-07,2.042474459486414e-06,3.4292335824013396e-06,4.682830070817946e-06,1.7458418411947345e-06,2.778839139949286e-06,2.0742846267679172e-06,2.1330684265496934e-06,9.267460697946723e-06,0.0,8.574980363294967e-06
2020-09-02,2.1683422986200823e-06,1.0327968268990333e-05,3.4928926964389916e-06,9.335970836623805e-06,2.3278334388617825e-05,3.955799992854745e-05,9.351356624683935e-07,1.8986013952821653e-06,4.172006325982665e-06,4.13794890148851e-06,1.6499537352972623e-06,1.2052573324842965e-06,1.4223442277493137e-06,2.4365429050078723e-06,9.060318162132582e-06,1.2720572743787788e-06,9.900670346101506e-06
2020-09-03,2.0975699962344736e-06,1.4631485552285906e-05,2.9988558731282917e-06,1.5458228260320686e-06,8.419528253831938e-06,3.8364688892123055e-05,8.687226173726925e-07,2.1936448190153907e-06,4.011426146234936e-06,4.938449023292071e-06,1.721022428282332e-06,1.847522339111083e-06,1.4616672287995216e-06,2.8336541134739937e-06,1.0379180080563912e-05,7.985495784297065e-07,9.271355352949462e-06
