,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,1.707595103692395e-05,8.432224509958301e-05,2.9759550485816782e-05,2.765087851324963e-05,9.350209641542489e-05,9.210318800173975e-05,1.1282703445216097e-05,3.489785548218272e-05,6.804743149165384e-05,7.80748929072719e-05,2.0615213350535242e-05,2.156164484431577e-05,5.141951602960705e-05,3.429455625833177e-05,3.320774655552649e-05,2.0994011182073323e-05,4.8251911785630446e-05
2020-08-25,1.2702599456216662e-05,5.08906221342309e-05,2.142174700592915e-05,3.0103232585459135e-05,5.3227265908903956e-05,8.931540818485694e-05,1.3387464309712605e-05,1.6911552907738363e-05,2.842755319622398e-05,4.1990562304837265e-05,1.5084584636484808e-05,1.8503193325837166e-05,2.1280064526647273e-05,2.247423188850034e-05,3.167527238913837e-05,1.2188981723090713e-05,4.087059001108847e-05
2020-08-26,1.1356556690657406e-05,4.6969749476530734e-05,2.0432518758488145e-05,2.5832274083467117e-05,3.9890102766877255e-05,8.414121103121706e-05,7.341127207555796e-06,1.7953654907828488e-05,2.288508991098892e-05,3.598580381496112e-05,1.7377259675658187e-05,1.4881275061661626e-05,1.7927633750860635e-05,1.5561631436051665e-05,2.1749027818456514e-05,1.0932094109169792e-05,3.8946405716795164e-05
2020-08-27,1.0997750634058174e-05,3.9619293045392946e-05,1.7662155895257686e-05,2.201624799101737e-05,3.436999793780013e-05,8.413878885864467e-05,7.916274620954066e-06,1.4711382464092149e-05,1.7548090421608015e-05,3.221395096873076e-05,1.2230966753645043e-05,1.3422055919221034e-05,1.318029430015537e-05,1.76912285400851e-05,2.049480941984588e-05,7.879558738407003e-06,4.282579423904545e-05
2020-08-28,1.0567638833626854e-05,4.174953024075614e-05,1.92201519449112e-05,1.9127627179593116e-05,6.049240820277055e-05,8.705396553153004e-05,6.443829271214959e-06,1.3421976031608023e-05,1.834171755239775e-05,3.058831962119816e-05,1.3798933675504592e-05,1.4470503999936716e-05,1.8849733099560392e-05,2.3708040472744565e-05,2.1349135070549846e-05,5.663375158789026e-06,3.474363137655657e-05
2020-08-29,9.549325125122794e-06,4.622375829372401e-05,1.768331717353851e-05,3.804155174947909e-05,6.884207627702051e-05,8.855117256237357e-05,5.184174847109427e-06,1.5554289203910678e-05,1.5703033105503875e-05,2.6907034656089618e-05,1.3803146427228086e-05,1.3369376245674268e-05,1.738972774528211e-05,1.3729442666387346e-05,1.778415575363609e-05,8.907370693369776e-06,2.8688776150153053e-05
2020-08-30,1.04439190372914e-05,4.483034475323919e-05,1.7163910292331793e-05,3.4983855745661005e-05,6.330685808063346e-05,8.137781321868735e-05,6.861731097604419e-06,1.4921795543640997e-05,1.8856303504761193e-05,2.628581682627023e-05,1.3057553702646014e-05,1.9162214645464038e-05,1.653345210624305e-05,1.4615233427352927e-05,2.3955240411059482e-05,1.2291423757404661e-05,2.7985029226104434e-05
2020-08-31,9.897872753836932e-06,3.615081772714147e-05,1.7825578327691173e-05,2.1833743322513502e-05,5.463346408942405e-05,8.330168301465038e-05,6.1864564364503775e-06,1.2030505745196793e-05,1.5955480014517046e-05,2.5874029881298882e-05,1.3140606586523477e-05,1.4874234484000249e-05,1.3024614550670934e-05,1.556364761473871e-05,2.1809148865251812e-05,5.804335838871637e-06,3.4068793411095354e-05
2020-09-01,9.83310399536831e-06,3.872274514476349e-05,1.6461463137200615e-05,1.9717698888203465e-05,5.9928684865010636e-05,7.899374543712649e-05,6.0597651370295505e-06,1.124759907826765e-05,1.4704137936660288e-05,2.7912131869480653e-05,1.4049870055329053e-05,1.826094291966674e-05,1.529784912241339e-05,1.6150375229590536e-05,2.174288856056731e-05,3.060209131470772e-06,2.9399932674154177e-05
2020-09-02,1.0519680458651885e-05,4.494848162138046e-05,1.7076364293701735e-05,1.867194167324761e-05,3.724533502178852e-05,8.477235593543886e-05,5.940861855681559e-06,1.2720629348390508e-05,1.643363467429757e-05,2.500760423073491e-05,1.5509565111794267e-05,1.2253449546923681e-05,1.1556546850463173e-05,1.4466973498484241e-05,2.1744763589118196e-05,6.519293531191242e-06,2.6873248082275512e-05
2020-09-03,1.0410162203534054e-05,4.3601826945812e-05,1.6303638972218598e-05,1.8549873912384822e-05,4.630740539607566e-05,8.202231773606137e-05,5.520592116852272e-06,1.4861943648829272e-05,1.5092990875208945e-05,2.567993492111877e-05,1.4505760466951083e-05,1.3959057673283739e-05,1.3063650857395726e-05,1.322371919621197e-05,2.4337387775115377e-05,8.304915615668949e-06,3.0683771287142265e-05
2020-09-04,1.1163006441626156e-05,4.1142223068595733e-05,1.7236810264186606e-05,1.3385694771738847e-05,1.8232122264611905e-05,8.283418747156251e-05,6.497547924289102e-06,1.4471824758160932e-05,1.5841394116506225e-05,2.4149653422781186e-05,1.249503892077985e-05,1.5505436971405557e-05,1.3437318705740832e-05,1.528848170565946e-05,1.9402262162660804e-05,6.57687615344129e-06,2.914012278463924e-05
2020-09-05,9.990805524310138e-06,4.390007738760517e-05,1.6512607747084738e-05,1.239840600257887e-05,1.547604308530395e-05,8.393778337011218e-05,5.55009824711299e-06,1.5094055204698943e-05,1.574122912110163e-05,3.061545196739157e-05,1.264306443085084e-05,1.2105606024077844e-05,1.4014868170372869e-05,1.8567901362141244e-05,2.682600461790508e-05,7.242940679184128e-06,2.8463371029980965e-05
