,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,1.5446195026277363e-06,7.4984546816743285e-06,2.8814088216221997e-06,3.736605204493193e-06,0.0,2.3068201783124504e-05,3.614596069405615e-07,1.8396633081661818e-06,3.946108636737849e-06,4.048327780377061e-06,1.3076814438772355e-06,4.678470107728893e-06,2.2207764398169156e-06,2.3597171737384242e-06,7.379499234561442e-06,0.0,1.1670229827222247e-05
2020-08-25,1.1955387723498035e-06,4.059650768542636e-06,2.2208290632496745e-06,0.0,4.838842355354905e-06,2.575113550834687e-05,4.073265002955154e-07,1.7021368186360041e-06,2.56314004228249e-06,4.5183531891862195e-06,1.2636301266165285e-06,2.439981537473033e-06,1.7161342360199416e-06,2.0289237121562808e-06,6.189421041555773e-06,4.688069893496428e-07,1.2307620855611868e-05
2020-08-26,1.214356099187286e-06,5.155216405960691e-06,2.448135888113787e-06,7.597727671607976e-07,0.0,2.0062265203826776e-05,3.975339643080756e-07,1.2222609241335583e-06,1.7640590139720625e-06,3.4330579448685223e-06,1.1848131597039672e-06,2.5510757248562788e-06,1.3992299512866838e-06,2.1073042569653295e-06,4.712289360665578e-06,3.1687229301941427e-07,8.953196716504636e-06
2020-08-27,1.1102891653504238e-06,5.741926528317818e-06,2.2913067107361326e-06,7.591809652074955e-07,9.819999410800036e-06,2.1392461362664562e-05,3.848189051852671e-07,1.0644599556578736e-06,2.9326945636112026e-06,3.3975651412333224e-06,9.408435964342341e-07,2.3069158611161152e-06,1.2301608013478344e-06,1.818724429354543e-06,5.033812839962146e-06,0.0,9.330759638674707e-06
2020-08-28,1.0427754324397137e-06,4.467661907682391e-06,1.825914434766564e-06,7.651050871837246e-07,5.499309836615505e-06,1.913313563627585e-05,4.1911084690829e-07,1.3197340449489061e-06,2.0379686169330833e-06,3.6022172807399028e-06,2.379126495776654e-07,2.7011607466548536e-06,1.993721770145811e-06,2.9635050590930706e-06,3.6184974695847193e-06,1.716174290542129e-07,9.496592576258796e-06
2020-08-29,1.0456905612221242e-06,4.786926425240027e-06,2.0440393507047205e-06,5.1874843294744216e-06,9.834582325288644e-06,1.89361592747721e-05,5.677905784929372e-07,1.552324271847373e-06,2.0321572254181488e-06,2.5082828916693712e-06,1.4116854300574179e-06,4.167078310340032e-06,1.9005166934734547e-06,2.1596876104429533e-06,4.446038938409023e-06,4.4536853466848883e-07,1.2231648746189285e-05
2020-08-30,9.82723048461324e-07,4.60135503332367e-06,2.0577985091623944e-06,7.950876305832048e-07,0.0,1.9073418387305844e-05,1.9126776578688277e-07,7.660059313984085e-07,2.1437560829078853e-06,2.963327992940694e-06,6.14473115418636e-07,2.332791348143448e-06,1.1874855103931472e-06,1.6746621635508561e-06,1.8666421099526868e-06,2.4582847514809323e-07,8.922762941656487e-06
2020-08-31,9.583848772771647e-07,5.081440242770889e-06,1.7581392323202252e-06,1.6173143201861853e-06,0.0,1.8932200685147815e-05,4.073386954041401e-07,1.0139606208935793e-06,1.8053601239667606e-06,2.747684589164483e-06,1.3704927114779087e-06,1.9317187641558765e-06,1.7137650724567019e-06,1.4007282853264842e-06,3.2713723297877716e-06,1.612315510797677e-07,7.570842980243412e-06
2020-09-01,9.123054910363597e-07,5.659478136542357e-06,1.5402538607907008e-06,7.042035317215523e-07,0.0,1.97665044620806e-05,3.5168279813117927e-07,8.113939633576165e-07,1.5587425374551543e-06,2.464647405693656e-06,6.650826061694227e-07,2.778839139949286e-06,1.2099993656146183e-06,3.1996026398245398e-06,2.1386447764492438e-06,1.6106363849846169e-07,1.3719968581271949e-05
2020-09-02,9.102743907078366e-07,3.6366085454191314e-06,1.6817631501372923e-06,1.647524265286554e-06,0.0,2.123870475868507e-05,4.125598510889971e-07,1.1662837142447588e-06,1.7298562815050075e-06,2.5187515052538758e-06,9.899722411783574e-07,3.2140195532914574e-06,1.0667581708119852e-06,2.2842589734448804e-06,3.2617145383677292e-06,0.0,9.664940099765755e-06
2020-09-03,1.359536108670492e-06,3.950501099117195e-06,2.02739551986138e-06,1.5458228260320686e-06,4.209764126915969e-06,1.9529123270490805e-05,6.165128252322333e-07,1.0419812890323106e-06,2.105998726773341e-06,3.395183703513299e-06,7.375810406924279e-07,4.105605198024629e-06,1.0962504215996413e-06,2.8336541134739937e-06,7.1580552279751116e-06,1.597099156859413e-07,8.609115684881642e-06
2020-09-04,1.1428792309283923e-06,5.445294229667082e-06,1.804901598344147e-06,7.011554404244157e-06,4.558030566152976e-06,2.0755978262457484e-05,5.932543756959615e-07,9.243480883456084e-07,2.6145990289379206e-06,4.222890216005453e-06,1.0131112638470147e-06,3.624647603705195e-06,1.1684624961513767e-06,1.2740401421382884e-06,4.938757641404568e-06,6.9230275299382e-07,8.878631160944769e-06
2020-09-05,9.241823610826124e-07,3.978444513251719e-06,1.3915118887992756e-06,7.293180001516981e-07,5.1586810284346495e-06,2.1069250518137723e-05,3.630905395307563e-07,1.4596448989159416e-06,2.248747017300233e-06,3.294067616744663e-06,9.7881789142071e-07,1.0258988155998173e-06,1.604755897370939e-06,1.1302200829129452e-06,2.87421478048983e-06,0.0,1.5135284595307339e-05
2020-09-06,9.96776772584235e-07,5.205975608111194e-06,1.2935824640926302e-06,5.463785212046772e-07,0.0,2.067322802457631e-05,3.6115012736320393e-07,1.2787251970585702e-06,2.742932377573785e-06,3.80043108233044e-06,3.9566255713070576e-07,2.5693131514444086e-06,1.1993290953040868e-06,2.1677823261635996e-06,3.8903891825633955e-06,7.290477154439281e-07,9.149446645625712e-06
2020-09-07,9.947547227843113e-07,4.660766757387382e-06,9.183177637426357e-07,0.0,0.0,2.052126996811983e-05,2.6257939087883223e-07,8.961622016652268e-07,1.7700551331326544e-06,2.4657023805815234e-06,7.244205299812302e-07,2.000959660253057e-06,1.5847362431027658e-06,1.0786170034417127e-06,4.734068759643552e-06,0.0,9.133036487371794e-06
2020-09-08,1.0644638026579285e-06,4.080964223898021e-06,1.4811464863749334e-06,1.778448055089207e-06,0.0,1.9255127451488146e-05,3.1508769875305354e-07,1.0107851843150825e-06,1.4366865869647222e-06,2.7101374353809303e-06,4.852743498536898e-07,7.790681526872301e-07,7.603141685728024e-07,1.2360001736580243e-06,4.684335981990736e-06,1.532617784741993e-07,8.514780020658167e-06
2020-09-09,1.008743490635715e-06,4.1155944262779055e-06,1.4438429852930567e-06,1.3193528837975549e-06,9.665913799380738e-06,1.9314048497938824e-05,5.448843930254568e-07,5.795942260823198e-07,1.638669376120645e-06,2.139027878516554e-06,1.1460562770934866e-06,2.3969965633061774e-06,7.799414991879509e-07,1.540089294377288e-06,2.856133689905757e-06,1.5522608990446765e-07,5.648503613630187e-06
2020-09-10,9.134788027980487e-07,5.3563188080954575e-06,1.1755806045658375e-06,9.052632913019587e-07,0.0,2.1163136052285564e-05,3.4429337743654986e-07,7.76272882081981e-07,1.5182610748605192e-06,2.2807660845652023e-06,9.75178299162273e-07,2.629095144324178e-06,1.2601643506346097e-06,1.4498683841700147e-06,4.531146578757776e-06,0.0,7.843515149749513e-06
2020-09-11,8.204438626803127e-07,4.604246451945406e-06,1.490517982178841e-06,5.693181902285641e-07,0.0,2.4414592946658164e-05,3.070374376330205e-07,7.612024878815884e-07,1.156793384831763e-06,2.1401735875340723e-06,9.813306745814256e-07,2.3924858277421244e-06,2.236843932509572e-06,1.115442924857072e-06,4.957405265755874e-06,3.349434623809088e-07,1.0658226586946221e-05
2020-09-12,9.859136883596394e-07,3.862732740790131e-06,1.4258239250035013e-06,1.4459496780593042e-06,4.633727045674647e-06,2.520864353969689e-05,2.890885757518911e-07,1.1188046154462357e-06,1.8009166471040069e-06,2.5891299908312435e-06,8.870200898761011e-07,1.4178748289466944e-06,2.0917074259099797e-06,3.0106674285239825e-06,5.680641043634006e-06,0.0,1.1771469630314642e-05
2020-09-13,9.863511059501871e-07,2.450056816817582e-06,1.5972281534495757e-06,3.741886787611575e-06,3.3828011623304794e-06,3.687209199129415e-05,2.286999187200489e-07,1.2248709682644812e-06,1.4100496029813063e-06,1.22039531626225e-06,1.0174940093083483e-06,1.0980954266887702e-06,1.4961844024833294e-06,2.001828131043981e-06,4.872040722465175e-06,2.41146138659512e-07,1.1219362067072865e-05
2020-09-14,1.0412278282681628e-06,5.201563243140005e-06,1.5803987119021083e-06,4.264663298435594e-07,2.7051519619114605e-06,3.218224768257986e-05,1.520900056486228e-07,7.488914133661819e-07,1.708267915136574e-06,2.1667237011540916e-06,1.2602406366483648e-06,2.066950402585567e-06,7.665204968858402e-07,1.9902630209130714e-06,4.148482485106948e-06,2.864046436503303e-07,1.0788856459883996e-05
2020-09-15,9.921233811363041e-07,6.6145610246575985e-06,1.8657688803135627e-06,2.078259781641401e-06,1.1411877482083352e-05,2.0831596612180992e-05,2.898009228367896e-07,8.194438698791863e-07,2.223018514811736e-06,2.350346709716065e-06,8.881639318080651e-07,3.509904267361108e-06,8.478302413247042e-07,1.6913649515047228e-06,4.835139027515395e-06,7.761593647663388e-07,8.85965555930892e-06
2020-09-16,1.2385122046871035e-06,4.190459351395295e-06,1.08356531998627e-06,0.0,2.9058617042297725e-06,2.085214257034171e-05,3.576377137662514e-07,7.839902032584201e-07,1.6300228221823938e-06,2.770849371548272e-06,5.896454572424124e-07,2.5434803067124206e-06,7.861959367996304e-07,1.2303590479912313e-06,5.576718038696149e-06,1.4627365665564884e-07,8.75927753478893e-06
2020-09-17,1.239809627615126e-06,3.955464111085254e-06,1.963247836889443e-06,0.0,0.0,2.008010451086468e-05,3.725207383727824e-07,9.176690890508706e-07,2.1406435135932768e-06,2.7912067682776693e-06,1.1248029084189488e-06,8.02245806911869e-07,1.065753907653312e-06,2.4234492953821175e-06,3.8587230292799906e-06,4.7135289908742934e-07,9.201037966848885e-06
