Weeks,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,-14.16289009621494,42.42880900115984,-20.640494739096894,-12.738498894052096,-36.59311024350792,2.532426987853076,-22.199324974243005,-6.969605984850736,-10.870622254010009,-3.3719828444979782,-56.45160353750994,-32.95060520558171,-33.16869166160623,-11.81824474270311,-89.07045686158753,8.63328484640049,35.306632261899715
2020-08-31,-2.5861883558261356,-19.08056662499067,-8.37309584786089,-14.071562296491901,2.9927426377106103,21.91029061682277,-26.333118334932028,-21.324873347979157,3.584004605051927,-33.58102678900302,-31.36698528186882,-35.440298249561664,10.200551919427214,-16.73908108682213,-57.5603994997668,-64.6439319833298,12.164398375217056
2020-09-07,-2.016600042841865,-4.513034196721499,-2.746756799928185,-39.471724658235466,30.174037050253855,18.442303064731647,-21.05509865644064,-18.12104444201338,7.950305924265799,-27.23299201057462,-40.867123199062746,-36.6521469283206,-21.583679038276372,-7.954270751277159,-71.5069674286243,-61.78167159084015,36.17177409430668
2020-09-14,0.3764757417600961,-10.792252815788839,-9.887339731584033,27.466372378264346,-10.82360663213925,14.769699340080699,-37.33892061056683,-26.68567322668357,36.91629340139062,4.6342848900945866,-36.02170724924542,-41.72221970113564,-16.24702817868743,6.776547392000687,-81.15794513782524,-55.67998446023,24.766420603266305
2020-09-21,2.245426361451641,2.863776038788979,-26.24812296763843,6.728846174266567,-76.92912630579522,4.01539542519036,-20.506092935795028,-20.08019500121484,7.638290377916568,-25.153543362683482,-27.718863333071674,-17.512034055507563,-19.64659988748111,-11.824150779804354,-72.12455859840931,-47.86417823065167,-6.724760914291073
2020-09-28,-9.953794326308884,14.05546708359724,-38.041505261977996,-9.68382521485064,14.535061553636353,-4.722227478412799,-10.714078420847862,-12.383511804245185,-15.678888197375517,-22.152798222802705,-34.016025152388465,-30.733151381041967,-12.426943989127926,-48.73075840695225,-65.34150018798417,-30.11795617424734,-48.51188759626381
2020-10-05,-1.2607830151941113,3.0252564917389257,-24.323785262317898,17.668461489492948,-64.64672345359288,7.146229341857802,1.2088205233008686,-10.509052341469715,-13.878818270956117,-20.746240310153986,-15.41753844218996,-47.68549451460687,-27.562084995424165,-43.38972638689893,-62.092621287729564,-38.49424023163075,-40.28682536217839
2020-10-12,5.255946499097619,1.800510348892792,-12.946277028156084,-20.279726226090812,-84.21173450063307,9.755833808160673,2.9781398653368374,5.477176617511437,-9.109487781279025,-3.705588532807047,-19.8285132252664,-36.92393266799275,-8.554238751905974,-37.66984240299611,-77.38076443696174,17.266278408256408,41.348889455170145
2020-10-19,-1.5289514635709156,-18.25606738105786,-43.46856855645448,-43.11538465454338,-38.878913280492874,-11.501676687692331,-5.0142102955687555,-13.196423382078493,-35.179781608774306,-17.93303804860995,-60.16122891763863,-35.83964602612756,-54.41149320124558,-52.220830782283166,-33.36988339485154,-42.337871758279924,-25.024152154086888
2020-10-26,-3.8314382616752463,-33.291999415980314,64.92250725155687,-0.6902967236778523,28.586150601564686,-51.3547644942927,-22.147571035765733,-21.161054069508534,-37.9646643632608,-27.25580773403804,2.3109063173992084,-39.88880811092608,40.31621910655146,-42.56368093644139,-73.94941100631812,-56.68437664754645,-38.62373058047158
