,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,5.448736513206503e-06,2.617385124735379e-05,9.274534644596456e-06,1.644106289977005e-05,2.9526977815397335e-05,4.820575696149989e-05,2.297850358407855e-06,5.351747805574347e-06,7.80044730517947e-06,9.83165318091572e-06,5.230725775508942e-06,4.881881851543193e-06,5.8081845349057795e-06,6.44989360821836e-06,1.4021048545666739e-05,7.892485406794483e-07,2.8726719574700917e-05
2020-08-25,5.325959183766659e-06,2.363296697401606e-05,8.466910803639384e-06,9.31766722883259e-06,3.387189648748433e-05,4.5701191039538676e-05,2.199563101595783e-06,5.408402472117626e-06,8.668073597537148e-06,9.036706378372439e-06,2.685214019060123e-06,5.0832948697354855e-06,6.435503385074781e-06,5.462486917343833e-06,1.092250772039254e-05,1.0938829751491665e-06,2.647299580263685e-05
2020-08-26,5.28900740064149e-06,2.105046699100615e-05,8.850952826257537e-06,9.11727320592957e-06,2.4931314229298285e-05,4.564430707748949e-05,2.093678878689198e-06,6.247111390015965e-06,6.436431537465634e-06,1.1402656745456165e-05,4.976215270756663e-06,4.889561805974534e-06,6.296534780790077e-06,6.321912770895989e-06,1.5586803269893834e-05,1.267489172077657e-06,2.9321719246552683e-05
2020-08-27,4.794430486740466e-06,2.6269313867054016e-05,8.592400165260496e-06,9.869352547697443e-06,2.454999852700009e-05,4.784866143553103e-05,2.501322883704236e-06,4.721835187918259e-06,7.019236168643207e-06,1.1451052883416012e-05,3.998585284845495e-06,5.662429840921374e-06,5.096380462726743e-06,4.629480365629745e-06,6.8316031399486265e-06,1.4183205729132605e-06,2.607827693886008e-05
2020-08-28,5.383434143083074e-06,2.8654659132031887e-05,8.601017995347762e-06,1.2241681394939594e-05,2.199723934646202e-05,4.813911338995204e-05,2.1741375183367545e-06,4.576949985673866e-06,6.647659536186486e-06,1.0684542781855643e-05,3.568689743664981e-06,4.43762122664726e-06,4.621809558065289e-06,3.743374811485984e-06,1.085549240875416e-05,5.148522871626388e-07,2.5015414591120732e-05
2020-08-29,4.585254460906069e-06,2.4084223576988884e-05,8.033550006258088e-06,7.781226494211633e-06,1.966916465057729e-05,4.790592895525196e-05,2.197102673298757e-06,5.433134951465805e-06,6.373584025175102e-06,9.805105849252996e-06,6.1173035302488114e-06,4.167078310340032e-06,6.366730923136073e-06,4.165111820139982e-06,1.4706128796275998e-05,2.672211208010933e-06,2.980074421798844e-05
2020-08-30,5.025017045371062e-06,2.418998074661587e-05,7.529671817616944e-06,1.2721402089331276e-05,3.408830819726417e-05,4.85361656643859e-05,2.223487777272512e-06,4.657316062902323e-06,6.956269738415382e-06,1.1194794639998178e-05,4.838975783921758e-06,4.665582696286896e-06,5.937427551965736e-06,4.26277641631127e-06,1.43109228429706e-05,1.4749708508885594e-06,3.0824090162086044e-05
2020-08-31,5.3343294445894955e-06,2.1777601040446666e-05,8.302324152623285e-06,4.851942960558556e-06,2.185338563576962e-05,4.246953126668294e-05,2.800453530903463e-06,4.3846945768371e-06,7.319027529594975e-06,9.78862634889847e-06,5.804439719200554e-06,5.601984416052042e-06,6.512307275335467e-06,2.6458200945055812e-06,1.0541088618205042e-05,6.449262043190708e-07,1.963687398000635e-05
2020-09-01,5.740639269068415e-06,3.082926248063863e-05,8.182598635450598e-06,1.0563052975823285e-05,1.797860545950319e-05,4.5965253520596936e-05,2.894619953848937e-06,5.847632356611788e-06,6.702592911057164e-06,9.858589622774624e-06,4.239901614330069e-06,6.3516323198840825e-06,4.926425988573803e-06,2.8948785788888696e-06,9.267460697946723e-06,6.442545539938467e-07,2.3274946700372058e-05
2020-09-02,5.2126090109401584e-06,2.123779390524773e-05,7.503250977535611e-06,1.2081844612101395e-05,3.724533502178852e-05,4.52508486267517e-05,2.3103351660983837e-06,5.8856643253747125e-06,7.021181377873266e-06,9.595243829538575e-06,5.197354266186376e-06,4.4192768857757535e-06,6.222755996403247e-06,4.873085810015745e-06,1.0872381794559098e-05,4.770214778920421e-07,1.980134069220301e-05
2020-09-03,5.1791851758875885e-06,2.472721058336318e-05,6.589035439549486e-06,7.729114130160343e-06,2.1048820634579844e-05,4.314658636583202e-05,2.1858181985506456e-06,4.442130758506166e-06,5.91685356569653e-06,1.1234971527989462e-05,2.7864172648380612e-06,3.900324938123398e-06,4.659064291798475e-06,5.195032541368988e-06,1.2526596648956444e-05,1.597099156859413e-06,2.450286771850929e-05
2020-09-04,4.97462548966118e-06,2.4806340379594488e-05,8.212302272465869e-06,5.73672633074522e-06,1.367409169845893e-05,4.507879739634277e-05,2.062265210752628e-06,6.008262574246455e-06,5.7418645341381785e-06,9.63346830526244e-06,3.6303153621184697e-06,6.242448650825614e-06,5.258081232681195e-06,5.733180639622298e-06,9.171978476894199e-06,8.65378441242275e-07,2.0489148832949464e-05
