,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,3.7743851888357546e-06,1.641171213347589e-05,5.132509463514543e-06,5.978568327189109e-06,0.0,3.3652435542440454e-05,6.19645040469534e-07,2.2577686054766777e-06,3.074293937923673e-06,3.990494526371675e-06,2.615362887754471e-06,1.6272939505143978e-06,1.793704047544432e-06,4.5621198692276205e-06,5.9035993876491535e-06,7.892485406794483e-07,1.8178627230865423e-05
2020-08-25,3.88134983384398e-06,1.478872779969103e-05,3.978985404989e-06,5.733949063896978e-06,0.0,3.607988766279369e-05,8.689632006304328e-07,2.9101048834744586e-06,4.567049529885165e-06,4.879821444321117e-06,2.527260253233057e-06,4.066635895788389e-07,3.346461760238886e-06,2.3410658217187857e-06,2.5485851347582594e-06,4.688069893496428e-07,2.1828610574104068e-05
2020-08-26,2.9914625858028265e-06,1.2028838280574944e-05,4.660874094678172e-06,6.837954904447178e-06,9.972525691719314e-06,3.400323961354062e-05,8.215701929033562e-07,3.259362464356155e-06,2.9083135095215084e-06,4.597845461877485e-06,2.764564039309257e-06,1.062948218690116e-06,2.011393054974608e-06,5.0251101512250165e-06,4.349805563691303e-06,3.1687229301941427e-07,2.4173631134562517e-05
2020-08-27,2.540207029816879e-06,1.2201593872675363e-05,3.4369600661041987e-06,7.591809652074955e-07,4.909999705400018e-06,3.2730832822464475e-05,9.620472629631677e-07,2.0197445312482727e-06,3.125002403848003e-06,4.467168981991961e-06,2.1168980919770266e-06,4.194392474756573e-07,1.7573725733540492e-06,2.4800787673016495e-06,1.0786741799918885e-06,3.151823495362801e-07,2.1054021748804467e-05
2020-08-28,3.115609523752803e-06,1.3557043030208636e-05,4.276483807742742e-06,3.825525435918623e-06,1.099861967323101e-05,3.541972190293627e-05,1.7812210993602325e-06,1.6847668658922206e-06,3.3480912992472083e-06,5.2506895956547734e-06,2.6170391453543195e-06,2.122340586657385e-06,2.2655929206202396e-06,3.1194790095716536e-06,6.151445698294023e-06,5.148522871626388e-07,8.014197637525716e-05
2020-08-29,2.6083073998785815e-06,1.1219358809156314e-05,4.420829293384628e-06,3.458322886316281e-06,9.834582325288644e-06,2.9115713104562882e-05,1.8514910168247952e-06,2.701044233014429e-06,3.140606621100775e-06,4.047456484284667e-06,2.5880899551052662e-06,1.041769577585008e-06,2.9458008748838545e-06,3.7023216179022058e-06,3.0780269573600926e-06,2.2268426733424442e-07,2.5797659173781037e-05
2020-08-30,2.9640836886788925e-06,1.590754168663326e-05,5.2380325687770046e-06,3.975438152916023e-06,0.0,3.066273055310261e-05,1.3866913019549e-06,2.0528958961477346e-06,3.675010427842089e-06,4.0059804349013085e-06,2.6883198799565322e-06,8.331397671940886e-07,1.8269007852202265e-06,2.131388208155635e-06,4.355498256556269e-06,2.4582847514809323e-07,3.0418510028374385e-05
2020-08-31,2.6671647222947478e-06,1.3066560624268e-05,3.8093016700271546e-06,4.851942960558556e-06,1.092669281788481e-05,3.0393857316156223e-05,1.8075654608558717e-06,1.5620474429982169e-06,4.1962424503011196e-06,2.6331977312826295e-06,2.3378993313446678e-06,1.3522031349091136e-06,1.2853238043425265e-06,4.513457808274226e-06,3.2713723297877716e-06,0.0,1.9400285136873745e-05
2020-09-01,2.3065836943183434e-06,1.146788990825688e-05,4.091299317725299e-06,3.5210176586077615e-06,0.0,2.981236961831169e-05,1.4878887613242198e-06,1.482892415791506e-06,2.8057365674192778e-06,3.7585872936828253e-06,1.7458418411947345e-06,4.565235729916685e-06,9.507137872686287e-07,1.6759823351461876e-06,4.990171145048235e-06,0.0,1.641496240973608e-05
2020-09-02,2.4216733790529236e-06,1.3964576814409464e-05,3.7516254887678056e-06,2.74587377547759e-06,0.0,3.09822342613808e-05,1.6227354142833887e-06,1.3018980996220563e-06,2.9000531778172185e-06,3.8380975318154295e-06,2.474930602945893e-06,1.6070097766457287e-06,1.4223442277493137e-06,4.416234015326769e-06,3.6241272648530324e-06,7.950357964867368e-07,1.5322466011823758e-05
2020-09-03,6.184810297539096e-06,1.4485170696763047e-05,3.3789925331023005e-06,5.152742753440229e-07,4.209764126915969e-06,4.329259850243382e-05,4.315589776625634e-06,1.8645980961630822e-06,4.763568548653986e-06,6.605175568653146e-06,1.8029758772481573e-06,2.668643378716009e-06,2.1011466413993127e-06,2.0465279708423288e-06,6.084346943778844e-06,1.1179694098015892e-06,3.20082506232779e-05
2020-09-04,1.0564988239396183e-05,1.678965720814017e-05,5.595194954866856e-06,6.3741403674946885e-06,1.367409169845893e-05,3.832456681002205e-05,5.621791464928398e-06,4.535082808445641e-06,4.921598172118439e-06,5.2126301103817315e-06,1.4352409571166043e-06,4.027386226339106e-07,2.3369249923027533e-06,2.548080284276577e-06,4.938757641404568e-06,1.73075688248455e-07,3.096138045867919e-05
2020-09-05,4.217950775936283e-06,1.3307210958117818e-05,3.3860122627449037e-06,1.4586360003033962e-06,0.0,3.946244238370339e-05,2.9306593547839615e-06,3.682285994992489e-06,1.66024513830464e-05,3.875373666758427e-06,2.28390841331499e-06,6.155392893598904e-07,3.209511794741878e-06,2.421900177670597e-06,4.79035796748305e-06,2.26341896224504e-07,2.8237471259901752e-05
2020-09-06,2.547318418826378e-06,1.3488209530106275e-05,3.88074739227789e-06,5.463785212046772e-07,0.0,3.6798990914261414e-05,7.030389146003703e-06,2.33913145803397e-06,7.793411041042975e-06,3.8571539343055215e-06,3.086167945619505e-06,3.9527894637606285e-07,2.798434555709536e-06,2.1677823261635996e-06,2.094824944457213e-06,0.0,2.1625964798751684e-05
2020-09-07,2.0821384278521817e-06,7.723556340813376e-06,2.9636618738966883e-06,9.286331495104014e-07,3.4457331486420364e-06,3.0401881434251595e-05,6.27564744200409e-06,1.7923244033304537e-06,3.8124264405934096e-06,3.668484029645681e-06,2.414735099937434e-06,1.2005757961518343e-06,1.4966953407081677e-06,1.232705146790529e-06,2.705182148367744e-06,1.5306123229904246e-07,1.6484017074768604e-05
2020-09-08,2.458702665747137e-06,7.766996426128492e-06,2.8388640988852892e-06,8.892240275446034e-07,3.119171049101991e-06,2.9980413396429208e-05,1.417894644388741e-06,1.0373847944286371e-06,2.7297045152329725e-06,2.956513565870106e-06,2.0219764577237074e-06,9.738351908590376e-07,1.774066393336539e-06,3.3990004775595672e-06,3.6805497001355782e-06,3.065235569483986e-07,1.8776181584015444e-05
2020-09-09,1.9451298532511465e-06,9.328680699563254e-06,1.938874865964962e-06,4.39784294599185e-07,9.665913799380738e-06,3.009651542254001e-05,1.3765500455379962e-06,7.90355762839527e-07,1.5918502510886266e-06,2.9568914791258248e-06,1.71908441564023e-06,2.5967462769150253e-06,1.299902498646585e-06,1.540089294377288e-06,2.2214373143711445e-06,0.0,1.6945510840890562e-05
2020-09-10,1.5196582848391502e-06,9.888588568791614e-06,2.435131252314949e-06,3.621053165207835e-06,0.0,3.17627305997676e-05,1.5206290836780952e-06,1.0439531862481814e-06,1.9927176607544316e-06,3.1279077731179916e-06,1.0564431574257958e-06,2.0223808802493678e-06,1.620211307958784e-06,1.93315784556002e-06,3.834047105102733e-06,3.0373109349875743e-07,1.2997825105299192e-05
2020-09-11,1.5643696449033943e-06,7.72325211294068e-06,3.0687134927211433e-06,2.2772727609142565e-06,0.0,3.274205100598343e-05,8.931998185687868e-07,1.03306051926787e-06,2.715949686126748e-06,2.3347348227644428e-06,1.7991062367326136e-06,3.680747427295576e-07,2.14364210198834e-06,3.5056777638365116e-06,1.7705018806270975e-06,1.674717311904544e-07,9.26802311908367e-06
2020-09-12,1.5698454007786534e-06,9.508265208098784e-06,3.863522893557875e-06,1.4459496780593042e-06,0.0,3.353335838303866e-05,8.190842979636914e-07,1.0229070769794155e-06,2.19030403026163e-06,2.848042989914368e-06,1.5321256097859927e-06,3.544687072366736e-07,1.7928920793514113e-06,3.486035969869874e-06,2.6732428440630617e-06,4.3999492245859483e-07,1.0829752059889471e-05
2020-09-13,1.6880236406708486e-06,8.330193177179778e-06,3.866973424141078e-06,3.741886787611575e-06,3.3828011623304794e-06,4.736852693772095e-05,1.16891069568025e-06,7.961661293719128e-07,2.093710016548e-06,3.370615635390976e-06,1.5653753989359204e-06,1.0980954266887702e-06,1.2156498270177052e-06,5.235550496576566e-06,4.872040722465175e-06,4.82292277319024e-07,1.4299186948230124e-05
2020-09-14,1.4618022059607933e-06,8.669272071900009e-06,2.5934748092752546e-06,8.529326596871188e-07,8.115455885734381e-06,3.7200853373538334e-05,5.576633540449503e-07,8.291297790839871e-07,2.6316559773725603e-06,9.208575729904891e-06,1.6540658356009788e-06,1.3153320743726335e-06,1.5330409937716804e-06,2.1433601763679232e-06,9.679792465249545e-06,2.864046436503303e-07,1.7082356061482995e-05
2020-09-15,1.4041068190657864e-06,7.289516231255313e-06,2.4741717760679855e-06,1.662607825313121e-06,8.558908111562514e-06,2.9816354803173838e-05,7.640206147515362e-07,1.136647948542097e-06,1.986527183448785e-06,1.0475831049020174e-05,1.3726169855215553e-06,2.3399361782407386e-06,1.017396289589645e-06,1.6913649515047228e-06,5.525873174303308e-06,1.5523187295326775e-07,1.2267215389812351e-05
2020-09-16,1.3670774854504707e-06,7.299509837914384e-06,2.4079229333028222e-06,4.0722083993370447e-07,8.717585112689317e-06,3.1804050494242924e-05,6.05233054065964e-07,8.399895034911644e-07,1.9560273866188724e-06,6.069479575772405e-06,1.1055852323295234e-06,3.9130466257114165e-07,1.9218122899546523e-06,9.227692859934234e-07,3.4854487741850934e-06,1.4627365665564884e-07,1.2352827292651056e-05
2020-09-17,1.371885567326703e-06,7.383533007359141e-06,2.4949607927136675e-06,1.8337402708617754e-06,8.600868114288336e-06,3.142812687663775e-05,1.4900829534911296e-06,1.1012029068610447e-06,2.093073657735648e-06,1.1231284377117288e-05,1.6872043626284233e-06,2.807860324191542e-06,1.065753907653312e-06,1.4540695772292705e-06,3.8587230292799906e-06,7.855881651457156e-07,9.649869087182976e-06
