,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,1.2324523065586138e-06,2.9710858172671867e-06,1.800880513513875e-06,2.2419631226959156e-06,1.4763488907698667e-05,2.6460584398289874e-06,6.712821271753285e-07,5.686232043422744e-06,4.955578287996369e-06,2.6024964302423967e-06,6.923019408761834e-07,4.0682348762859944e-07,2.6478488320893997e-06,9.438868694953697e-07,1.4758998469122884e-06,1.5784970813588967e-06,4.488549933547018e-06
2020-08-25,1.2287481826928535e-06,1.5948628019274643e-05,2.128294518947605e-06,2.150230898961367e-06,9.67768471070981e-06,2.6175604774967973e-06,8.961183006501339e-07,4.831872259353818e-06,5.638908093021478e-06,3.494193132970676e-06,8.687457120488633e-07,4.066635895788389e-07,2.230974506825924e-06,1.4046394930312713e-06,2.912668725438011e-06,2.0314969538484524e-06,2.0899733528397512e-06
2020-08-26,1.1889688636642068e-06,2.1909669725332934e-05,2.7306131059730703e-06,2.2793183014823926e-06,4.986262845859657e-06,3.6090847456619596e-06,6.36054342892921e-07,4.5087847423593485e-06,5.1491452299725065e-06,4.352627037244019e-06,1.1848131597039672e-06,1.062948218690116e-06,2.5361042867071144e-06,9.72601964753229e-07,3.262354172768477e-06,7.921807325485357e-07,3.133618850776623e-06
2020-08-27,1.2028132624629592e-06,1.1340304893427691e-05,2.6254556060518183e-06,3.036723860829982e-06,1.4729999116200052e-05,3.1189694954142157e-06,3.848189051852671e-07,5.322299778289367e-06,3.942310724854404e-06,3.020057903318509e-06,1.9600908259046546e-06,1.258317742426972e-06,1.5816353160186443e-06,9.920315069206597e-07,1.7977902999864806e-06,1.2607293981451204e-06,4.785004942910106e-06
2020-08-28,1.2504827340232339e-06,8.010979972396011e-06,2.114216713940232e-06,1.5302101743674493e-06,0.0,2.4501943940993553e-06,2.8813870724944936e-07,7.441053657690641e-06,4.512644794637542e-06,4.395926173106322e-06,9.516505983106616e-07,9.647002666624477e-07,1.7218506196713821e-06,2.1836353067001575e-06,7.236994939169439e-07,5.148522871626388e-07,4.400859974363832e-06
2020-08-29,1.0496365633399436e-06,5.086109326817529e-06,2.6620047358014965e-06,8.645807215790703e-07,4.917291162644322e-06,2.4080664973698622e-06,4.690443909289481e-07,5.2779025242810686e-06,5.496061586926357e-06,3.420385761367324e-06,6.274157466921858e-07,3.472565258616693e-07,2.850775040210182e-06,1.234107205967402e-06,3.0780269573600926e-06,1.5587898713397108e-06,3.335904203506169e-06
2020-08-30,1.2413343770037777e-06,6.047495186653967e-06,1.964262213291377e-06,7.950876305832048e-07,1.9479033255579525e-05,2.8104871464738745e-06,8.607049460409724e-07,7.231095992400976e-06,5.556265765904111e-06,3.51209243607786e-06,2.1506559039652256e-06,1.166395674071724e-06,3.288421413396408e-06,1.5224201486825966e-06,2.1777491282781345e-06,9.83313900592373e-07,3.2446410696932677e-06
2020-08-31,1.3947558639522993e-06,5.2266242497072e-06,2.5395344466847696e-06,4.043285800465463e-06,0.0,2.3878451314600847e-06,9.674294015848327e-07,5.9741463609405485e-06,4.684177618940784e-06,4.350500599510432e-06,1.2898754931556788e-06,9.658593820779382e-07,2.1422063405708775e-06,6.225459045895485e-07,7.26971628841727e-07,6.449262043190708e-07,4.258599176386919e-06
2020-09-01,1.2909983363722071e-06,6.255212677231026e-06,2.2141149248866326e-06,1.4084070634431046e-06,5.992868486501064e-06,2.9270326534342385e-06,4.598928898638498e-07,4.672510064852481e-06,4.364479104874432e-06,3.265657812544094e-06,4.98811954627067e-07,1.7863965899673982e-06,1.7285705223065976e-06,2.2854304570175285e-06,2.8515263685989917e-06,6.442545539938467e-07,3.429992145317987e-06
2020-09-02,1.3611178389357746e-06,1.1200754319890926e-05,1.7248852821920945e-06,3.844223285668626e-06,4.655666877723565e-06,2.7734391093815556e-06,6.325917716697955e-07,5.126223767261846e-06,4.121128200056047e-06,3.8380975318154295e-06,8.249768676486311e-07,1.2052573324842965e-06,2.3113093700926346e-06,1.0659875209409442e-06,1.0872381794559098e-06,7.950357964867368e-07,2.121572217021751e-06
2020-09-03,1.7091311080429042e-06,1.258307757496588e-05,3.5479421597574153e-06,7.729114130160343e-06,1.6839056507663877e-05,3.3217761076909594e-06,8.126759968970349e-07,6.416411095620018e-06,4.4627115876863655e-06,5.432293925621279e-06,9.014879386240787e-07,1.0264012995061572e-06,3.5628138701988343e-06,2.518803656421328e-06,1.7895138069937779e-06,1.1179694098015892e-06,4.414931120452124e-06
2020-09-04,1.1960364044599452e-06,6.201585094898622e-06,2.391494617805995e-06,3.824484220496813e-06,2.734818339691786e-05,3.2632799461998973e-06,5.650041673294872e-07,5.055028608140046e-06,5.5367979436332434e-06,2.3753757465030673e-06,8.44259386539179e-07,1.2082158679017318e-06,1.265834370830658e-06,9.555301066037163e-07,7.760904865064322e-06,1.38460550598764e-06,5.919087440629845e-06
2020-09-05,1.3052433346095665e-06,5.075946447941848e-06,3.6643146405047588e-06,4.375908000910189e-06,2.0634724113738598e-05,3.316805090511842e-06,5.446358092961345e-07,6.5684020451217375e-06,4.401802672162158e-06,3.8107841056457867e-06,1.0603860490391026e-06,8.207190524798539e-07,2.8885606152676905e-06,2.098980153981184e-06,3.83228637398644e-06,1.13170948112252e-06,2.25899770079214e-06
2020-09-06,1.8540868362472187e-06,8.518869176909227e-06,3.57891148398961e-06,3.278271127228063e-06,0.0,4.224949877097498e-06,7.945302801990486e-07,7.953046957315498e-06,7.358024949364597e-06,5.3319480856576325e-06,1.3452526942443997e-06,1.1858368391281885e-06,4.097707742288964e-06,2.3226239208895713e-06,2.094824944457213e-06,7.290477154439281e-07,3.7429554459377913e-06
2020-09-07,1.2041767696862716e-06,4.128107699400252e-06,2.2957944093565895e-06,4.6431657475520065e-06,2.4120132040494257e-05,2.452879070263481e-06,3.4135320814248186e-07,5.105408906456444e-06,4.765533050741762e-06,3.4880667822860575e-06,1.4488410599624604e-06,8.00383864101223e-07,2.2010225598649523e-06,2.0031458635346095e-06,5.0722165281895195e-06,3.061224645980849e-07,2.4503268624656037e-06
2020-09-08,1.548690473670947e-06,9.215080505576176e-06,2.7154352250207113e-06,2.6676720826338102e-06,6.238342098203982e-06,3.0952167492111786e-06,4.988888563590015e-07,4.3623360586229875e-06,4.1185015492988705e-06,3.449265826848457e-06,8.896696413984313e-07,5.843011145154225e-07,2.7033392660366307e-06,1.2360001736580243e-06,2.0075725637103152e-06,7.663088923709964e-07,3.2749153925608333e-06
2020-09-09,1.2470963829378248e-06,6.310578120292789e-06,2.6814226869728192e-06,1.3193528837975549e-06,6.443942532920492e-06,2.7228451829800974e-06,5.735625189741651e-07,4.8211701533211146e-06,5.243742003586064e-06,3.6489299104105922e-06,1.1460562770934866e-06,5.992491408265444e-07,3.0331058301753646e-06,1.540089294377288e-06,2.538785502138451e-06,7.761304495223383e-07,3.910502501743976e-06
2020-09-10,1.010299136735169e-06,7.553782934493595e-06,2.477116273906586e-06,1.8105265826039175e-06,9.64441058184729e-06,2.5597660301742337e-06,4.877489513684457e-07,5.835430630823167e-06,3.510978735614951e-06,3.453731499484449e-06,6.501188661081821e-07,0.0,2.3403052226071324e-06,1.772061358430018e-06,2.7883978946201696e-06,1.5186554674937872e-07,3.3615064927497908e-06
2020-09-11,9.22467969956621e-07,5.0498186892304445e-06,2.279615737449992e-06,1.7079545706856926e-06,0.0,2.308977007358369e-06,7.257248525871394e-07,5.600275446557401e-06,5.1804225494639826e-06,3.5021022341466643e-06,1.0631082307965445e-06,5.521121140943365e-07,1.4912292883397148e-06,7.9674494632648e-07,5.311505641881293e-06,8.373586559522719e-07,4.402310981564743e-06
2020-09-12,9.435997961553632e-07,7.5768988377037185e-06,2.3917046483929697e-06,3.6148741951482604e-06,9.267454091349295e-06,1.875992077372792e-06,4.818142929198184e-07,6.9046227696110545e-06,3.7478535628921222e-06,3.2364124885390543e-06,7.257437098986281e-07,8.861717680916841e-07,2.2909176569490255e-06,1.5845618044863064e-06,3.341553555078827e-07,8.799898449171897e-07,3.060582103881807e-06
2020-09-13,1.198857645037016e-06,1.0167735789792964e-05,3.06835934741629e-06,3.207331532238493e-06,6.765602324660959e-06,1.8166906638046388e-06,4.573998374400978e-07,6.981764519107543e-06,1.0425821306892083e-05,3.138159384674357e-06,1.1740315492019404e-06,1.0980954266887702e-06,2.2442766037249943e-06,9.239206758664529e-07,1.6240135741550582e-06,4.82292277319024e-07,4.179762338713421e-06
2020-09-14,1.18414145175595e-06,7.335537906992315e-06,2.5934748092752546e-06,1.7058653193742375e-06,5.410303923822921e-06,2.035518392137003e-06,5.323150197701799e-07,5.429462746904819e-06,4.524601504956332e-06,5.281389021563099e-06,1.0239455172767965e-06,5.637137461597001e-07,2.4698993788543737e-06,1.0716800881839616e-06,1.3828274950356493e-06,7.160116091258258e-07,1.7981427433139995e-06
2020-09-15,1.248562051684247e-06,5.939605818059885e-06,2.555292162168575e-06,1.2469558689848409e-06,8.558908111562514e-06,2.2461895477482114e-06,6.849839994324117e-07,4.361556081615023e-06,2.743299443810227e-06,3.0218743410635116e-06,7.266795805702352e-07,3.899893630401231e-07,1.9500095550468197e-06,7.688022506839649e-07,2.4175695137576974e-06,1.7075506024859453e-06,3.1803891751365352e-06
2020-09-16,1.2042281298168723e-06,8.786447027119166e-06,2.2473947377493007e-06,2.850545879535931e-06,1.452930852114886e-05,3.11875523660763e-06,4.1265890049952087e-07,5.151935621412475e-06,3.772338531336397e-06,3.826411036899995e-06,1.1792909144848249e-06,5.869569938567124e-07,3.3194939553762177e-06,1.9993334529857506e-06,1.045634632255528e-06,1.1701892532451907e-06,2.245968598663828e-06
2020-09-17,1.2142465425096595e-06,8.438323436981875e-06,1.963247836889443e-06,9.168701354308877e-07,5.733912076192224e-06,2.689628677602058e-06,4.871425040259462e-07,5.296261599665025e-06,4.138577459613668e-06,3.322865200330559e-06,6.427445190965422e-07,1.0028072586398364e-06,1.953882164031072e-06,1.1309430045116547e-06,3.1571370239563556e-06,9.427057981748587e-07,4.039480083006827e-06
