,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,5.408195318911812e-06,1.3157665762183255e-05,1.4452066120948846e-05,1.9430347063364605e-05,1.4763488907698667e-05,7.225774970302235e-06,2.1429390982904717e-06,7.1077900542784295e-06,5.689738034366202e-06,7.46048976669487e-06,2.8461302013798654e-06,1.586611601751538e-05,7.003987233268735e-06,2.8473920563110322e-05,0.0001970326295627905,4.5776415359408e-06,7.630534887029932e-06
2020-08-25,5.6123903479754665e-06,1.2613914887971762e-05,1.6702485246523593e-05,2.6519514420523524e-05,1.4516527066064715e-05,7.215977532558738e-06,1.7379264012608657e-06,6.918362553165695e-06,6.524356471264521e-06,6.988386265941352e-06,3.39600596528192e-06,1.3419898456101682e-05,7.293570503084751e-06,2.8092789860625427e-05,0.00019332838665094796,5.7819528686455945e-06,1.0449866764198756e-05
2020-08-26,5.5217237262697155e-06,1.1169635546248163e-05,1.558332651857045e-05,2.5832274083467117e-05,4.986262845859657e-05,6.475122631922928e-06,2.067176614401993e-06,7.27924283706208e-06,8.724940528564525e-06,1.2260921231673295e-05,3.4754519351316376e-06,1.0416892543163138e-05,6.996149756433419e-06,2.6746554030713797e-05,0.00018921654202057168,4.119339809252386e-06,9.177026634417252e-06
2020-08-27,5.408454040305473e-06,9.76127509814029e-06,1.599141141867926e-05,1.2906076408527424e-05,3.436999793780013e-05,5.687532609284746e-06,1.8691203966141543e-06,8.515679645262989e-06,8.317314090241609e-06,1.277232821611786e-05,3.920181651809309e-06,1.5728971780337148e-05,9.050468752773354e-06,2.3808756166095834e-05,0.00029411849307778824,4.885326417812341e-06,9.570009885820212e-06
2020-08-28,5.468212633525327e-06,1.2324584572916941e-05,1.417486205937201e-05,2.1422942441144293e-05,3.849516885630853e-05,5.657066468729394e-06,1.6240545317696238e-06,7.300656418866289e-06,6.502090349262694e-06,1.0745597312037676e-05,3.8066023932426464e-06,1.3119923626609288e-05,7.884263363758434e-06,2.495583207657323e-05,0.0002540185223648473,5.3201403006806005e-06,9.72821678543584e-06
2020-08-29,4.806230579503952e-06,1.3912004923353829e-05,1.5591742023980194e-05,2.4208260204213966e-05,4.917291162644322e-06,6.895826787922787e-06,2.147729579516762e-06,8.07208621360634e-06,4.61853914867761e-06,8.664977262130556e-06,2.8233708601148358e-06,1.3195747982743434e-05,6.0816534191150544e-06,2.699609513053692e-05,0.0002062278061431262,7.348580822030066e-06,8.450957315548962e-06
2020-08-30,5.339329275445736e-06,1.0122981073312075e-05,1.8333113990719515e-05,1.7491927872830503e-05,1.4609274941684644e-05,7.389370699717827e-06,1.243240477614738e-06,9.621034498364011e-06,6.081267255595838e-06,7.902207981175185e-06,4.070884389648463e-06,1.31636083216666e-05,6.3028077090097815e-06,2.9382708869574114e-05,0.00022493037424929876,8.849825105331355e-06,7.097652339954023e-06
2020-08-31,5.676901060297078e-06,1.1469536547968578e-05,1.626278789896208e-05,1.9407771842234222e-05,1.092669281788481e-05,8.084561373657716e-06,2.596784183201393e-06,7.316959075096911e-06,6.928679394683244e-06,6.354020612442866e-06,3.7890092611448063e-06,1.4101546978337899e-05,4.627165695633095e-06,2.3501107898255456e-05,0.00017483667673643535,5.320641185632334e-06,8.753787195906446e-06
2020-09-01,5.409283029399548e-06,1.2510425354462051e-05,1.2514562618924445e-05,1.8309291824760358e-05,1.1985736973002128e-05,7.660875586766155e-06,1.5690463301237228e-06,1.1499410997930358e-05,5.7153893040022325e-06,7.640406957650333e-06,3.5748190081606466e-06,1.3695707189750053e-05,5.617854197496442e-06,2.0721236143625593e-05,0.00017572531246491286,4.026590962461542e-06,7.594982607489829e-06
2020-09-02,5.435883861491137e-06,1.3091790763508873e-05,1.4187181446029977e-05,1.4278543632483467e-05,4.655666877723565e-06,7.626957550799278e-06,1.980287285227186e-06,8.326723262166068e-06,6.258009488973998e-06,7.076492324284698e-06,4.537372772067471e-06,1.2253449546923681e-05,5.867169939465919e-06,2.48222808447677e-05,0.0001989645868404315,4.929221938217768e-06,9.193479607094255e-06
2020-09-03,5.921535051098143e-06,1.272939243048874e-05,1.3727157165728095e-05,1.082075978222448e-05,1.2629292380747907e-05,7.994164478948572e-06,2.157794888312817e-06,6.416411095620018e-06,4.913997029137796e-06,7.0990204709823525e-06,3.5239983055304893e-06,1.1085134034666498e-05,5.572606309798177e-06,2.1252405851054955e-05,0.00019290958839392926,5.4301371333220045e-06,7.946876016813824e-06
2020-09-04,5.811850972783142e-06,1.2100653843704627e-05,1.3536761987581104e-05,1.5935350918736722e-05,0.0,8.234090096806717e-06,1.666762293621987e-06,6.817067151548862e-06,7.074797372420256e-06,7.98390181463531e-06,3.9680191167341415e-06,1.6310914216673378e-05,4.8685937339640695e-06,2.9462178286947922e-05,0.0002116610417744815,3.80766514146601e-06,1.0244574416474732e-05
2020-09-05,5.40055379722683e-06,1.317002321628155e-05,1.4007886347246041e-05,2.333817600485434e-05,1.0317362056869299e-05,5.955172776146261e-06,2.852854239170228e-06,7.066008260661263e-06,4.784568121915389e-06,6.717314355714607e-06,3.91527156568284e-06,1.5183302470877297e-05,5.456170051061193e-06,2.696382197806598e-05,0.00017820131639036945,5.205863613163592e-06,6.551093332297207e-06
2020-09-06,5.496629116308126e-06,5.0521626924169993e-05,1.4100048858609669e-05,2.185514084818709e-05,8.406504953533043e-06,6.5148082074327835e-06,2.6965876176452557e-06,7.048582793542363e-06,6.4437141568400025e-06,7.827753572561205e-06,3.40269799132407e-06,1.521823943547842e-05,9.994409127534058e-06,2.849085342957874e-05,0.00014992961388186625,7.290477154439281e-06,8.109736799531881e-06
2020-09-07,5.980610377873288e-06,1.6778760326594576e-05,1.4526117353747147e-05,2.3680145312515235e-05,1.033719944592611e-05,6.633137767473075e-06,2.5470200915246726e-06,8.011146954280059e-06,4.447830847358978e-06,6.855855399665699e-06,5.070943709868612e-06,1.2806141825619568e-05,7.923681215513828e-06,2.896857094957743e-05,0.00017718943071808721,5.663265595064571e-06,8.910279499874923e-06
2020-09-08,6.587152472918476e-06,1.5402348845034466e-05,1.3124603587600104e-05,1.022607631676294e-05,2.4953368392815927e-05,7.018224024374184e-06,1.8380115760594792e-06,7.075496290205577e-06,4.4537284195906396e-06,7.63766004516444e-06,5.095380673463743e-06,1.4607527862885563e-05,5.8290752923914855e-06,2.5183503538282247e-05,0.000171982049624517,5.977209360493773e-06,1.2663006184568556e-05
2020-09-09,6.001385324035267e-06,1.1660850874454067e-05,1.4520935166375883e-05,1.5392450310971476e-05,6.443942532920492e-06,7.84179412698268e-06,2.4376407056402014e-06,6.9287855208931865e-06,6.55467750448258e-06,7.2978598208211844e-06,4.502363945724412e-06,1.378273023901052e-05,5.112949828009901e-06,1.6940982238150167e-05,0.00017136802139434542,8.226982764936786e-06,1.1297007227260374e-05
