,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,9.551505375829256e-06,2.7022732909430126e-05,1.2966339697299899e-05,1.4946420817972773e-05,2.4605814846164446e-05,1.960797151565583e-05,4.182604023169354e-06,1.8647496260048117e-05,1.6885674166506144e-05,1.995247263185837e-05,1.2076822746395646e-05,1.1391057653600784e-05,3.630115334316112e-05,2.3597171737384243e-05,3.579057128762299e-05,1.4680022856637739e-05,2.4238169641153898e-05
2020-08-25,1.1108547759750257e-05,2.6532717522975086e-05,1.3648845284555291e-05,1.2901385393768201e-05,3.871073884283924e-05,2.3345809664160625e-05,4.453436403230968e-06,2.0315826545010374e-05,1.728954464885098e-05,1.9579530486473617e-05,1.2636301266165285e-05,1.3623230250891102e-05,3.784075990423971e-05,2.2942445052844097e-05,4.878720115108668e-05,1.2657788712440355e-05,2.368636466551718e-05
2020-08-26,1.0886892833480443e-05,3.322250572730223e-05,1.6430758172148303e-05,1.5955228110376747e-05,4.487636561273691e-05,2.2857536722525746e-05,4.081348700229576e-06,2.1430308203141722e-05,1.8308071928791135e-05,2.072095688152787e-05,1.2085094228980467e-05,1.5944223280351743e-05,3.0957962672217876e-05,2.3504547481536367e-05,5.256015056126991e-05,8.555551911524185e-06,1.589192417179573e-05
2020-08-27,1.1187004469061089e-05,2.7991891825549363e-05,1.665970920931063e-05,9.110171582489947e-06,2.454999852700009e-05,2.113560505127751e-05,5.0301328320645626e-06,2.033391453756707e-05,1.6105781619832015e-05,2.000788360948512e-05,1.3093406717043092e-05,1.4260934414172349e-05,4.0771043701813943e-05,2.7942220778265252e-05,3.056243509977017e-05,1.4340796903900744e-05,1.5551266064457844e-05
2020-08-28,1.0046251117406998e-05,3.0041174896485043e-05,1.3982660539922898e-05,1.9892732266776843e-05,4.9493788529539544e-05,2.0538394185832832e-05,3.195720207675711e-06,2.0104884599647164e-05,1.6303748935464667e-05,2.3505994120082416e-05,1.0706069230994942e-05,1.3505803733274268e-05,3.035894513631121e-05,2.1524405166044408e-05,4.378381938197511e-05,1.3042924608120182e-05,1.5518822014861936e-05
2020-08-29,9.079750873102294e-06,2.9170332903806413e-05,1.2454379299642716e-05,2.2479098761055828e-05,2.4586455813221614e-05,2.0650994507747608e-05,3.777041674322582e-06,1.6827195106825522e-05,1.551829153955677e-05,1.6873903089412133e-05,8.783820453690601e-06,1.1459465353435087e-05,1.7484753579955782e-05,2.4836407520093965e-05,4.240837141251683e-05,1.959621552541351e-05,1.734670185823208e-05
2020-08-30,9.79938003384713e-06,2.7608130199942022e-05,1.6368851777428138e-05,1.6696840242247298e-05,3.408830819726417e-05,2.485228521657235e-05,5.188138146969195e-06,1.9119508047704276e-05,1.9556305491016832e-05,1.8218979512153896e-05,9.447524149561527e-06,1.1164072880400787e-05,2.1648774304859684e-05,2.5272174468131102e-05,5.973254751848598e-05,2.286204818877267e-05,2.2104117287285387e-05
2020-08-31,1.0644189488057022e-05,3.063382546356164e-05,1.4553485867539641e-05,2.6685686283072058e-05,4.917011768048165e-05,2.534527046678347e-05,4.175221627892436e-06,1.9511890866925094e-05,1.8834297509491072e-05,1.9004818408387673e-05,8.867894015445292e-06,1.1590312584935259e-05,3.90738436520128e-05,2.210037961292897e-05,4.4345269359345345e-05,1.7896702169854216e-05,2.3185706626995448e-05
2020-09-01,1.1175742265195406e-05,2.6063386155129273e-05,1.5065608075859043e-05,2.3238716546811225e-05,4.195007940550745e-05,2.3271716405082096e-05,4.166088531707816e-06,2.182369970410141e-05,1.9380365549025753e-05,2.0086876356403295e-05,1.1223268979109006e-05,1.488663824972832e-05,3.578140981174657e-05,2.239721847877178e-05,4.6337303489733616e-05,1.4012536549366166e-05,2.25399483835182e-05
2020-09-02,1.0442393010384239e-05,3.069297612333747e-05,1.4834013426852014e-05,1.8122766918152092e-05,4.190100189951209e-05,2.11657195189645e-05,4.29062245132557e-06,2.2105144816499496e-05,1.9282809726188172e-05,1.90105768372733e-05,1.2374653014729468e-05,9.842934881955087e-06,3.902556974887179e-05,2.0862898624129906e-05,3.914057446041275e-05,1.1289508310111663e-05,1.909414995319576e-05
