,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,9.016361611139332e-06,9.762139113877899e-06,7.2035220540555e-06,5.23124728629047e-06,2.4605814846164446e-05,5.258193053506321e-06,2.3753059884665467e-06,1.2013558876054915e-05,5.0014632721444836e-06,8.15448881475951e-06,5.692260402759731e-06,4.678470107728893e-06,6.833158276359741e-06,5.977950173470675e-06,7.0105242728333695e-06,1.2627976650871172e-06,9.65038235712609e-06
2020-08-25,9.360902540447245e-06,1.2613914887971762e-05,6.940090822655232e-06,6.4506926968841005e-06,5.806610826425886e-05,8.489385332422045e-06,2.3624937017139892e-06,6.561462897645242e-06,8.761278689983784e-06,8.91621695999414e-06,4.580659208984916e-06,7.11661281762968e-06,6.778730232278769e-06,5.3064158625625805e-06,5.825337450876022e-06,7.813449822494047e-07,9.288770457065561e-06
2020-08-26,8.665509725211017e-06,1.6897653775093372e-05,5.602464820875782e-06,9.877045973090368e-06,2.4931314229298285e-05,7.784300431819913e-06,2.5177151072844785e-06,5.2964640045787525e-06,7.914426927550335e-06,7.663075769795809e-06,6.082040886480366e-06,6.802868599616743e-06,5.159660445369646e-06,5.835611788519374e-06,4.712289360665578e-06,1.7427976116067786e-06,1.1415325813543412e-05
2020-08-27,8.7645553810238e-06,1.320643101513098e-05,4.725820090893273e-06,1.1387714478112434e-05,1.963999882160007e-05,8.47625827577275e-06,2.336400495767693e-06,5.2677120882556305e-06,6.153850887577606e-06,8.745584345026516e-06,4.155392550917867e-06,5.033270969707888e-06,4.744905948055933e-06,5.1254961190900755e-06,2.157348359983777e-06,1.4183205729132605e-06,1.1484011862984254e-05
2020-08-28,8.63045032702137e-06,8.781266508203321e-06,7.495859258515368e-06,4.590630523102348e-06,1.099861967323101e-05,8.395519026840438e-06,2.698026076972117e-06,5.166618388736143e-06,5.968336663875458e-06,8.364470634938419e-06,5.234078290708639e-06,6.174081706639665e-06,5.709294159963004e-06,4.991166415314645e-06,5.789595951335551e-06,1.5445568614879163e-06,7.643598902842446e-06
2020-08-29,8.3260644685988e-06,7.629163990226293e-06,8.081085805111686e-06,2.5937421647372108e-06,9.834582325288644e-06,6.8593409319020325e-06,2.4686546890997267e-06,6.581854912632862e-06,5.403690803952805e-06,7.4678422456519915e-06,4.391910226845301e-06,6.771502254302552e-06,8.267247616609528e-06,5.090692224615533e-06,5.47204792419572e-06,3.1175797426794217e-06,1.0230106224085584e-05
2020-08-30,9.250328290172383e-06,1.3146728666639059e-05,7.529671817616944e-06,1.033613919758166e-05,1.4609274941684644e-05,8.210411888575363e-06,2.5342978966761966e-06,6.587651010026313e-06,6.081267255595838e-06,8.231466647057484e-06,6.375158572468348e-06,5.4987224634809845e-06,5.8460825127047245e-06,3.8060503717064915e-06,4.355498256556269e-06,2.212456276332839e-06,7.706022540521511e-06
2020-08-31,9.118930151454214e-06,1.0888800520223333e-05,6.78837092479198e-06,4.851942960558556e-06,1.6390039226827218e-05,8.15278552027086e-06,2.4949495093503578e-06,4.82316403452081e-06,5.660047956220115e-06,8.243053767493449e-06,5.320736409267175e-06,6.761015674545568e-06,7.197813304318148e-06,5.2916401890111625e-06,5.815773030733816e-06,1.7735470618774446e-06,4.968365705784739e-06
2020-09-01,8.796001998482638e-06,1.5638031693077563e-05,6.305414242611932e-06,4.2252211903293135e-06,1.797860545950319e-05,8.889506577096576e-06,2.2724119263860813e-06,5.707736845688061e-06,5.0399342044383326e-06,8.687882105070137e-06,6.15201410706716e-06,6.748609339876838e-06,5.790711249727102e-06,8.075187614795268e-06,7.128815921497479e-06,9.663818309907701e-07,9.799977558051392e-06
2020-09-02,8.724894159992095e-06,9.746110901723273e-06,5.174655846576284e-06,8.786796081528288e-06,1.862266751089426e-05,6.751134674152471e-06,2.557871076751782e-06,4.746503488205413e-06,4.222884451909283e-06,8.515778898715485e-06,5.279851952951239e-06,4.821029329937186e-06,6.044962967934583e-06,5.482221536267712e-06,7.248254529706065e-06,6.360286371893894e-07,5.4217956657222525e-06
