,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,7.625798646831422e-06,1.8533916288666737e-05,1.6342990660138416e-05,1.569374185887141e-05,0.00010334442235389068,1.2958901589931707e-05,7.048462335340949e-06,7.247158486715262e-06,8.947571908882332e-06,1.2029316833120411e-05,7.615321349638018e-06,5.695528826800392e-06,6.918572754814238e-06,1.384367408593209e-05,2.7304147167877336e-05,2.9991444545819035e-06,1.1445802330544896e-05
2020-08-25,7.3434308621069525e-06,1.8993366095681618e-05,1.4389121638971848e-05,1.2901385393768201e-05,9.67768471070981e-05,1.5669990426095692e-05,4.426281303211267e-06,6.67127817626692e-06,9.040893967323692e-06,1.0542824108101178e-05,7.739734525526237e-06,1.057325332904981e-05,6.3496966732737836e-06,1.3266039656406451e-05,2.5485851347582594e-05,3.2816489254474998e-06,3.343957364543602e-05
2020-08-26,7.184587653031399e-06,1.7040854230814505e-05,1.7560667043585435e-05,1.1396591507411964e-05,4.487636561273691e-05,1.4047123961056844e-05,3.7368192644959102e-06,5.269302650709118e-06,6.674817890705102e-06,8.827863286804773e-06,8.056729485986978e-06,6.802868599616743e-06,6.733794140567166e-06,1.3292226851627463e-05,2.5373865788199267e-05,3.8024675162329717e-06,1.3877454910582187e-05
2020-08-27,7.1327667592209044e-06,2.1532224481191817e-05,1.6230089201047606e-05,2.049788606060238e-05,7.364999558100026e-05,1.4457340955214129e-05,3.875676116508761e-06,5.84088283360987e-06,7.548082729294407e-06,1.082187415355799e-05,7.683556037546245e-06,8.388784949513146e-06,6.590147150077685e-06,1.2235055252021471e-05,2.337127389982425e-05,2.836641145826521e-06,1.172326211012976e-05
2020-08-28,7.443551460829826e-06,2.187613761692757e-05,1.537612155592896e-05,1.6067206830858217e-05,7.149102787600157e-05,1.6899134865185258e-05,5.396052153944234e-06,6.177478508271475e-06,1.1499965766979542e-05,1.2027742445860354e-05,6.820162621226408e-06,9.647002666624477e-06,6.706155045035909e-06,1.2945837889722361e-05,3.0395378744511644e-05,2.231026577704768e-06,1.2276083086383323e-05
2020-08-29,7.931464256816866e-06,1.9746071504115112e-05,2.8759158306426883e-05,1.6427033710002333e-05,9.834582325288644e-06,1.2186275910932334e-05,4.443578440379508e-06,7.233831106808758e-06,6.558325591122207e-06,1.0204150854745851e-05,7.05842715028709e-06,5.7297326767175435e-06,5.321446741725673e-06,1.6043393677576227e-05,3.556831150727218e-05,5.121738148687622e-06,1.8458669926067466e-05
2020-08-30,7.2331599275412435e-06,2.0508896719956933e-05,1.7350982884073828e-05,1.3516489719914481e-05,4.8697583138948816e-05,1.556820408102944e-05,4.064440022971259e-06,7.44557765319253e-06,6.168767503877793e-06,1.1085041751370746e-05,6.836013409032325e-06,9.664421299451427e-06,6.028772591226747e-06,1.1722635144855994e-05,4.5732731693840826e-05,5.408226453258051e-06,1.1761823877638095e-05
2020-08-31,8.788593236307618e-06,1.655097679073947e-05,2.9546506543159338e-05,1.4555828881675667e-05,2.7316732044712026e-05,1.4497631155293372e-05,3.742424264025537e-06,5.754911632098694e-06,7.660582147642742e-06,1.0361060638307738e-05,6.933080775711774e-06,7.340531303792331e-06,7.626254572432324e-06,1.1517099234906647e-05,2.1809148865251812e-05,1.7735470618774446e-06,1.6324630176149858e-05
2020-09-01,7.763203329384872e-06,1.534016442273323e-05,1.5739469139954975e-05,1.1971460039266389e-05,4.794294789200851e-05,1.4960389117552776e-05,3.4627229354454574e-06,5.455924926025352e-06,6.338886318984294e-06,1.0659600029625062e-05,7.315908667863649e-06,7.145586359869593e-06,5.790711249727102e-06,1.020825604134496e-05,1.9604243784118066e-05,2.2548909389784634e-06,1.224997194756424e-05
2020-09-02,8.269756964638176e-06,1.658293496711124e-05,1.5437723275619248e-05,9.335970836623805e-06,3.724533502178852e-05,1.5947274878943946e-05,3.1904628484215777e-06,5.967032956601091e-06,5.596593851927966e-06,2.8126058475334948e-05,6.764810314718775e-06,6.227162884502199e-06,5.689376910997255e-06,1.2182714525039362e-05,2.8268192665853653e-05,2.8621288673522525e-06,9.664940099765755e-06
2020-09-03,7.4925545544507115e-06,2.2532487750520295e-05,1.773971079878708e-05,7.21383985481632e-06,1.2629292380747907e-05,1.6499371436003448e-05,3.3908205387772836e-06,5.922841011341555e-06,7.772138158330187e-06,1.3765926652426649e-05,6.966043162095153e-06,8.416490655950489e-06,5.298543704398267e-06,9.130663254527313e-06,2.755851262770418e-05,3.513618145090709e-06,8.829862240904249e-06
2020-09-04,7.898270033896602e-06,1.951230432297371e-05,1.8184383603317284e-05,1.5935350918736722e-05,3.1906213963070835e-05,1.4608869526592564e-05,7.881808134246347e-06,7.250355317960866e-06,5.89566447701688e-06,1.4978063734894342e-05,8.358167926737872e-06,6.242448650825614e-06,6.32917185415329e-06,1.2740401421382884e-05,2.4693788207022843e-05,3.980740829714465e-06,1.0699888834984721e-05
