Weeks,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,-13.979707787041074,13.925157234447294,-8.523430739658322,-43.57825351256744,-20.273193470739926,-3.514723551085197,-16.38265966206074,-13.604175677052888,-40.21300490214631,-29.954368526493557,-28.180134163330884,-26.21652149499899,-18.223436910935142,-35.34323875812105,-41.09889863456786,-35.40446488604784,-4.615905122577324
2020-08-31,-15.91414674568833,-6.9314569978413125,-16.245984544178395,-38.38302271992347,1.4021211297922997,-8.13824236110503,-27.334665639963717,-16.208899047584957,-29.873223714050788,-30.57426549819704,-13.000391091888508,-21.86049891584876,-22.054567535558345,-28.964463532910965,-44.0640045605437,-23.763478339054867,-16.231605572089038
2020-09-07,-17.223451469981978,-11.59785593402891,-18.91176619554874,-38.30811367393833,-7.228910246991028,-11.243328960348197,-31.533592277614698,-21.87232670498703,-29.611638208446124,-31.391994614785247,-35.831975283322606,-8.84503346746477,-21.150285215881393,-16.144734382009062,-37.552808971297736,-11.399194365391063,-15.406928305665046
2020-09-14,-15.884659290027159,-15.101714655359189,-22.91926560810057,-27.060909139104293,-18.92751971680273,-12.576697854268948,-35.23204146794095,-14.336574033095983,-29.785995718990332,-27.70016487765864,-25.67293454040078,-15.68809042251994,-19.863505354026234,-27.64235383086867,-18.725628254210534,-34.29119024300065,-16.142620649521223
2020-09-21,-15.928334737612616,-7.38298660476927,-22.743627835145265,-40.39802482833995,-16.11537354613558,-4.665560423035586,-36.089989259219756,-19.18543880896725,-16.948499958329787,-32.487736315051485,-27.59214959486268,-18.405764023605986,-23.255183066833197,-13.460756385521622,-36.16170286850272,-33.46110982168254,-28.782136416757396
2020-09-28,-16.56568635574405,-6.2088857856955055,-21.15331626495265,-33.35444643087442,-32.68553399917863,83.80767234717406,41.79451556633762,-9.211419291166745,-19.912836331797834,-42.08039855621693,-30.60232430395271,-25.80841656028594,-19.00734772847217,-25.55343719089884,-45.27518118093177,-23.557601039584853,-26.782055457931765
2020-10-05,-8.937047612475125,-2.0210263965229847,-10.26940632932516,-28.91223056081764,-50.90890131735316,22.32473190089759,18.414178879568553,-10.80679085876991,-19.912218664984806,-32.55373153205788,-23.85655614352189,-31.575602475682484,-1.272126377622751,-19.90222014624686,-38.66489460317221,-28.67768299545389,-27.59064036603619
2020-10-12,3.830013265082899,-10.47415959921123,-10.73787198333479,-45.36437736319014,-49.807454457236474,10.017418535584376,23.64842975506274,-6.315086416985616,-20.866698628178526,-42.00396756448883,-34.63361104688004,-21.11499427338841,-12.821707610150368,-15.363976594682638,-39.0988826247032,-22.119169937590634,-46.24833238767192
2020-10-19,5.0010728542926985,1.1455284048931036,-6.465531267005709,-21.984329653716916,-42.30457890783988,-5.006967067302137,11.973913891480525,-12.841454814523168,-24.43752311038515,-30.555595489414923,-39.422253345787524,-13.359038305080972,14.694766487608678,-10.232423800224154,-35.669544479291346,-16.87194761367167,-41.334327795790095
2020-10-26,-0.7341749753719373,-19.1998892900493,-8.929396766264153,-17.975870572480346,-42.966521437034174,-8.634330713130877,-3.0740031917682376,-3.6022213439599993,-32.421729163236634,-34.52986437577215,-33.408704675614786,-16.314037412848336,5.605829239049842,-20.17228568004814,-34.527035963670194,-2.7996826426861965,-31.24035149841935
2020-11-02,-32.43469783448511,-31.217804467912924,-33.529760721443715,-21.070492391261887,-47.232192406888416,-20.452549326381043,-56.04787294665188,-42.34254143377548,-59.56977419624305,-68.3125459397164,-49.84120816631696,-42.583973554344,-29.88331641047178,-27.698330846916374,-44.61893918327049,-20.4091312948703,-56.617411096921046
2020-11-09,-5.538681923583866,-21.265057829037705,-21.472611248721908,-3.6049907044677365,-39.60546227282595,-15.688416144152818,-39.40854632740114,-15.794896773089139,-35.82091287010146,-44.558863590468675,-34.545732484115064,-35.01687172830077,-8.953833752733932,-24.438225765568745,-31.154418701209597,0.6809551091504051,-47.35587162455711
