,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,4.6784538216073695e-06,1.3723586870234149e-05,1.121048119662387e-05,6.725889368087747e-06,2.4605814846164446e-05,3.0497519710336662e-05,2.4269430751723412e-06,5.296000432599614e-06,1.6380939340876884e-05,1.4978812787395127e-05,5.692260402759731e-06,4.881881851543193e-06,6.406085884087257e-06,1.3529045129433633e-05,1.4390023507394811e-05,2.3677456220383447e-06,1.952519221092953e-05
2020-08-25,4.827818028620908e-06,1.768847834865006e-05,1.0456403506133884e-05,1.2184641760781079e-05,4.838842355354905e-05,2.9854338419017526e-05,3.095681402245917e-06,6.259470881435629e-06,1.4120571505665355e-05,1.3796038404315257e-05,5.2914511552067125e-06,9.963257944681552e-06,6.864536944079766e-06,1.3578181765968956e-05,1.2742925673791297e-05,2.656572939647976e-06,2.0203075744117595e-05
2020-08-26,4.320061244843969e-06,1.4176845116391898e-05,9.557145870905746e-06,7.597727671607975e-06,9.972525691719314e-06,3.209254768936664e-05,2.809240014443734e-06,7.007629298365734e-06,1.6830076538706433e-05,1.3854840991790823e-05,5.45014053463825e-06,6.165099668402674e-06,5.7718235490575704e-06,1.0212320629908904e-05,1.4136868081996734e-05,2.534978344155314e-06,1.7682563515096657e-05
2020-08-27,4.180406933175459e-06,1.5790297952874e-05,9.785789077102231e-06,1.1387714478112434e-05,2.9459998232400105e-05,3.1299776230450894e-05,3.408396017355223e-06,6.195702818829161e-06,1.3413471856516813e-05,1.3401506945975882e-05,3.998585284845495e-06,6.081869088397031e-06,5.008511834059041e-06,8.266929224338832e-06,7.550719259943219e-06,1.2607293981451204e-06,1.79437685359129e-05
2020-08-28,4.2601191447232205e-06,1.3402985723047174e-05,1.0234730910665214e-05,1.2241681394939594e-05,4.399447869292404e-05,3.134807533627116e-05,2.3313040859273633e-06,6.682908568039141e-06,1.7807963867010512e-05,1.1417197144040031e-05,4.599644558501531e-06,1.0225822826621945e-05,5.256175575838956e-06,8.578567276322047e-06,1.1941041649629574e-05,8.580871452710646e-07,1.389745255062263e-05
2020-08-29,3.5474559039195836e-06,1.8250156996227602e-05,1.0315268351230799e-05,1.2104130102106983e-05,2.4586455813221614e-05,2.9626515088853457e-05,1.8761775637157923e-06,5.8677857475830696e-06,1.3070465790757637e-05,1.2712433746415222e-05,4.235056290172254e-06,8.334156620680064e-06,5.321446741725673e-06,6.016272629091085e-06,8.892077876818046e-06,1.7814741386739553e-06,1.6679521017530844e-05
2020-08-30,4.117888077560609e-06,1.6301943546632433e-05,1.1084051060715625e-05,1.3516489719914481e-05,1.9479033255579525e-05,2.734698729040871e-05,2.7972910746331604e-06,7.20045575514504e-06,1.4656291587227379e-05,1.596904529529152e-05,4.838975783921758e-06,5.665350416919802e-06,5.3893573163996685e-06,6.850890669071684e-06,9.022103531437986e-06,1.966627801184746e-06,2.0481796752438754e-05
2020-08-31,3.992590616401465e-06,1.2340640589586446e-05,7.227905732872036e-06,1.1321200241303296e-05,2.185338563576962e-05,3.0018624509783923e-05,2.9277468732172568e-06,6.604446206360882e-06,1.4345293958006153e-05,1.3967396661586122e-05,4.998267535978255e-06,7.920046933039093e-06,5.0556069637472706e-06,8.093096759664131e-06,8.360173731679861e-06,9.673893064786062e-07,1.6797807862415072e-05
2020-09-01,4.320541099058986e-06,1.3255093530322889e-05,8.278864501750017e-06,1.1267256507544837e-05,3.595721091900638e-05,2.8547602422383316e-05,2.083044265853908e-06,6.547109911230423e-06,1.4392389429169258e-05,1.275455032446467e-05,5.0712548720418475e-06,9.92442549981888e-06,5.358568619150452e-06,8.989359797602278e-06,1.0693223882246218e-05,1.449572746486155e-06,2.0089953994005355e-05
2020-09-02,4.250809654720558e-06,2.0074079170713606e-05,9.788723976440137e-06,1.043432034681484e-05,5.5868002532682784e-05,2.9340066367668035e-05,3.2454708285667774e-06,6.59085912933666e-06,1.3533581496480353e-05,1.3853133278896316e-05,5.3623496397161025e-06,7.432420216986495e-06,6.3116525106375794e-06,7.614196578149601e-06,1.4134096332926827e-05,1.2720572743787788e-06,1.6501117243502508e-05
