,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,5.319004691463491e-06,4.0321878948626103e-05,1.0580173016894015e-05,2.167231018606052e-05,1.9684651876931558e-05,2.432338335073569e-05,2.1945761849962663e-06,6.187958400195339e-06,5.093233240440712e-06,8.732821354813375e-06,2.6922853256296026e-06,4.881881851543193e-06,5.381112142633296e-06,5.034063303975305e-06,6.641549311105298e-06,3.1569941627177933e-06,1.6607634754123966e-05
2020-08-25,4.923295083357177e-06,3.697181949922758e-05,1.1566818037758721e-05,2.150230898961367e-05,3.387189648748433e-05,2.2815223080884244e-05,1.8465468013396696e-06,4.145526767968333e-06,6.897176841051064e-06,1.0603068817290328e-05,3.001121550714255e-06,3.65997230620955e-06,4.204528878248857e-06,3.2774921504062998e-06,4.004919497477264e-06,1.7189589609486904e-06,1.7880883129851205e-05
2020-08-26,4.700869777690156e-06,3.0931298435764144e-05,1.181696361378001e-05,1.899431917901994e-05,1.9945051383438628e-05,2.2822153538744747e-05,2.2261902001252232e-06,2.987748925659809e-06,5.7689497483951235e-06,1.0973524502347599e-05,3.712414567072431e-06,4.464382518498488e-06,4.547497341681722e-06,3.890407859012916e-06,4.712289360665578e-06,9.506168790582429e-07,1.477277458223265e-05
2020-08-27,5.029946370299647e-06,5.268217589731598e-05,1.890328036357309e-05,2.5812152817054847e-05,2.9459998232400105e-05,2.3153761783604354e-05,1.6767109440215209e-06,4.803716722968865e-06,5.625004326926405e-06,1.000394180474256e-05,3.920181651809309e-06,5.033270969707888e-06,4.569168690720528e-06,2.645417351788426e-06,5.752928959956738e-06,1.1031382233769804e-06,1.8422269030203907e-05
2020-08-28,4.760312238332514e-06,4.3136046005209294e-05,1.6000776494138573e-05,2.3718257702695465e-05,1.099861967323101e-05,2.5907202490550536e-05,1.466887964179015e-06,3.7626460004926257e-06,6.3565211623389025e-06,9.707670298943128e-06,3.3307770940873156e-06,4.630561279979749e-06,5.346799292663765e-06,3.5874008610074016e-06,4.704046710460135e-06,8.580871452710646e-07,1.7140191479101243e-05
2020-08-29,4.320872319012173e-06,3.9492143008230225e-05,1.5829421018248185e-05,3.3718648141583736e-05,1.966916465057729e-05,2.3496891277366536e-05,1.6786851885878142e-06,4.532786873794329e-06,5.8193593273337895e-06,8.550964403418311e-06,3.3723596384704984e-06,4.514334836201701e-06,4.276162560315273e-06,2.6224778126807293e-06,4.788041933671255e-06,8.907370693369777e-07,1.934824438033578e-05
2020-08-30,5.558154245750889e-06,3.694230755325576e-05,1.4731966599685324e-05,3.259859285391139e-05,1.4609274941684644e-05,2.48207067093086e-05,2.3191216601659534e-06,4.657316062902323e-06,5.73126626246802e-06,9.383871977645532e-06,5.760685457049712e-06,4.665582696286896e-06,4.201871806006521e-06,3.044840297365193e-06,3.111070183254478e-06,1.4749708508885594e-06,1.4195304679908046e-05
2020-08-31,5.158965403215376e-06,3.1940481525988444e-05,1.4602323068437425e-05,2.830300060325824e-05,1.092669281788481e-05,2.2275183869191932e-05,1.7057307870048366e-06,4.329885894626636e-06,6.294363675451679e-06,1.0418304067248664e-05,8.303573487189683e-06,3.863437528311753e-06,4.969918710124436e-06,2.8014565706529684e-06,5.088801401892089e-06,2.09601016403698e-06,1.3958741744823792e-05
2020-09-01,4.9230069893660165e-06,3.112712975098296e-05,1.4488012878062531e-05,3.168915892746985e-05,1.1985736973002128e-05,2.413898533943298e-05,2.0559917429207403e-06,3.665262386201647e-06,6.027137811493263e-06,1.1398994251333158e-05,1.222089288836314e-05,5.160701259905817e-06,4.926425988573803e-06,3.961412792163716e-06,7.4852567175723534e-06,9.663818309907701e-07,1.9354955677151498e-05
2020-09-02,6.200170849915642e-06,3.0983904806971004e-05,1.0521800221371778e-05,1.3729368877387949e-05,4.655666877723565e-06,2.3282291470860954e-05,2.255327185953184e-06,4.095554438394386e-06,6.156253237120762e-06,1.2713698074138611e-05,2.755422737946428e-05,2.8122671091300252e-06,4.711515254419602e-06,3.0456786312598405e-06,4.7113654443089425e-06,1.2720572743787788e-06,3.700964867471277e-05
2020-09-03,8.032053010272335e-06,3.335978705921187e-05,1.1277387579228928e-05,1.4942953984976663e-05,8.419528253831938e-06,2.9895984969218635e-05,1.9055850961723576e-06,3.784037312801549e-06,5.565853777900973e-06,1.1358432753571764e-05,1.5653108752472638e-05,2.668643378716009e-06,4.841772695398416e-06,3.620780256105659e-06,6.800152466576356e-06,1.4373892411734717e-06,2.0529429710102377e-05
2020-09-04,5.3954531134526425e-06,3.373057258932665e-05,1.1596492769361145e-05,2.1034663212732473e-05,1.367409169845893e-05,2.2122002425983025e-05,1.582011668522564e-06,4.072908764272837e-06,6.049464419895581e-06,1.3856358521267894e-05,1.1735205472894587e-05,4.430124848973017e-06,4.479106235246944e-06,2.3888252665092907e-06,3.5276840295746916e-06,8.65378441242275e-07,1.4342404183064626e-05
2020-09-05,5.273533472717845e-06,3.141599288050495e-05,1.0761025273381064e-05,2.406749400500604e-05,2.0634724113738598e-05,2.4876038178838814e-05,1.6857775049642258e-06,6.203490820392752e-06,4.832413803134543e-06,9.107128116882303e-06,7.259566028036933e-06,3.488055973039379e-06,6.098072410009569e-06,2.9062802132047166e-06,2.5548575826576266e-06,3.39512844336756e-06,1.5587084135465767e-05
2020-09-06,4.606503356428377e-06,3.218239466832374e-05,1.1297286853075637e-05,1.6937734157344995e-05,2.9422767337365652e-05,2.5607711468819952e-05,1.7094439361858319e-06,5.395596563198357e-06,5.616480582651083e-06,9.699607687738885e-06,6.330600914091292e-06,5.731544722452911e-06,5.796757293969754e-06,4.645247841779143e-06,5.386692714318547e-06,1.7011113360358322e-06,1.4347995876094866e-05
2020-09-07,4.881144631637997e-06,2.610029384136934e-05,1.0978071448377873e-05,9.750648069859214e-06,3.4457331486420364e-06,2.273231589061085e-05,1.417928710745694e-06,4.6709060208005764e-06,4.810919079796446e-06,9.501975027606847e-06,6.197820089839414e-06,6.002878980759172e-06,4.754208729308297e-06,3.5440272970227705e-06,6.762955370919359e-06,1.8367347875885096e-06,1.8043315987246717e-05
2020-09-08,4.7921742958874585e-06,3.014647765395635e-05,1.1396599353496017e-05,2.267521270238739e-05,9.357513147305972e-06,2.073075404122836e-05,1.2603507950122142e-06,3.3781504844214595e-06,4.980513501477704e-06,9.608669089077844e-06,5.257138790081639e-06,6.232545221497841e-06,5.237719827945972e-06,2.935500412437808e-06,4.349740554705683e-06,1.0728324493193952e-06,1.2226350798893776e-05
2020-09-09,4.413784809237285e-06,2.6751363770806387e-05,1.13032279420085e-05,2.023007755156251e-05,1.610985633230123e-05,2.0984060210166616e-05,1.8927563126147448e-06,3.5566009327778714e-06,6.320581879322488e-06,7.360772405483436e-06,6.467031849313246e-06,3.595494844959266e-06,4.506328661974827e-06,2.772160729879118e-06,5.077571004276902e-06,6.209043596178706e-07,1.151425736624615e-05
2020-09-10,4.819968798174036e-06,2.952842419847496e-05,9.950450117217981e-06,1.2673686078227422e-05,2.5718428218259443e-05,2.3110000356925122e-05,1.8649224611146453e-06,3.346003802077504e-06,6.452609568157207e-06,1.1143171441732845e-05,5.851069794973638e-06,3.2358094083989883e-06,5.040657402538439e-06,2.577543794080026e-06,5.576795789240339e-06,1.670521014243166e-06,1.4566528135249093e-05
2020-09-11,4.412542639700335e-06,3.1190056609952746e-05,1.1924143857430728e-05,1.4232954755714105e-05,5.226193682737882e-05,2.1272870133367268e-05,1.953874603119221e-06,3.806012439407942e-06,7.1922371317800916e-06,1.1608820368745424e-05,4.9884309291222474e-06,2.024411085012567e-06,4.194082373455448e-06,3.3463287745712158e-06,4.957405265755874e-06,1.0048303871427262e-06,1.3438633522671322e-05
2020-09-12,4.45988423833073e-06,2.8079095692666722e-05,1.3844290368582384e-05,2.096627033185991e-05,1.853490818269859e-05,2.020599800003611e-05,1.204535732299546e-06,4.922740307963437e-06,6.2301981305219695e-06,1.074488946194966e-05,2.822336649605776e-06,3.89915577960341e-06,4.581835313898051e-06,1.2676494435890452e-06,6.3489517546497715e-06,1.539982228605082e-06,1.3654904771164985e-05
2020-09-13,4.478675550188451e-06,2.8053150552561314e-05,1.1516855632767993e-05,1.6036657661192466e-05,1.6914005811652396e-05,1.8368761156246902e-05,1.6517216352003532e-06,5.297566937743881e-06,4.6147077915751845e-06,9.414478154023071e-06,4.304782347073781e-06,3.843333993410695e-06,4.582064732605197e-06,2.1558149103550566e-06,7.470462441113268e-06,2.6526075252546324e-06,1.0119424609516703e-05
2020-09-14,4.250659487165324e-06,2.5874442799209256e-05,1.2237959256267607e-05,1.791158585342949e-05,1.6230911771468763e-05,1.8881187844305304e-05,1.8757767363330146e-06,4.332871748761481e-06,4.66310971429173e-06,1.008880723349874e-05,2.835541432458821e-06,3.006473312851734e-06,4.854629813610321e-06,4.133623197280995e-06,6.568430601419334e-06,1.4320232182516515e-06,1.1013624302798247e-05
2020-09-15,4.498186516168837e-06,2.8078136594464907e-05,1.1681335598484915e-05,2.1198249772742293e-05,1.426484685260419e-05,1.8947695701166363e-05,1.8178421523398618e-06,3.859316290398748e-06,4.209545698260521e-06,9.737150654537982e-06,3.875624429707921e-06,4.094888311921292e-06,4.154368182491051e-06,5.227855304650962e-06,4.1444048807274814e-06,7.761593647663388e-07,1.3857409977380618e-05
2020-09-16,4.242654265191116e-06,2.784627827056228e-05,1.0835653199862701e-05,1.5881612757414473e-05,1.7435170225378635e-05,2.0562025804145652e-05,1.4580614484316403e-06,3.947950666408473e-06,4.983212627814747e-06,9.170191967743092e-06,3.0956386505226654e-06,4.108698956996987e-06,4.455110308531239e-06,3.229692500976982e-06,5.925262916114659e-06,7.313682832782442e-07,1.2352827292651056e-05
2020-09-17,5.214869361515169e-06,2.478757509613426e-05,1.1779487021336659e-05,1.558679230232509e-05,1.433478019048056e-05,2.0190637196245588e-05,1.6906710433841663e-06,3.854210174013657e-06,6.374360684922202e-06,1.1829400113176789e-05,4.5795546985628635e-06,1.403930162095771e-06,4.263015630613248e-06,3.71595558625258e-06,9.12061806920725e-06,9.427057981748587e-07,1.1894024688853436e-05
2020-09-18,5.198012098243208e-06,2.5745173970408824e-05,1.0937761575808519e-05,1.742704011229351e-05,1.1211474570507095e-05,1.816782773747665e-05,2.0176378390958385e-06,3.550647916769317e-06,4.513606704210491e-06,1.049876375363452e-05,3.2048774619211253e-06,2.9156587396384776e-06,3.237712879621835e-06,2.4535919441052126e-06,3.2616601632787078e-06,1.4692932405654232e-06,2.084003933330902e-05
2020-09-19,4.651268477804785e-06,2.3221407637074405e-05,1.0662870326414653e-05,1.3524012899203503e-05,4.4669379586986914e-06,1.9683088165178592e-05,1.892605861656412e-06,5.031247846293669e-06,4.873091816773219e-06,1.1900444432288312e-05,3.4677353236152527e-06,3.762013445436054e-06,5.190939401365197e-06,4.31512770300798e-06,7.571275818480727e-06,1.9280465867469935e-06,1.584597329809445e-05
2020-09-20,4.585235901560051e-06,2.4187801992729345e-05,1.198912909247694e-05,2.0251576507340418e-05,1.692580067500093e-05,1.7789356541288577e-05,1.4502742363106373e-06,6.6129622694070005e-06,6.091314451199798e-06,5.4170497075948875e-05,4.778509803700384e-06,3.9717079356908995e-06,5.226652406158207e-06,3.3060250653804025e-06,9.244088564743684e-06,9.282114317127613e-07,1.3252912055848205e-05
2020-09-21,4.024023419816304e-06,2.495920310900422e-05,8.858559341901545e-06,1.2162268992903316e-05,8.790513278070307e-06,1.8979794194834564e-05,1.2158456664492459e-06,5.5205511718289955e-06,4.909343799020767e-06,1.340781426123723e-05,3.338608599890096e-06,3.0710414419767986e-06,4.371113832381475e-06,2.8762445813065903e-06,6.465080662656401e-06,5.147647396448638e-07,1.2454182759923888e-05
2020-09-22,4.677516638673184e-06,2.35601577304895e-05,9.56695287072895e-06,1.3653384734311156e-05,1.9839695262280773e-05,1.8391337328782655e-05,3.051351348320441e-06,3.376181733414964e-06,5.374919370563518e-06,1.057532778472985e-05,4.5866174251711475e-06,3.0632779409717827e-06,3.407887380792515e-06,3.3719182965804456e-06,3.174078080204721e-06,1.416763167557875e-06,1.5631943140186117e-05
2020-09-23,4.372069256241899e-06,2.4242892415385116e-05,1.1391933111776508e-05,1.644703994398608e-05,1.1440371354454166e-05,1.6553456542779563e-05,2.0286659064407857e-06,3.5488663926555883e-06,5.500590803375925e-06,1.4353219153040024e-05,3.225861683487881e-06,2.7116648072393704e-06,4.433951895203206e-06,3.503267832310034e-06,5.931885208948912e-06,1.4379060532315435e-06,9.987656559230604e-06
2020-09-24,4.141030235152686e-06,2.8214864686439717e-05,1.5430735510498535e-05,1.6169540869929384e-05,1.4816395230306048e-05,2.0108672705947517e-05,1.2439462487932998e-06,4.1900661910742016e-06,6.063330898579257e-06,1.070662608635079e-05,4.460052425438454e-06,2.9419846510776783e-06,5.56456337653466e-06,2.1435265826975854e-06,7.605619584885283e-06,7.973619015699259e-07,1.4316271157984607e-05
2020-09-25,4.367486414579502e-06,2.2118530293509988e-05,1.276711275132322e-05,2.1920256195603842e-05,2.5710056672310636e-05,1.7846988270354815e-05,1.3427792599920146e-06,3.2897757375670625e-06,5.102402546419593e-06,1.2589088617259134e-05,3.175743772066055e-06,2.3702031191143755e-06,5.438400225187275e-06,3.0807012389445388e-06,6.891224095027224e-06,1.0318151352834934e-06,1.2614862458707006e-05
2020-09-26,4.055163178768446e-06,2.6019188740867095e-05,1.1965947408506125e-05,2.1196881938666823e-05,2.5919829965915422e-05,1.7369380866334692e-05,1.969859003533428e-06,4.657066651565352e-06,5.563126016684852e-06,9.262947284567003e-06,2.810857624673833e-06,2.8748602099222924e-06,5.083273164323311e-06,2.190522578889715e-06,6.496239532079285e-06,8.105695020793134e-07,1.8886653252850436e-05
2020-09-27,4.471865074886961e-06,2.418329594812235e-05,1.0613554357999514e-05,7.94931253351546e-06,1.7784522722691864e-05,1.8522851536369764e-05,1.4240793165896764e-06,3.964327609052915e-06,9.389728094703328e-06,9.068406775817454e-06,3.3051894060344713e-06,2.0360427694846054e-06,6.796570526030016e-06,4.459592994526065e-06,5.355877212349225e-06,8.59817688556407e-07,1.342531436594071e-05
2020-09-28,4.512016280594933e-06,2.2538270507467507e-05,9.945919535241928e-06,1.2579224096304253e-05,1.2947028527482658e-05,1.774629408424227e-05,1.4874909874494378e-06,3.0469708843650175e-06,6.140809829678233e-06,9.155820289559356e-06,3.6973625375675632e-06,1.8121158427670574e-06,3.253278148603924e-06,2.169052479790938e-06,3.088787676972684e-06,8.339741034361401e-07,1.3238447983195996e-05
2020-09-29,4.103986392673481e-06,2.0097156870676856e-05,9.925009464205453e-06,1.3872536940192937e-05,2.6662756129101067e-06,1.7420093941111847e-05,1.5448007058550918e-06,3.281512818490859e-06,5.665543991137974e-06,9.750313960109516e-06,4.775351807577693e-06,3.829615657948942e-06,4.1785299965582556e-06,3.079720546157642e-06,5.075579610043219e-06,5.492767124250786e-07,7.764952851543892e-06
2020-09-30,4.624311871685172e-06,3.061553056647916e-05,1.0753501345882513e-05,1.0442339948677113e-05,7.443799315170463e-06,1.6945496329927567e-05,1.198515770055521e-06,2.605172896432479e-06,5.092186232902927e-06,8.977713887522814e-06,3.3398454610686633e-06,2.446136083442594e-06,3.590475921086243e-06,2.5665609689905872e-06,5.147638331265699e-06,8.892049377296133e-07,6.191093155690233e-06
2020-10-01,4.148986175552399e-06,2.027237969356271e-05,9.730171665272077e-06,1.3688603593338964e-05,8.631603176429968e-06,1.5007032975774138e-05,1.8223925498680543e-06,3.1819367812800294e-06,4.910852565838618e-06,1.2007968514443131e-05,4.2729089189959665e-06,5.478358970793924e-06,4.32513832450535e-06,2.8208206653859244e-06,2.8303453272885545e-06,6.811023123287284e-07,1.133085881111273e-05
2020-10-02,4.3468167982441934e-06,2.1293762999266803e-05,9.154935025749866e-06,1.5414368503600632e-05,1.0265078544959334e-05,1.3826060942972293e-05,1.5293515751311274e-06,4.691577830472046e-06,5.6995307260759374e-06,7.110717143030096e-06,3.685261575260035e-06,3.0266645586838213e-06,3.2684085435406985e-06,2.27939515109968e-06,4.8315838704980916e-06,1.2691106918345417e-06,1.5562246227041748e-05
