Weeks,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,-27.60953585977698,18.578505680613254,-25.153736455878082,-42.150460598496906,-51.84286853937311,-19.770386772936156,-26.08513250458755,-52.15146445372311,-37.69090509656694,-57.308758204627374,-54.86201703436456,-42.08393622725727,-49.58931533064376,-29.091347086426467,-74.41493310780717,9.561774460472305,-45.17950164340605
2020-08-31,-8.50805258325542,-3.422694134439641,-25.558545186515424,-46.45025676562198,-55.14832175454538,-12.36766841734388,-27.297355140535416,-48.58440485959272,-35.47443670825381,-40.70455539652201,76.28704709657468,-53.954111553092034,-43.99363425596531,-60.30582512207807,-66.90060458105269,40.24573646612515,-32.182165545360284
2020-09-07,-33.641976082556525,-18.12858926843678,-31.65910595998308,-53.46662096247471,-35.80458446836796,-27.643631744347196,-33.6392458915078,-55.93098729968455,-30.613344772402517,-44.19784090013995,-27.672183747613943,-58.20873399566371,-43.59695526537028,-24.01158081535717,-63.862169108863796,15.704939304654243,-41.735047106835964
2020-09-14,-31.025328187282597,-21.860186571043926,-34.51545534049196,-43.03284619768735,-44.969602687514495,-34.2771020616075,-35.49592614294453,-51.239238651304106,-41.38850618896992,-3.30296106290775,-67.70874567711142,-56.73316311144918,-50.04959832237661,-9.627874891472354,-81.11438265548374,-3.53878970755942,-41.71442658717977
2020-09-21,-30.976469597530897,-24.093381504808963,-32.290642515161935,-57.248996647338856,-49.82779877344624,-34.22936062348231,-27.601319949393844,-46.10070413061281,-33.318856210718664,-32.74950174787347,-64.91699804383191,-54.1373815719397,-49.38627170761906,-13.923575761237593,-57.23061173726833,-1.7225819588487457,-37.609844274433854
2020-09-28,-30.677431365577256,-12.005704134015549,-40.13615661035318,-59.37745827299074,-57.04935191738636,-46.343362589377826,-31.70026535819922,-53.19027967726107,-36.5136996483094,-46.31088132503951,-54.34546569979772,-53.75391060849384,-62.35365178383201,-25.412392651423453,-62.890899191174974,-22.483783319333195,-53.557626004272585
2020-10-05,-23.600151317206286,2.767912029916797,-35.52954597730371,-56.52612757469089,-51.665442221709014,-37.56709815532029,-23.516850326466532,-45.20684687907593,-43.13607464959143,-42.3095692551128,-58.84250186221107,-47.04765950408793,-47.91881672674809,-37.42219549331115,-47.45148027837875,-45.724960901061685,-56.21257156909483
2020-10-12,-26.52297141395651,-5.136662857954965,-45.349416648296405,-49.15741980293343,-60.52933625158268,-36.87713464192114,-16.067214434956277,-40.740103579495624,-39.589167029838976,-44.16451466136916,-51.80340416342859,-46.98122266655243,-50.0957264069663,-12.2110456380227,-66.31109611332491,14.130816418730841,-51.38472951664541
2020-10-19,-42.27366864111235,-8.889671199072735,-38.74994037906221,-49.66534319970939,-44.81858001499043,-32.04979463676364,-20.517860906692874,-39.617596688903234,-39.987995264475416,-39.66572196208129,-59.42293149943085,-42.370226919828,-49.01501002897612,-21.19199721240863,-67.0047340951522,-45.65178717447071,-45.316261607791375
2020-10-26,-33.942108803246306,-31.079673988160984,-40.16120681823103,-56.43125177735406,-56.924280556205645,-40.249398091082355,-35.60783175477664,-46.23168221580038,-37.56951249943037,-50.96873555385903,-31.64093252482376,-53.69424931033062,-53.50566896673394,-29.30379364389455,-59.95247155709187,-18.09409402445147,-42.72293497400415
2020-11-02,-34.698839398214496,-31.796910375664567,-41.334703494386304,-56.8007538401788,9.176095739124834,-34.919247069656976,-30.068684640775235,-28.85716615234789,-35.29527364858534,-56.94121734155353,-49.757129497616134,-51.65164390975057,-37.85307851254208,-11.719295739976655,-64.26912958155981,-24.519260610425075,-38.69342309291216
2020-11-09,-26.546367439663076,-28.198845345725154,-42.272691958732054,-48.2763204272609,-56.58152037303208,-36.162796928381624,-49.22103036977925,-35.90562962756765,-51.9363784964064,-62.163131687757286,-46.636264764311505,-47.73691104934402,-28.465181044994516,-15.950980896074574,-48.713830207234174,30.960996907994165,-46.38897826798183
