,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,5.939284964172267e-06,1.6270231856463165e-05,1.1435591260813106e-05,8.967852490783663e-06,1.4763488907698667e-05,1.0211071671647759e-05,1.9105722081143964e-06,5.686232043422744e-06,5.87327797095866e-06,8.559321592797215e-06,4.61534627250789e-06,7.11941103350049e-06,7.516474103995715e-06,1.683264917266743e-05,5.9035993876491535e-06,4.4197918278049105e-06,9.65038235712609e-06
2020-08-25,5.940333275113086e-06,1.7398503293754154e-05,1.3556310740253221e-05,1.3618129026755323e-05,2.4194211776774525e-05,9.762793132285352e-06,1.8193917013199688e-06,4.612241702110463e-06,5.452497908128206e-06,9.277685215129037e-06,3.474982848195453e-06,4.269967690577808e-06,6.2638899614727864e-06,2.965350040843795e-05,1.1286591311072291e-05,5.00060788639619e-06,1.3700936424171702e-05
2020-08-26,5.792520905182559e-06,1.6897653775093372e-05,1.3747224602485111e-05,1.7474773644698345e-05,2.9917577075157938e-05,9.624225988431893e-06,2.1996879358380182e-06,4.943366404273502e-06,5.05379068867672e-06,1.0605696865397399e-05,3.9493771990132245e-06,8.290996105782905e-06,6.471438524700912e-06,2.2369845189324268e-05,7.249675939485505e-06,6.6543181534077e-06,1.2534475403106491e-05
2020-08-27,6.215937069651236e-06,1.4067719994378655e-05,1.331822025615377e-05,9.869352547697443e-06,9.819999410800036e-06,9.687152315168859e-06,2.556297013016417e-06,5.158536708188156e-06,5.913466087281606e-06,1.1325217137444409e-05,5.096236147352102e-06,2.9360747323296012e-06,6.238672635406875e-06,1.8848598631492538e-05,1.2224974039908069e-05,3.782188194435361e-06,9.091509391529202e-06
2020-08-28,6.0319895949663115e-06,1.648413186627641e-05,1.225284686488089e-05,1.4536996656490769e-05,2.199723934646202e-05,8.215357674333133e-06,1.8074155272920006e-06,4.8015855677928285e-06,6.696182598494417e-06,1.0623488251673612e-05,3.6479939601908693e-06,4.24468117331477e-06,6.071789027262242e-06,1.0138306781107874e-05,8.684393927003327e-06,2.7458788648674064e-06,1.0654713622144016e-05
2020-08-29,5.2087227955215245e-06,1.421118782493133e-05,1.0600483144352388e-05,1.2104130102106983e-05,4.917291162644322e-06,7.698515620379408e-06,2.221789220189754e-06,4.719065786416014e-06,5.634617761386685e-06,9.406060843760143e-06,3.921348416826161e-06,5.0352196249942055e-06,5.7965759150940364e-06,1.2186808658928094e-05,6.84005990524465e-06,3.340264010013666e-06,1.2009255132622207e-05
2020-08-30,5.426859263567797e-06,1.3409663239971839e-05,1.3001545126071493e-05,1.1131226828164865e-05,9.739516627789762e-06,8.778825019322888e-06,2.5821148381229172e-06,5.331401282532923e-06,5.206264772776293e-06,7.353443538038019e-06,4.53173922621244e-06,4.665582696286896e-06,6.759532905314838e-06,1.2788329248933812e-05,1.1199852659716122e-05,2.7041132266290253e-06,8.719972874800657e-06
2020-08-31,5.717683395500362e-06,2.0470944978019868e-05,1.3332555845095041e-05,1.2938514561489482e-05,2.7316732044712026e-05,8.118673446964289e-06,1.960317471632424e-06,4.905377057836506e-06,7.1238534621391095e-06,8.128566909611595e-06,4.353329789400416e-06,4.0566094047273405e-06,7.71194282605516e-06,1.0894553330317098e-05,1.453943257683454e-05,4.353251879153728e-06,1.2302619842895545e-05
2020-09-01,6.485114976376388e-06,1.6680567139282734e-05,9.385921964193333e-06,1.0563052975823285e-05,4.195007940550745e-05,9.287004838674066e-06,2.083044265853908e-06,5.65177864131857e-06,6.6506348264753255e-06,1.1707075177044865e-05,3.5748190081606466e-06,4.763724239913062e-06,6.7414250369957306e-06,1.1884238376491149e-05,1.3188309454770336e-05,2.4159545774769254e-06,1.175997306966167e-05
2020-09-02,5.998364734994564e-06,1.4837362865310057e-05,8.710670675070077e-06,1.4278543632483467e-05,2.3278334388617825e-05,9.524573783534026e-06,2.2003192058079848e-06,5.587312677544658e-06,7.1738157556531195e-06,1.3313400813484771e-05,4.042386651478293e-06,5.423657996179335e-06,5.333790854059926e-06,1.6903516403492115e-05,1.1234794521044401e-05,2.3851073894602106e-06,9.664940099765755e-06
2020-09-03,5.921535051098143e-06,1.6240948963037355e-05,9.334466872695105e-06,8.244388405504366e-06,4.209764126915969e-06,1.2265019474551234e-05,1.485235442604926e-06,5.730897089677708e-06,6.518567487631771e-06,1.179054704310982e-05,4.507439693120393e-06,3.900324938123398e-06,5.024481098998356e-06,8.343537111895648e-06,8.947569034968889e-06,4.312167723520415e-06,9.492101908972067e-06
2020-09-04,6.294695299028083e-06,1.830223893860325e-05,9.340365771430961e-06,1.3385694771738847e-05,1.367409169845893e-05,1.2483943049997282e-05,1.6102618768890384e-06,5.661632041116851e-06,5.639331238885711e-06,1.4648150436768917e-05,3.545889423464552e-06,4.631494160289972e-06,5.8423124807568836e-06,1.3536676510219315e-05,8.113673268021792e-06,1.73075688248455e-06,1.0244574416474732e-05
2020-09-05,5.475013987456235e-06,1.3444398699954083e-05,9.926118140101498e-06,1.0939770002275472e-05,1.0317362056869299e-05,9.912724304597891e-06,2.152608198646627e-06,5.374147127826876e-06,6.219938558490006e-06,9.946792411346629e-06,3.4258626199724854e-06,6.976111946078758e-06,6.098072410009569e-06,1.049490076990592e-05,9.900073132798303e-06,7.242940679184128e-06,8.810091033089346e-06
2020-09-06,5.894519432936401e-06,1.7511008863646744e-05,1.1469764514954654e-05,1.0381191902888867e-05,2.9422767337365652e-05,9.417445527576103e-06,1.9261340126037543e-06,6.4560028241737576e-06,6.617868593511354e-06,9.415993427863479e-06,3.877493059880917e-06,5.53390524926488e-06,8.69513594095463e-06,1.2542169172803685e-05,5.985214127020608e-06,5.8323817235514245e-06,7.07002695343805e-06
2020-09-07,5.7550789427481e-06,1.7844078442568834e-05,1.1812905779052997e-05,1.439381381741122e-05,2.067439889185222e-05,1.0537015724371291e-05,2.520762152436789e-06,5.105408906456444e-06,6.853290387257201e-06,1.3711710799331398e-05,4.427014349885296e-06,4.602207218582032e-06,4.842249631702895e-06,9.553464887626599e-06,1.0144433056379039e-05,5.204081898167444e-06,1.024682142485616e-05
2020-09-08,6.140495112587501e-06,1.448084079447685e-05,9.421737371662771e-06,1.2004524371852147e-05,1.8715026294611944e-05,9.501595602229665e-06,2.2843858159596384e-06,4.601732549644981e-06,6.896095617430667e-06,9.670263121700139e-06,4.529227265301105e-06,5.258710030638803e-06,6.589389460964288e-06,9.888001389264195e-06,7.3610994002711565e-06,3.984806240329182e-06,1.0261401563357277e-05
2020-09-09,5.984360117442259e-06,1.5913631781607903e-05,8.62180525503568e-06,9.235470186582884e-06,1.2887885065840984e-05,9.657024248969412e-06,4.301718892306238e-06,5.769597068728547e-06,6.788773129642672e-06,1.3022905025086079e-05,4.093058132476738e-06,5.592991981047747e-06,6.326192160080046e-06,1.0780625060641016e-05,1.1424534759623028e-05,3.259747887993821e-06,8.690005559431057e-06
2020-09-10,6.171243893557324e-06,1.510756586898719e-05,1.0664195484275812e-05,5.884211393462732e-06,3.857764232738916e-05,9.554056309805238e-06,3.1847137412880864e-06,4.523797140408786e-06,6.737283519693554e-06,1.2902619564111716e-05,4.307037487966706e-06,4.853714112598482e-06,6.030786535179918e-06,1.1115657611970113e-05,1.0456492104825637e-05,5.011563042729498e-06,9.188117746849428e-06
2020-09-11,5.509301792920649e-06,1.6634696858641464e-05,1.0214432054343234e-05,1.2525000185028413e-05,4.020148986721448e-05,8.40316222350095e-06,2.986636893339381e-06,5.002187777507581e-06,7.443713954569605e-06,1.3165310250588385e-05,3.6799900296803462e-06,6.25727062640248e-06,5.5921098312739304e-06,1.3066617119754271e-05,1.2039412788264263e-05,3.0144911614281787e-06,9.26802311908367e-06
2020-09-12,5.4161782021473755e-06,1.5896630894790154e-05,9.566818593571879e-06,1.1567597424474433e-05,1.3901181137023942e-05,7.425801972933968e-06,2.4331621792450835e-06,5.594023077231179e-06,5.548770209996129e-06,1.1586356708969814e-05,3.144889409560722e-06,3.5446870723667363e-06,5.876701815651848e-06,1.0141195548712361e-05,1.570530170887049e-05,2.8599669959808662e-06,6.356593600369907e-06
2020-09-13,5.284596575781897e-06,1.6905392036041317e-05,9.583368920697454e-06,7.48377357522315e-06,3.3828011623304794e-06,7.334047494618726e-06,2.312410289280494e-06,5.389432260363718e-06,6.195672497948164e-06,1.0402417219568703e-05,2.974213257978249e-06,6.4055566556844925e-06,6.078249135088526e-06,9.54718031728668e-06,6.496054296620233e-06,6.0286534664878e-06,8.139537185915609e-06
2020-09-14,5.7287946786675785e-06,1.5604689729420017e-05,1.0576514456575647e-05,1.0235191916245424e-05,3.5166975504848986e-05,8.879071607080375e-06,2.433440090377965e-06,4.867794186880182e-06,6.463716435651902e-06,9.411706076888086e-06,3.3081316712019576e-06,8.455706192395502e-06,6.813515527874135e-06,9.614501362564683e-05,1.1408326834044107e-05,3.2936534019787984e-06,1.0564088616969747e-05
2020-09-15,5.927516811026224e-06,1.9708692032653254e-05,1.1072932702730491e-05,1.1638254777191848e-05,3.70886018167709e-05,8.803613872626053e-06,1.5807323063824886e-06,4.176520369061659e-06,6.432564213072257e-06,9.334234075729513e-06,4.117850956564666e-06,6.824813853202154e-06,7.036991002995045e-06,5.520000159910868e-05,1.1742480495394531e-05,3.880796823831694e-06,8.85965555930892e-06
2020-09-16,6.179704495359181e-06,2.4196523351605088e-05,8.909314853220443e-06,8.958858478541497e-06,2.324689363383818e-05,1.0081557625313036e-05,1.788188568831257e-06,4.507943668735916e-06,6.520091288729575e-06,1.0423671445348262e-05,3.5378727434544746e-06,5.673917607281554e-06,5.2413062453308695e-06,2.8913437627793934e-05,1.1850525832229318e-05,4.095662386358168e-06,1.1229842993319143e-05
2020-09-17,6.241653279918074e-06,1.7272193285072277e-05,1.1534081041725478e-05,7.334961083447102e-06,1.433478019048056e-05,1.0095318598122794e-05,1.919914574690494e-06,4.509688094764278e-06,5.993801838061175e-06,1.2028772025196622e-05,5.463328412320609e-06,6.819089358750887e-06,4.529454107526576e-06,1.7933524785827667e-05,1.0874583082516336e-05,3.6137055596702916e-06,1.2118440249020482e-05
2020-09-18,6.458530032067186e-06,1.7560292072301973e-05,1.0590531049592376e-05,1.1618026741529006e-05,2.616010733118322e-05,1.155091363519568e-05,2.076120095301515e-06,3.851087355880566e-06,5.581341623486091e-06,1.205664482675448e-05,4.519698984760561e-06,5.24818573134926e-06,4.162773702370931e-06,1.4721551664631276e-05,1.0147387174644868e-05,5.5506633532471545e-06,9.5139309999889e-06
2020-09-19,5.693287070845063e-06,2.6347366357449806e-05,9.498018946218095e-06,1.2847812254243328e-05,3.1268565710890844e-05,9.880753421563756e-06,2.1152653747924606e-06,5.6641092106073386e-06,5.97643336019357e-06,1.1768947808727116e-05,3.3851701968625088e-06,5.940021229635875e-06,5.77859291850088e-06,1.3424841742691493e-05,1.2045211529401157e-05,4.927230166131205e-06,1.0083801189696468e-05
