,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,1.0735308249234241e-05,5.164030110964396e-05,1.9944751687166163e-05,3.064016267684418e-05,1.9684651876931558e-05,2.228795378163647e-05,5.525168277520011e-06,1.3602359005834798e-05,1.7344524007987292e-05,1.6366810883524405e-05,9.846072048016831e-06,2.135823310050147e-05,1.7595382561626332e-05,2.6428832345870353e-05,2.619722228269312e-05,6.945387157979145e-06,2.491145213118595e-05
2020-08-25,1.075569777485535e-05,5.799501097918052e-05,2.0311332474304312e-05,2.9386488952472013e-05,3.871073884283924e-05,2.539741111949595e-05,4.833607803506783e-06,1.8366605349475594e-05,2.2276017094746007e-05,1.650705031782699e-05,1.1372671139548755e-05,1.8299861531047747e-05,1.7504569207403404e-05,2.6688150367594155e-05,3.2039355979818115e-05,7.969718818943927e-06,2.368636466551718e-05
2020-08-26,1.1987006372813873e-05,5.4702574085471766e-05,2.0385439222178266e-05,4.102772942668307e-05,3.49038399210176e-05,2.4343630441327727e-05,5.7509913503234936e-06,1.3689322350295852e-05,1.983374458952373e-05,1.9740083182994005e-05,9.873442997533061e-06,1.785753007399395e-05,1.3642492025045167e-05,2.4639249773748467e-05,1.9211641239636588e-05,6.337445860388285e-06,2.1040012283785895e-05
2020-08-27,1.1700092643957875e-05,5.3112820386939814e-05,5.3416087694036086e-05,6.90854678338821e-05,4.418999734860016e-05,2.4364655823000462e-05,5.112594026032834e-06,1.2227642567557111e-05,2.043270802516002e-05,1.9882047863513517e-05,1.1133315891138437e-05,1.4051214790434521e-05,1.5640615902851038e-05,2.54621420109636e-05,2.1933041659835065e-05,6.303646990725602e-06,2.5360526197423563e-05
2020-08-28,1.0788062908776713e-05,6.131480825026178e-05,3.056004159240881e-05,4.437609505665603e-05,4.399447869292404e-05,2.475416983450378e-05,4.714997027718263e-06,1.2467274807602433e-05,1.8875471237784987e-05,2.1369085563711286e-05,1.1816328262357382e-05,1.5821084373264143e-05,1.739975363036344e-05,2.105648331460866e-05,2.0987285323591374e-05,5.8349925878432394e-06,3.0806019820546825e-05
2020-08-29,9.75057123313158e-06,5.878944015997908e-05,2.9234516294962866e-05,5.879148906737677e-05,5.900749395173187e-05,2.2146914604598583e-05,7.183785145280205e-06,1.6082079456338786e-05,1.7273336416054264e-05,1.65318645132754e-05,7.685842896979275e-06,1.6147428452567624e-05,1.558423688648233e-05,1.7586027685035478e-05,2.325620367783181e-05,7.57126508936431e-06,2.2906542197409024e-05
2020-08-30,1.0523491753766001e-05,5.350718567322097e-05,2.581601766040095e-05,4.850034546557549e-05,6.817661639452833e-05,2.2231269113680983e-05,5.52285673709624e-06,1.5166917441688488e-05,1.6450046677007447e-05,1.4761763520389755e-05,1.1828607471808742e-05,1.749593511107586e-05,1.580269179215496e-05,1.9486977903137237e-05,2.1155277246130452e-05,1.0570624431368009e-05,2.8187819292960263e-05
2020-08-31,1.0167036166178604e-05,4.2538914032339154e-05,2.3832554038118607e-05,3.153762924363061e-05,2.7316732044712026e-05,2.1627054476367053e-05,4.70985366561037e-06,1.3565148847089778e-05,1.785842717221174e-05,1.5799186387695777e-05,8.061721832222993e-06,1.6999125124571712e-05,1.4395626608636296e-05,1.8209467709244294e-05,2.726143608156476e-05,7.416651349669314e-06,1.6561219019282463e-05
2020-09-01,1.0138640268309733e-05,7.104134397712379e-05,2.0552762454925916e-05,2.746393773714054e-05,6.59215533515117e-05,1.9947185490070366e-05,5.735134861831539e-06,1.3989551092372699e-05,1.4756096021242128e-05,1.8423239357560078e-05,1.263656951721903e-05,1.5085126759724696e-05,1.400142123068344e-05,1.7369271473333216e-05,3.172323085066378e-05,5.79829098594462e-06,2.1804950066664348e-05
2020-09-02,1.0493917975896003e-05,5.498552120673727e-05,1.8542516783565017e-05,1.867194167324761e-05,2.7934001266341392e-05,1.8392280409582946e-05,5.72082993510076e-06,1.3127472504522401e-05,1.5059925274278889e-05,1.6251944236280962e-05,1.2869639135318646e-05,1.74762313210223e-05,1.3690063192087143e-05,1.4771541361610227e-05,3.152990720422138e-05,6.519293531191242e-06,1.8151228967852758e-05
2020-09-03,1.0444690104706638e-05,3.71639733028062e-05,1.866893374539021e-05,2.2156793839792982e-05,6.73562260306555e-05,1.6572377504304346e-05,5.660708668041415e-06,1.2586037149100805e-05,1.3939705858166401e-05,1.611168993849038e-05,1.2866691487634576e-05,1.662770105199975e-05,1.4616672287995217e-05,1.841875173758096e-05,5.1180094880022046e-05,7.825785868611125e-06,1.5893752033627647e-05
2020-09-04,9.674605582742668e-06,3.1915474512770956e-05,2.035026552133026e-05,2.1034663212732473e-05,2.734818339691786e-05,1.6619960656227382e-05,6.15854542389141e-06,1.0427801871648895e-05,1.2970461849437136e-05,1.570387299077028e-05,1.122864984097108e-05,2.013693113169553e-05,1.4411037452533645e-05,2.1340172380816333e-05,3.633514550461932e-05,5.19227064745365e-06,1.8212576740399526e-05
2020-09-05,1.0109065826439191e-05,3.457131094273907e-05,1.9481166443189857e-05,2.9172720006067925e-05,5.674549131278115e-05,1.5641751279118345e-05,4.823917168051477e-06,1.5823877654156914e-05,1.2439877116980012e-05,1.2530374855852248e-05,9.13563365325996e-06,2.1543875127596166e-05,1.5191689161778223e-05,2.0182501480588308e-05,2.8103433409233895e-05,1.0411727226327184e-05,1.4457585285069697e-05
2020-09-06,9.504246016780545e-06,3.9399769943205173e-05,3.509920419238003e-05,1.803049119975435e-05,3.362601981413217e-05,1.4996959487407149e-05,5.152408483715043e-06,1.805809485602225e-05,1.3975893542875952e-05,1.1684907506866726e-05,9.970696439693786e-06,2.1345063104307393e-05,1.729032779063392e-05,1.858099136711657e-05,2.4838638627135524e-05,7.047461249291305e-06,1.9962429045001552e-05
