Weeks,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,-30.446657005182875,4.323641938133105,-26.11034713797089,-56.142242420215574,-67.23977362581243,-33.06222471808067,-18.03827550066275,-51.68580899032922,-26.842123252567873,-57.60850974891548,-51.01910073570297,-29.68638851541926,-33.463312314843144,-18.124241442911114,-36.82745079298508,-18.75584362762115,-46.714691638763504
2020-08-31,-36.21950691321073,-29.487045631716878,-34.25396823224449,-67.11241089959105,-25.514177199512854,-49.59366447532203,-22.893487864715055,-53.2442681085781,-42.35035414748035,-64.30640815395532,-44.65154507985286,-56.09626121837587,-33.60406688388653,-33.4917827436016,-6.011960780456538,-13.013728165882965,-63.9564791574887
2020-09-07,-42.54686995237898,-52.49520887281869,-43.632083696410554,-64.02579170789943,-48.850534298340996,-59.4198706567643,-23.11235246154809,-61.62506697771346,-51.664159238797346,-63.59156719293573,-45.27652601653447,-44.96611868705484,-39.16250443533822,-21.192379523160753,-37.1013427256604,-15.01897113217483,-70.726551909085
2020-09-14,-40.340675474000186,-55.48397810262371,-42.72533151397319,-60.08059036137935,-49.6995827270684,-57.77444391063873,-34.88425144150196,-59.56081139784462,-53.87786352874492,-69.10637346680029,-58.1226980678063,-34.71514456383535,-35.612867785416135,-17.76498580412532,-20.959899997482857,-29.202643505750824,-68.31130668568306
2020-09-21,-25.926603619397916,-42.69947994496639,-37.594933262305155,-59.39968749223195,-49.06535983709015,-45.42111059541622,-19.40791790408476,4.985851641303363,-28.521295384804624,-50.58523701474553,-58.67059771771872,9.6908971220236,5.703632279232496,186.25442557358934,69.1899377733613,-18.953435028746025,-56.214040581230584
2020-09-28,-34.50245923321099,-45.1809049784443,-50.42425630675791,-68.76684961568004,-63.375416363662794,-60.975353295761735,-19.373058193742153,-54.897607135300206,-49.49677213899708,-62.982659183696924,-48.97441066822488,-27.65840734269127,-36.77750008017633,3.3879193891724446,-49.795573538522945,-46.45199256591721,-68.91451419618161
2020-10-05,-33.84689140951438,-49.834160268190644,-63.84276994383124,-73.74350279263508,-77.96778718825527,-58.2309800368273,-19.15009500355631,-61.67380910376754,-54.34826854608723,-69.97642283302635,-65.9171937604605,-31.918419362398776,-43.411366860832125,-25.303225627474735,-44.962080422898566,-33.80159760716278,-72.43925020234288
2020-10-12,-38.68003845273705,-58.197190619323905,-52.354994808419875,-67.83305643186834,-70.3307762428004,-63.8501885912043,-25.359807818705924,-62.130702965532514,-51.9558416614347,-72.44541835554894,-60.6673905589644,-25.039330020108764,-55.284572677838774,-26.471112515926375,-10.795734385572231,-38.47617769273478,-67.93851267750534
2020-10-19,-32.34172126884124,-46.62478172154216,-54.5965331008883,-64.63730202073083,-71.3403516817622,-57.369337247806705,-8.884157622629385,-50.52347723458299,-55.82118272746198,-65.24874850390283,-65.26282203977249,-39.50111689191863,-35.875290813868,-27.79612102460456,-30.021376988095618,-9.007161791967722,-62.81291366261969
2020-10-26,-33.30654292702017,-52.08334341953024,-53.13963681657955,-60.78951110800308,-71.96910903841322,-53.61661129180697,-19.922005883000594,-58.50395851313591,-60.12366072836204,-62.04005858266382,-57.68691872132094,-41.197070019164805,-38.130525113155564,-26.957994828509747,-33.26855080360103,11.469576179740603,-57.44808409905249
2020-11-02,-41.275175585218236,-51.93471046391909,-57.08176225711503,-66.50153510145628,-36.632056319249216,-50.21920869893268,-40.794169922728805,-51.34962444359223,-60.62772318504375,-35.24148638053865,-61.5101769515818,-51.8666281993092,-30.16877048565959,-32.92231070922668,-51.65269575792085,-2.7937188453336037,-63.80316096590385
2020-11-09,-31.48143703370173,-39.75872992379996,-57.51401876125279,-66.48951061654536,-64.94596277175678,-50.127331285357194,-36.18224459976843,-46.05657069618378,-56.225425726948494,-67.81690838495479,-53.370825458443804,-39.02606369837764,-31.02402272033906,-22.77672452631205,-41.24308422251257,1.216871283996812,-62.94391107580518
2020-11-16,-30.95228827712099,-31.057122880608645,-48.22790238525282,-65.43008646343704,-68.32794753697904,-43.398972682461064,-27.650886875724336,-47.51172415931166,-49.73585497481893,-63.50437436813382,-58.53231443519351,-39.41855228839166,-27.72056880913428,-32.54849209674313,-28.110542965847085,-32.36201305728024,-62.82038336598211
2020-11-23,-31.838618415270826,-44.08704877011797,-54.04245017668465,-66.19375892227652,-19.618970188183525,-46.524724686471195,-14.818819949329942,-54.84343958626581,-63.92684013015844,-64.33999055417826,-56.69567233482581,-24.581513225741382,-41.98200084577505,-27.695989918578935,-51.93899965860835,-22.085580411788342,-51.488391231101694
2020-11-30,-33.38730535958727,-31.143721741428354,-44.90767743364533,-54.22519641723353,-31.39394401972475,-50.59932697499472,-34.81715955794914,-41.011173203729214,-55.04580196023985,-67.24955986592427,-51.65052008165052,-43.55465819478778,-18.185054916010902,-47.898874097128754,-46.35646761446428,-28.50457256728076,-51.58662059698844
2020-12-07,-31.75962671909377,-1.009997968800047,-50.33093730208116,-46.55801449738542,-19.446891479523252,-47.867071215631064,-40.952586964781965,-53.11315351169667,-55.273179737788645,-66.3373358904487,-51.277244323149816,-49.19007710766259,-34.449129431803485,-29.664507420386176,-36.74646092917142,-44.59886798702396,-60.78849022966295
2020-12-14,-29.306673477912824,-33.61966593735891,-47.83751417809494,-56.8651079368186,-25.80328974541314,-50.51744392575623,-35.91533790058197,-44.395694137740534,-54.77074344061328,-72.06825169538192,-58.305501931456206,-43.70961015916207,-20.99875228437704,-34.623675926819445,-44.677302087700475,-35.26321158140936,-56.28046841962925
2020-12-21,-29.360749081848326,-42.360093025909364,-54.60478554358919,-69.4759278284493,-41.13894122337408,-55.93293569844398,-43.723289679846054,-52.591643918860676,-61.269990691596796,-74.104761942244,-65.92616143467173,-28.562531939468073,-50.71079876484751,-55.53828594603234,-41.28765343891767,-54.16322464280642,-66.06128013915526
2020-12-28,-41.508472086923106,-49.692941580750215,-54.8957932491878,-75.35878841002635,-30.224262861033225,-55.45243039927039,-34.32027299549746,-55.43609534396352,-63.2545065860196,-63.183469391915395,-60.34498753710666,-21.88697189750526,-45.35254399329233,-62.085718774912955,-28.842047153194862,-22.113467775753982,-64.94507661570886
2021-01-04,-39.98919775766369,-47.75511828960147,-50.05392226061367,-52.27231477637121,-36.18853490590326,-46.97637581353102,-20.96274376701167,-50.385050529435716,-59.10570953420372,-66.6600153163084,-49.71507467632683,-24.101248768170038,-43.24477096956741,-39.44599000501873,-18.065807431535642,-20.090087517683976,-65.04018495157918
2021-01-11,-39.98834293564171,-44.16743325015293,-52.342603468667505,-62.01382095646994,-29.80291555961596,-49.5536348128789,-43.99084517681935,-45.45215916697264,-60.18331029682864,-68.86039062375964,-58.36711577843783,-34.84990205761499,-39.596752982315856,-34.22544499104095,-41.671609540771634,-29.922375593453033,-70.06453849859207
2021-01-18,-42.66965815369706,-42.90165923702607,-52.267313815404805,-67.08472382590776,-39.84263795795749,-42.17039088846746,-16.25604556712964,-45.273780163505386,-62.95657229972025,-67.34874128312246,-52.423354109859766,-48.64532109716202,-49.455507566193155,-41.20164117578684,-37.054365643799024,-65.43403584895333,-59.78362610215011
2021-01-25,-40.41543889905478,-39.80668910485514,-45.32142846556661,-60.74785250133934,-41.573204866786725,-41.41974281826168,-17.536913248069375,-52.059867553268276,-56.008775570243486,-62.45046731999473,-45.92271798591471,-40.75224178274702,-48.30780700338239,-18.379811497849307,-35.99589089505009,-53.24159337258783,-56.244675849282366
2021-02-01,-34.068497440037774,-41.74482001312603,-47.65227587140042,-66.13801788415405,-25.678525836250156,-34.734293206114145,-32.691026734829634,-46.231881594830625,-53.466243588606666,-57.70614280460712,-42.55666385174154,-15.62442728080683,-30.87299751746173,-15.120440732698693,-27.08920639536194,-20.81835202021496,-59.190499907324366
2021-02-08,-40.26225391384105,-36.12210941511136,-56.04705519264315,-65.1227028970755,-26.761241174287186,-42.71278090994275,2.451110753680652,-39.01393023291614,-54.479195723545516,-65.1668442784184,-41.26612117728495,-31.486738487433463,-24.86213115469034,-11.344751796191288,-36.57565498203089,51.36005931128307,-57.49525952612108
2021-02-15,-23.085241324240723,-44.43640857436112,-47.46779821377499,-58.09270471572041,-57.78925702993071,-35.658721654559244,-20.757412355114234,-46.55005243318826,-58.847994782157066,-61.64163366388025,-48.84878601386813,-16.763140127290598,-16.857079609578385,3.2337894588186256,-36.49296474594445,-4.082321188579552,-57.813436670059836
2021-02-22,-25.026731367127663,-34.501947945302206,-40.868142102306805,-58.58036316456852,-15.602523139765001,-34.53412029085783,-42.04705854212527,-35.61594222427632,-58.73768738581464,-40.0379962855818,-43.79530074788357,-16.803855349705167,-21.833713928386288,-21.336857380442652,-28.008859479443892,10.280065870201472,-52.62742778988475
2021-03-01,-28.711462195515292,-33.35518910041243,-39.070011574027454,-58.58220944377814,-50.14487294045895,-42.31680295804118,-30.120794509827174,-43.79179697846992,-47.42049282284384,-42.11462090107386,-34.414765805837824,-25.858987458414827,-25.61527682179594,-38.25078993645494,-23.523139608399724,16.55730303093639,-48.44045962041512
