,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,4.512234924999135e-06,1.0893981329979685e-05,1.7693651045273822e-05,2.3166952267857797e-05,4.921162969232889e-06,7.531089405667117e-06,8.26193387292712e-07,1.8954106811409145e-06,4.129648573330307e-06,1.1046151515028838e-05,2.6922853256296026e-06,1.2204704628857983e-06,2.2207764398169156e-06,1.573144782492283e-06,2.5828247320965046e-06,1.7363467894947863e-06,8.079389880384633e-06
2020-08-25,3.7568145450575422e-06,1.1888977250732006e-05,1.8044236138903606e-05,1.5051616292729568e-05,2.4194211776774525e-05,7.888053871375483e-06,9.504285006895358e-07,2.278667031399812e-06,2.9825629582923523e-06,1.030184527134458e-05,3.5539597311089864e-06,8.133271791576778e-07,2.230974506825924e-06,2.184994766937533e-06,5.46125386019627e-06,9.376139786992856e-07,5.3410430128126976e-06
2020-08-26,3.748848445574688e-06,1.2172038736296075e-05,1.8125621479304e-05,4.026795665952227e-05,9.972525691719314e-06,7.855066799381912e-06,9.275792500521763e-07,2.851942156311636e-06,3.6234725692399124e-06,9.37960474223007e-06,7.108878958223804e-07,3.4014342998083716e-06,3.7604304940829625e-06,2.917805894259687e-06,6.524708345536954e-06,6.337445860388285e-07,6.938727455291093e-06
2020-08-27,4.453773583735223e-06,1.291933468871509e-05,2.157647152609858e-05,2.8089695712677336e-05,2.454999852700009e-05,8.402870758233593e-06,1.786659202645883e-06,2.975029106838672e-06,6.105773927518405e-06,1.195439586730243e-05,5.33144704646066e-06,1.4680373661648006e-06,4.832774576723635e-06,2.1494015983280963e-06,9.3485095599297e-06,4.7277352430442014e-07,3.110253212891569e-06
2020-08-28,4.586516332925895e-06,1.1708355344271095e-05,2.3256383853342553e-05,2.1422942441144293e-05,1.099861967323101e-05,6.81009912477615e-06,8.644161217483482e-07,2.611388642132942e-06,5.0463984800247775e-06,8.059197984028257e-06,2.934256011457873e-06,7.717602133299581e-07,5.256175575838956e-06,1.7157134552644093e-06,7.598844686127911e-06,1.7161742905421291e-06,3.9376115560097445e-06
2020-08-29,3.4843198700344744e-06,1.1069767358367563e-05,2.1248502087558376e-05,1.8156195153160474e-05,9.834582325288644e-06,6.275567235569944e-06,4.690443909289481e-07,2.8873231456361136e-06,4.2952414082701775e-06,6.099687941105061e-06,1.5685393667304645e-06,6.945130517233386e-07,2.6607233708628365e-06,2.6224778126807293e-06,6.84005990524465e-06,2.2268426733424442e-07,4.892659498475714e-06
2020-08-30,3.3738831785230883e-06,1.3935532386637403e-05,2.3430842115689994e-05,3.021332996216178e-05,4.8697583138948816e-05,7.073585627080313e-06,6.9334565097745e-07,2.788261590290207e-06,3.368759558855248e-06,6.091285318822538e-06,8.449005337006244e-07,3.3325590687763543e-07,1.644210706698204e-06,2.8925982824969334e-06,4.977712293207165e-06,4.916569502961865e-07,3.8530112702607555e-06
2020-08-31,3.923260646555883e-06,1.3066560624268e-05,2.20255776049006e-05,3.638957220418917e-05,2.7316732044712026e-05,7.845776860511708e-06,3.5642135847862255e-07,2.3293689939447096e-06,3.464339697341622e-06,7.040941759733987e-06,1.8541960214112883e-06,1.159031258493526e-06,4.198724427518919e-06,2.8014565706529684e-06,4.361829773050362e-06,4.836946532393031e-07,9.936731411569478e-06
2020-09-01,3.507212147144496e-06,1.2957226259978553e-05,1.9830768457680273e-05,2.112610595164657e-05,1.1985736973002128e-05,8.02223764274569e-06,6.222080274628556e-07,2.3502445835186133e-06,4.468395274038109e-06,5.545456662810726e-06,1.995247818508268e-06,5.954655299891327e-07,3.2842839923825353e-06,3.809050761695881e-06,4.2772895528984876e-06,4.831909154953851e-07,8.0849814853924e-06
2020-09-02,3.314772781256839e-06,9.891575243540038e-06,2.1259211103017565e-05,1.7573592163056575e-05,9.31133375544713e-06,7.079568252895024e-06,6.875997518149951e-07,2.468181813866815e-06,4.680787585248844e-06,6.2369084892000736e-06,2.887419036770209e-06,1.6070097766457287e-06,2.1335163416239705e-06,1.370555384066928e-06,7.610667256191368e-06,3.180143185946947e-07,7.543367882744004e-06
