,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,7.783909304580719e-07,3.1125660942799098e-06,2.2511006418923437e-06,7.473210408986387e-07,4.921162969232889e-06,3.528077919771983e-06,4.6473378035215046e-07,1.5609264432925178e-06,1.3306645402953214e-06,1.0409985720969587e-05,1.076914130251841e-06,0.0,1.4520461337264449e-06,1.4158303042430547e-06,3.689749617280721e-07,1.4206473732230068e-06,2.917557456805562e-06
2020-08-25,6.683393831538832e-07,3.479700658750831e-06,2.0820272467965698e-06,7.167436329871223e-07,4.838842355354905e-06,1.7332495053695009e-06,4.344816003152164e-07,1.1805142451830352e-06,9.3205092446636e-07,9.699398179453085e-06,5.528381803947312e-07,6.099953843682582e-07,1.7161342360199416e-06,2.0289237121562808e-06,1.4563343627190055e-06,1.7189589609486904e-06,2.3221926142663902e-06
2020-08-26,7.573858597718613e-07,3.866412304470518e-06,2.0244200613248624e-06,1.5195455343215951e-06,0.0,2.795271518698969e-06,3.7103170002087055e-07,1.684003939917347e-06,1.144254495549446e-06,1.2322225837831661e-05,3.1595017592105793e-07,1.062948218690116e-06,2.973363646484203e-06,1.621003274588715e-06,7.249675939485505e-07,1.10905302556795e-06,1.3429795074756954e-06
2020-08-27,6.602856021212747e-07,5.741926528317818e-06,2.0526289283677855e-06,1.518361930414991e-06,9.819999410800036e-06,2.2383192849443196e-06,3.848189051852671e-07,2.5656214315856436e-06,8.653852810656008e-07,8.745584345026516e-06,7.056326973256756e-07,8.388784949513146e-07,1.5816353160186443e-06,9.920315069206597e-07,1.7977902999864806e-06,9.455470486088403e-07,4.306504448619096e-06
2020-08-28,7.375728668476023e-07,2.464916914583388e-06,1.92201519449112e-06,7.651050871837246e-07,0.0,1.693516713568672e-06,2.8813870724944936e-07,1.4320518360083875e-06,7.763689969268889e-07,8.730797816030611e-06,7.137379487329962e-07,1.1576403199949372e-06,1.4499794691969534e-06,4.67921851435748e-07,1.8092487347923597e-06,1.887791719596342e-06,3.4743631376556574e-06
2020-08-29,7.260643896787579e-07,3.2910119173525184e-06,1.4736097644615428e-06,8.645807215790703e-07,0.0,1.787806945017019e-06,4.1967129714695354e-07,1.7075566990321103e-06,8.77522438248746e-07,9.862112278609119e-06,5.489887783556626e-07,6.945130517233386e-07,8.552325120630546e-07,9.255804044755514e-07,2.0520179715733952e-06,1.3361056040054665e-06,3.1135105899390907e-06
2020-08-30,6.644321825629195e-07,3.418149453326155e-06,1.9174940653558676e-06,0.0,0.0,2.5262805811001117e-06,4.781694144672069e-07,1.807773998100244e-06,7.00001986255636e-07,1.0810659529802162e-05,5.376639759913064e-07,8.331397671940886e-07,2.1009359030032606e-06,9.134520892095579e-07,1.2444280733017913e-06,3.1957701769252117e-06,5.069751671395731e-06
2020-08-31,7.707861353420602e-07,3.1940481525988447e-06,1.8558136341157932e-06,8.086571600930926e-07,5.463346408942405e-06,2.865414157752102e-06,3.5642135847862255e-07,2.000516900681927e-06,7.319027529594976e-07,8.472027483257155e-06,8.061721832222992e-07,1.3522031349091136e-06,1.3710120579653616e-06,2.0232741899160327e-06,1.0904574432625905e-06,6.449262043190708e-07,3.5488326469890993e-06
2020-09-01,7.918123129749537e-07,3.574407244132015e-06,2.743577189533436e-06,2.1126105951646568e-06,1.1985736973002128e-05,2.2765809526710744e-06,4.869454127970174e-07,1.482892415791506e-06,1.0391616916367695e-06,7.825255513077358e-06,4.98811954627067e-07,9.924425499818879e-07,3.457141044613195e-07,6.094481218713409e-07,2.1386447764492438e-06,9.663818309907701e-07,2.204994950561563e-06
2020-09-02,8.888056550779348e-07,5.673109330853845e-06,2.8891828476717585e-06,5.49174755095518e-07,1.862266751089426e-05,3.32082840728581e-06,1.0451516227587927e-06,1.871478518206706e-06,8.140500148258859e-07,9.115481638061646e-06,5.774838073540418e-07,1.0043811104035804e-06,1.4223442277493137e-06,2.2842589734448804e-06,3.6241272648530324e-06,9.540429557840842e-07,4.7146049267150025e-06
2020-09-03,1.4976477133608278e-06,1.0680984453168711e-05,9.968027972651786e-06,1.3397131158944595e-05,2.1048820634579844e-05,4.124842859000862e-06,3.979310053771688e-06,2.769476584006931e-06,1.2535706706984173e-06,1.2901698073350536e-05,8.195344896582533e-07,1.6422420792098516e-06,3.1060428611989836e-06,1.57425228526333e-06,1.7895138069937779e-06,4.631587554892298e-06,5.518663900565156e-06
2020-09-04,8.5051477650485e-07,3.0251634609261567e-06,3.384190496895276e-06,2.5496561469978754e-06,4.558030566152976e-06,2.0869813609417946e-06,3.6725270876416664e-07,2.3397560986248213e-06,8.715330096459735e-07,9.303555007137014e-06,4.221296932695895e-07,1.0068465565847765e-06,2.239553117623472e-06,1.9110602132074326e-06,1.7638420147873458e-06,1.211529817739185e-06,3.870172557334899e-06
2020-09-05,1.2570632115199514e-06,6.996574833649574e-06,2.8294075072251936e-06,5.834544001213585e-06,3.09520861706079e-05,3.3544960574494766e-06,2.852854239170228e-07,4.5448034352610004e-06,2.0095186112044634e-06,1.3111680905866011e-05,4.0784078809196256e-07,1.2310785787197808e-06,4.279349059655837e-06,2.5833601895153035e-06,1.2774287913288133e-06,1.810735169796032e-06,5.64749425198035e-06
2020-09-06,1.0501022789364778e-06,3.9044817060833955e-06,3.665150314929119e-06,6.0101637332514495e-06,8.406504953533043e-06,2.418864433452766e-06,2.648434267330162e-07,3.6490450745329933e-06,1.523851320874325e-06,1.5088278625371598e-05,3.1653004570456465e-07,3.3598710441965343e-06,2.2987140993328332e-06,4.335564652327199e-06,2.992607063510304e-07,7.290477154439281e-06,5.198549230469154e-06
2020-09-07,8.256061464404202e-07,4.527601992890599e-06,2.7966950077616635e-06,1.8572662990208027e-06,6.891466297284073e-06,2.556521847880248e-06,4.4638496449401477e-07,2.9872073388840895e-06,1.0892646973124027e-06,1.4252962541410268e-05,4.024558499895724e-07,1.2005757961518343e-06,2.729267974232541e-06,2.3113221502322415e-06,3.3814776854596797e-06,1.6836735552894671e-06,4.455139749937461e-06
2020-09-08,1.2982284024573167e-06,6.318912346680807e-06,3.414865510253319e-06,3.1122840964061122e-06,2.1834197343713936e-05,2.87927139461505e-06,4.463742399001592e-07,3.5377481451027884e-06,2.2029194333459077e-06,1.5460102188195762e-05,8.08790583089483e-07,1.168602229030845e-06,2.7033392660366307e-06,3.708000520974073e-06,4.684335981990736e-06,1.6858795632161924e-06,7.641469249308612e-06
2020-09-09,8.342351230573846e-07,3.841221464526045e-06,3.0114439407540895e-06,3.078490062194295e-06,9.665913799380738e-06,2.069362339064874e-06,5.162062670767486e-07,2.5027932489918354e-06,1.966403251344774e-06,9.56271286866224e-06,1.4735009276916257e-06,5.992491408265444e-07,3.1197659967518037e-06,1.386080364939559e-06,4.442874628742289e-06,1.3970348091402088e-06,2.607001667829317e-06
2020-09-10,8.334967878065145e-07,5.081635792295691e-06,2.5191012954982234e-06,2.2631582282548966e-06,0.0,3.1005616703518885e-06,1.0615712470960289e-06,1.7666900074969223e-06,1.4233697576817369e-06,7.819769432794979e-06,4.063242913176138e-07,8.089523520997471e-07,2.430316961938176e-06,9.6657892278001e-07,6.970994736550424e-07,3.341042028486332e-06,3.585606925599777e-06
2020-09-11,8.289458716200051e-07,4.010150135565353e-06,2.411132029995184e-06,2.846590951142821e-06,4.020148986721448e-06,2.1954207610948427e-06,7.257248525871394e-07,2.1748642510902528e-06,6.387511298853648e-06,7.652741919061228e-06,1.308440899441901e-06,9.201868568238941e-07,2.8892567461581974e-06,1.2747919141223678e-06,2.478702632877937e-06,3.0144911614281787e-06,5.3291132934731104e-06
2020-09-12,6.008572693007245e-07,3.4170328091605004e-06,3.0356251306526157e-06,5.060823873207565e-06,0.0,2.8921544526163875e-06,7.949935833177005e-07,3.1646187694050668e-06,2.19030403026163e-06,7.832118222264512e-06,1.1289346598423105e-06,8.861717680916841e-07,5.279071122534711e-06,1.5845618044863064e-06,2.0049321330472963e-06,1.0119883216547681e-05,3.5314408890943927e-06
2020-09-13,9.983797779739698e-07,3.7975880660672523e-06,2.2277129508638817e-06,2.6727762768654106e-06,1.6914005811652396e-05,3.902520685209965e-06,1.2451440019202661e-06,4.868862098851313e-06,1.3673208271333879e-06,1.3656804729601369e-05,1.1740315492019404e-06,1.2811113311368985e-06,8.509548789123936e-06,1.0779074551775283e-06,4.222435292803152e-06,0.00010923920081275895,6.379637253825747e-06
2020-09-14,7.186513638243007e-07,3.2009619957784646e-06,2.14772132643107e-06,1.7058653193742375e-06,1.0820607847645842e-05,1.9302329580609513e-06,4.055733483963275e-07,1.4442905829204936e-06,1.1542350777949825e-06,1.0765908390109394e-05,7.088853581147052e-07,3.7580916410646676e-07,1.7885478260669602e-06,1.3778743990936649e-06,3.8027756113480357e-06,7.589723056733753e-06,4.045821172456499e-06
2020-09-15,7.188690600606271e-07,2.8348118677103992e-06,1.9468892664141523e-06,8.313039126565605e-07,5.705938741041676e-06,2.1737318204014947e-06,3.9518307659562214e-07,1.5067193736488264e-06,9.459653254518025e-07,7.386803944821918e-06,6.459374049513202e-07,1.5599574521604923e-06,2.03479257917929e-06,1.845125401641516e-06,2.4175695137576974e-06,3.725564950878426e-06,2.7260478644027445e-06
2020-09-16,5.8711478215271e-07,4.055283243285769e-06,1.725678102200356e-06,1.6288833597348179e-06,2.9058617042297725e-06,1.8857589802743807e-06,5.502118673326944e-07,1.5119811062840959e-06,1.1177299352107843e-06,7.454904261546542e-06,1.1055852323295234e-06,1.1739139877134248e-06,1.485036769510413e-06,1.2303590479912313e-06,3.485448774185093e-07,1.3164629099008397e-06,3.818146617728508e-06
2020-09-17,7.668925531639954e-07,4.087312914788096e-06,2.454059796111804e-06,3.667480541723551e-06,5.733912076192224e-06,2.3211863929990365e-06,7.736969181588558e-07,1.468270542481393e-06,8.562574054373106e-07,9.902138296985064e-06,4.820583893224067e-07,1.604491613823738e-06,2.486759117857728e-06,1.1309430045116547e-06,1.052379007985452e-06,1.5711763302914312e-06,4.039480083006827e-06
