,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,1.0479898725177685e-05,1.726059379555223e-05,1.1255503209461718e-05,1.4946420817972773e-05,4.4290466723096e-05,2.3237820913882774e-05,5.215345757285244e-06,1.3323622140961135e-05,1.3214875434656984e-05,1.7754808979653682e-05,8.538390604139596e-06,9.560351959272087e-06,1.0762224285266593e-05,9.596183173202927e-06,1.3283098622210595e-05,3.9462427033972415e-06,2.0647329694316286e-05
2020-08-25,1.0411150142546205e-05,2.7112667632766892e-05,1.1659352582060791e-05,1.3618129026755323e-05,5.3227265908903956e-05,2.2815223080884244e-05,5.56679550403871e-06,1.2052226828729127e-05,1.4306981690558627e-05,1.5543134970800595e-05,7.897688291353302e-06,9.556594355102713e-06,1.1669712804935602e-05,6.398913246031347e-06,1.4563343627190055e-05,2.969110932547738e-06,3.692286256683561e-05
2020-08-26,1.0328373651972702e-05,2.5346480662640062e-05,1.3041031557836904e-05,1.6715000877537546e-05,1.9945051383438628e-05,2.611278963037771e-05,4.134353228803986e-06,1.1815188933291063e-05,1.5399758419269626e-05,1.875920948446014e-05,6.950903870263275e-06,1.3393147555495463e-05,1.1718550842025976e-05,7.132414408190346e-06,1.739922225476521e-05,3.1687229301941427e-06,2.3278311462912054e-05
2020-08-27,1.0295408624158475e-05,2.7274151009509635e-05,1.1074649101891307e-05,1.0628533512904938e-05,7.364999558100026e-05,2.443804334053962e-05,7.09166268127135e-06,1.2609756397793271e-05,1.6298089460068814e-05,1.887536189574068e-05,1.0976508625066065e-05,9.437383068202289e-06,1.2125870756142939e-05,6.778881963957842e-06,7.550719259943219e-06,3.309414670130941e-06,2.1532522243095475e-05
2020-08-28,1.0699045493812346e-05,2.511134106731827e-05,1.2060645345431778e-05,1.4536996656490769e-05,4.399447869292404e-05,2.277239495692342e-05,5.396052153944234e-06,1.1624891374656321e-05,1.4653964816995028e-05,2.0697485731708932e-05,9.992331282261946e-06,1.1769343253281862e-05,1.2143578054524485e-05,8.578567276322047e-06,1.1941041649629574e-05,3.947200868246897e-06,2.4088917754412556e-05
2020-08-29,1.0571339673638003e-05,3.0815838862482674e-05,1.1551199121424351e-05,1.5562452988423266e-05,4.42556204637989e-05,2.5613070926570352e-05,5.727278878711366e-06,1.2542780116526773e-05,1.3439948922651847e-05,1.8584095970095796e-05,6.195730498585335e-06,1.041769577585008e-05,1.007273847540931e-05,6.17053602983701e-06,1.1970104834178138e-05,3.785632544682155e-06,3.1357499512957986e-05
2020-08-30,1.0376282228287988e-05,2.3269709739951133e-05,1.267416809052293e-05,2.067227839516332e-05,4.382782482505393e-05,2.2294426128208488e-05,4.733877203225348e-06,1.2776978935725453e-05,1.5400043697623992e-05,1.7340956403134433e-05,6.605585990750336e-06,1.0497561066645515e-05,1.4523861242500801e-05,7.459858728544723e-06,1.2444280733017912e-05,5.408226453258051e-06,2.5551548423834486e-05
2020-08-31,1.0179270866739588e-05,2.7584961317899113e-05,1.1476742210979247e-05,1.859911468214113e-05,7.648684972519368e-05,2.2718640822177378e-05,4.70985366561037e-06,1.214012310961772e-05,1.0685780193208665e-05,1.957725269779694e-05,7.013697994034004e-06,1.0238109450026146e-05,1.1824978999951243e-05,5.91418609360071e-06,1.453943257683454e-05,3.063399470515586e-06,2.3422295470128057e-05
2020-09-01,9.846013978732033e-06,2.5914452519957107e-05,1.2514562618924445e-05,1.6196681229595702e-05,7.790729032451383e-05,2.554829735775317e-05,5.437557109566694e-06,1.24507004722117e-05,1.2158191792150203e-05,1.848485554270242e-05,7.315908667863649e-06,9.92442549981888e-06,1.1754279551684864e-05,7.008653401520421e-06,1.6752717415519076e-05,2.577018215975387e-06,2.5234942211982334e-05
2020-09-02,1.0253468136841102e-05,2.6038117185200983e-05,1.1254876466303417e-05,1.4278543632483467e-05,7.449067004357705e-05,2.324579885100067e-05,4.4831503818337684e-06,1.2395154823484995e-05,1.4144119007599767e-05,2.0329922863834856e-05,6.104828820599871e-06,1.0646439770277952e-05,1.137875382199451e-05,8.832468030653538e-06,1.667098541832395e-05,3.816171823136337e-06,2.5694596850596762e-05
