Weeks,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,-16.61057030215768,-18.005485916945407,-42.20418568575429,-69.44740483206029,-43.15244366659331,-31.017479679833105,-37.38976082535471,-32.5014113818813,-31.934193986489802,-46.00042475267957,-39.068481121549205,-31.686476344450142,-9.583088307271993,-28.148155961510334,-52.562797361110846,-48.817010024292074,-40.291710685454376
2020-08-31,-16.393145411214494,-20.379525727123582,-39.31273757091114,-58.304301088670016,-32.36139512281903,-20.92363488391985,-37.16453425450178,-29.267813373392016,-36.42435031352561,-42.69389279432909,-42.989301140987614,-22.410670943158085,-14.16779983286932,-34.47929922397045,-22.442351847737097,-39.5093938868636,-27.734128911893873
2020-09-07,-29.88104134791969,-16.52628603894405,-43.01559140754983,-69.60727028462705,1.3528957367862748,-19.348734327976192,-24.23121606017341,-25.950938301561123,-29.25245137113629,-45.11074495858156,-40.33270986653052,-41.95526002788873,2.052849295792547,-39.05286010237769,-35.77005113088062,-48.862800015912875,-18.250680717139222
2020-09-14,-11.029987786407503,-6.888994280892846,-34.72174570531467,-53.413139107635374,-58.64468764132229,-24.30126024914252,-75.89038408472322,-8.055104653029533,-29.930591295571396,-39.37951232005166,-28.47349170666834,-16.940511329644327,-10.180911533469262,-24.197566927922953,35.01024041106706,-24.614766956372623,-17.8162789963785
2020-09-21,-2.394801318546347,6.304001773446188,-40.0369685252573,-48.63484036531441,-52.01881808732276,-30.38975672922094,-28.508550335849836,-22.307735453254395,-27.172398701232293,-41.2791174526384,-37.25457496559267,-42.6815687285358,-16.436036221618476,-14.549945757613125,58.71422491716505,-49.18168997211535,-34.011140695849285
2020-09-28,-17.307297173694124,-19.15434412284982,-13.999283900975712,-57.72144596981268,-58.048204198377384,-48.58960860207483,-34.31508821013771,-9.993276868564383,-17.84464602320821,-47.35302981505556,-38.953723943039876,-37.13542294826902,-18.104757510711934,-23.560957545832217,-21.89494771708115,-46.80032377926724,-37.75477194243789
2020-10-05,-8.691276403296966,-27.442309446701874,-26.23117640350141,-51.391874326694875,-53.59882453284066,-43.485407186803805,-23.805263501592556,-18.395954630423127,-37.56892291661978,-48.45657438396164,-42.880769347742444,-27.956371453392357,4.952660944129761,-19.21324908649321,-13.114586257360006,-38.70929533571596,-31.485292986197265
2020-10-12,-4.663114121115209,-18.396975500212022,-35.938325190671264,-62.3368785320114,-61.96463311516149,-39.73884797574665,-21.914849217983623,-12.098506643453588,-35.891955192606495,-38.57057434017507,-50.33548331961294,0.35290583578608814,16.30757758741961,-4.630539102639264,-14.967341285963498,-39.72797038007013,-34.39636100669937
2020-10-19,10.346986314499462,-34.495958778687644,-37.133676956213165,-58.41056356480577,-40.95222015700261,-25.683754218457324,-23.801900837946167,-7.742900699669397,-33.34403044466722,-31.424805267509704,-28.576624227457724,-27.43529486733477,16.981828766615138,11.732970898989858,-3.412892904707432,-35.57748430925065,-27.197345347345525
2020-10-26,-4.808819377204399,-42.36046194698639,-40.59102634696775,-57.67601498592067,-51.630906197863425,-39.36949542087692,-28.804750306900495,-27.106675150635684,-42.4826497655596,-41.3837900416696,-49.15498024241871,-34.284816516486515,11.095087963705907,-18.3959449136885,-30.035885444605913,-13.66044099443603,-27.738622969743243
2020-11-02,-14.630049195000039,-20.130004196600957,-37.30770239918763,-65.8000138426355,-48.02856930104471,-38.13107038520277,-25.175453125835823,-22.281617624520365,-41.91042871188301,-55.606364803093996,-41.84926911647781,-23.51451185421083,6.501414066458278,-31.296587569212587,-34.31561875715248,-39.69242965098248,-18.233202472491005
2020-11-09,-6.787924448653282,-19.55508090343736,-33.67245683432867,-62.062744725106796,-28.591015599429415,-45.88940742127612,-12.703219897525342,-23.624161481290674,-37.96191292782821,-43.9217050350466,-29.00074550358116,-23.486837776239643,11.414093923317159,-20.242691984136872,-44.89866833642271,-19.847336004243154,-31.108254655070677
2020-11-16,-6.222789530230443,-14.270214003920156,-34.447123471556694,-60.02261976903856,-39.22082359017289,-42.841985129809146,-28.269524638858947,-23.951857210339234,-31.62463330931542,-46.923002148360716,-30.757098734350308,-45.1297311963986,32.309929132426184,-12.076436250958423,-48.92472643083304,-33.82613600997932,-35.249719013645894
2020-11-23,-4.602016199881942,-10.809117453611549,-30.20773396620523,-62.220622538652236,-40.49293339553205,-41.53343202767438,2.137156803859974,-28.694535104999286,-28.412556095248785,-50.126097100823664,-17.546855479842215,-18.383072039391767,32.946475848472744,-6.838538239136859,-61.48528422254249,-25.98962344746528,-24.357273604010455
