,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,1.0159623290249625e-05,2.051464016684486e-05,1.1255503209461718e-05,9.715173531682302e-06,3.444814078463022e-05,1.058423375931595e-05,4.8538861503446824e-06,1.204143256254228e-05,9.957041560140852e-06,1.2954648897206596e-05,8.615313042014727e-06,5.898940570614692e-06,1.2299684897447533e-05,1.0697384520947524e-05,1.6603873277763244e-05,2.6834450383101243e-06,1.256793981393165e-05
2020-08-25,1.0249254267123835e-05,1.9428328678025475e-05,1.003999805677457e-05,7.167436329871223e-06,6.290495061961377e-05,1.2132746537586506e-05,3.937489502856649e-06,1.0240274731471444e-05,1.1371021278489592e-05,1.4338240787017602e-05,6.634058164736775e-06,6.91328102284026e-06,1.2956813481950558e-05,7.023197465156357e-06,1.4927427217869806e-05,2.500303943198095e-06,1.1146524548478673e-05
2020-08-26,1.0104119738185503e-05,1.918886106663146e-05,9.698384479835387e-06,7.597727671607975e-06,8.476646837961417e-05,1.1994899301758867e-05,3.922335114506346e-06,1.1407768625246544e-05,8.77261779921242e-06,1.5019628508799785e-05,9.083567557730417e-06,1.0842071830639185e-05,1.5129173848287268e-05,8.75341768277906e-06,1.449935187897101e-05,2.2181060511359e-06,1.4548944664320034e-05
2020-08-27,9.921106594930491e-06,1.8517713053824962e-05,1.0979177988943968e-05,5.314266756452469e-06,0.00010801999351880039,1.1888777841343599e-05,6.376999000212997e-06,1.0453542641460655e-05,9.038468491129609e-06,1.4219439294791313e-05,7.448345138437687e-06,1.1324859681842747e-05,1.5640615902851038e-05,9.25896073125949e-06,1.294409015990266e-05,2.206276446753961e-06,1.531201581731234e-05
2020-08-28,9.85973843843404e-06,2.1259908388281724e-05,1.1435990407222165e-05,1.1476576307755871e-05,4.9493788529539544e-05,1.2827488298520155e-05,3.300497919402784e-06,1.1119461314888656e-05,1.0675073707744722e-05,1.4286760062595546e-05,7.533900569959404e-06,8.29642229329705e-06,1.5043536992918392e-05,8.266619375364882e-06,1.5559539119214293e-05,3.0891137229758326e-06,1.088633783132106e-05
2020-08-29,8.653582644377804e-06,1.9147705700960106e-05,9.602231368426827e-06,1.9885356596318616e-05,2.9503746975865936e-05,9.96063869366625e-06,3.307997283393634e-06,1.2046036349535614e-05,9.144707514381669e-06,1.590479379035806e-05,6.744719276940997e-06,5.556104413786709e-06,1.1688177664861746e-05,9.255804044755515e-06,1.1970104834178138e-05,2.4495269406766886e-06,8.450957315548962e-06
2020-08-30,9.457217353006346e-06,1.9194223853293025e-05,1.0756674025167064e-05,1.1926314458748072e-05,2.9218549883369287e-05,1.1241948585895498e-05,3.753629903567574e-06,1.4829874831873188e-05,1.032502929727063e-05,1.7121450625879565e-05,6.7592042696049955e-06,6.6651181375527085e-06,1.4067136046195743e-05,8.83003686235906e-06,1.1510959678041568e-05,1.7207993260366526e-06,1.2775774211917243e-05
2020-08-31,1.0138488531536305e-05,1.814800086703889e-05,9.962788983147943e-06,7.277914440837833e-06,3.824342486259684e-05,9.721940892373202e-06,5.269944371791062e-06,1.1290588535355533e-05,7.904549731962574e-06,3.915450539559388e-05,7.4974013039673825e-06,7.726875056623506e-06,1.5680950412978822e-05,9.805097997285388e-06,1.453943257683454e-05,3.547094123754889e-06,1.0646497940967297e-05
2020-09-01,1.0426963230099526e-05,4.4084356010961515e-05,1.0781777025534905e-05,9.154645912380179e-06,5.9928684865010636e-05,1.3081306426459189e-05,3.895563302376139e-06,1.4717007749176079e-05,1.231406604589572e-05,2.0086876356403295e-05,8.646073880202494e-06,8.733494439840613e-06,1.6075705857451357e-05,8.989359797602278e-06,1.354475025084521e-05,1.449572746486155e-06,1.12699741917591e-05
2020-09-02,1.0330755585108748e-05,3.592969242874102e-05,9.357502655892113e-06,1.3729368877387949e-05,6.51793362881299e-05,1.1458682636129058e-05,3.5205107292927755e-06,1.3018980996220563e-05,1.1549334585342256e-05,1.9550309302684845e-05,9.157243230899806e-06,1.024468732611652e-05,1.9646129645787393e-05,8.98475196221653e-06,1.1234794521044401e-05,1.4310644336761263e-06,1.0843591331444505e-05
