,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,1.4797535917562304e-05,3.4379707314091734e-05,1.7783695070949516e-05,2.017766810426324e-05,8.8580933446192e-05,1.9370504732594254e-05,8.055385526103942e-06,3.1859623655059786e-05,6.956163596854162e-05,2.0299472155890693e-05,5.092265387333705e-05,1.505246904225818e-05,2.878467923916541e-05,3.995787747530399e-05,5.3870344412298524e-05,9.31313278001749e-06,5.476030918927362e-05
2020-08-25,1.5645783447869476e-05,4.161142037756202e-05,1.8830779765471198e-05,2.5802770787536402e-05,0.00010645453181780791,1.91011169979496e-05,9.368509506796854e-06,2.5477144640229224e-05,4.0217997390723436e-05,2.3977394257281537e-05,5.678437881483025e-05,1.9926515889363104e-05,2.2910392050866217e-05,4.7757742763063224e-05,6.189421041555773e-05,9.219870790542976e-06,5.201711455956714e-05
2020-08-26,1.8833097552204217e-05,3.995292714619535e-05,1.9302609887051014e-05,2.811159238494951e-05,4.986262845859657e-05,3.120796809484165e-05,8.242204193320767e-06,2.528722045262984e-05,2.2694380828397344e-05,2.072095688152787e-05,5.6476093945889106e-05,1.658199221156581e-05,2.2562582964497776e-05,4.409128906881305e-05,4.966028018547571e-05,1.33086363068154e-05,3.357448768689238e-05
2020-08-27,1.8437529170061583e-05,5.9716035894505306e-05,2.1290058187256565e-05,3.568150536475229e-05,6.382999617020023e-05,3.0162269708593946e-05,9.125705465822048e-06,2.4591754360198563e-05,5.956735351334886e-05,2.1706666180101783e-05,5.598019398783693e-05,1.677756989902629e-05,2.3460923854276557e-05,5.5719102972043726e-05,4.7821221979640386e-05,1.5443935127277724e-05,3.828003954328085e-05
2020-08-28,1.3852805338264164e-05,4.6217192148438526e-05,1.92201519449112e-05,2.448336278987919e-05,7.699033771261706e-05,1.8376457955745166e-05,8.356022510234032e-06,2.80232888693406e-05,2.377630053088597e-05,2.1918576335349578e-05,4.710670461637775e-05,1.9679885439913934e-05,1.939347540050925e-05,4.7260106995010547e-05,3.654682444280567e-05,1.6818508047312865e-05,3.451200716737953e-05
2020-08-29,1.2398338654188355e-05,4.338152072873774e-05,1.834881835748889e-05,3.0260325255267457e-05,4.917291162644323e-05,1.8644272426606054e-05,7.850321911337131e-06,2.5768582912666393e-05,1.8843639726604653e-05,2.667900893866513e-05,3.5135281814762405e-05,1.857822413359931e-05,2.2045993644292074e-05,4.504491301781017e-05,3.967234745041897e-05,1.6478635782734088e-05,3.358143564862877e-05
2020-08-30,1.3861567209875519e-05,3.536470011325907e-05,1.8473418434526043e-05,3.3393680484494596e-05,4.382782482505393e-05,1.9704988532580872e-05,7.5311682778585086e-06,3.0670877493192274e-05,1.8200051642646534e-05,2.8316245265877745e-05,3.057003749207714e-05,2.3161285527995664e-05,2.3475675090079912e-05,4.034413394008881e-05,4.137723343728456e-05,1.81913071609589e-05,3.183804049636519e-05
2020-08-31,1.7858584585517893e-05,3.165011351211582e-05,2.1781391600411678e-05,2.830300060325824e-05,8.195019613413609e-05,2.1627054476367053e-05,8.248608581933837e-06,2.3869181102656964e-05,2.195708258878493e-05,2.553056930765332e-05,3.031207408915845e-05,2.3373797046286107e-05,2.2278945941937125e-05,5.1204400652490364e-05,5.2341957276604345e-05,9.351429962626527e-06,3.2885849195432324e-05
2020-09-01,1.5767393014892555e-05,3.678660788752532e-05,2.3873934842255863e-05,2.675973420541899e-05,7.191442183801277e-05,2.200694920915372e-05,7.791126604752278e-06,2.3418508528631895e-05,1.8964700872371045e-05,2.2674756132381636e-05,2.568881566329395e-05,1.488663824972832e-05,1.7285705223065977e-05,3.595743919040911e-05,4.526798110150899e-05,1.2079772887384625e-05,4.9244887229208245e-05
2020-09-02,1.4839190067388128e-05,3.374772730148954e-05,1.897373810411304e-05,2.5811213489489346e-05,9.31133375544713e-05,2.2917365272258117e-05,8.168685051562142e-06,2.728561433791226e-05,1.7095050311343604e-05,2.5787217791884918e-05,2.1944384679453586e-05,1.6672726432699434e-05,2.16018529589427e-05,4.38577722901417e-05,8.444216527107566e-05,1.335660138097718e-05,4.667458877447853e-05
