Weeks,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,-15.130139677669984,-7.414030821066686,-35.16716078399901,-26.88374932692943,-9.626961726379113,-42.23367129725624,-67.93547963242021,-28.176798406099458,-20.473026633153403,-26.856026959334578,-35.94564376944914,2.594170111715699,-10.766498741200936,-46.68825348275152,-22.194169046182854,-30.390322331432685,-38.504989996804305
2020-08-31,-14.046059387969102,-10.7222480854835,-27.75505815313406,-19.213296455010777,1.8609542570764193,-42.82534398586109,-58.739516680068405,-29.465963394775674,-29.508844733041684,-63.86878093710222,-38.697583042115056,23.68279703768186,-15.412392759480277,-34.98976247771456,-6.004144077261298,-29.638618609682112,-47.63530989552148
2020-09-07,-18.983886380643323,-25.878353074269366,-28.01321562714172,-47.03775907595603,9.125487888281892,-41.87533326925141,-68.1318088881902,-19.928857439111002,-20.777619098710165,-43.680942467622174,-33.01869455382296,54.05189343998455,-6.3059516560332485,-42.755943323062965,-19.098530542121793,-8.712792714121044,-44.9730459003973
2020-09-14,-18.91162198347025,-25.206013371695267,-26.864968828648607,-20.58894324471866,21.952737670888634,-48.475284144641314,-60.90340057615822,-25.45250367776044,-28.514385963141564,-33.86023087121731,-31.397772522166534,29.185802364892854,-14.05295755283552,-21.630901683121873,-19.331671355218173,-20.344531656177622,-36.12596799536244
2020-09-21,-9.61918496042189,-13.838415364616907,-20.851599527079912,-28.5725829079993,-40.00730836817188,-41.35340072048501,-55.506272760229294,-30.142991265471096,-26.380954514537468,-32.41961147388697,-33.52086644305694,54.85378222180359,-0.21485334469882877,-1.7309321587067772,-14.60732372821819,-42.946997537978994,-24.622224660921955
2020-09-28,-28.290179555249008,-23.019671722293022,-37.178283499089595,-51.96446702221975,-43.3983707438425,-53.57624187048117,-56.18018856230873,-19.756161143684736,-28.63075540043194,-43.45751866274396,-41.594676241811456,33.42624822762252,-9.491647382198554,-36.547587803506865,-27.879242593904696,-42.01905019664858,-49.53690439619073
2020-10-05,-7.603642621173279,14.296099946302721,-38.34165269503232,-14.033045926722377,-49.97373269946883,-37.86513450391836,-49.47265485503932,-38.40789114575897,-34.58778976092029,-29.05865067641029,-4.871393803374302,43.55726736904031,-22.641114737703017,-2.7179762565956556,-38.343420166789045,-39.459793760176574,-33.00147617652046
2020-10-12,-0.9057858243434191,-9.963048838533773,-36.66832821884958,-38.17268546090921,-45.41291183729519,-16.872447720986493,-15.185856355576078,-25.554376611546015,-18.98128912360395,-23.365492558767265,-30.829597851299916,7.673936683359561,-7.960618663433006,-5.741553325581494,-22.095827645224052,-43.56684544284344,-30.927391663576376
2020-10-19,-3.7999072538113077,-7.798332617832249,-21.33698373707308,-10.539934237647552,-9.24444699224699,-27.196739018364646,-34.113415926640755,-20.457812181086375,-18.0190190406883,-28.23486818611789,-31.53507570920414,14.765024138227467,26.33378660449692,6.059492092336405,-14.65193862910662,-29.082210093516668,-30.901913927083267
2020-10-26,-3.124866936739301,-2.8685988976589583,-37.541964812514614,-24.38928881746594,-32.57331262573413,-28.629263114800963,-35.28639942342542,-26.813881157670018,-8.518525458727266,-18.373315936439884,-33.60685453797005,33.63775707528023,27.161853017345084,-8.708003750945458,-25.988567659668217,38.20351380489575,-33.95704342874345
2020-11-02,-15.455779432055328,-19.71524179029519,-35.222196566910725,-17.60399374628352,-37.86024590342303,-31.754843687013523,-31.948972634920715,-15.60668878543513,-6.486073326440134,-30.35198714079629,-35.18272702703875,34.79572334650862,-8.10978098830354,-17.976109440429955,-28.4811138316423,-15.08416818672822,-39.705259017204476
2020-11-09,-15.558667275333171,-23.737288453426608,-38.40858443112598,-21.08593901067688,-32.325668223703886,-26.173955509687406,-35.87745066741855,-17.54984761626136,19.04564837185141,-33.09187777661641,-30.049923442428394,17.025136882837046,-8.273901501242975,-28.81223678380116,-22.74444857190029,-40.332517182784756,-30.097343472652017
2020-11-16,-5.780418666717601,-14.068541070761642,-31.550486865497263,-24.664847920321563,3.5769506012190533,-20.058387879071415,-33.990387431114264,-15.605727743317422,8.650690552312978,-30.15382816360933,-33.732591976628925,-4.434899384505142,31.40873261382513,-10.219482158241311,4.362797427259335,-0.04350882408514778,-24.249671278512388
2020-11-23,-6.01019663721547,-12.545708070059236,-31.027665121538817,-28.113504597228957,-38.29078043730749,-17.538533621036567,-20.46662815664616,-7.106783332888589,-5.558394475834472,-25.956512352071314,-20.00757857429377,-12.422481026840671,15.344079970837065,-18.227270488932056,-21.77201366875312,-7.6203497677733045,-25.872261918288388
2020-11-30,-24.634970935834822,-26.026587869031115,-32.79420751576342,-26.560945867954455,-14.009772482671822,-39.762082407735875,-35.57180339315313,-26.85266247698409,-37.1807168664974,-30.84785578881314,-47.24959409624755,20.278845681321034,-8.298751194570297,-24.205339813164407,-30.01636045409677,-5.492027580240166,-31.376684340708437
2020-12-07,-40.90072426129853,-38.77644254684939,-39.68083866616014,-19.837021746078133,-40.295171969999224,-35.64563035653021,-34.03106325161346,-30.9171462144872,-34.983052660642144,-52.686254962534775,-54.487864823078446,-25.82031782755857,-12.80511069891671,-37.90100089664173,-42.104868950569596,-48.54049323229794,-41.34655580710369
2020-12-14,-14.192929002408238,-20.400005900310614,-27.955552930304563,-30.325906386013525,28.824142271431953,-30.74661752632144,-53.056909022571034,-15.177470934837068,-18.169094075552415,-33.44646233234619,-42.22901830481043,26.115658484766225,26.487666213129522,-41.49477998292572,-35.713485757857235,-48.79437877944655,-30.629496620142227
2020-12-21,23.46999101498559,-4.635483536909602,-33.53405816726895,-10.138585265254784,-34.875816799299116,-39.40013606632551,-34.07994622148946,-24.355497365782785,-25.012272884698973,-28.892057031148433,-56.93615394262187,40.83645858039393,0.39323607507921743,-38.969833943939555,-10.687843028035193,-56.22322378585598,-13.885225806047307
2020-12-28,-4.106535388058097,-6.623688197956145,-48.19612871273006,-24.473995546683803,-25.378725559716088,-26.377427831419265,-46.27836884542001,-9.572230637881162,-16.130455763069673,-34.81028902587936,-38.2627603969276,48.71518811821114,21.458414631240984,-28.956527366634177,-36.04624006278859,-36.22683550823813,22.538603492966057
2021-01-04,-6.522784119112979,-1.4669590648248132,-34.26160537192809,1.8391044055038552,-33.60897792578257,-8.687072351641667,-36.73047657450043,15.169236134581809,-3.231798752001369,-19.885456642339484,-32.74614235805793,33.0481532420956,51.37138718651466,-21.132242846803607,-15.99080312770228,-13.70637067203424,-21.77446061882885
2021-01-11,-11.50437055983673,-0.9318628135460916,-20.16487994754177,-17.19767888057836,-40.39459953933763,-11.850820771682258,-21.259313052576857,14.762594730947786,-21.853512055678948,-12.774219274168752,-37.146799861858895,-10.801840166873733,-2.041476843877854,16.246956551493174,182.06564938492528,-34.548035112635176,-23.177407290413676
2021-01-18,-22.272779554926725,-11.780428563595146,-26.558804734632325,-25.685377865471317,-31.06851606491291,-13.606638557803564,-29.29576909486842,3.2583890369333623,-22.914953753926792,-23.942515521954867,-48.2961193487067,7.168062485210713,-10.529173676244753,-22.560086808786018,-26.380943776474254,-45.67238820900105,-46.41054846945123
2021-01-25,-9.333196385179399,-30.213728329158997,-33.3185193510876,-28.010857938882815,-30.0496163409948,-12.517022368977504,-27.45144432623001,7.097302759567281,45.99235771851238,-11.6973799446612,-7.8888494797860425,-15.863563623257704,-13.435360973737199,-35.87002218511984,-27.098171636654513,-34.511508929538294,-36.137747952826416
2021-02-01,-12.623098915033104,-23.197338894920215,-32.177451543671886,-33.52344894565259,-31.565375274963003,-17.79178668544059,-25.499979454484656,-3.1345858059727227,-20.650123015982825,-16.271868583263227,-37.16921224021977,23.665504389951053,8.337623165858087,-28.597458443644452,-20.462228273228057,-33.4714002701382,-21.16815506341497
2021-02-08,-8.59637820741954,-31.114662602886977,-26.507550567441996,-33.308581616793596,-5.512959292753239,-36.362206952218656,-24.263192535937904,7.5495252337066,-22.23821098172789,-33.206812109817285,-32.198591685313104,14.658581382505176,-7.791892254018751,-12.001319779677111,19.55980047532453,2.804829928658692,-24.472803067101346
2021-02-15,-11.280034318026056,-23.85143293811529,-29.42112788304008,-19.23055421923965,9.571167942978697,-49.36535387413107,-27.785373728749086,-1.9258494308118213,-21.548223654204012,-16.887781385905075,-38.796613414680934,16.92642421017494,13.041986554171192,-33.39835458875673,26.90061626949538,-8.188190911779458,-33.71677269265943
2021-02-22,-5.00483679171595,-32.89925186568941,-27.72056232895266,-17.944940485541427,-11.383422025894985,-37.22757340288412,-50.11610086793752,-5.06820783293912,-35.40379814022929,-18.07074017003625,-30.624889052561986,42.09782269624442,-21.08790519054863,-49.953407347207644,43.634549952623125,-23.702201097908272,-1.9797345784327902
