,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,8.704194415070209e-06,3.72093128543462e-05,0.00011142948177367101,0.0006419487741319306,7.873860750772623e-05,1.3840921069874703e-05,5.783353711048984e-06,7.860379589437322e-06,7.158057527105866e-06,1.2954648897206596e-05,1.6692169018903537e-05,1.0577410678343585e-05,1.3580902074264985e-05,8.494981825458327e-06,1.955567297158782e-05,1.8941964976306759e-06,1.930076471425218e-05
2020-08-25,8.7506796253937e-06,4.190139543245792e-05,9.651352970705876e-05,0.0005368409811073546,3.871073884283924e-05,1.2663333120862884e-05,4.616367003349174e-06,7.3027160283415666e-06,6.198138647701294e-06,1.2651388929721414e-05,8.450526471748033e-06,1.1386580508207487e-05,9.781965145313667e-06,9.052121177312637e-06,1.4927427217869806e-05,3.437917921897381e-06,1.1146524548478673e-05
2020-08-26,1.1212695689359958e-05,3.7232118487493876e-05,9.599517453584638e-05,0.0005759077575078845,6.98076798420352e-05,1.2667179793597859e-05,3.1537694501773997e-06,6.410079513233772e-06,6.102690642930378e-06,9.502213954546803e-06,6.240015974440894e-06,9.779123611949069e-06,8.48283157967552e-06,7.132414408190346e-06,1.5949287066868112e-05,1.10905302556795e-06,1.0520006141892947e-05
2020-08-27,1.3054308974423164e-05,3.861445590293732e-05,9.403904625312877e-05,0.0005337042185408694,9.819999410800036e-05,1.1264983942260757e-05,3.7382407932283085e-06,6.95993047930148e-06,7.740390569531207e-06,1.138813501043021e-05,8.545996000944293e-06,8.179065325775318e-06,7.205227550751602e-06,1.0747007991640482e-05,1.4022764339894549e-05,9.455470486088403e-07,1.1962512357275265e-05
2020-08-28,1.1885944360003891e-05,3.913055601901129e-05,0.00010042529391216102,0.0005462850322491794,4.399447869292404e-05,1.1746520183476322e-05,3.169525779743943e-06,6.149399060506605e-06,8.394489779271986e-06,8.913961406576709e-06,1.7209014986117796e-05,7.138781973302113e-06,8.156134514232863e-06,1.0918176533500787e-05,1.5921388866172765e-05,1.3386159466228608e-05,1.088633783132106e-05
2020-08-29,1.1557840203092836e-05,3.754745414797646e-05,9.882692581663056e-05,0.0005706232762421864,7.375936743966483e-05,1.1055214374288913e-05,3.777041674322582e-06,8.413597553412761e-06,8.036258118699043e-06,9.34905441440402e-06,1.7959775749063818e-05,5.903360939648378e-06,8.837402624651564e-06,9.101540644009589e-06,1.607414077732493e-05,5.789790950690354e-06,9.56292538338435e-06
2020-08-30,1.0046055454918394e-05,4.0097522433249127e-05,0.00010939069802115548,0.0006010862487209027,7.304637470842322e-05,1.2126146789280537e-05,4.351341671651583e-06,7.905181212031576e-06,6.956269738415382e-06,9.383871977645532e-06,1.66675832557305e-05,5.4987224634809845e-06,6.576842826792816e-06,7.764342758281243e-06,1.43109228429706e-05,4.6707410278137715e-06,1.0950663610214779e-05
2020-08-31,7.822051891989795e-06,4.3845570094765955e-05,0.0001043162611176667,0.0006226660132716813,6.009681049836646e-05,1.2314458463672722e-05,3.4623789109351905e-06,7.15253302846552e-06,8.343691383738273e-06,8.643757770079935e-06,1.2979372149879017e-05,7.726875056623506e-06,7.454878065186654e-06,7.4705508550745815e-06,1.1995031875888496e-05,2.257241715116748e-06,1.963687398000635e-05
2020-09-01,8.030009652235128e-06,4.259501965923984e-05,0.00011532650782670373,0.0005668838430358496,3.595721091900638e-05,1.1491313380149234e-05,3.922615825309307e-06,5.679757743503315e-06,7.066299503130033e-06,1.102929714047911e-05,1.4216140706871409e-05,9.527448479826124e-06,7.778567350379688e-06,6.551567310116915e-06,1.4970513435144707e-05,2.577018215975387e-06,1.4209967459174519e-05
2020-09-02,8.716306665740134e-06,4.5239410305013996e-05,0.0001075465973446771,0.000506888298953163,3.724533502178852e-05,1.1641145735430477e-05,4.153102500962571e-06,6.5637362522612005e-06,6.3088876149006154e-06,1.2233935882661683e-05,1.3859611376497003e-05,7.633296439067212e-06,8.267375823792885e-06,7.461912646586609e-06,1.7033398144809254e-05,3.1801431859469474e-06,1.2257972809459006e-05
2020-09-03,9.490856834814006e-06,4.052921497983196e-05,9.917343084655252e-05,0.0004874494644754456,7.577575428448743e-05,1.1863486098896283e-05,3.2787272978259684e-06,6.306728854669248e-06,7.521424024190504e-06,1.1728816430318669e-05,1.2702784589702926e-05,5.7478472772344804e-06,7.308336143997609e-06,9.130663254527313e-06,1.6105624262944e-05,2.3956487352891197e-06,1.169956746919813e-05
2020-09-04,1.0347929780809008e-05,3.1007925474493105e-05,0.00010585747874288423,0.00047997276967235006,8.660258075690655e-05,1.1876821199541486e-05,4.435282713536474e-06,6.990382418113664e-06,5.8443978293906465e-06,1.0623208199638719e-05,1.848928056520802e-05,1.1679420056383407e-05,6.32917185415329e-06,8.759025977200732e-06,1.9049493759703337e-05,2.07690825898146e-06,1.3659432555299644e-05
2020-09-05,8.865142648489135e-06,3.4434123200902804e-05,0.00012495776761417494,0.0006242962081298536,8.253889645495439e-05,9.535814635221545e-06,3.579035318231741e-06,7.928525700929775e-06,6.267784239709159e-06,9.559255044670787e-06,1.753715388795439e-05,6.976111946078758e-06,7.167909674923528e-06,9.849060722527094e-06,1.3732359506784744e-05,2.716102754694048e-06,1.4005785744911268e-05
2020-09-06,8.847932092445245e-06,3.3838841452722763e-05,0.00011107561425008717,0.0005081320247203498,3.362601981413217e-05,1.0901015713427132e-05,4.381954878673541e-06,1.244417935674072e-05,6.182482501832975e-06,1.559878429314733e-05,1.8200477628012467e-05,6.9173815615811e-06,7.795639119476564e-06,1.0529228441366056e-05,1.5262296023902552e-05,1.4580954308878561e-06,1.2476518153125972e-05
2020-09-07,9.46426558114628e-06,3.2359037772718106e-05,0.00010368642386985033,0.0006249701096205002,6.546892982419869e-05,1.3646299052874296e-05,3.544821776864235e-06,7.305079765089274e-06,7.307150677804035e-06,1.2027816490641577e-05,1.4488410599624606e-05,1.0204894267290592e-05,8.27584482509222e-06,1.0169817461021863e-05,1.4202206278930656e-05,1.6836735552894671e-06,1.6261260087271733e-05
2020-09-08,9.371455831243332e-06,3.343757783451927e-05,0.00010088253290531492,0.0007020423697464644,4.678756573652986e-05,1.382050269415224e-05,4.0698827755602755e-06,6.4105060373667065e-06,6.034083665251834e-06,1.1826054263480424e-05,1.3102407446049625e-05,8.959283755903145e-06,6.758348165091577e-06,7.725001085362653e-06,1.5056794227827365e-05,1.992403120164591e-06,2.2924407747925833e-05
2020-09-09,9.010590589349403e-06,3.594285798949371e-05,9.752128049236531e-05,0.000691780695404518,5.1551540263363935e-05,1.2706610853907121e-05,4.301718892306238e-06,6.665333599946677e-06,6.086486254162396e-06,1.1261352654543034e-05,1.2524757885378818e-05,9.188486826007013e-06,5.806231160621412e-06,8.932517907388271e-06,1.4280668449528785e-05,1.7074869889491442e-06,1.4555759312047019e-05
