,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,3.615058295257618e-05,7.074013850636159e-05,4.218562602906252e-05,4.1102657249425126e-05,0.00020668884470778135,4.026758164201292e-05,1.3012545849860214e-05,3.980362430395921e-05,3.4413738111085894e-05,4.9563098682616305e-05,3.2538191221180626e-05,4.6988112821103234e-05,5.235907529260651e-05,5.0969890952749965e-05,5.5715219220938885e-05,4.482931711059266e-05,4.5109926832147533e-05
2020-08-25,3.5019323206746324e-05,6.422947465944242e-05,4.418524490423831e-05,2.795300168649777e-05,0.00022742559070168053,4.216394715102949e-05,1.4636598910618853e-05,3.6431218682741577e-05,3.4206268927915416e-05,5.379852530591058e-05,2.708907083934183e-05,5.510291638793267e-05,4.951047270917531e-05,5.805843237862588e-05,4.987945192312594e-05,4.406785699886643e-05,5.3410430128126976e-05
2020-08-26,3.603294961909034e-05,6.759061510037349e-05,4.755033167297933e-05,4.102772942668307e-05,0.00018947798814266696,4.401668062356351e-05,1.42052136579419e-05,4.1040805697017926e-05,3.652078931628648e-05,4.849194347126788e-05,2.6460827233388605e-05,5.1871873072077666e-05,5.3170738148893985e-05,5.932871984994697e-05,4.241060424599021e-05,4.452055716922771e-05,5.05855614482512e-05
2020-08-27,3.578159173788411e-05,6.560151058603107e-05,4.687631645714338e-05,4.782840080807222e-05,0.00015220999086740055,4.740833633029608e-05,1.5969984565188583e-05,4.039489062496545e-05,3.3605795081380834e-05,4.9956791150727004e-05,2.6578831599267115e-05,6.249644787387294e-05,4.9557906568584186e-05,5.406571712717596e-05,5.177636063961064e-05,4.8695673003355275e-05,4.450054596906398e-05
2020-08-28,3.5424692231295477e-05,6.593652746510564e-05,4.584006238861321e-05,4.361098996947231e-05,0.00018697653444492716,4.050027204364229e-05,1.731451686289873e-05,4.0827517050121475e-05,3.697457347864308e-05,5.09194781718149e-05,2.8549517949319848e-05,4.591973269313251e-05,4.975242053682046e-05,5.1783351558889444e-05,3.799422343063955e-05,3.6382894959493136e-05,4.354535132528424e-05
2020-08-29,3.340290792734069e-05,7.404776814043166e-05,4.62998680834046e-05,5.965606978895584e-05,0.00022619539348163884,4.381951308092734e-05,1.5750016916456256e-05,4.436542768939792e-05,3.814913336807706e-05,5.0564702838880275e-05,2.6586742266081372e-05,5.139396582752706e-05,4.91283565262888e-05,5.3375136658090134e-05,5.301046426564604e-05,3.986048385282975e-05,3.847409514710448e-05
2020-08-30,3.530641429978053e-05,7.533075525984181e-05,4.9527468663704e-05,4.770525783499229e-05,0.00018992057424190037,4.3641497038504435e-05,1.3914729960995721e-05,4.3264015005382114e-05,3.373134571269346e-05,5.3175274539991345e-05,2.5807870847582708e-05,4.898861831101241e-05,5.270608765360353e-05,4.963089684705265e-05,4.2310554492260904e-05,3.834924212310254e-05,4.359986437400329e-05
2020-08-31,3.6214713660515845e-05,7.201126744041031e-05,4.869068929509068e-05,6.873585860791288e-05,0.00014751035304144496,4.802979921565427e-05,1.4766027708400077e-05,3.9873316308112375e-05,3.5082538625191914e-05,5.129011233107035e-05,3.248873898385866e-05,6.451940672280628e-05,4.927074583313018e-05,5.291640189011162e-05,5.3432414719866934e-05,5.272271720308404e-05,4.921047937158218e-05
2020-09-01,3.726681864327771e-05,5.867985225783391e-05,4.35121715673373e-05,3.450597305435606e-05,0.00019177179156803405,4.737456553891712e-05,1.2308897934591273e-05,4.168886225527064e-05,3.652653346103245e-05,5.188082788985146e-05,3.067693520956462e-05,7.006644402872129e-05,4.926425988573803e-05,4.8298763658303766e-05,5.2040356226931596e-05,4.590313697206158e-05,4.9244887229208245e-05
2020-09-02,3.8261580639610996e-05,6.662266855207848e-05,4.700312393973458e-05,4.503232991783247e-05,0.00021416067637528398,4.92650368113829e-05,1.3504459125646505e-05,4.049445547366104e-05,4.609558208951579e-05,4.599720010785054e-05,2.9864162608880446e-05,6.12672477346184e-05,4.827080722924233e-05,5.3908511773299174e-05,4.711365444308942e-05,4.690711199271747e-05,8.085547449316229e-05
