,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,3.231133185286892e-06,7.922895512712499e-06,4.682289335136075e-06,6.725889368087747e-06,9.842325938465779e-06,7.3614702749088495e-06,1.9105722081143964e-06,3.70720030281973e-06,9.865271591844623e-06,7.1134902426625506e-06,1.9230609468782875e-06,7.11941103350049e-06,8.626862323904172e-06,9.910812129701383e-06,8.486424119745659e-06,1.5784970813588967e-06,2.8053437084668864e-05
2020-08-25,3.02620751751044e-06,9.424189284116835e-06,5.459538113822116e-06,5.733949063896978e-06,9.67768471070981e-06,8.489385332422045e-06,1.194824400866845e-06,4.941687537975496e-06,1.0438970354023233e-05,7.651078067021999e-06,2.843167784887189e-06,5.286626664524905e-06,5.920663114268798e-06,9.520334341656395e-06,9.830256948353286e-06,9.376139786992856e-07,2.9956284724036434e-05
2020-08-26,3.1014739397361698e-06,8.162425976104426e-06,6.638214619693153e-06,1.1396591507411964e-05,1.9945051383438628e-05,1.0084207377584887e-05,1.6696426500939173e-06,4.5087847423593485e-06,1.0298290459945013e-05,8.092208012904375e-06,5.055202814736927e-06,5.952510024664651e-06,7.083601628388836e-06,6.48401309835486e-06,9.787062518305431e-06,1.7427976116067786e-06,3.0888528671940995e-05
2020-08-27,3.1500249426040433e-06,1.1914497546259472e-05,6.205622341577025e-06,6.073447721659964e-06,2.454999852700009e-05,8.769808345929383e-06,1.1819437802118917e-06,5.295005933272499e-06,9.375007211544009e-06,6.920966028438249e-06,3.136145321447447e-06,7.96934570203749e-06,6.941621664748495e-06,6.282866210497512e-06,7.910277319940514e-06,1.7335029224495405e-06,2.1532522243095475e-05
2020-08-28,3.2597329575046333e-06,1.04758968869794e-05,1.3117753702401895e-05,5.355735610286073e-06,1.099861967323101e-05,9.512519412385733e-06,1.859804383155537e-06,4.4646321946143844e-06,1.0092796960049555e-05,7.0212709709337085e-06,3.410081310613204e-06,6.367021759972155e-06,6.8874024786855285e-06,7.486749622971968e-06,9.0462436739618e-06,1.3729394324337032e-06,2.7100032473714125e-05
2020-08-29,2.706957452824065e-06,7.928346891803794e-06,6.274725448674956e-06,1.1239549380527914e-05,1.4751873487932968e-05,8.720119588960562e-06,1.2096407976588662e-06,5.712553320398333e-06,1.1176864739799817e-05,6.954784381446893e-06,3.215505701797452e-06,4.687963099132536e-06,7.221963435199127e-06,7.4046432358044116e-06,6.4980569099824176e-06,4.4536853466848883e-07,3.0467925058689675e-05
2020-08-30,2.872575064733101e-06,1.6301943546632433e-05,7.295831077939399e-06,7.950876305832047e-06,2.9218549883369287e-05,1.1147213064104244e-05,1.2910574190614586e-06,5.239480570765114e-06,1.0543779917975517e-05,6.969308427842003e-06,3.0723655770931795e-06,7.664885858185616e-06,7.2162581016198945e-06,1.0504699025909916e-05,9.022103531437986e-06,2.7041132266290253e-06,2.413201795584368e-05
2020-08-31,3.0342057391243002e-06,1.030806449247809e-05,6.495347719405276e-06,1.0512543081210204e-05,2.7316732044712026e-05,1.0779415164876954e-05,1.145640080824144e-06,5.124611786678361e-06,1.0197845024569e-05,7.498889191261401e-06,3.305305951211427e-06,7.726875056623506e-06,7.454878065186654e-06,6.536731998190259e-06,1.4175946762413677e-05,1.612315510797677e-06,2.649795043085194e-05
2020-09-01,3.07687936835376e-06,1.0872155367568212e-05,7.556870504504376e-06,9.858849444101733e-06,4.794294789200851e-05,1.0624044445798347e-05,1.6231513759900582e-06,4.8403846779609534e-06,1.0755323508440564e-05,7.209093661653943e-06,2.6603304246776907e-06,8.733494439840613e-06,7.86499587649502e-06,6.551567310116915e-06,8.198138309722101e-06,1.9327636619815402e-06,2.0579952871907925e-05
2020-09-02,3.4392914479102693e-06,1.163714734534122e-05,6.770174732603971e-06,4.942572795859662e-06,3.724533502178852e-05,9.597559023254594e-06,1.3476955135573906e-06,4.176923069620764e-06,1.048089394088328e-05,6.416819311003921e-06,3.71239590441884e-06,7.030667772825063e-06,8.000686281089889e-06,6.700492988771649e-06,6.885841803220762e-06,2.0670930708655158e-06,2.2865833894567763e-05
2020-09-03,3.4700540678446845e-06,8.486261620325826e-06,5.870999526265247e-06,1.0305485506880457e-05,3.367811301532775e-05,9.271770674214326e-06,1.2890722709401243e-06,4.5792335596946284e-06,1.017899384607115e-05,6.790367407026598e-06,3.1142310607013625e-06,1.0264012995061574e-05,1.2241463041195995e-05,5.509882998421655e-06,7.873860750772623e-06,1.2776793254875305e-06,2.1191669378170196e-05
2020-09-04,3.0565374780643047e-06,1.3159461055028783e-05,7.85132195279704e-06,5.099312293995751e-06,2.2790152830764883e-05,1.047285192036246e-05,1.1300083346589744e-06,5.026142730379246e-06,9.894462991863112e-06,6.268352664383095e-06,2.0262225276940294e-06,1.0471204188481675e-05,7.789749974342511e-06,8.281260923898875e-06,6.702599656191914e-06,1.211529817739185e-06,1.844023394965452e-05
2020-09-05,3.0747678553554215e-06,1.4130337409135415e-05,1.122486256964749e-05,7.293180001516981e-06,1.547604308530395e-05,1.0666543643350583e-05,1.3226869654334694e-06,5.540015866340052e-06,1.0526049868213856e-05,6.781903916827247e-06,2.7733173590253455e-06,1.0464167919118138e-05,9.093616751768655e-06,8.557380627769444e-06,1.3093645111120337e-05,2.26341896224504e-06,2.078277884728769e-05
2020-09-06,3.043655824104948e-06,1.2896621392820913e-05,9.83122672710399e-06,1.529859859373096e-05,1.6813009907066087e-05,1.057850045563343e-05,1.7575972865009258e-06,6.393625985292851e-06,1.0144495936106221e-05,5.842453753433363e-06,3.40269799132407e-06,7.115021034769132e-06,1.0094353218809397e-05,9.135654088832313e-06,8.678560484179881e-06,1.7011113360358322e-06,1.9754487075782787e-05
2020-09-07,2.8755257978461467e-06,1.1185840217729716e-05,8.431826739818746e-06,7.429065196083211e-06,3.4457331486420363e-05,9.776968688515002e-06,1.1553493198668618e-06,4.4808110083261344e-06,8.351029346061754e-06,7.5173853066509856e-06,3.1391556299186647e-06,8.203934607037535e-06,7.83564031311923e-06,6.009437590603828e-06,8.115546445103232e-06,1.3775510906913822e-06,2.3166726699674796e-05
2020-09-08,3.585781986208473e-06,1.48757728161444e-05,9.421737371662771e-06,4.001508123950715e-06,2.4953368392815927e-05,1.0581322375210308e-05,1.4441519526181622e-06,4.65493176987209e-06,1.0535701637741297e-05,8.315194404009672e-06,2.507250807577397e-06,7.01161337418507e-06,7.687621037791669e-06,9.270001302435183e-06,1.1710839954976839e-05,1.532617784741993e-06,2.6199323140486667e-05
2020-09-09,2.88577251751483e-06,9.465867180439183e-06,1.0024395583606078e-05,6.596764418987775e-06,2.899774139814221e-05,1.3505312107581282e-05,1.233159415794455e-06,4.1888855430494926e-06,8.708357255955429e-06,8.115723421430456e-06,2.783279530084182e-06,7.590489117136228e-06,7.799414991879508e-06,7.70044647188644e-06,2.2214373143711445e-06,2.1731652586625472e-06,2.5201016122350066e-05
2020-09-10,2.934077076268387e-06,1.0163271584591381e-05,1.0706180505867449e-05,7.694737976066649e-06,4.179244585467159e-05,1.0203011078018423e-05,1.2050268210279247e-06,3.908132440826525e-06,9.489131717878245e-06,6.581639272602441e-06,2.7630051809597737e-06,1.4965618513845321e-05,1.7552289169553493e-05,9.021403279280091e-06,1.0805041841653158e-05,1.670521014243166e-06,2.4651047613498466e-05
2020-09-11,2.771654914339709e-06,9.208492903890811e-06,9.776044412525928e-06,7.4011364729713345e-06,3.216119189377158e-05,9.992949671190318e-06,1.3118872335229057e-06,4.186613683348737e-06,9.304642443212006e-06,8.36613311490592e-06,2.535104242668683e-06,1.2698578624169738e-05,1.1650228815154021e-05,7.967449463264799e-06,6.7279071463829706e-06,2.177132505475907e-06,2.224325548580081e-05
2020-09-12,2.7123204902941155e-06,1.188533151012348e-05,9.198864032280653e-06,5.783798712237217e-06,1.3901181137023942e-05,1.0161623752435956e-05,1.0118100151316188e-06,4.730945231029797e-06,9.004583235520034e-06,5.37244473097483e-06,2.096592939707148e-06,5.848733669405114e-06,1.1753403631303696e-05,7.605896661534271e-06,8.68803924320495e-06,1.979977151063677e-06,2.0953215941960064e-05
2020-09-13,2.5941835997958175e-06,1.0167735789792964e-05,8.994916443110768e-06,8.552884085969315e-06,6.765602324660959e-06,9.218022997823537e-06,1.0672662873602282e-06,4.746375002024865e-06,9.955804772564982e-06,5.578950017198857e-06,2.1915255585102885e-06,4.5753976112032085e-06,9.81871014129685e-06,1.1087048110397433e-05,6.496054296620233e-06,1.6880229706165842e-06,1.6939036846364916e-05
2020-09-14,4.295575197404343e-06,1.0936620152243087e-05,9.036638788568466e-06,8.102860267027628e-06,2.9756671581026065e-05,1.049344826291317e-05,1.0646300395403598e-06,4.921286430692052e-06,9.23388062235986e-06,5.8230699468516216e-06,2.9930715120398666e-06,6.576660371863168e-06,8.176218633448962e-06,1.025750941547506e-05,6.914137475178246e-06,1.5752255400768166e-06,2.2252016448510746e-05
2020-09-15,3.749890067684675e-06,1.4714023503830169e-05,1.0464529806976069e-05,9.975646951878727e-06,1.1411877482083352e-05,1.2100440466901655e-05,1.0801670760280339e-06,4.282255061949296e-06,8.560986195338813e-06,5.976595918992279e-06,2.6644917954241954e-06,6.434824490162031e-06,8.05438729258469e-06,5.842897105198133e-06,5.525873174303308e-06,4.6569561885980327e-07,2.3171406847423327e-05
2020-09-16,3.3598393372826615e-06,1.3517610810952562e-05,9.83235197765319e-06,9.366079318475202e-06,1.162344681691909e-05,1.4687161288675466e-05,1.4855720417982751e-06,4.395945068270427e-06,1.0292429820065972e-05,6.729205616617232e-06,3.0219329683673637e-06,8.804354907850686e-06,7.774604263907456e-06,1.261118024191012e-05,7.319442425788696e-06,8.776419399338931e-07,5.143268090940167e-05
2020-09-17,3.3572851771846023e-06,1.4898914818421124e-05,1.0756962106290075e-05,6.418090948016214e-06,3.153651641905723e-05,1.4074495271835428e-05,1.260839422184802e-06,3.6182381225434326e-06,8.895563045376504e-06,8.905278736885897e-06,2.570978076386169e-06,5.214597744927149e-06,6.3945234459198724e-06,6.300968167993505e-06,6.314274047912711e-06,2.1996468624080035e-06,2.715428278021256e-05
2020-09-18,3.023510370478133e-06,1.175646672637166e-05,9.288416576281837e-06,7.921381869224323e-06,2.616010733118322e-05,1.1627409751985055e-05,1.1404039960106915e-06,5.0801577886084075e-06,9.803747895166874e-06,5.892854493975505e-06,4.0266409136957725e-06,7.38633547375081e-06,7.215474417442947e-06,5.8886206658525104e-06,7.248133696174906e-06,8.162740225363463e-07,2.5143960499970666e-05
2020-09-19,2.7058869916045907e-06,1.280154523582307e-05,8.467573494505754e-06,6.7620064496017515e-06,1.3400813876096075e-05,1.0586521523104025e-05,8.628056134021878e-07,5.6641092106073386e-06,9.976046455092344e-06,6.246089619156849e-06,2.7246491828405557e-06,6.93002476790852e-06,7.443611217051981e-06,7.671338138680853e-06,9.636169223520925e-06,2.142273985274437e-06,2.7850498523923578e-05
2020-09-20,3.134927805824317e-06,1.258752960846119e-05,9.04299498101503e-06,6.750525502446806e-06,1.3540640540000744e-05,9.778944531468574e-06,1.3184311239187613e-06,5.2964929287380145e-06,9.036122099793077e-06,5.393342706686376e-06,2.8984403727362986e-06,9.730684442442704e-06,6.968869874877609e-06,9.016431996492006e-06,9.562850239390018e-06,1.3923171475691418e-06,2.1726085337456074e-05
2020-09-21,2.771034091490269e-06,1.274798008255592e-05,9.524911150805645e-06,6.081134496451658e-06,4.981290857573174e-05,1.081569154485058e-05,9.312860423866564e-07,4.074692531588068e-06,8.957399212248417e-06,5.9867449724594144e-06,4.054024728437974e-06,6.334022974077147e-06,6.762855363307188e-06,6.812158218884029e-06,7.542594106432468e-06,7.721471094672957e-07,1.879449398315787e-05
2020-09-22,3.1059372198439974e-06,1.2256729455167949e-05,8.574530373765366e-06,6.425122227911132e-06,5.668484360651649e-06,9.823053466055453e-06,1.538715637187231e-06,3.7061844592374795e-06,9.530319220074809e-06,5.318228423534665e-06,3.942881646199758e-06,7.46673998111872e-06,7.896324418909487e-06,6.590567579679962e-06,3.52675342244969e-06,9.015765611731932e-07,2.068933650906986e-05
2020-09-23,3.110414985154951e-06,9.039722595567332e-06,8.706691735429188e-06,9.398308539420618e-06,1.1440371354454166e-05,1.0932178591794004e-05,1.2000558883170845e-06,4.22843655295134e-06,9.182437873377552e-06,6.067497187421465e-06,5.293721737005753e-06,7.553923391595388e-06,6.480391231450839e-06,5.732620089234601e-06,5.234016360837275e-06,5.228749284478341e-07,1.541573077620376e-05
2020-09-24,2.876882059918448e-06,1.0135436829109413e-05,9.389071871467361e-06,6.872054869719988e-06,1.4816395230306048e-05,1.1736022504538764e-05,1.0414433710827627e-06,4.1401844507042705e-06,9.573680366177774e-06,6.278577025946451e-06,4.377458862004409e-06,5.883969302155357e-06,8.126029057796647e-06,5.935919767470237e-06,5.877069679229537e-06,1.4618301528781974e-06,1.8871448344616074e-05
2020-09-25,2.917344440988652e-06,7.71238227339493e-06,6.991514125724621e-06,6.784841203401189e-06,5.509297858352279e-05,1.3025422890863796e-05,1.809832915641411e-06,3.974049090981011e-06,9.91323923304378e-06,6.794111317250962e-06,2.918251033790429e-06,6.928286040488174e-06,7.501241689913484e-06,6.1614024778890775e-06,4.4792956617676955e-06,5.896086487334248e-07,1.9646097271756813e-05
