Weeks,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,-33.983229572984285,-26.51364601000742,-37.67652974357697,-39.79269188926534,-54.7990488864611,-42.459369407284385,-30.192486060633104,-13.132925035423504,-45.631477954802605,-45.11686117393299,-35.979194076187646,-39.827466210137416,-19.995358043305533,-27.32718120457138,-55.122806066117235,-25.82825942464454,-61.3825891633891
2020-08-31,-26.782461093869436,-40.41375915065153,-27.790320625627597,-48.45728136267362,-43.00944078274965,-45.655922784756406,-21.525948560940357,-15.135321532631707,-38.352641718196914,-43.78835432861441,-40.02211946592721,-22.688303106513363,-26.16777837289056,-23.297622744228875,-48.211898611798766,-24.642734910415378,-58.756825155410255
2020-09-07,-38.87005277742265,-46.325056945553136,-39.66863587252133,-48.261401679315775,-31.336771665800168,-50.78278600007942,-17.077583165584663,-16.72271914288389,-40.18576876823631,-48.75910741472188,-41.201676192407774,-16.8102926875767,-32.19335204163634,-16.89641129075181,-50.36188230212599,-25.599565596922425,-77.86901898107824
2020-09-14,-38.70145215203651,-45.217104361262905,-33.51262181644682,-22.200361273211943,-32.48859461524828,-38.7508020600282,-23.358020908852485,20.013725520068903,-34.18819295640153,-45.40947732508738,-43.67742861384172,-3.1231633199485964,-26.16398947371852,-32.4084503619543,-46.25762791711159,-22.844579688841428,-20.28743692098416
2020-09-21,-25.296126709352997,-42.286644709609,-34.65641984535364,-50.51360881059574,-17.810012464395474,-7.0961694852211155,-19.462543576651015,19.234246518011354,-17.10884984461032,-33.25561892376109,-40.35688867583548,-25.466454461696266,0.8735851447007059,-21.077619539341253,-50.36046963436728,-11.217552308548505,-10.205373981738363
2020-09-28,-18.90019947411943,-29.292875220076642,-33.364561419557624,-39.63047929058108,-45.04843554136196,-9.908767954033094,19.122022397424242,65.13707118183261,-14.085643710767371,-36.024437818694885,-49.933859502278345,-29.155990629444084,-5.66960613950378,-34.75575796446917,-61.81146779972331,-27.612064492814913,-56.244064260291715
2020-10-05,-17.155668001143365,-26.229411125000734,-31.2151725851632,-45.800011645754125,-39.03495194095853,-26.628781779896038,-6.842899576978678,60.01905517483777,-21.101507716924182,-37.831741332592216,-33.32727076942976,-9.71276849517283,7.794711877133476,-38.753199084632314,-58.51719210798356,-10.852966770454909,-36.92385810922416
2020-10-12,-25.989883008600422,-31.108123332219606,-42.836084602657934,-43.17375356629037,-50.334926409276214,-57.22210848601006,-15.836169965909763,23.799409410957793,-31.023673541471364,-46.86636830083694,-46.781467408630405,-22.628253962882315,-22.151119602803426,-23.325702925523515,-35.13314239862248,-32.43918116396751,-55.28793810694626
2020-10-19,-16.277279283432357,-24.35242311348612,-20.099608295405325,-33.66096245608102,-52.241975816463246,-38.75078587227393,-21.680582367718305,24.938810910858788,-32.899975956018025,-38.85014178000936,-54.322239511407965,-3.4217829656446486,-4.682140796047807,-18.40102690851265,-24.948175142055295,27.118782714701094,-45.857415901815635
2020-10-26,-19.502749223312186,-31.15366171729983,-28.183287467256502,-38.86138700114563,-76.0042071899717,-45.932992735960134,-27.05656753268084,13.57062901348829,-36.14167522926468,-27.652468638487083,-47.18316688650705,8.755017940847587,-12.139586896490684,-20.39040416994934,-39.759163054638634,-7.560902076898024,-31.523997798113513
2020-11-02,-22.465145898307128,-17.426498206006247,-30.887332296939775,-39.98661004610463,-14.36525623467595,-38.88858604357187,-17.49674709881952,17.434336906887204,-31.84302892259985,-30.97606294906661,-42.747346342805095,-1.3243271029448556,-9.974897883539358,-28.268066520198154,-70.58859878742719,-5.5118380550502994,75.87555062363963
2020-11-09,-25.69324727024953,-27.21512900906783,-45.11652724286175,-12.859108221029159,-26.620889842561567,-37.51254428333568,-36.93005604958026,10.375307201790317,-37.58332026824011,-36.0045806616057,-45.611325652134525,-11.574945780370705,-25.61973883735531,-8.69823123537985,-53.513247951460066,-59.98100981373955,-41.45030027105378
