,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,2.6639618771041614e-05,6.0270598007420076e-05,4.421161660676563e-05,5.530175702649926e-05,0.00014763488907698668,7.877112432413986e-05,2.0319193618730135e-05,3.838206629310352e-05,9.195350823282152e-05,4.8117267332481646e-05,3.730738236943878e-05,8.502610891437728e-05,5.53485820385139e-05,5.285766469174071e-05,7.084319265178984e-05,5.398460018247426e-05,0.00012051756571573744
2020-08-25,2.7377007651551924e-05,6.669426262605759e-05,4.594340124597764e-05,4.443810524520158e-05,0.00011613221652851772,5.677276441057243e-05,1.4283582610362739e-05,3.245041483270576e-05,9.045554221946025e-05,7.169120393508802e-05,3.427596718447333e-05,0.00012057575431012572,5.431564857003115e-05,5.072309280390702e-05,9.35694828046961e-05,5.00060788639619e-05,9.915762462917487e-05
2020-08-26,2.636887529663821e-05,6.844981783470028e-05,3.898185606458107e-05,3.722886559087908e-05,0.00015956041106750902,4.539662479102249e-05,1.3171625350740903e-05,2.9442907594683938e-05,8.17188418904896e-05,5.8300680456606515e-05,3.167400513608606e-05,0.0001071451804439637,4.8798144551123095e-05,5.527621166347518e-05,7.140930800393222e-05,4.309463185064034e-05,6.714897537378477e-05
2020-08-27,2.477542982227025e-05,6.359183630111984e-05,4.649443200535402e-05,4.479167694724224e-05,0.00014729999116200052,4.638091108474787e-05,1.5832549241908133e-05,3.136062792438196e-05,8.283660218200168e-05,4.605588302560726e-05,2.6735638865339487e-05,0.00010590840998760347,5.0085118340590405e-05,4.8940221008085885e-05,7.227117005945652e-05,3.8767428992962454e-05,9.354684663389258e-05
2020-08-28,2.455608975659862e-05,5.76174328783867e-05,5.338397202699086e-05,4.437609505665603e-05,0.0001264841262421566,4.028407842063352e-05,1.85718494036236e-05,2.7349382122983712e-05,8.404194391733572e-05,4.5668788576160125e-05,3.16423823938295e-05,7.19666398930186e-05,5.029616283776932e-05,4.507647168831039e-05,8.033064382478077e-05,3.58680426723305e-05,8.03736005844342e-05
2020-08-29,2.6379024157622266e-05,6.582023834705037e-05,4.4445971928114277e-05,7.003103844790468e-05,0.0001081804055781751,4.8015386523314224e-05,0.0001428610468582012,3.986368730104054e-05,8.179432832308048e-05,4.423698918035073e-05,3.7880225706540714e-05,6.024900723699963e-05,5.635031996148793e-05,5.306660985659828e-05,6.566457509034865e-05,5.1217381486876215e-05,0.00012342845552972825
2020-08-30,3.1164654407277535e-05,6.665391433986002e-05,5.079020865796274e-05,7.076279912190522e-05,9.252540796400275e-05,9.113557196318653e-05,4.917972427795223e-05,4.8411574864379414e-05,8.343148673684361e-05,5.498619720234399e-05,3.602348639141753e-05,7.698211448873379e-05,6.29367320508368e-05,5.769972363507041e-05,7.964339669131464e-05,3.8840899073398725e-05,0.00015513440114470938
2020-08-31,2.654930021733763e-05,6.867203528087515e-05,5.113254933997988e-05,6.469257280744741e-05,0.00012019362099673292,4.5812514450727055e-05,2.4032983028844266e-05,3.2063079093121295e-05,7.811842049921038e-05,4.905761860237421e-05,3.4020466131981026e-05,7.533703180207919e-05,5.132726392007822e-05,5.4317130175438105e-05,7.16067054409101e-05,3.6115867441867965e-05,8.824763848846227e-05
2020-09-01,2.4744134780467303e-05,5.153103776956988e-05,4.481176076237945e-05,5.492787547428108e-05,6.59215533515117e-05,3.6136205597953566e-05,2.0397602291608397e-05,3.0301367666079263e-05,7.606663582781153e-05,4.7136381633891166e-05,3.350353628578467e-05,6.629516233879012e-05,5.012854514689133e-05,5.804993360824522e-05,6.309002090525269e-05,3.752782777014157e-05,7.668482439175214e-05
2020-09-02,2.4555939813481687e-05,5.556737857400433e-05,4.148349103671987e-05,4.88765532035011e-05,0.00016760400759804835,4.422905527066376e-05,2.1453112256627848e-05,3.770079913488871e-05,6.980478877131971e-05,4.089972682340817e-05,3.3329065453004696e-05,7.633296439067211e-05,4.720404905843034e-05,4.8883142031720436e-05,7.248254529706065e-05,3.355051061174029e-05,6.576873872767429e-05
2020-09-03,2.462270952369891e-05,6.29153878748294e-05,4.232188147710631e-05,5.564962173715447e-05,0.00011787339555364713,3.54809491942375e-05,1.8887711100296604e-05,4.2474447808185505e-05,0.00011096607577022391,6.747155978072792e-05,2.7618312301483135e-05,9.483948007436893e-05,4.878314376118404e-05,5.0218647899900227e-05,8.732827378129635e-05,3.433763187247738e-05,6.556172713871405e-05
2020-09-04,2.617547819982895e-05,6.579730527514392e-05,4.498717233872787e-05,5.418019312370485e-05,0.00012762485585228334,3.570635382993143e-05,1.918189148083609e-05,3.587626017891393e-05,0.00022931571483214352,4.526410450280845e-05,3.098431948598787e-05,7.43052758759565e-05,5.4041390447001174e-05,5.2713410880971684e-05,7.4434133024026e-05,3.980740829714465e-05,6.351636138214335e-05
2020-09-05,2.7278709691101945e-05,8.244983284359596e-05,4.485306654896331e-05,5.6157486011680754e-05,0.0001238083446824316,7.34973855283874e-05,1.493858219783683e-05,4.0538319692620016e-05,0.00012215002415249987,4.650448400110112e-05,3.238255857450183e-05,6.873522064518776e-05,6.3227382356415e-05,5.037552369554842e-05,7.951994226021863e-05,4.52683792449008e-05,7.522462343637827e-05
2020-09-06,3.558452058505448e-05,0.00010885221726050678,4.8078148248776085e-05,6.665817958697062e-05,0.00015552034164036132,5.721420673260276e-05,1.7455589489221523e-05,4.7188078613405285e-05,0.00010148849797023003,6.239513717258932e-05,3.481830502750211e-05,5.968712090278549e-05,0.00010564090447803499,4.846541914922905e-05,0.00011102572205623228,4.471492654722759e-05,0.00010293127476328926
2020-09-07,3.179187765853989e-05,9.468014755721224e-05,4.378706064391022e-05,5.339640609684808e-05,0.00012404639335111332,4.2251705675101936e-05,1.843307323969402e-05,3.6796963128981284e-05,8.292027508290666e-05,4.666792798368932e-05,3.275990618915119e-05,6.423080509412314e-05,6.330140882171603e-05,4.9000029584923526e-05,9.975359172106056e-05,3.061224645980849e-05,0.000100017887386096
2020-09-08,2.7216878405214487e-05,8.135599646351539e-05,4.970069320946999e-05,5.735494977662692e-05,8.109844727665175e-05,4.146150808245672e-05,1.4809121841393518e-05,3.452629392739413e-05,8.117279216350682e-05,4.4409297520673884e-05,2.9763493457692974e-05,0.00012581950665898766,5.660116588264196e-05,5.5156507749489336e-05,6.859206259343577e-05,2.9426261467046266e-05,7.444974325754961e-05
