,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,1.3942116717944318e-05,4.598109002913503e-05,0.0002419482969905891,0.0001532008133842209,0.00017224070392315112,2.7071213269019637e-05,1.0456510057923385e-05,1.7699790919477658e-05,1.399492016517493e-05,2.9090126764709455e-05,2.1230592853536295e-05,3.1528820291216456e-05,2.716180414852997e-05,2.39118006938827e-05,3.800442105799143e-05,1.2154427526463503e-05,1.5934352264091913e-05
2020-08-25,1.3661521179872232e-05,5.1180597189126805e-05,0.00024831644963460423,0.00012686362303872064,0.00023710327541239033,2.4689962341794113e-05,8.798252406383132e-06,1.5429046646345716e-05,1.8547813396880565e-05,2.5543756696199426e-05,1.7532868006804333e-05,2.439981537473033e-05,2.428329943968217e-05,2.4659226655437876e-05,3.96851113840929e-05,1.4064209680489285e-05,2.6705215064063488e-05
2020-08-26,1.3104044735829355e-05,5.0692961325280124e-05,0.00024834455403461973,0.00012764182488301398,0.0001944642509885266,2.4060564971079733e-05,8.825254007639278e-06,1.526468087473466e-05,1.7211494703889583e-05,2.4583147069504956e-05,1.6113458971973955e-05,2.8487012260895112e-05,2.6060657842714484e-05,2.2369845189324268e-05,3.3348509321633324e-05,1.1407402548698915e-05,2.081618236587328e-05
2020-08-27,1.2730474634529291e-05,4.880637549070145e-05,0.0002444537847016611,0.00013057912601568923,0.0001914899885106007,2.407110575284383e-05,9.318114918414682e-06,1.6294425475070527e-05,1.5625012019240014e-05,2.277627002086042e-05,1.4504672111694442e-05,2.516635484853944e-05,2.785435528766168e-05,2.496612625750327e-05,3.3438899579748536e-05,1.3080067505755624e-05,2.2728773478823003e-05
2020-08-28,1.2386137453613183e-05,4.729559329856876e-05,0.00028815812803408117,0.00016526269883168453,0.00016497929509846513,2.1979685005891275e-05,1.663346173667276e-05,1.6847668658922204e-05,1.756534855547086e-05,2.63145025084559e-05,1.3878237892030482e-05,2.0065765546578914e-05,2.3471542657625683e-05,2.6047649729923305e-05,2.9309829503636227e-05,1.6132038331096016e-05,3.034277140219274e-05
2020-08-29,1.1206646014606917e-05,5.400251373473906e-05,0.00027960556885686433,0.00017032240215107683,0.00025569914045750475,2.3277976141242003e-05,1.1010199913384781e-05,1.7075566990321103e-05,1.3301392748191518e-05,2.291658460116107e-05,1.780292181239077e-05,2.2918930706870174e-05,2.0430554454839638e-05,1.8665871490256955e-05,3.214828155464986e-05,1.759205711940531e-05,2.0460212448171167e-05
2020-08-30,1.2274091516207225e-05,4.903729792656369e-05,0.0002892142268331875,0.00017889471688122105,0.0002142693658113748,2.1978641055570974e-05,8.27233087028268e-06,1.816966069277025e-05,1.5312543449342038e-05,2.51882879399959e-05,1.528501874603857e-05,2.4660937108945023e-05,2.5302575875300136e-05,1.9182493873400716e-05,3.359955797914836e-05,1.4749708508885593e-05,2.3320857688420364e-05
2020-08-31,1.2483472805725112e-05,4.921737835140947e-05,0.00028574646245293437,0.00014960157461722212,0.00019121712431298418,2.1797614842899915e-05,7.96856322884349e-06,1.7292139237401312e-05,1.4150119890550287e-05,2.2954615005311618e-05,1.8138874122501732e-05,2.066939077646788e-05,2.2793075463674135e-05,2.163347018448681e-05,2.7624921895985625e-05,1.0963745473424203e-05,1.963687398000635e-05
2020-09-01,1.3099329786389996e-05,4.065888240200167e-05,0.0002999163064558393,0.00014084070634431045,0.00019177179156803405,2.1753995769968045e-05,6.925445870890915e-06,1.5500422610348948e-05,1.4808054105823965e-05,2.8528293720904066e-05,1.878858362428619e-05,2.4017109709561687e-05,2.5842129308483633e-05,1.9959425991286415e-05,3.314899403496328e-05,1.2724027441378473e-05,1.9109956238200215e-05
2020-09-02,1.3950384412310193e-05,5.3821806472203145e-05,0.00027973327063950294,0.0001037940287130529,0.0001722596744757719,2.445005530639003e-05,9.296348644538734e-06,1.909450546112349e-05,1.4398509637232857e-05,2.1289447246788713e-05,1.4354597497086183e-05,2.772091864713882e-05,2.240192158705169e-05,2.1319750418818882e-05,3.152990720422138e-05,1.144851546940901e-05,2.2394373401896262e-05
2020-09-03,1.411327960429368e-05,6.233012845273796e-05,0.0002619563961287558,0.00010872287209758883,0.000134712452061311,2.7194760442085326e-05,8.042690038256862e-06,1.664428006427928e-05,1.8552845926336576e-05,2.2346481830396622e-05,1.630873634419924e-05,2.6070593007456395e-05,2.7314906338191062e-05,2.0150429251370622e-05,3.5074470617078046e-05,1.2617083339189363e-05,2.6489586722712746e-05
2020-09-04,1.3989196167720398e-05,5.672181489236544e-05,0.0003004709935843419,0.00011664676872515281,0.0001549730392492012,2.5764733528717794e-05,7.938308550979294e-06,1.545394460202814e-05,1.6097727354637395e-05,2.0982485760777095e-05,1.7054039608091417e-05,2.8795811518324607e-05,2.5803546790009568e-05,1.9588367185376186e-05,3.421853508687451e-05,1.557681194236095e-05,2.8912465575384245e-05
2020-09-05,1.3696294991020517e-05,5.597259866919659e-05,0.00040265715688888367,0.0001640965500341321,0.0002837274565639057,2.532832978209043e-05,8.714172948738152e-06,1.9738379883067846e-05,1.918611816888071e-05,2.1379144728283987e-05,1.655833599653368e-05,2.5442290626875472e-05,2.3322452375124314e-05,2.3573161729327145e-05,3.576800615720678e-05,1.69756422168378e-05,2.1686377927604544e-05
2020-09-06,1.336419228427752e-05,5.2769661845854376e-05,0.0003174020172728617,0.00012293516727105238,0.00021436587631509262,2.5027184004791285e-05,9.486210012073489e-06,1.999177686133033e-05,1.6762364529617574e-05,2.2405526530157073e-05,1.930833278797844e-05,2.351909730937574e-05,1.9688985981242092e-05,2.539402153505931e-05,3.0823852754156134e-05,1.968428831698606e-05,1.8714777229688955e-05
2020-09-07,1.3664788560352907e-05,6.085629737502953e-05,0.0002850124404924871,9.750648069859215e-05,0.00013093785964839739,2.711986014305398e-05,8.691377838089347e-06,1.5723573174671708e-05,1.3207334454912883e-05,2.4115772063736363e-05,1.5132339959607921e-05,2.5212091719188524e-05,2.2538471013017113e-05,2.6349072512647553e-05,3.415292462314277e-05,1.1020408725531057e-05,2.8958408374593496e-05
2020-09-08,1.4088491505766701e-05,7.253584797960676e-05,0.0002766452492884737,9.114546282332186e-05,0.00011852849986587565,4.146150808245672e-05,7.693391311220391e-06,1.7821738776081717e-05,1.81022509957555e-05,2.5684711603496547e-05,1.3992077087448056e-05,2.4735413847819552e-05,2.2302548944802206e-05,2.8119003950720054e-05,3.513251986493052e-05,1.1341371607090748e-05,3.624239701100655e-05
2020-09-09,1.3892568579894404e-05,5.5834897716503586e-05,0.000276722821295595,7.608268296565901e-05,0.0001127689943261086,2.5413221707814243e-05,7.5423471245102705e-06,1.823087292949842e-05,1.849355438764728e-05,2.0949890692529777e-05,1.5389898578112534e-05,2.6366962196367953e-05,2.2878283976179892e-05,2.03291786857802e-05,3.0782774213428716e-05,1.1641956742835073e-05,2.0856013342634535e-05
2020-09-10,1.341172104015937e-05,5.34258465730547e-05,0.00027886451341165334,7.332632659545865e-05,0.0001607401763641215,2.5417395088349783e-05,8.205658828904438e-06,1.4106752029558759e-05,1.7080437092180842e-05,2.1439201194912902e-05,1.7309414810130346e-05,2.7302141883366462e-05,2.4123146140719673e-05,2.6742016863580274e-05,3.659772236688973e-05,1.2604840380198434e-05,2.3530545449248536e-05
2020-09-11,1.3377911066605929e-05,4.411165149121889e-05,0.000268030204207101,0.00012183409270891273,0.0001768865554157437,2.4263184618306795e-05,7.564285963504414e-06,1.6474596702008664e-05,1.705012858512903e-05,2.1466589620417514e-05,2.1425719728361127e-05,2.4108895648786026e-05,2.2182035664053256e-05,1.8165784776243742e-05,3.4347736484165694e-05,1.2560379839284078e-05,2.2011554907823718e-05
2020-09-12,1.2419127361955115e-05,5.12554921374075e-05,0.00029542151839669317,0.00016411528845973103,0.000157546719552938,2.29809029478167e-05,7.949935833177005e-06,1.764514707789492e-05,1.68896777444619e-05,2.213706142160713e-05,1.4595512387961299e-05,2.233152855591044e-05,2.1116284490138843e-05,2.471916414998638e-05,2.8737360573677913e-05,1.363984259621644e-05,2.1188645334566354e-05
2020-09-13,1.2309341037671034e-05,6.823408234836966e-05,0.000285021160751094,0.00012348226399118198,0.0001488432511425411,2.3953402826461162e-05,7.292986296961559e-06,1.6811354039430004e-05,1.3972309702269309e-05,1.9468210997516843e-05,2.128910542552852e-05,3.129571966062995e-05,2.2255742986939526e-05,2.2636056558728094e-05,3.2480271483101164e-05,1.905054495410145e-05,2.6178511489836687e-05
2020-09-14,1.3495129303632463e-05,5.361611342928928e-05,0.0002775018045924523,9.33961262357395e-05,0.0001650142696765991,2.6988166268161297e-05,6.311735234417846e-06,1.722450250742218e-05,1.916030229139671e-05,2.437564163798353e-05,1.906113962930652e-05,2.9501019382357638e-05,2.0270208695425552e-05,2.4342447717321413e-05,4.3904772967381865e-05,1.059697181506222e-05,3.1917033693823494e-05
2020-09-15,1.3931766462227593e-05,6.088095963511382e-05,0.0002691168808887063,8.603995495995402e-05,0.00010555986670927101,2.6121010708491297e-05,8.614991069784563e-06,1.6996851881687636e-05,1.7405761988313166e-05,2.0615898282366624e-05,1.8247731689874793e-05,3.139414372472991e-05,2.3569680708826777e-05,1.9835098067646295e-05,4.040794758709294e-05,1.3349941073981028e-05,2.6578966677926757e-05
2020-09-16,1.3396502255542857e-05,6.01533681087389e-05,0.0002698077646765812,8.958858478541498e-05,0.00017144584054955658,2.563906921257668e-05,8.528283943656765e-06,1.6939788320405148e-05,1.6626232786260418e-05,2.097928809886549e-05,1.370925688088609e-05,3.0130459017977905e-05,2.1402000501767718e-05,2.552995024581805e-05,4.008266090312857e-05,1.4627365665564884e-05,2.470565458530211e-05
2020-09-17,1.2858231808049657e-05,5.9331961666278814e-05,0.0002831575994747003,8.160144205334901e-05,0.0001433478019048056,2.7448950202925114e-05,8.567976982573995e-06,1.6098537733635273e-05,1.988419974848866e-05,2.2529026058241188e-05,1.373866409568859e-05,2.9883656307467125e-05,2.1670329455617346e-05,1.9226031076698132e-05,3.788564428747627e-05,1.5397528036856026e-05,3.61309051868944e-05
2020-09-18,1.3034015336344846e-05,5.193679604435075e-05,0.00026975471505416646,0.00010350605642453115,0.00024291528236098706,2.3599052029522298e-05,8.216756996897545e-06,1.638760576970454e-05,1.659842465419342e-05,1.971058227295255e-05,1.5695681928895765e-05,2.332526991710782e-05,2.2293965828253208e-05,2.5026637829873167e-05,2.8267721415082134e-05,9.305523856914348e-06,3.692311316662359e-05
2020-09-19,1.2605063625487224e-05,5.075961541181008e-05,0.0002713207676334754,0.00016431675672532256,0.00022781383589363328,2.458425553698601e-05,9.490861747424066e-06,1.7466973655057267e-05,1.9216531881237787e-05,2.1631194575816878e-05,1.585250433652687e-05,2.0592073596071032e-05,1.802137452549427e-05,2.2374736237819153e-05,3.2005847778123076e-05,1.842355627336016e-05,2.06477833884261e-05
2020-09-20,1.2277120621005283e-05,5.146078281106192e-05,0.0003091394890568713,0.00011112403519412434,0.00021326508850501172,2.4794132411347627e-05,7.515057406336939e-06,1.8675495297862362e-05,1.605525265945377e-05,2.1454835822202945e-05,1.8722358083350685e-05,2.919205332732811e-05,1.980626174965215e-05,2.614765278982682e-05,3.2194929139279726e-05,1.9724492923896178e-05,2.1291563630706953e-05
2020-09-21,1.3437507348009333e-05,5.380989487478867e-05,0.00027245949551131705,8.837915468176409e-05,0.00022855334522982798,3.262152127237191e-05,7.993538530485467e-06,1.6929690260275587e-05,1.6536737007227846e-05,1.8583854185342763e-05,1.6216098913751896e-05,2.8407133338285387e-05,2.5566892227136932e-05,2.3615481825464635e-05,3.2684574461207364e-05,1.0423985977808493e-05,2.898427987764105e-05
2020-09-22,1.2713250351265577e-05,5.992178844748774e-05,0.00027633012005454034,8.432972924133362e-05,0.00021256816352443683,2.5346345987230674e-05,7.693578185936155e-06,1.6982447967327903e-05,1.82024580364462e-05,1.943904182395429e-05,1.681759722562754e-05,2.201731020073469e-05,2.3356496439090165e-05,2.176419991429197e-05,3.667823559347678e-05,1.391003837238641e-05,2.5746729877953605e-05
2020-09-23,1.3032930259082995e-05,5.4101370079531753e-05,0.0002715755482896721,7.244529499136726e-05,0.00023738770560492395,2.586477584809307e-05,6.40029807102445e-06,1.794568608484705e-05,2.2623397659046144e-05,2.824974496939241e-05,1.8279882873097993e-05,2.4211292921780093e-05,1.7821075886489808e-05,2.7229945423864355e-05,3.6638114525860926e-05,1.1241810961628431e-05,2.192941983657154e-05
2020-09-24,1.323365747562486e-05,5.410131820943538e-05,0.0002681600570594309,9.903843782831747e-05,0.00022817248654671314,2.9590520156260847e-05,7.492606475289876e-06,1.9029883951128664e-05,1.9967961906599356e-05,2.5246488672753096e-05,1.7509835448017636e-05,2.25552156582622e-05,2.1463315880919404e-05,2.1435265826975853e-05,3.457099811311492e-05,9.967023769624072e-06,2.5812670724244973e-05
2020-09-25,1.3439403996425792e-05,5.806114202046371e-05,0.00026168238584855006,8.246191616441444e-05,0.00019833472290068204,2.529522732673273e-05,9.195118845597491e-06,1.7922698218265356e-05,1.904896950663315e-05,2.2513819855204165e-05,1.5964549773088818e-05,2.3702031191143755e-05,2.3347614759855718e-05,2.5132036422968607e-05,3.480068167988748e-05,1.4887618380518976e-05,1.9646097271756813e-05
2020-09-26,1.2513681557937812e-05,5.450335325718475e-05,0.00027761921999117106,0.0001298309018743343,0.0002030386680663375,2.3518141693017177e-05,8.273407814840398e-06,1.862826660626141e-05,1.5840765606831442e-05,2.3934914881289923e-05,1.3585811852590193e-05,2.836528740456662e-05,1.8706445244709788e-05,2.534747555572384e-05,3.453264172315831e-05,1.479289341294747e-05,1.910127431254192e-05
2020-09-27,1.297560849994034e-05,6.303331304996706e-05,0.00026826259279200284,7.849946126846518e-05,0.00020452201131095646,2.4345233193743332e-05,7.676677565991223e-06,1.8808200912123225e-05,1.8493681856089596e-05,2.570382847715146e-05,1.8681505338455705e-05,2.4432513233815265e-05,1.5386680496429065e-05,2.56066952588916e-05,3.719359175242517e-05,1.6336536082571733e-05,2.461307633755797e-05
2020-09-28,1.282620179583225e-05,5.424909296564853e-05,0.00025537944722999525,6.918573252967339e-05,0.00021233126785071558,2.4205673157050758e-05,8.753312349221692e-06,1.924669941957236e-05,2.0322104472316455e-05,2.6551878839722134e-05,1.7464137943404235e-05,2.935627665282633e-05,1.9177218560191554e-05,2.169052479790938e-05,3.16006739259513e-05,1.3899568390602334e-05,2.1643811782050597e-05
