,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,3.559516859073891e-06,1.612875157945044e-05,7.023434002704112e-06,5.23124728629047e-06,1.4763488907698667e-05,4.749335661231515e-06,1.3942013410564514e-06,2.6758739027871736e-06,3.3496038428123603e-06,6.245991432581752e-06,2.923052639254997e-06,4.881881851543193e-06,3.245750181270877e-06,7.39378047771373e-06,3.320774655552649e-05,2.8412947464460137e-06,4.039694940192317e-06
2020-08-25,4.068152767023637e-06,2.0878203952504986e-05,8.837048980847663e-06,6.4506926968841005e-06,0.0,5.801079977155064e-06,8.418081006107318e-07,2.333574670710651e-06,4.89326735344839e-06,7.771567485400298e-06,2.2113527215789246e-06,6.099953843682583e-06,2.4025879304279182e-06,4.526060588656319e-06,3.822877702137389e-05,1.0938829751491665e-06,1.1610963071331951e-05
2020-08-26,4.307367627082429e-06,0.0003763307976351304,1.266439526735786e-05,1.4435682576055153e-05,4.986262845859657e-06,9.801141907336891e-06,1.0335883072009965e-06,2.9334262179205396e-06,5.101467959324613e-06,8.15351261906274e-06,7.74077931006592e-06,6.59027895587872e-06,3.935334237993798e-06,5.349310806142759e-06,5.4735053343115566e-05,1.5843614650970714e-06,8.281706962766788e-06
2020-08-27,3.961713612727648e-06,0.00020010613951187595,9.356169068839207e-06,8.350990617282451e-06,3.927999764320014e-05,8.586339552081489e-06,1.7316850733337018e-06,2.7020906566699865e-06,5.576927366867205e-06,1.0884792026543793e-05,7.840363303618619e-06,7.75962607829966e-06,2.5481902313633715e-06,1.2069716667534695e-05,3.991094465969987e-05,1.2607293981451204e-06,7.416757661510665e-06
2020-08-28,3.6412361644947726e-06,3.450883680416744e-05,7.495859258515368e-06,7.651050871837247e-06,1.099861967323101e-05,7.350583182298066e-06,1.1001659731342613e-06,2.4148325077788494e-06,4.852306230793056e-06,8.242361574574353e-06,6.106424672493412e-06,5.402321493309707e-06,1.7218506196713821e-06,6.550905920100472e-06,3.509942545497178e-05,2.4026440067589807e-06,9.264968367081753e-06
2020-08-29,3.0818276540169017e-06,1.9147705700960106e-05,1.2026557109960333e-05,1.0374968658948843e-05,4.917291162644322e-06,7.005284355985054e-06,1.283700438331858e-06,3.0425555728208512e-06,5.542246978413133e-06,8.436951544706067e-06,6.352584435258381e-06,5.20884788792504e-06,2.755749205536509e-06,8.638750441771813e-06,3.933034445515674e-05,4.453685346684888e-06,9.340531769817273e-06
2020-08-30,3.234630924692536e-06,1.4066999673303793e-05,8.698875516004668e-06,1.1131226828164865e-05,4.869758313894881e-06,5.557817278420246e-06,7.411625924241707e-07,3.6461882334564245e-06,3.0187585657274304e-06,7.353443538038019e-06,3.917266110793804e-06,7.498257904746797e-06,3.379766452657419e-06,6.6986486542034245e-06,4.479941063886449e-05,2.7041132266290253e-06,9.328343075368146e-06
2020-08-31,3.784600706864719e-06,1.3356928638140623e-05,9.425579773272318e-06,8.086571600930927e-06,0.0,6.788302588007955e-06,1.3238507600634553e-06,2.9048601571545786e-06,4.2938294840290525e-06,7.2126720465567675e-06,4.756415881011566e-06,2.8975781462338147e-06,2.999088876799228e-06,6.536731998190259e-06,4.034692540071585e-05,1.4510839597179092e-06,7.334254137110806e-06
2020-09-01,3.7912317811463815e-06,1.7574168950315738e-05,8.326997434899726e-06,4.929424722050866e-06,1.1985736973002128e-05,5.564975662084849e-06,1.1632584861262082e-06,2.881847525028776e-06,4.052730597383401e-06,5.4838404776683845e-06,3.6579543339318245e-06,4.763724239913062e-06,4.062140727420504e-06,6.551567310116915e-06,3.920848756823613e-05,6.764672816935391e-06,5.63498709587955e-06
2020-09-02,3.894428643264187e-06,1.1928076028974752e-05,6.252709147946343e-06,5.49174755095518e-06,1.3967000633170696e-05,7.04307563303474e-06,1.4577114738477898e-06,2.468181813866815e-06,4.629909459322226e-06,6.59673013280777e-06,4.454875085302608e-06,7.432420216986495e-06,3.3780675409046196e-06,9.74617162003149e-06,6.704635439978111e-05,4.929221938217768e-06,8.957749360758505e-06
2020-09-03,3.685853450173334e-06,1.0388354742122993e-05,6.377848406230592e-06,4.6374684780962054e-06,0.0,6.607049181231469e-06,1.1209324095131517e-06,2.9614205056707776e-06,3.6102835316114422e-06,1.1173240915198311e-05,2.7864172648380612e-06,7.390089356444332e-06,2.7406260539991033e-06,1.0232639854211644e-05,4.2590428606451915e-05,2.2359388196031785e-06,5.7394104565877615e-06
2020-09-04,3.3710507547926607e-06,1.1495621151519396e-05,6.903748613666363e-06,4.461898257246282e-06,4.558030566152976e-06,5.577932001062615e-06,1.186508751391923e-06,3.0041312871232275e-06,2.8709322670690893e-06,1.1678930753640082e-05,2.1106484663479476e-06,5.436971405557793e-06,4.1869906112091e-06,1.0829341208175452e-05,3.033808265434235e-05,3.288438076720645e-06,7.968002323924792e-06
2020-09-05,3.5302890191117804e-06,9.191578703029833e-06,7.885234036529228e-06,3.6465900007584906e-06,5.1586810284346495e-06,7.91510305690326e-06,8.817913102889796e-07,3.947675976613569e-06,3.7319631350940035e-06,8.332053383530617e-06,1.8760676252230277e-06,4.71913455175916e-06,3.4234792477246703e-06,1.679184123184947e-05,2.6187290222240675e-05,4.52683792449008e-06,4.292095631505066e-06
