,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,2.1588185961923087e-05,7.555046792479417e-05,3.646783039865597e-05,4.334462037212104e-05,9.842325938465778e-05,6.275907838055931e-05,1.200562265909722e-05,4.484876155817252e-05,0.0001673884221723218,5.0083597968664786e-05,2.0922903102035768e-05,4.7394936308731835e-05,5.184658842187953e-05,6.072338860420212e-05,5.091854471847395e-05,2.651875096682946e-05,8.41603112540066e-05
2020-08-25,1.9929797382122938e-05,5.62551606498051e-05,3.396017775885961e-05,5.733949063896978e-05,0.00011613221652851772,6.805657241491672e-05,1.2219795008865461e-05,4.26906895641772e-05,0.0001690274351519744,5.1870694611857795e-05,2.242943474744338e-05,4.7782971775513565e-05,4.659304450794141e-05,5.197166124215704e-05,5.934562528079947e-05,2.0158700542034642e-05,7.663235627079088e-05
2020-08-26,2.053404233225052e-05,5.6134578642683073e-05,3.6816197394326566e-05,3.646909282371828e-05,9.473899407133348e-05,5.0810251909515433e-05,1.1024941943477297e-05,4.152971006667134e-05,0.00016987411531844482,4.518149473871609e-05,2.1247649330691146e-05,4.591936304741302e-05,4.792362583156892e-05,4.457759005118966e-05,5.7634923718909763e-05,2.6458836467121093e-05,7.87881311052408e-05
2020-08-27,2.010716855886506e-05,6.344828813791189e-05,3.4369600661041985e-05,4.782840080807222e-05,0.0001374799917512005,4.942649306262293e-05,1.1819437802118917e-05,4.369744587200655e-05,0.00017966359974123057,5.2662259689116495e-05,1.9992926424227474e-05,4.005644813392528e-05,4.3494971190512716e-05,4.149998470618094e-05,5.177636063961064e-05,2.4269040914293567e-05,7.24928248850881e-05
2020-08-28,2.127940110100554e-05,6.701492861523587e-05,4.12752763016968e-05,5.126204084130955e-05,0.00010998619673231009,4.871562971797542e-05,1.0661132168229626e-05,4.2119171647305515e-05,0.00019161757305401778,6.453463840240809e-05,2.1491442678515773e-05,3.550096981317808e-05,5.0205539120944506e-05,4.164504477778157e-05,4.704046710460135e-05,2.5570996929077726e-05,7.574111640089332e-05
2020-08-29,1.891318815070808e-05,6.701696995336038e-05,4.064310801982642e-05,6.65727155615884e-05,0.00011801498790346374,5.939897360178994e-05,1.0713961350692814e-05,3.8311363029193166e-05,0.0001683919373607857,6.168095656332408e-05,1.65480903190064e-05,3.611467868961361e-05,4.105116057902662e-05,4.180538160214574e-05,5.848251218984176e-05,2.4495269406766886e-05,6.716287129725753e-05
2020-08-30,1.8723460186473648e-05,6.468190503986416e-05,4.1109202035312385e-05,5.327087124907472e-05,0.00013635323278905667,5.099928923095851e-05,1.24802217175941e-05,3.897438178955102e-05,0.00016620672161157257,5.279113942979533e-05,1.781972034714044e-05,4.165698835970443e-05,4.1836027981543186e-05,4.0496375954957066e-05,5.413262118862792e-05,2.4582847514809322e-05,6.0634229989892944e-05
2020-08-31,2.025250766195064e-05,5.8944706816142314e-05,3.6872086677826946e-05,4.043285800465463e-05,0.0001038035817699057,4.4618591884997013e-05,1.0488971406656606e-05,4.181902452658384e-05,0.00015213818558184756,4.865691459978772e-05,2.112171120042424e-05,4.6554422216156624e-05,4.421513886938291e-05,4.077675675061542e-05,4.3981783544924484e-05,2.3217343355486548e-05,7.452548558677109e-05
2020-09-01,2.0281583864407374e-05,5.138210413439771e-05,3.066067841636489e-05,5.492787547428108e-05,0.00010187876427051808,4.629047937097851e-05,1.1010376833799228e-05,4.250025621862826e-05,0.00016060243944246273,5.2743454481844235e-05,1.9786207533540324e-05,4.5850845809163224e-05,3.7682837386283825e-05,4.250900650052603e-05,4.847594826618286e-05,2.8347200375729255e-05,6.614984851684689e-05
2020-09-02,2.1090885882815533e-05,5.367634213038638e-05,3.152227853206053e-05,4.008975712197281e-05,0.00011173600506536557,4.692950914032474e-05,1.1964235681580916e-05,4.632587404488484e-05,0.00015614496846879023,4.947547599605827e-05,1.8891970269153653e-05,3.99743681940625e-05,4.07146035193241e-05,5.3908511773299174e-05,5.001295625497185e-05,1.9080859115681685e-05,7.307637636408253e-05
