,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,2.278415119361648e-06,8.205856066737945e-06,7.878852246623203e-06,5.23124728629047e-06,1.4763488907698667e-05,4.952878618141437e-06,5.938264971166367e-07,1.6166738162672508e-06,3.303718858664246e-06,4.337494050403994e-06,1.1538365681269725e-06,1.6272939505143978e-06,1.7082895690899352e-06,1.1012013477445981e-06,1.1438223813570234e-05,3.156994162717793e-07,1.7954199734188073e-06
2020-08-25,2.4159846024568943e-06,6.959401317501662e-06,7.263961727712477e-06,7.884179962858346e-06,4.838842355354905e-06,6.756135827052544e-06,7.331877005319277e-07,1.619775359669746e-06,3.2155756894089424e-06,4.819576735131967e-06,1.1056763607894623e-06,1.2199907687365165e-06,2.0593610832239298e-06,1.716781602593776e-06,7.281671813595027e-06,4.688069893496428e-07,2.5544118756930293e-06
2020-08-26,2.5217987286258622e-06,5.871218684566342e-06,7.579805345890764e-06,8.357500438768773e-06,9.972525691719314e-06,5.908991691426934e-06,1.404620007221867e-06,2.2000696634404047e-06,3.337408945352551e-06,5.2721961296195164e-06,1.0268380717434383e-06,1.913306793642209e-06,1.9239411830191903e-06,1.621003274588715e-06,7.974643533434056e-06,7.921807325485357e-07,2.6859590149513908e-06
2020-08-27,2.7084326609305793e-06,5.741926528317818e-06,7.351275696945092e-06,5.314266756452469e-06,1.4729999116200052e-05,6.2379389908284315e-06,8.520990043388057e-07,1.637630701012113e-06,4.903849926038405e-06,5.410937076778995e-06,6.272290642894894e-07,6.29158871213486e-07,1.7573725733540492e-06,2.4800787673016495e-06,5.752928959956738e-06,7.879558738407002e-07,4.306504448619096e-06
2020-08-28,2.7976901845943536e-06,1.0167782272656477e-05,7.784161537689036e-06,1.3771891569307044e-05,5.499309836615505e-06,6.1975505262513105e-06,8.644161217483482e-07,1.9374818957760534e-06,4.270029483097889e-06,6.532834729477451e-06,2.0619096296731e-06,1.736460479992406e-06,2.17496920379543e-06,2.1836353067001575e-06,7.598844686127911e-06,6.864697162168516e-07,5.095732601894964e-06
2020-08-29,3.622429944158151e-06,7.629163990226293e-06,8.176157402818882e-06,1.0374968658948843e-05,0.0,9.30389328529265e-06,9.874618756398908e-07,2.3905793786449546e-06,5.8655447188205655e-06,6.270707229173428e-06,1.9606742084130804e-06,2.4307956810316854e-06,3.3259042135785457e-06,3.856585018648131e-06,4.1040359431467904e-06,8.907370693369777e-07,5.782233952744026e-06
2020-08-30,4.826085254184559e-06,1.0517382933311247e-05,1.1551732540070715e-05,7.155788675248843e-06,9.739516627789762e-06,2.7631193855782474e-05,1.0041557703811345e-06,3.278505386385188e-06,7.393770979825155e-06,6.255914651763688e-06,1.0753279519826128e-06,1.4996515809493595e-06,1.2788305496541586e-06,5.328470520389088e-06,7.1554614214853e-06,9.83313900592373e-07,1.0545083476503121e-05
2020-08-31,5.742152796622332e-06,9.727328464732845e-06,2.349069363183412e-05,7.277914440837833e-06,4.917011768048165e-05,1.889808861184124e-05,9.674294015848327e-07,3.1514992271016656e-06,5.708841473084081e-06,1.0819008069835152e-05,8.867894015445291e-07,1.159031258493526e-06,1.799453326079537e-06,3.2683659990951293e-06,1.1631546061467632e-05,6.449262043190708e-07,1.4195330587956397e-05
2020-09-01,3.8600850257528995e-06,7.14881448826403e-06,1.5595070340505846e-05,6.33783178549397e-06,5.992868486501064e-06,1.5394023584728217e-05,8.656807338613643e-07,1.9865162551169233e-06,5.351682711929363e-06,8.194952623931405e-06,1.4133005381100231e-06,7.939540399855103e-07,2.0742846267679172e-06,2.1330684265496934e-06,1.0336783086171344e-05,1.1274454694892317e-06,8.329980924343682e-06
2020-09-02,4.607190666176928e-06,6.400431039937672e-06,9.573113316166126e-06,6.590097061146216e-06,0.0,1.0984278577945371e-05,5.500798014519962e-07,1.6816183786784894e-06,4.680787585248844e-06,4.977532736573135e-06,9.074745544134943e-07,4.017524441614322e-07,8.000686281089889e-07,2.2842589734448804e-06,7.973079982676672e-06,4.770214778920421e-07,5.4217956657222525e-06
2020-09-03,4.143348140710071e-06,9.071521042417262e-06,9.799078345996671e-06,6.698565579472297e-06,1.6839056507663877e-05,7.629134137444071e-06,1.0088391685618365e-06,2.2484859394907756e-06,4.813711375481922e-06,5.49402453841243e-06,1.8029758772481573e-06,6.158407797036943e-07,1.0962504215996413e-06,2.8336541134739937e-06,1.1094985603361423e-05,4.791297470578239e-07,3.5319448963616994e-06
2020-09-04,3.3843400481755492e-06,7.7141668253617e-06,8.212302272465869e-06,1.9122421102484066e-06,1.8232122264611905e-05,5.502041769755641e-06,7.627556258948077e-07,1.964239687734418e-06,4.050065162472466e-06,5.6745087277573275e-06,1.3508150184626863e-06,1.2082158679017318e-06,1.8500656189063463e-06,2.548080284276577e-06,1.0935820491681544e-05,3.4615137649691e-07,3.642515348079905e-06
2020-09-05,3.7843296681297497e-06,9.054390961193566e-06,8.488222521675581e-06,4.375908000910189e-06,5.1586810284346495e-06,5.766717941458089e-06,8.817913102889796e-07,2.3221623391844527e-06,4.497494034600466e-06,6.136008305700843e-06,7.341134185655326e-07,2.2569773943195983e-06,2.3536419828107107e-06,2.2604401658258905e-06,7.345215550140677e-06,2.26341896224504e-07,3.840296091346638e-06
2020-09-06,3.5810128496544736e-06,8.045598667080936e-06,1.1297286853075637e-05,6.0101637332514495e-06,8.406504953533043e-06,7.030832619902707e-06,5.778402037811263e-07,1.933682005308082e-06,4.223245089280272e-06,5.161779529732389e-06,1.3452526942443997e-06,1.9763947318803144e-06,1.5991054604054492e-06,7.74207973629857e-06,8.977821190530912e-06,2.43015905147976e-07,5.614433168906687e-06
2020-09-07,3.2742331563710325e-06,1.3715970743168581e-05,7.930926141413672e-06,4.6431657475520065e-06,1.3782932594568146e-05,8.049589061568889e-06,1.0240596244274456e-06,2.4169223014607635e-06,3.7670404115387263e-06,6.915994482118907e-06,2.3342439299395197e-06,3.201535456404892e-06,1.7608180478919618e-06,2.3113221502322415e-06,1.3864058510384686e-05,1.2244898583923397e-06,4.232382762440588e-06
2020-09-08,3.2601812936307536e-06,9.610012527243728e-06,8.598878212565586e-06,7.113792220356828e-06,9.357513147305972e-06,4.642825123816768e-06,6.301753975061071e-07,1.6757754371539523e-06,3.3522687029176855e-06,5.112304707650391e-06,1.4558230495610693e-06,1.5581363053744602e-06,1.182710928891026e-06,1.6995002387797836e-06,8.030290254841261e-06,1.0728324493193952e-06,4.366553856747778e-06
2020-09-09,2.8644910092735706e-06,6.722137562920579e-06,8.910573852094293e-06,3.51827435679348e-06,3.221971266460246e-06,5.627213378158868e-06,6.022406449228733e-07,1.817818254530912e-06,2.3877753766329397e-06,3.96349283372185e-06,1.3097786023925562e-06,2.5967462769150253e-06,2.2531643309874137e-06,3.5422053770677623e-06,7.933704694182658e-06,6.209043596178706e-07,6.08300389160174e-06
2020-09-10,2.567843639201888e-06,9.476564045091963e-06,7.641273929677944e-06,8.147369621717629e-06,9.64441058184729e-06,5.804539871240163e-06,4.590578365820665e-07,1.6863859162470622e-06,2.277391612290779e-06,5.148014876590028e-06,1.3002377322163641e-06,2.8313332323491145e-06,1.7102230472898276e-06,2.577543794080026e-06,6.273895262895382e-06,7.593277337468936e-07,5.378410388399665e-06
2020-09-11,2.1297532393929363e-06,6.5350594801805754e-06,7.1457185616220906e-06,5.123863712057077e-06,1.608059594688579e-05,5.034326917683001e-06,6.14074875266041e-07,1.8486346134267147e-06,2.8165404152425536e-06,4.8640308807592555e-06,1.1448857870116633e-06,1.6563363422830094e-06,1.7708347799034111e-06,2.0715368604488477e-06,8.852509403135489e-06,8.373586559522719e-07,5.5608138714502025e-06
2020-09-12,2.38227213110076e-06,4.159866028543218e-06,7.31309690566312e-06,3.6148741951482604e-06,9.267454091349295e-06,4.494564352038981e-06,8.913564419016642e-07,1.2466680000686626e-06,2.141630607366927e-06,4.2073362351007704e-06,9.676582798648374e-07,1.2406404753283576e-06,1.5936818483123655e-06,2.3768427067294597e-06,7.35141782117342e-06,1.0999873061464871e-06,3.2960114964881e-06
2020-09-13,2.3576197166614227e-06,7.840181813816262e-06,6.977365091384988e-06,5.8801078091039035e-06,1.0148403486991438e-05,6.627556680916923e-06,7.115108582401521e-07,1.929171775016558e-06,2.520997775027184e-06,4.009870324861678e-06,2.7394069481378607e-06,1.647143140033155e-06,9.351152515520809e-07,2.4637884689772076e-06,5.521646152127198e-06,4.82292277319024e-07,3.7397873556909554e-06
2020-09-14,2.1518708450875363e-06,5.868430325593852e-06,6.4836870231881365e-06,8.955792926714746e-06,8.115455885734381e-06,5.018605690958473e-06,7.351016939683436e-07,1.3105599733908182e-06,1.9391149306955707e-06,6.093910409495883e-06,2.6780113528777753e-06,1.503236656425867e-06,9.368583850826935e-07,2.7557487981873297e-06,7.259844348937159e-06,2.864046436503303e-07,4.270589015370749e-06
2020-09-15,2.0473054517516107e-06,7.019534148616227e-06,6.692431853298649e-06,6.650431301252484e-06,1.1411877482083352e-05,4.021403867742766e-06,6.586384609927036e-07,1.3216836610954616e-06,2.4595098461746864e-06,9.40138683886426e-06,1.2918748099026403e-06,1.5599574521604923e-06,1.2717453619870563e-06,3.690250803283032e-06,1.1397113422000573e-05,6.20927491813071e-07,5.224925073438594e-06
2020-09-16,2.0484734734963166e-06,7.164333729804858e-06,7.183636751020087e-06,3.66498755940334e-06,2.0341031929608406e-05,4.460545280264401e-06,5.777224606993292e-07,1.2319846051203744e-06,2.8408969186607435e-06,5.607671347181027e-06,2.0637591003484434e-06,9.782616564278542e-07,1.8344571858658045e-06,3.229692500976982e-06,1.2896160464484846e-05,2.925473133112977e-07,6.288712076258719e-06
2020-09-17,2.339022287150186e-06,8.174625829576193e-06,7.157674405326095e-06,5.5012208125853265e-06,5.733912076192224e-06,5.342413126743815e-06,7.736969181588558e-07,1.468270542481393e-06,3.3298899100339856e-06,6.7786450086743394e-06,1.847890492402559e-06,8.02245806911869e-07,1.509818035842192e-06,2.908139154458541e-06,8.068239061221798e-06,4.7135289908742934e-07,3.8150645228397815e-06
2020-09-18,2.2914569999755477e-06,7.143169656529616e-06,6.467168550775671e-06,2.6404606230747743e-06,1.1211474570507095e-05,5.622464584019089e-06,5.848225620567649e-07,1.611447900687613e-06,1.9413362168647275e-06,4.267239461154675e-06,1.314821522839436e-06,9.718862465461593e-07,1.7576155632232818e-06,3.107883129199936e-06,8.697760435409887e-06,8.162740225363463e-07,3.850876833328841e-06
2020-09-19,1.865549416572109e-06,4.614510491982735e-06,7.302722114309196e-06,3.3810032248008757e-06,1.7867751834794766e-05,5.881400846168903e-06,1.0298002482542242e-06,1.8352979565096405e-06,2.0227928296039778e-06,4.273640265738896e-06,6.605210140219529e-07,9.900035382726457e-07,1.665018298551101e-06,1.598195445558511e-06,7.227126917640694e-06,1.2853643911646623e-06,3.1211765587155736e-06
2020-09-20,2.0037682882588418e-06,6.293764804230595e-06,6.9970685147220365e-06,4.154169539967265e-06,6.770320270000372e-06,5.5830144310866685e-06,7.910586743512568e-07,2.0206273600965837e-06,1.7749525553164971e-06,5.215540199872539e-06,1.096707168062383e-06,7.943415871381799e-07,1.4671304999742335e-06,2.1038341325148014e-06,9.881611914036352e-06,2.088475721353713e-06,4.127956214116654e-06
2020-09-21,1.9316918811693034e-06,6.172706145237603e-06,5.448405966921747e-06,5.270316563591437e-06,1.465085546345051e-05,4.744948548708641e-06,6.208573615911042e-07,1.5247236569813415e-06,1.980963287324169e-06,4.1782490953623e-06,1.1128695332966988e-06,1.1516405407412995e-06,1.3195815343038415e-06,3.0276258750595684e-06,7.542594106432468e-06,6.434559245560797e-07,6.113871536689909e-06
2020-09-22,1.981017214787317e-06,6.264550610419173e-06,5.517869083117527e-06,5.621981949422241e-06,2.8342421803258244e-06,1.3049603874613813e-05,4.955185950263964e-07,1.421550203543143e-06,1.9421977557498425e-06,4.2179053014240445e-06,1.2874715579427782e-06,9.572743565536822e-07,9.14311248505309e-07,1.6859591482902228e-06,5.642805475919504e-06,6.439832579808523e-07,5.057393368883744e-06
