Weeks,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,-31.39178896857716,7.316358409004775,-38.78742129612952,-47.116244092235625,-54.77958249924597,-21.77543322169414,-5.2448917607219485,-50.42669248451757,-37.523471936829885,-57.17665331123185,-25.76074564777686,-42.13440041294368,-39.715728833140986,-38.226056047313065,-47.0804599323875,-35.4989871224497,-33.18087259196542
2020-08-31,-21.28579293569427,-4.538755189528376,-45.240284356617124,-65.57217601829535,-54.398672133918105,-24.449723638220476,-36.3229990961171,-59.04436672059664,-31.63179472054295,-55.192776326110234,238.57364038218986,-38.87880410366109,-41.76802407779866,-47.94729278332315,9.469019897712627,-25.776682773294247,-37.76937411112134
2020-09-07,-35.90409334921113,-10.383884555926448,-53.79179842208388,-71.99449918588452,-58.008375145079405,-29.567320583963376,-43.56352663923462,-51.618897269418305,-37.22549969007601,-52.99475359959012,-29.18090154571501,-59.04160506638634,-32.331444343943886,-53.969928629585716,-23.669022997779663,-16.94699705299175,-34.895618152511275
2020-09-14,-34.5036254519148,-21.189177137534298,-46.77606912982013,-55.00264591320803,-13.798946824393987,-50.25004180965049,-45.54146570131026,-57.81990785888888,-38.75629001853997,-62.46816959901048,-63.60138452524487,-58.15077510947394,-41.637649029612675,-51.63702038182034,-19.099210425565406,-29.79206789425477,-42.36358016735221
2020-09-21,-35.384071875312294,-17.486036162440488,-44.892053522217964,-50.155237589765676,-58.22008966940104,-47.02725300986966,-55.36149188973523,-44.67134783818156,-33.103472882789106,-51.49798650560622,-60.67945128703456,-46.24794047970412,-35.55925758539446,-47.96987570567666,-25.608088429422825,-29.281971681376916,-54.28376117239135
2020-09-28,-36.55594266433847,-27.663688524776354,-47.577023728533696,-55.65855446154324,-70.80478823142603,-70.69080553550074,-48.57005286635624,-30.358757446659645,-14.140759332999886,-54.30540786030432,-66.18904011360233,-46.1019615099454,-17.922558951040312,-54.37448323289147,-41.38208653387051,-28.08103561430387,-66.43550128217255
2020-10-05,-37.73855763512473,-33.722312183204096,-50.38568002936308,-54.058267879027476,-66.93249564409334,-64.71803362688662,-51.23098587372408,-46.29594493514331,-38.4049041309125,-46.50382595900481,-85.20106187490515,-51.587058860376864,-39.74694496668742,-55.07389562168301,-26.66579165353039,-35.22120645238272,-65.51101742420985
2020-10-12,-29.090756942711316,-31.897551104412702,-48.2769882589088,-53.051972116035074,-62.24545206673125,-57.952614873647676,-45.81709768619374,-47.91172948078862,-48.662484414637106,-55.108680187976475,-63.7414851539869,-37.5102606722409,-34.593031785261566,-35.52215946697244,-36.93224907717565,-19.328283049155615,-60.497897783696295
2020-10-19,-27.978130859608864,-34.1238796422885,-42.66130582360142,-43.52523509202122,-48.73453642106369,-54.14729231321205,-44.32300897172121,-62.10995281768968,-36.79721710945887,-53.070303039333176,-58.74794343201597,-48.50102378737808,-24.562732297604928,-44.92933178141696,1.3110891435919036,-9.803735181529571,-63.486143612270965
2020-10-26,-28.79542945900131,-39.64243924204642,-50.99567370561624,-55.5101688319744,-68.23165691020165,-59.90302323249153,-54.3770961085051,-43.2439528633792,-55.20077399751961,-56.034887334062944,-65.87117231626267,-52.97990781270645,-10.392603695596325,-44.422497667702984,-29.83355808656415,-7.120063285221246,-64.77328663009247
2020-11-02,-38.10458843699377,-53.188247157154734,-49.086067334573336,-50.56239624777012,-65.68270642406556,-40.47245654430597,-33.40434209780329,-54.832041875534756,-52.4981086820108,-63.784161597746646,-69.72928895619526,-47.6751140838975,-24.540398226254222,-53.617203192996186,-41.801187476146374,-36.8692277413181,-71.3175842707685
2020-11-09,-35.41302639925493,-50.71061585380898,-50.98646998945377,-52.563073470174615,-66.02472323067583,-47.27562662616119,-40.853944556075916,-40.96309997091328,-49.29869851766904,-66.31913169433062,-56.909881573791864,-45.70359264272687,-30.31799476647271,-47.744387781074124,-35.6207639303604,-19.790501551212515,-63.59142659695836
2020-11-16,-29.374910776297234,-38.70445834794373,-47.29638797156953,-34.604227662446874,-59.45206009300203,-47.463850254450854,-30.534324605313746,-43.72683262446443,-45.012529861994324,-59.55802064488527,-59.28162661161471,-57.68175347173226,-15.045619536311861,-39.21370480957985,-33.73247635662489,-27.199864460885625,-67.04866738422454
2020-11-23,-25.427147861983144,-34.087151045261,-44.69099796964117,-42.92787608384945,-49.287563304885985,-49.48983007108861,-40.5950943274663,-49.530108131964276,-54.29901419200507,-71.10817622883286,-63.87965692879045,-22.158908480982575,-29.67407441060459,-47.64244249336914,-33.885985739370064,-1.2525769024802291,-61.91248916902525
2020-11-30,-27.758564894599903,-43.49660260420971,-44.42790967593741,-16.21307406710085,-17.043149583904682,-46.57904520322174,-32.80328191338262,-49.537358551447255,-42.17270257950139,-53.96979539602811,-63.401285666780375,-61.94433801262663,-17.84927294418339,-45.48165885469191,-13.791491262033462,-27.383868192773264,-42.56726824074513
2020-12-07,-30.614586580619772,-37.2682032234562,-43.00919081663701,-27.304258076580446,-44.26352294582784,-52.78295258309,-31.31280378152834,-48.652098819017674,-43.954102493727085,-43.08586864374497,-61.61969950844992,-53.955036366808464,-18.853125060187992,-47.074072825773236,-21.954316114053828,-40.49308248135603,-63.125652059530864
2020-12-14,-17.758389941992814,-32.70880291985293,-47.09048904561839,-38.937242693945805,8.360922749085265,-56.88048852131055,-37.17447527546977,-48.53892585261798,-50.2587436751905,-57.77228107971257,-60.107824804030066,-56.13808803037745,-23.549068494620762,-49.82792654732099,-27.969005627599874,-39.39760254482372,-63.2072757782256
2020-12-21,-22.44324696534016,-44.886513404535954,-53.993152878945196,-55.11950173255082,-49.97707667192542,-72.88898420202815,-38.11544713719186,-51.668052266470134,-58.02057610155258,-65.93521832710717,-72.76804121739328,-56.25472904882549,-42.136299494590155,-66.57483749819151,-40.974186797320066,-51.599263190627994,-64.11941013884777
2020-12-28,-31.516382891069217,-50.35997478542643,-59.65682446633066,-54.48900873798381,-47.74784981374178,-65.48242999603772,-42.74208011746063,-46.32836314854922,-56.45662492444603,-66.15269663817314,-58.05265080595486,-42.08767450379851,-39.24194396972044,-57.51472022549684,-19.592001403644254,-27.893403531172865,-62.770022822461826
