,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,2.9838319000892754e-06,8.48881662076339e-06,4.772333360811768e-06,5.23124728629047e-06,4.921162969232889e-06,7.598937057970425e-06,4.905523237050477e-07,5.741979416397476e-06,5.78150800266243e-06,9.542486910888786e-06,1.076914130251841e-06,1.2204704628857983e-06,2.9040922674528897e-06,3.4609185214830226e-06,1.992464793331589e-05,2.2098959139024553e-06,5.386259920256422e-06
2020-08-25,2.9722422257029834e-06,8.119301537085272e-06,4.719261759405558e-06,2.150230898961367e-06,1.935536942141962e-05,9.479813621204617e-06,3.530163002561133e-07,5.408402472117626e-06,5.312690269458253e-06,7.771567485400298e-06,1.9744220728383256e-06,2.033317947894194e-06,2.7458147776319062e-06,3.745705314750057e-06,1.638376158058881e-05,1.2501519715990476e-06,5.573262274239337e-06
2020-08-26,3.28764700023875e-06,7.160022786056514e-06,5.602464820875782e-06,3.0390910686431903e-06,1.4958788537578969e-05,8.527347291220906e-06,2.6502264287205036e-07,4.780398281055694e-06,5.435208853859869e-06,1.1341352139297797e-05,1.2638007036842317e-06,6.377689312140697e-07,2.1862967988854435e-06,1.945203929506458e-06,1.8124189848713764e-05,1.10905302556795e-06,5.3719180299027815e-06
2020-08-27,2.935537262934075e-06,8.325793466060836e-06,5.107704542682628e-06,3.7959048260374777e-06,9.819999410800036e-06,7.705689341611592e-06,3.848189051852671e-07,5.540650538424316e-06,6.201927847636806e-06,8.3051592341259e-06,1.2544581285789787e-06,1.4680373661648006e-06,3.3390078893726935e-06,2.4800787673016495e-06,1.653967075987562e-05,9.455470486088403e-07,4.545754695764601e-06
2020-08-28,2.8867075995587194e-06,7.85692266523455e-06,5.477743304299692e-06,3.0604203487348986e-06,2.199723934646202e-05,7.710905887312677e-06,6.810551262259712e-07,5.587810105209198e-06,6.259475037723042e-06,6.0443984880211925e-06,1.348171680940104e-06,1.5435204266599163e-06,2.0843454869706203e-06,3.275452960050236e-06,1.80924873479236e-05,1.3729394324337032e-06,3.4743631376556574e-06
2020-08-29,2.5806853850538463e-06,7.4795725394375424e-06,5.181402075042198e-06,6.052065051053491e-06,1.4751873487932968e-05,6.749883363839766e-06,5.431040316019399e-07,8.972434291277816e-06,5.357505412466029e-06,7.866887251144846e-06,1.1764045250478483e-06,1.7362826293083467e-06,2.850775040210182e-06,2.3139510111888787e-06,1.3338116815227067e-05,8.907370693369777e-07,2.891116976372013e-06
2020-08-30,2.880532336380561e-06,9.20271006664734e-06,6.7346133027132916e-06,9.541051566998456e-06,4.869758313894881e-06,7.957783830465353e-06,8.846134167643328e-07,1.004999781994712e-05,5.906266759031929e-06,5.926655985881388e-06,1.6898010674012489e-06,1.166395674071724e-06,2.557661099308317e-06,2.588114252760414e-06,1.8044207062875972e-05,1.966627801184746e-06,2.6362708691257803e-06
2020-08-31,2.793589961424927e-06,1.1759904561841201e-05,6.29999891581414e-06,3.2346286403723706e-06,0.0,8.493906253336587e-06,4.582560323296576e-07,5.371250856625448e-06,5.757634989948048e-06,8.185810338552523e-06,8.061721832222992e-07,1.3522031349091136e-06,2.999088876799228e-06,3.7352754275372907e-06,1.453943257683454e-05,1.2898524086381416e-06,5.678132235182559e-06
2020-09-01,2.8660163067463e-06,1.042535446205171e-05,5.727819044815419e-06,4.2252211903293135e-06,5.992868486501064e-06,8.961778988292484e-06,3.787353210643469e-07,3.833136999310119e-06,4.624269527783624e-06,6.962628921084578e-06,1.0807592350253118e-06,1.9848850999637758e-07,2.2471416789985767e-06,2.742516548421034e-06,2.2099329356642185e-05,1.449572746486155e-06,4.164990462171841e-06
2020-09-02,2.842460597398999e-06,8.58239616718915e-06,4.527823865754249e-06,6.590097061146216e-06,1.862266751089426e-05,7.772928030240412e-06,1.6502394043559885e-07,4.204045946696223e-06,5.7492282297078194e-06,6.956551776415466e-06,9.899722411783574e-07,4.017524441614322e-07,1.6001372562179778e-06,4.111666152200785e-06,1.449650905941213e-05,2.3851073894602106e-06,4.478874680379252e-06
