,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2020-08-24,7.058221926705745e-06,1.9241317673730353e-05,8.419116400677364e-06,4.483926245391831e-06,3.444814078463022e-05,1.160194854386556e-05,4.182604023169354e-06,7.776758529975223e-06,1.1012396195547487e-05,1.8448808027718324e-05,5.461493089134337e-06,2.2375291819572968e-06,7.601888582450212e-06,3.303604043233794e-06,5.9035993876491535e-06,2.0520462057665655e-06,1.2119084820576949e-05
2020-08-25,7.1441744000486515e-06,2.1168179007400887e-05,8.837048980847663e-06,7.167436329871223e-06,1.935536942141962e-05,1.1743649709850496e-05,5.702571004137216e-06,7.5772542248957605e-06,1.0904995816256413e-05,1.6386560899448688e-05,5.528381803947312e-06,3.8633041009989695e-06,7.1219570794827575e-06,3.90177636953131e-06,4.7330866788367675e-06,1.0938829751491665e-06,1.4629813469878259e-05
2020-08-26,6.837628767549318e-06,1.904566061091033e-05,9.698384479835387e-06,8.357500438768773e-06,1.4958788537578969e-05,1.341022665299885e-05,4.028344171655166e-06,6.654531698060484e-06,8.724940528564525e-06,1.3609622567157357e-05,5.45014053463825e-06,3.826613587284418e-06,7.608312860121343e-06,2.593605239341944e-06,7.974643533434056e-06,1.5843614650970714e-06,1.2982135238931723e-05
2020-08-27,6.834166263994085e-06,2.1245128154775926e-05,9.833524633575902e-06,7.591809652074955e-06,3.436999793780013e-05,1.2549265499196021e-05,3.380908952699132e-06,6.768873564183401e-06,8.125006250004807e-06,1.1513970756401814e-05,5.566657945569219e-06,3.774953227280916e-06,6.678015778745387e-06,2.645417351788426e-06,6.112487019954034e-06,7.879558738407002e-07,1.531201581731234e-05
2020-08-28,6.595766556407295e-06,1.833281955221395e-05,1.1195738507910775e-05,8.416155959020972e-06,2.199723934646202e-05,9.872842117400343e-06,3.536247770788697e-06,7.356815314396029e-06,8.248920592348195e-06,1.2638287747680675e-05,4.758252991553308e-06,3.6658610133173013e-06,6.162412744087051e-06,3.275452960050236e-06,5.42774620437708e-06,1.7161742905421291e-06,1.5287197805684892e-05
2020-08-29,6.6371755621721245e-06,2.4383406478566386e-05,1.0600483144352388e-05,1.3833291545265124e-05,2.9503746975865936e-05,1.3572738439721043e-05,3.2092510958296447e-06,7.264877592245705e-06,3.916521198078614e-05,1.0888228007019316e-05,4.3134832585087774e-06,4.167078310340032e-06,7.3169892698728e-06,2.6224778126807293e-06,5.814050919457953e-06,1.7814741386739553e-06,1.3566010427591753e-05
2020-08-30,7.869741659338053e-06,2.1297700439955273e-05,1.1084051060715625e-05,7.950876305832047e-06,1.9479033255579525e-05,1.7715542574964533e-05,5.283772029862636e-06,7.997101923799385e-06,1.544379382176497e-05,1.4103246188625155e-05,5.9911128753317e-06,5.165466556603349e-06,8.129708494230008e-06,2.8925982824969334e-06,2.7999631649290305e-06,2.212456276332839e-06,1.9265056351303777e-05
2020-08-31,1.1463914425643021e-05,1.974502494333831e-05,1.1476742210979247e-05,4.851942960558556e-06,3.824342486259684e-05,2.2718640822177378e-05,3.7933416009510544e-06,1.0194414891146257e-05,2.0737244667185764e-05,1.751648925592358e-05,5.643205282556095e-06,4.249781281142928e-06,6.940748543449643e-06,4.980367236716388e-06,4.361829773050362e-06,2.09601016403698e-06,1.3485564058558578e-05
2020-09-01,8.537802331208197e-06,1.534016442273323e-05,9.963517161989846e-06,3.5210176586077615e-06,5.9928684865010636e-05,1.1382904763355372e-05,3.5168279813117925e-06,8.617563472901582e-06,1.1067072015931595e-05,1.1583842806760182e-05,4.904984220499492e-06,5.557678279898572e-06,5.531425671381112e-06,3.5043267007602103e-06,9.267460697946723e-06,9.663818309907701e-07,1.7149960726589935e-05
2020-09-02,7.5312324589695535e-06,1.8328507068912424e-05,1.2548540427947489e-05,7.688446571337252e-06,5.5868002532682784e-05,1.058285975948225e-05,5.280766093939163e-06,5.533066923393739e-06,8.59840328159842e-06,1.3433341361354004e-05,4.867363519126923e-06,3.2140195532914574e-06,5.600480396762922e-06,3.1979625628228324e-06,8.697905435647279e-06,2.3851073894602106e-06,1.885841970686001e-05
2020-09-03,7.514134492683577e-06,1.5948319251991637e-05,1.1657524239202937e-05,5.152742753440229e-06,2.1048820634579844e-05,9.928825288922427e-06,3.306750608063797e-06,7.047083981086943e-06,7.872423811986062e-06,9.136130693090333e-06,6.392369019334376e-06,3.4897644183209348e-06,7.9478155565974e-06,3.463355027579326e-06,8.947569034968889e-06,1.597099156859413e-06,1.4569272697492011e-05
2020-09-04,7.597046050551134e-06,1.678965720814017e-05,9.656223551141188e-06,7.648968440993626e-06,2.734818339691786e-05,1.1117918886471743e-05,3.559526254175769e-06,6.55709425170166e-06,6.972264077167788e-06,1.0227312241888207e-05,5.149982257888992e-06,5.436971405557793e-06,6.426543728832572e-06,3.822120426414865e-06,7.760904865064322e-06,6.9230275299382e-07,1.6618976275614566e-05
2020-09-05,1.3319614028683528e-05,2.5242544497872974e-05,1.6605375206338022e-05,9.481134001972075e-06,3.611076719904255e-05,1.0704234610288217e-05,3.1640747016251623e-06,1.0914162994166928e-05,1.1004506680405394e-05,1.0721867144698314e-05,9.706610756588709e-06,9.848628629758247e-06,1.6475493879674974e-05,6.135480450098846e-06,7.983929945805084e-06,3.39512844336756e-06,1.8297881376416334e-05
